,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW YORK_ACTION,WASHINGTON_SCORE,NEW YORK_SCORE
0,1,11:44.0,M. Gortat makes 2-pt jump shot from 7 ft,,2,0
1,1,11:18.0,,Turnover by Team (shot clock),2,0
2,1,11:08.0,B. Beal misses 3-pt jump shot from 25 ft,,2,0
3,1,11:06.0,,Defensive rebound by M. Plumlee,2,0
4,1,11:01.0,,R. Baker makes 2-pt layup from 2 ft,2,2
5,1,10:42.0,Shooting foul by M. Plumlee (drawn by J. Smith),,2,2
6,1,10:42.0,J. Smith makes free throw 1 of 2,,3,2
7,1,10:42.0,J. Smith makes free throw 2 of 2,,4,2
8,1,10:28.0,,R. Baker makes 2-pt jump shot from 22 ft,4,4
9,1,10:10.0,M. Gortat makes 2-pt jump shot from 4 ft,,6,4
10,1,9:57.0,,C. Anthony makes 2-pt jump shot from 20 ft,6,6
11,1,9:54.0,,Violation by Team (jump ball),6,6
12,1,9:39.0,O. Porter misses 2-pt jump shot from 19 ft,,6,6
13,1,9:37.0,,Defensive rebound by W. Hernangómez,6,6
14,1,9:25.0,,W. Hernangómez makes 2-pt jump shot from 12 ft (assist by M. Plumlee),6,8
15,1,9:19.0,B. Beal misses 2-pt layup from 2 ft,,6,8
16,1,9:17.0,,Defensive rebound by W. Hernangómez,6,8
17,1,9:14.0,,Turnover by W. Hernangómez (lost ball; steal by B. Beal),6,8
18,1,9:06.0,J. Wall makes 2-pt layup from 3 ft,,8,8
19,1,8:54.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by C. Lee),8,11
20,1,8:35.0,J. Smith misses 3-pt jump shot from 24 ft,,8,11
21,1,8:33.0,Offensive rebound by O. Porter,,8,11
22,1,8:31.0,O. Porter makes 2-pt jump shot from 12 ft,,10,11
23,1,8:16.0,,C. Lee makes 3-pt jump shot from 25 ft (assist by W. Hernangómez),10,14
24,1,7:54.0,Shooting foul by M. Plumlee (drawn by B. Beal),,10,14
25,1,7:54.0,B. Beal makes free throw 1 of 2,,11,14
26,1,7:54.0,B. Beal makes free throw 2 of 2,,12,14
27,1,7:39.0,,C. Anthony misses 2-pt jump shot from 19 ft,12,14
28,1,7:37.0,Defensive rebound by J. Smith,,12,14
29,1,7:23.0,J. Smith makes 3-pt jump shot from 24 ft (assist by J. Wall),,15,14
30,1,7:14.0,,Turnover by R. Baker (bad pass; steal by B. Beal),15,14
31,1,7:10.0,B. Beal makes 2-pt dunk at rim,,17,14
