,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MILWAUKEE_ACTION,CLEVELAND_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,Turnover by L. James (bad pass),,0,0
1,1,11:22.0,,J. Henson makes 2-pt hook shot from 9 ft (assist by M. Dellavedova),0,2
2,1,11:07.0,K. Irving makes 2-pt jump shot from 18 ft,,2,2
3,1,10:51.0,,J. Henson makes 2-pt dunk at rim (assist by T. Snell),2,4
4,1,10:33.0,Turnover by T. Thompson (offensive foul),,2,4
5,1,10:33.0,Offensive foul by T. Thompson (drawn by J. Parker),,2,4
6,1,10:23.0,,J. Parker misses 2-pt layup from 1 ft,2,4
7,1,10:21.0,Defensive rebound by T. Thompson,,2,4
8,1,10:12.0,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),,5,4
9,1,9:56.0,,Offensive foul by J. Henson (drawn by R. Jefferson),5,4
10,1,9:56.0,,Turnover by J. Henson (offensive foul),5,4
11,1,9:34.0,R. Jefferson misses 2-pt jump shot from 12 ft,,5,4
12,1,9:33.0,,Defensive rebound by T. Snell,5,4
13,1,9:25.0,,G. Antetokounmpo misses 2-pt dunk at rim (block by T. Thompson),5,4
14,1,9:22.0,Defensive rebound by K. Irving,,5,4
15,1,9:16.0,J. Smith misses 3-pt jump shot from 25 ft,,5,4
16,1,9:15.0,Offensive rebound by L. James,,5,4
17,1,9:12.0,L. James makes 2-pt layup from 3 ft,,7,4
18,1,9:05.0,,Turnover by M. Dellavedova (bad pass),7,4
19,1,8:53.0,T. Thompson misses 2-pt jump shot from 5 ft,,7,4
20,1,8:52.0,,Defensive rebound by J. Henson,7,4
21,1,8:40.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,7,4
22,1,8:39.0,Defensive rebound by J. Smith,,7,4
23,1,8:34.0,K. Irving makes 3-pt jump shot from 28 ft,,10,4
24,1,8:16.0,,T. Snell misses 3-pt jump shot from 24 ft,10,4
25,1,8:16.0,Defensive rebound by Team,,10,4
26,1,8:01.0,T. Thompson misses 2-pt jump shot from 2 ft (block by G. Antetokounmpo),,10,4
