,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHOENIX_ACTION,BROOKLYN_SCORE,PHOENIX_SCORE
0,1,11:50.0,,A. Len misses 2-pt layup from 2 ft (block by T. Booker),0,0
1,1,11:49.0,,Offensive rebound by A. Len,0,0
2,1,11:47.0,,A. Len misses 2-pt layup from 2 ft (block by B. Lopez),0,0
3,1,11:46.0,,Offensive rebound by T. Warren,0,0
4,1,11:39.0,,M. Chriss misses 2-pt layup from 1 ft (block by B. Lopez),0,0
5,1,11:37.0,Defensive rebound by S. Kilpatrick,,0,0
6,1,11:22.0,B. Lopez misses 2-pt jump shot from 3 ft,,0,0
7,1,11:21.0,,Defensive rebound by M. Chriss,0,0
8,1,11:16.0,,Shooting foul by R. Hollis-Jefferson (drawn by E. Bledsoe),0,0
9,1,11:16.0,,E. Bledsoe makes free throw 1 of 2,0,1
10,1,11:16.0,,E. Bledsoe makes free throw 2 of 2,0,2
11,1,11:05.0,B. Lopez misses 3-pt jump shot from 27 ft,,0,2
12,1,11:03.0,,Defensive rebound by E. Bledsoe,0,2
13,1,10:55.0,,A. Len makes 2-pt layup from 1 ft (assist by D. Booker),0,4
14,1,10:55.0,,Shooting foul by B. Lopez (drawn by A. Len),0,4
15,1,10:55.0,,A. Len makes free throw 1 of 1,0,5
16,1,10:37.0,R. Hollis-Jefferson makes 2-pt layup from 3 ft (assist by B. Lopez),,2,5
17,1,10:20.0,,A. Len misses 2-pt hook shot from 3 ft,2,5
18,1,10:19.0,Defensive rebound by R. Hollis-Jefferson,,2,5
19,1,10:08.0,S. Kilpatrick makes 2-pt layup from 3 ft,,4,5
20,1,10:00.0,,Turnover by E. Bledsoe (bad pass; steal by S. Kilpatrick),4,5
21,1,9:58.0,Clear path foul by E. Bledsoe,,4,5
22,1,9:58.0,S. Kilpatrick makes clear path free throw 1 of 2,,5,5
23,1,9:58.0,S. Kilpatrick makes clear path free throw 2 of 2,,6,5
24,1,9:55.0,S. Kilpatrick misses 3-pt jump shot from 27 ft,,6,5
25,1,9:53.0,,Defensive rebound by A. Len,6,5
26,1,9:43.0,Violation by T. Booker (kicked ball),,6,5
27,1,9:37.0,,D. Booker misses 2-pt jump shot from 18 ft,6,5
28,1,9:35.0,Defensive rebound by B. Bogdanović,,6,5
29,1,9:27.0,T. Booker makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,9,5
30,1,9:11.0,,T. Warren makes 2-pt jump shot from 9 ft,9,7
31,1,8:52.0,R. Hollis-Jefferson misses 2-pt jump shot from 15 ft,,9,7
32,1,8:50.0,,Defensive rebound by E. Bledsoe,9,7
33,1,8:44.0,,D. Booker misses 3-pt jump shot from 28 ft,9,7
34,1,8:42.0,Defensive rebound by B. Lopez,,9,7
35,1,8:35.0,B. Lopez misses 3-pt jump shot from 26 ft,,9,7
36,1,8:33.0,,Defensive rebound by A. Len,9,7
37,1,8:25.0,,A. Len misses 2-pt dunk at rim,9,7
38,1,8:24.0,Defensive rebound by R. Hollis-Jefferson,,9,7
39,1,8:16.0,S. Kilpatrick makes 3-pt jump shot from 26 ft (assist by R. Hollis-Jefferson),,12,7
40,1,8:12.0,,Phoenix full timeout,12,7
41,1,8:12.0,J. Hamilton enters the game for T. Booker,,12,7
42,1,7:59.0,,M. Chriss misses 2-pt layup from 1 ft (block by B. Lopez),12,7
43,1,7:56.0,,Offensive rebound by Team,12,7
44,1,7:51.0,,E. Bledsoe misses 2-pt jump shot from 16 ft,12,7
45,1,7:50.0,Defensive rebound by R. Hollis-Jefferson,,12,7
46,1,7:42.0,Turnover by R. Hollis-Jefferson (lost ball; steal by M. Chriss),,12,7
47,1,7:27.0,,M. Chriss makes 2-pt layup from 1 ft,12,9
