,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,INDIANA_ACTION,CHARLOTTE_SCORE,INDIANA_SCORE
0,1,11:42.0,M. Williams misses 3-pt jump shot from 27 ft,,0,0
1,1,11:42.0,,Defensive rebound by J. Teague,0,0
2,1,11:27.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by J. Teague),0,2
3,1,11:00.0,M. Kidd-Gilchrist makes 2-pt jump shot from 21 ft (assist by C. Zeller),,2,2
4,1,10:42.0,,C. Miles misses 3-pt jump shot from 27 ft,2,2
5,1,10:41.0,Defensive rebound by M. Williams,,2,2
6,1,10:25.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,2,2
7,1,10:23.0,Offensive rebound by Team,,2,2
8,1,10:18.0,C. Zeller misses 2-pt layup from 2 ft (block by M. Turner),,2,2
9,1,10:17.0,,Defensive rebound by M. Turner,2,2
10,1,9:55.0,,P. George misses 3-pt jump shot from 25 ft,2,2
11,1,9:54.0,,Offensive rebound by Team,2,2
12,1,9:43.0,,P. George makes 2-pt jump shot from 20 ft (assist by J. Teague),2,4
13,1,9:29.0,J. Lamb misses 2-pt jump shot from 14 ft,,2,4
14,1,9:28.0,,Defensive rebound by T. Young,2,4
15,1,9:08.0,,M. Turner makes 2-pt jump shot from 3 ft (assist by J. Teague),2,6
16,1,8:49.0,J. Lamb makes 2-pt jump shot from 4 ft,,4,6
17,1,8:35.0,,C. Miles misses 3-pt jump shot from 29 ft,4,6
18,1,8:34.0,Defensive rebound by M. Williams,,4,6
19,1,8:22.0,M. Williams misses 2-pt layup from 3 ft,,4,6
20,1,8:21.0,,Defensive rebound by M. Turner,4,6
21,1,8:15.0,,J. Teague misses 2-pt jump shot from 5 ft (block by M. Williams),4,6
22,1,8:14.0,Defensive rebound by M. Kidd-Gilchrist,,4,6
23,1,8:06.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by K. Walker),,6,6
24,1,7:54.0,,Personal block foul by J. Lamb (drawn by J. Teague),6,6
25,1,7:45.0,,P. George misses 2-pt jump shot from 18 ft,6,6
26,1,7:45.0,Defensive rebound by C. Zeller,,6,6
27,1,7:26.0,J. Lamb makes 2-pt layup from 1 ft,,8,6
28,1,7:02.0,,T. Young misses 3-pt jump shot from 23 ft,8,6
29,1,7:01.0,Defensive rebound by M. Williams,,8,6
30,1,6:49.0,Personal foul by P. George (drawn by J. Lamb),,8,6
31,1,6:49.0,M. Belinelli enters the game for J. Lamb,,8,6
32,1,6:37.0,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,,8,6
33,1,6:36.0,,Defensive rebound by T. Young,8,6
34,1,6:23.0,,Turnover by T. Young (bad pass; steal by M. Belinelli),8,6
35,1,6:15.0,M. Belinelli makes 2-pt jump shot from 11 ft (assist by M. Williams),,10,6
36,1,5:54.0,,P. George makes 3-pt jump shot from 24 ft (assist by J. Teague),10,9
37,1,5:36.0,M. Williams makes 2-pt jump shot from 16 ft (assist by K. Walker),,12,9
38,1,5:26.0,,C. Miles makes 2-pt dunk from 1 ft,12,11
39,1,5:00.0,K. Walker misses 2-pt jump shot from 10 ft,,12,11
40,1,4:59.0,,Defensive rebound by J. Teague,12,11
41,1,4:50.0,,J. Teague misses 3-pt jump shot from 26 ft,12,11
42,1,4:49.0,Defensive rebound by C. Zeller,,12,11
43,1,4:42.0,K. Walker misses 3-pt jump shot from 27 ft,,12,11
44,1,4:42.0,,Defensive rebound by J. Teague,12,11
45,1,4:38.0,,Indiana full timeout,12,11
46,1,4:38.0,F. Kaminsky enters the game for M. Williams,,12,11
47,1,4:38.0,,M. Ellis enters the game for T. Young,12,11
48,1,4:38.0,,K. Séraphin enters the game for C. Miles,12,11
49,1,4:21.0,,M. Ellis makes 2-pt jump shot from 16 ft,12,13
50,1,4:03.0,M. Belinelli misses 2-pt jump shot from 20 ft,,12,13
51,1,4:02.0,,Defensive rebound by P. George,12,13
52,1,3:53.0,,Turnover by P. George (bad pass),12,13
53,1,3:53.0,B. Weber enters the game for K. Walker,,12,13
54,1,3:38.0,Shooting foul by M. Ellis (drawn by M. Belinelli),,12,13
55,1,3:38.0,M. Belinelli misses free throw 1 of 2,,12,13
56,1,3:38.0,Offensive rebound by Team,,12,13
57,1,3:38.0,,R. Stuckey enters the game for J. Teague,12,13
58,1,3:38.0,M. Belinelli makes free throw 2 of 2,,13,13
59,1,3:16.0,,Shooting foul by M. Kidd-Gilchrist (drawn by P. George),13,13
60,1,3:16.0,,P. George makes 2-pt layup from 1 ft,13,15
61,1,3:16.0,M. Williams enters the game for C. Zeller,,13,15
62,1,3:16.0,T. Graham enters the game for M. Kidd-Gilchrist,,13,15
63,1,3:16.0,,P. George makes free throw 1 of 1,13,16
64,1,3:00.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by B. Weber),,16,16
65,1,2:48.0,,Personal foul by T. Graham (drawn by P. George),16,16
66,1,2:48.0,Charlotte full timeout,,16,16
67,1,2:48.0,,G. Robinson enters the game for P. George,16,16
68,1,2:37.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by R. Stuckey),16,18
69,1,2:19.0,B. Weber makes 2-pt jump shot from 14 ft,,18,18
70,1,1:56.0,,G. Robinson makes 2-pt jump shot from 16 ft (assist by K. Séraphin),18,20
71,1,1:40.0,B. Weber makes 2-pt jump shot from 15 ft,,20,20
72,1,1:21.0,,K. Séraphin makes 2-pt dunk at rim (assist by M. Turner),20,22
73,1,1:06.0,Turnover by B. Weber (lost ball; steal by M. Ellis),,20,22
74,1,1:02.0,,G. Robinson makes 2-pt dunk at rim,20,24
75,1,0:44.0,Turnover by F. Kaminsky (lost ball; steal by M. Turner),,20,24
76,1,0:27.0,,M. Turner misses 2-pt hook shot from 7 ft,20,24
77,1,0:26.0,Defensive rebound by F. Kaminsky,,20,24
78,1,0:02.0,Shooting foul by M. Turner (drawn by F. Kaminsky),,20,24
79,1,0:02.0,F. Kaminsky makes free throw 1 of 3,,21,24
80,1,0:02.0,F. Kaminsky misses free throw 2 of 3,,21,24
81,1,0:02.0,Offensive rebound by Team,,21,24
82,1,0:02.0,,R. Christmas enters the game for M. Turner,21,24
83,1,0:02.0,F. Kaminsky makes free throw 3 of 3,,22,24
84,1,0:00.0,,G. Robinson misses 3-pt jump shot from 33 ft (block by T. Graham),22,24
85,1,0:00.0,,Offensive rebound by Team,22,24
86,2,11:47.0,,Personal foul by F. Kaminsky (drawn by G. Robinson),22,24
87,2,11:35.0,,M. Ellis misses 2-pt jump shot from 21 ft,22,24
88,2,11:35.0,Defensive rebound by M. Williams,,22,24
89,2,11:16.0,Shooting foul by R. Christmas (drawn by F. Kaminsky),,22,24
90,2,11:16.0,F. Kaminsky misses free throw 1 of 2,,22,24
91,2,11:16.0,Offensive rebound by Team,,22,24
92,2,11:16.0,F. Kaminsky makes free throw 2 of 2,,23,24
93,2,10:55.0,,M. Ellis misses 3-pt jump shot from 27 ft,23,24
94,2,10:55.0,Defensive rebound by B. Weber,,23,24
95,2,10:45.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,23,24
96,2,10:44.0,,Defensive rebound by G. Robinson,23,24
97,2,10:28.0,,Turnover by R. Stuckey (bad pass; steal by M. Williams),23,24
98,2,10:26.0,Personal foul by R. Stuckey (drawn by T. Graham),,23,24
99,2,10:26.0,J. Lamb enters the game for T. Graham,,23,24
100,2,10:26.0,,M. Turner enters the game for R. Christmas,23,24
101,2,10:12.0,B. Weber misses 2-pt layup from 3 ft,,23,24
102,2,10:11.0,,Defensive rebound by M. Ellis,23,24
103,2,10:05.0,,M. Ellis makes 2-pt jump shot from 6 ft,23,26
104,2,9:46.0,F. Kaminsky misses 3-pt jump shot from 23 ft,,23,26
105,2,9:45.0,,Defensive rebound by G. Robinson,23,26
106,2,9:31.0,,R. Stuckey misses 2-pt jump shot from 20 ft,23,26
107,2,9:31.0,Defensive rebound by J. Lamb,,23,26
108,2,9:20.0,F. Kaminsky makes 2-pt layup from 2 ft (assist by J. Lamb),,25,26
109,2,9:07.0,,T. Young makes 2-pt dunk at rim (assist by M. Ellis),25,28
110,2,8:43.0,M. Belinelli misses 3-pt jump shot from 26 ft,,25,28
111,2,8:43.0,,Defensive rebound by R. Stuckey,25,28
112,2,8:35.0,,G. Robinson makes 3-pt jump shot from 27 ft (assist by R. Stuckey),25,31
113,2,8:27.0,Charlotte full timeout,,25,31
114,2,8:27.0,M. Kidd-Gilchrist enters the game for M. Williams,,25,31
115,2,8:27.0,C. Zeller enters the game for M. Belinelli,,25,31
116,2,8:27.0,K. Walker enters the game for B. Weber,,25,31
117,2,8:27.0,,P. George enters the game for G. Robinson,25,31
118,2,8:20.0,C. Zeller misses 2-pt layup from 2 ft,,25,31
119,2,8:19.0,,Defensive rebound by M. Turner,25,31
120,2,8:01.0,,M. Turner misses 2-pt jump shot from 16 ft,25,31
121,2,8:00.0,Defensive rebound by J. Lamb,,25,31
122,2,7:43.0,C. Zeller makes 2-pt layup from 1 ft (assist by F. Kaminsky),,27,31
123,2,7:23.0,,M. Ellis makes 3-pt jump shot from 23 ft (assist by P. George),27,34
124,2,7:04.0,C. Zeller makes 2-pt hook shot from 6 ft,,29,34
125,2,6:52.0,,P. George misses 3-pt jump shot from 26 ft,29,34
126,2,6:51.0,Defensive rebound by J. Lamb,,29,34
127,2,6:41.0,J. Lamb makes 2-pt layup from 3 ft,,31,34
128,2,6:26.0,,M. Ellis makes 2-pt jump shot from 17 ft,31,36
129,2,6:09.0,F. Kaminsky misses 3-pt jump shot from 27 ft,,31,36
130,2,6:09.0,,Defensive rebound by R. Stuckey,31,36
131,2,5:50.0,,T. Young misses 2-pt jump shot from 4 ft,31,36
132,2,5:49.0,Defensive rebound by J. Lamb,,31,36
133,2,5:39.0,J. Lamb misses 2-pt jump shot from 10 ft,,31,36
134,2,5:39.0,Offensive rebound by Team,,31,36
135,2,5:39.0,,Loose ball foul by P. George (drawn by C. Zeller),31,36
136,2,5:39.0,Official timeout,,31,36
137,2,5:39.0,,J. Teague enters the game for R. Stuckey,31,36
138,2,5:29.0,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft (block by M. Ellis),,31,36
139,2,5:28.0,,Defensive rebound by M. Turner,31,36
140,2,5:18.0,,P. George makes 2-pt jump shot from 20 ft,31,38
141,2,4:55.0,F. Kaminsky misses 2-pt layup from 2 ft,,31,38
142,2,4:55.0,,Defensive rebound by J. Teague,31,38
143,2,4:40.0,,T. Young misses 2-pt hook shot from 5 ft,31,38
144,2,4:40.0,Defensive rebound by C. Zeller,,31,38
145,2,4:23.0,F. Kaminsky makes 2-pt jump shot from 6 ft,,33,38
146,2,4:03.0,,P. George makes 2-pt jump shot from 21 ft (assist by T. Young),33,40
147,2,3:44.0,M. Belinelli enters the game for J. Lamb,,33,40
148,2,3:44.0,M. Williams enters the game for F. Kaminsky,,33,40
149,2,3:38.0,K. Walker makes 2-pt layup at rim,,35,40
150,2,3:18.0,,Turnover by J. Teague (bad pass),35,40
151,2,3:00.0,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by M. Belinelli),,37,40
152,2,2:46.0,,M. Ellis misses 3-pt jump shot from 24 ft,37,40
153,2,2:44.0,Defensive rebound by K. Walker,,37,40
154,2,2:37.0,K. Walker misses 2-pt layup from 2 ft (block by M. Turner),,37,40
155,2,2:37.0,Offensive rebound by Team,,37,40
156,2,2:37.0,,Indiana full timeout,37,40
157,2,2:37.0,,G. Robinson enters the game for M. Ellis,37,40
158,2,2:24.0,M. Williams makes 2-pt jump shot from 16 ft (assist by M. Kidd-Gilchrist),,39,40
159,2,1:58.0,,Turnover by Team (shot clock),39,40
160,2,1:58.0,,C. Miles enters the game for P. George,39,40
161,2,1:44.0,K. Walker misses 3-pt jump shot from 27 ft,,39,40
162,2,1:44.0,,Defensive rebound by G. Robinson,39,40
163,2,1:31.0,,J. Teague makes 2-pt jump shot from 18 ft,39,42
164,2,1:16.0,C. Zeller makes 2-pt dunk from 1 ft (assist by K. Walker),,41,42
165,2,1:16.0,Shooting foul by T. Young (drawn by C. Zeller),,41,42
166,2,1:16.0,C. Zeller makes free throw 1 of 1,,42,42
167,2,0:55.0,,Turnover by J. Teague (bad pass),42,42
168,2,0:45.0,K. Walker misses 2-pt layup from 1 ft,,42,42
169,2,0:45.0,,Defensive rebound by M. Turner,42,42
170,2,0:28.0,,T. Young misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),42,42
171,2,0:27.0,Defensive rebound by C. Zeller,,42,42
172,2,0:06.0,M. Williams misses 3-pt jump shot from 23 ft,,42,42
173,2,0:05.0,,Defensive rebound by G. Robinson,42,42
174,2,0:01.0,,J. Teague misses 3-pt jump shot from 31 ft,42,42
175,2,0:00.0,,Offensive rebound by T. Young,42,42
176,2,0:00.0,,T. Young misses 2-pt layup from 2 ft,42,42
177,2,0:00.0,,Offensive rebound by Team,42,42
178,3,11:49.0,,P. George makes 2-pt jump shot from 22 ft (assist by J. Teague),42,44
179,3,11:49.0,,Shooting foul by M. Kidd-Gilchrist (drawn by P. George),42,44
180,3,11:49.0,,P. George makes free throw 1 of 1,42,45
181,3,11:34.0,Turnover by K. Walker (lost ball; steal by P. George),,42,45
182,3,11:17.0,,C. Miles makes 2-pt jump shot from 21 ft,42,47
183,3,10:51.0,K. Walker makes 2-pt layup from 2 ft,,44,47
184,3,10:51.0,Shooting foul by M. Turner (drawn by K. Walker),,44,47
185,3,10:51.0,K. Walker makes free throw 1 of 1,,45,47
186,3,10:42.0,,P. George makes 3-pt jump shot from 25 ft (assist by J. Teague),45,50
187,3,10:20.0,C. Zeller misses 2-pt layup from 2 ft (block by M. Turner),,45,50
188,3,10:20.0,Offensive rebound by Team,,45,50
189,3,10:17.0,M. Williams misses 2-pt jump shot from 20 ft,,45,50
190,3,10:16.0,,Defensive rebound by J. Teague,45,50
