,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA LAKERS_ACTION,MEMPHIS_SCORE,LA LAKERS_SCORE
0,1,11:35.0,,J. Randle misses 2-pt layup from 3 ft,0,0
1,1,11:34.0,,Offensive rebound by J. Randle,0,0
2,1,11:32.0,,J. Randle makes 2-pt layup from 3 ft,0,2
3,1,11:08.0,M. Gasol misses 2-pt jump shot from 10 ft,,0,2
4,1,11:05.0,,Defensive rebound by J. Randle,0,2
5,1,10:54.0,,D. Russell makes 3-pt jump shot from 26 ft (assist by J. Randle),0,5
6,1,10:41.0,Personal foul by N. Young (drawn by C. Parsons),,0,5
7,1,10:27.0,M. Conley misses 2-pt jump shot from 17 ft,,0,5
8,1,10:26.0,,Defensive rebound by J. Randle,0,5
9,1,10:11.0,,D. Russell makes 3-pt jump shot from 24 ft (assist by N. Young),0,8
10,1,9:56.0,Turnover by M. Gasol (lost ball; steal by D. Russell),,0,8
11,1,9:50.0,,D. Russell misses 3-pt jump shot from 25 ft,0,8
12,1,9:48.0,Defensive rebound by T. Allen,,0,8
13,1,9:39.0,T. Allen misses 2-pt layup from 1 ft,,0,8
14,1,9:37.0,,Defensive rebound by T. Mozgov,0,8
15,1,9:26.0,,L. Deng misses 3-pt jump shot from 25 ft,0,8
16,1,9:25.0,Defensive rebound by M. Gasol,,0,8
17,1,9:12.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by C. Parsons),,2,8
18,1,8:46.0,,Turnover by D. Russell (bad pass; steal by M. Gasol),2,8
19,1,8:42.0,C. Parsons makes 2-pt dunk from 2 ft (assist by T. Allen),,4,8
20,1,8:32.0,,T. Mozgov makes 2-pt hook shot from 7 ft (assist by D. Russell),4,10
21,1,8:10.0,Shooting foul by T. Mozgov (drawn by M. Gasol),,4,10
22,1,8:10.0,M. Gasol makes free throw 1 of 2,,5,10
23,1,8:10.0,M. Gasol makes free throw 2 of 2,,6,10
24,1,7:57.0,,T. Mozgov misses 2-pt jump shot from 16 ft,6,10
25,1,7:56.0,,Offensive rebound by L. Deng,6,10
26,1,7:53.0,,Shooting foul by C. Parsons (drawn by J. Randle),6,10
27,1,7:53.0,,J. Randle misses free throw 1 of 2,6,10
28,1,7:53.0,,Offensive rebound by Team,6,10
29,1,7:53.0,,J. Randle misses free throw 2 of 2,6,10
30,1,7:51.0,Defensive rebound by J. Green,,6,10
31,1,7:40.0,M. Gasol makes 2-pt jump shot from 17 ft (assist by M. Conley),,8,10
32,1,7:26.0,,N. Young misses 3-pt jump shot from 26 ft,8,10
33,1,7:25.0,Defensive rebound by C. Parsons,,8,10
34,1,7:17.0,M. Gasol misses 3-pt jump shot from 28 ft,,8,10
35,1,7:16.0,,Defensive rebound by L. Deng,8,10
36,1,7:03.0,,D. Russell misses 3-pt jump shot from 25 ft,8,10
37,1,7:02.0,Defensive rebound by J. Green,,8,10
38,1,6:56.0,Turnover by T. Allen (bad pass),,8,10
