,QUARTER,TIME_REMAINING,MIAMI_ACTION,BROOKLYN_ACTION,MIAMI_SCORE,BROOKLYN_SCORE
0,1,11:49.0,,B. Bogdanović misses 2-pt layup from 2 ft (block by H. Whiteside),0,0
1,1,11:47.0,Defensive rebound by R. McGruder,,0,0
2,1,11:42.0,G. Dragić makes 2-pt jump shot from 14 ft,,2,0
3,1,11:27.0,,B. Lopez makes 2-pt jump shot from 8 ft,2,2
4,1,11:10.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by R. McGruder),,5,2
5,1,10:47.0,,B. Bogdanović misses 2-pt layup from 2 ft (block by H. Whiteside),5,2
6,1,10:45.0,Defensive rebound by W. Ellington,,5,2
7,1,10:40.0,R. McGruder makes 3-pt jump shot from 26 ft (assist by G. Dragić),,8,2
8,1,10:22.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),8,5
9,1,9:57.0,R. McGruder misses 2-pt layup from 2 ft (block by B. Lopez),,8,5
10,1,9:55.0,,Defensive rebound by R. Hollis-Jefferson,8,5
11,1,9:50.0,,R. Hollis-Jefferson misses 2-pt layup from 3 ft,8,5
12,1,9:48.0,Defensive rebound by W. Ellington,,8,5
13,1,9:39.0,L. Babbitt makes 3-pt jump shot from 25 ft (assist by W. Ellington),,11,5
14,1,9:26.0,,Shooting foul by H. Whiteside (drawn by B. Lopez),11,5
15,1,9:26.0,,B. Lopez makes free throw 1 of 2,11,6
16,1,9:26.0,,B. Lopez makes free throw 2 of 2,11,7
17,1,9:14.0,Turnover by G. Dragić (bad pass; steal by R. Hollis-Jefferson),,11,7
18,1,9:11.0,,Shooting foul by W. Ellington (drawn by R. Hollis-Jefferson),11,7
19,1,9:11.0,,R. Hollis-Jefferson makes free throw 1 of 2,11,8
20,1,9:11.0,,R. Hollis-Jefferson makes free throw 2 of 2,11,9
21,1,8:58.0,W. Ellington misses 3-pt jump shot from 24 ft,,11,9
22,1,8:57.0,,Defensive rebound by R. Hollis-Jefferson,11,9
23,1,8:47.0,,B. Lopez misses 3-pt jump shot from 26 ft,11,9
24,1,8:46.0,Defensive rebound by W. Ellington,,11,9
25,1,8:41.0,G. Dragić misses 2-pt jump shot from 18 ft,,11,9
26,1,8:40.0,,Defensive rebound by R. Hollis-Jefferson,11,9
27,1,8:33.0,,S. Dinwiddie misses 2-pt layup from 3 ft,11,9
28,1,8:31.0,Defensive rebound by H. Whiteside,,11,9
29,1,8:17.0,Turnover by G. Dragić (bad pass; steal by S. Dinwiddie),,11,9
30,1,8:07.0,,B. Lopez makes 2-pt jump shot from 14 ft (assist by S. Dinwiddie),11,11
31,1,7:47.0,G. Dragić misses 2-pt jump shot from 20 ft,,11,11
32,1,7:46.0,,Defensive rebound by B. Bogdanović,11,11
33,1,7:38.0,,B. Lopez makes 2-pt dunk at rim (assist by S. Dinwiddie),11,13
34,1,7:17.0,H. Whiteside misses 2-pt jump shot from 17 ft,,11,13
35,1,7:16.0,,Defensive rebound by B. Bogdanović,11,13
36,1,7:13.0,,B. Bogdanović misses 2-pt layup from 2 ft,11,13
37,1,7:11.0,Defensive rebound by Team,,11,13
