,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA LAKERS_ACTION,MINNESOTA_SCORE,LA LAKERS_SCORE
0,1,11:39.0,,D. Russell misses 3-pt jump shot from 25 ft,0,0
1,1,11:38.0,Defensive rebound by G. Dieng,,0,0
2,1,11:28.0,Turnover by K. Towns (bad pass; steal by B. Ingram),,0,0
3,1,11:23.0,,B. Ingram makes 2-pt dunk at rim,0,2
4,1,10:58.0,K. Towns makes 2-pt jump shot from 15 ft,,2,2
5,1,10:47.0,,Turnover by D. Russell (bad pass),2,2
6,1,10:32.0,K. Towns makes 2-pt hook shot from 5 ft,,4,2
7,1,10:19.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by D. Russell),4,5
8,1,9:54.0,R. Rubio misses 3-pt jump shot from 25 ft,,4,5
9,1,9:53.0,,Defensive rebound by J. Clarkson,4,5
10,1,9:45.0,,D. Russell misses 3-pt jump shot from 24 ft,4,5
11,1,9:44.0,Defensive rebound by K. Towns,,4,5
12,1,9:34.0,G. Dieng makes 2-pt dunk at rim (assist by R. Rubio),,6,5
13,1,9:17.0,Violation by G. Dieng (def goaltending),,6,5
14,1,9:17.0,,D. Russell makes 2-pt layup from 2 ft (assist by J. Randle),6,7
15,1,8:58.0,K. Towns makes 2-pt hook shot from 3 ft,,8,7
16,1,8:47.0,Violation by K. Towns (kicked ball),,8,7
17,1,8:35.0,,B. Ingram misses 2-pt jump shot from 11 ft,8,7
18,1,8:35.0,Defensive rebound by Team,,8,7
19,1,8:35.0,,Loose ball foul by L. Nance (drawn by G. Dieng),8,7
20,1,8:21.0,Shooting foul by B. Ingram (drawn by A. Wiggins),,8,7
21,1,8:21.0,A. Wiggins makes free throw 1 of 2,,9,7
22,1,8:21.0,A. Wiggins makes free throw 2 of 2,,10,7
23,1,8:05.0,,D. Russell makes 2-pt layup from 1 ft (assist by L. Nance),10,9
24,1,8:03.0,Personal foul by D. Russell (drawn by R. Rubio),,10,9
25,1,7:54.0,Turnover by B. Rush (step out of bounds),,10,9
26,1,7:37.0,,J. Clarkson misses 3-pt jump shot from 25 ft,10,9
27,1,7:37.0,Defensive rebound by K. Towns,,10,9
28,1,7:29.0,Personal foul by D. Russell (drawn by R. Rubio),,10,9
29,1,7:24.0,Turnover by G. Dieng (bad pass; steal by D. Russell),,10,9
30,1,7:21.0,,Shooting foul by R. Rubio (drawn by B. Ingram),10,9
31,1,7:21.0,,B. Ingram makes free throw 1 of 2,10,10
32,1,7:21.0,,B. Ingram misses free throw 2 of 2,10,10
33,1,7:19.0,,Offensive rebound by L. Nance,10,10
34,1,7:11.0,,D. Russell misses 2-pt layup from 2 ft (block by B. Rush),10,10
35,1,7:09.0,,Offensive rebound by D. Russell,10,10
36,1,6:56.0,,D. Russell misses 2-pt hook shot from 2 ft,10,10
37,1,6:55.0,,Offensive rebound by Team,10,10
38,1,6:48.0,,J. Randle misses 2-pt jump shot from 19 ft,10,10
39,1,6:48.0,Defensive rebound by K. Towns,,10,10
40,1,6:43.0,R. Rubio misses 2-pt jump shot from 13 ft,,10,10
41,1,6:40.0,,Defensive rebound by J. Randle,10,10
42,1,6:30.0,,J. Clarkson makes 2-pt layup from 1 ft,10,12
43,1,6:08.0,A. Wiggins misses 2-pt jump shot from 16 ft (block by B. Ingram),,10,12
44,1,6:07.0,,Defensive rebound by J. Clarkson,10,12
45,1,6:02.0,,L. Nance makes 2-pt dunk at rim (assist by J. Clarkson),10,14
46,1,5:45.0,R. Rubio misses 2-pt jump shot from 21 ft,,10,14
47,1,5:45.0,,Defensive rebound by J. Randle,10,14
48,1,5:42.0,Violation by K. Towns (kicked ball),,10,14
49,1,5:42.0,,LA Lakers full timeout,10,14
50,1,5:42.0,,T. Ennis enters the game for D. Russell,10,14
51,1,5:28.0,,J. Randle makes 2-pt hook shot from 3 ft (assist by T. Ennis),10,16
52,1,5:10.0,K. Towns makes 2-pt hook shot from 7 ft,,12,16
53,1,4:58.0,,B. Ingram misses 2-pt layup from 2 ft,12,16
54,1,4:56.0,,Offensive rebound by B. Ingram,12,16
55,1,4:55.0,,B. Ingram misses 2-pt layup from 2 ft (block by K. Towns),12,16
56,1,4:54.0,,Offensive rebound by B. Ingram,12,16
57,1,4:53.0,,B. Ingram misses 2-pt layup from 3 ft (block by G. Dieng),12,16
58,1,4:40.0,Defensive rebound by R. Rubio,,12,16
59,1,4:32.0,B. Rush misses 3-pt jump shot from 24 ft,,12,16
60,1,4:30.0,,Defensive rebound by T. Ennis,12,16
61,1,4:20.0,,J. Randle misses 3-pt jump shot from 24 ft,12,16
62,1,4:20.0,Defensive rebound by K. Towns,,12,16
63,1,4:05.0,A. Wiggins misses 2-pt layup from 2 ft,,12,16
64,1,4:03.0,,Defensive rebound by T. Ennis,12,16
65,1,4:02.0,Violation by B. Rush (def goaltending),,12,16
66,1,4:02.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by T. Ennis),12,18
67,1,3:50.0,Personal foul by J. Randle (drawn by K. Towns),,12,18
68,1,3:50.0,K. Towns makes free throw 1 of 2,,13,18
69,1,3:50.0,,T. Robinson enters the game for J. Randle,13,18
70,1,3:50.0,K. Towns makes free throw 2 of 2,,14,18
71,1,3:30.0,,J. Clarkson misses 2-pt jump shot from 15 ft (block by G. Dieng),14,18
72,1,3:28.0,Defensive rebound by K. Towns,,14,18
73,1,3:24.0,Turnover by R. Rubio (bad pass; steal by L. Nance),,14,18
74,1,3:20.0,,Turnover by L. Nance (lost ball),14,18
75,1,3:20.0,O. Casspi enters the game for K. Towns,,14,18
76,1,3:07.0,R. Rubio misses 2-pt jump shot from 20 ft,,14,18
77,1,3:06.0,,Defensive rebound by Team,14,18
78,1,2:46.0,,T. Robinson makes 2-pt jump shot from 4 ft,14,20
79,1,2:29.0,A. Wiggins makes 2-pt jump shot from 19 ft (assist by R. Rubio),,16,20
80,1,2:18.0,,B. Ingram misses 2-pt jump shot from 17 ft,16,20
81,1,2:15.0,,Offensive rebound by L. Nance,16,20
82,1,2:14.0,,Turnover by L. Nance (bad pass; steal by R. Rubio),16,20
83,1,2:05.0,R. Rubio misses 2-pt jump shot from 11 ft,,16,20
84,1,2:03.0,Offensive rebound by G. Dieng,,16,20
85,1,1:52.0,A. Wiggins makes 2-pt layup from 2 ft,,18,20
86,1,1:33.0,,L. Nance misses 2-pt jump shot from 15 ft,18,20
87,1,1:32.0,Defensive rebound by G. Dieng,,18,20
88,1,1:09.0,O. Casspi misses 2-pt jump shot from 4 ft,,18,20
89,1,1:06.0,,Defensive rebound by L. Nance,18,20
90,1,1:05.0,,T. Robinson makes 2-pt dunk at rim (assist by T. Ennis),18,22
91,1,1:05.0,,Shooting foul by O. Casspi (drawn by T. Robinson),18,22
92,1,1:05.0,Minnesota full timeout,,18,22
93,1,1:05.0,S. Muhammad enters the game for B. Rush,,18,22
94,1,1:05.0,K. Dunn enters the game for R. Rubio,,18,22
95,1,1:05.0,,T. Robinson makes free throw 1 of 1,18,23
96,1,0:57.0,Personal foul by T. Ennis (drawn by A. Wiggins),,18,23
97,1,0:57.0,A. Wiggins misses free throw 1 of 2,,18,23
98,1,0:57.0,Offensive rebound by Team,,18,23
99,1,0:57.0,A. Wiggins makes free throw 2 of 2,,19,23
100,1,0:44.0,,Turnover by J. Clarkson (bad pass),19,23
101,1,0:34.0,A. Wiggins misses 2-pt layup from 1 ft,,19,23
102,1,0:32.0,,Defensive rebound by T. Robinson,19,23
103,1,0:26.0,,B. Ingram makes 3-pt jump shot from 25 ft (assist by T. Robinson),19,26
104,1,0:06.0,Shooting foul by T. Robinson (drawn by A. Wiggins),,19,26
105,1,0:06.0,A. Wiggins makes free throw 1 of 2,,20,26
106,1,0:06.0,A. Wiggins makes free throw 2 of 2,,21,26
107,1,0:01.0,,T. Ennis makes 3-pt jump shot from 25 ft,21,29
108,1,0:00.0,S. Muhammad misses 3-pt jump shot from 36 ft,,21,29
109,1,0:00.0,Offensive rebound by Team,,21,29
110,2,11:43.0,K. Towns misses 2-pt jump shot from 19 ft,,21,29
111,2,11:42.0,,Defensive rebound by D. Russell,21,29
112,2,11:28.0,,Turnover by T. Robinson (lost ball; steal by O. Casspi),21,29
113,2,11:22.0,K. Towns misses 2-pt jump shot from 20 ft,,21,29
114,2,11:19.0,,Defensive rebound by D. Russell,21,29
115,2,11:15.0,,Personal foul by K. Dunn (drawn by C. Brewer),21,29
116,2,11:07.0,,T. Ennis misses 3-pt jump shot from 23 ft,21,29
117,2,11:05.0,Defensive rebound by K. Towns,,21,29
118,2,10:58.0,O. Casspi misses 2-pt layup from 1 ft (block by T. Ennis),,21,29
119,2,10:57.0,Offensive rebound by K. Dunn,,21,29
120,2,10:43.0,S. Muhammad misses 3-pt jump shot from 24 ft,,21,29
121,2,10:42.0,,Defensive rebound by T. Robinson,21,29
122,2,10:31.0,,T. Robinson misses 2-pt jump shot from 15 ft,21,29
123,2,10:30.0,Defensive rebound by S. Muhammad,,21,29
124,2,10:22.0,T. Jones misses 2-pt jump shot from 18 ft,,21,29
125,2,10:20.0,,Defensive rebound by T. Robinson,21,29
126,2,10:09.0,,D. Russell misses 2-pt jump shot from 15 ft,21,29
127,2,10:08.0,Defensive rebound by K. Towns,,21,29
128,2,9:52.0,K. Towns makes 2-pt hook shot at rim (assist by T. Jones),,23,29
129,2,9:30.0,,Shooting foul by T. Jones (drawn by T. Ennis),23,29
130,2,9:30.0,,T. Ennis makes free throw 1 of 2,23,30
131,2,9:30.0,,T. Ennis makes free throw 2 of 2,23,31
132,2,9:23.0,Turnover by S. Muhammad (bad pass; steal by T. Black),,23,31
133,2,9:17.0,,T. Black makes 2-pt layup from 1 ft (assist by C. Brewer),23,33
134,2,9:17.0,,Shooting foul by K. Dunn (drawn by T. Black),23,33
135,2,9:17.0,,T. Black makes free throw 1 of 1,23,34
136,2,9:03.0,K. Towns misses 3-pt jump shot from 24 ft,,23,34
137,2,9:02.0,,Defensive rebound by T. Black,23,34
138,2,8:53.0,,T. Ennis makes 2-pt jump shot from 14 ft,23,36
139,2,8:53.0,,Violation by Team (jump ball),23,36
140,2,8:41.0,Turnover by K. Dunn (step out of bounds),,23,36
141,2,8:41.0,Official timeout,,23,36
142,2,8:23.0,,Turnover by T. Robinson (bad pass; steal by T. Jones),23,36
143,2,8:18.0,K. Dunn misses 2-pt layup from 1 ft (block by T. Black),,23,36
144,2,8:18.0,Offensive rebound by Team,,23,36
145,2,8:08.0,Shooting foul by T. Black (drawn by K. Towns),,23,36
146,2,8:08.0,K. Towns misses free throw 1 of 2,,23,36
147,2,8:08.0,Offensive rebound by Team,,23,36
