,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,GOLDEN STATE_ACTION,CHARLOTTE_SCORE,GOLDEN STATE_SCORE
0,1,11:38.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by K. Thompson),0,3
1,1,11:15.0,Turnover by M. Kidd-Gilchrist (lost ball),,0,3
2,1,11:04.0,,J. McGee misses 2-pt jump shot from 9 ft,0,3
3,1,11:03.0,Defensive rebound by N. Batum,,0,3
4,1,10:52.0,S. Hawes misses 2-pt layup from 2 ft (block by J. McGee),,0,3
5,1,10:50.0,,Defensive rebound by S. Curry,0,3
6,1,10:45.0,,K. Thompson misses 3-pt jump shot from 25 ft,0,3
7,1,10:44.0,Defensive rebound by M. Kidd-Gilchrist,,0,3
8,1,10:32.0,N. Batum makes 3-pt jump shot from 28 ft (assist by S. Hawes),,3,3
9,1,10:22.0,,S. Curry makes 3-pt jump shot from 26 ft,3,6
10,1,10:08.0,K. Walker makes 2-pt jump shot from 19 ft (assist by S. Hawes),,5,6
11,1,9:57.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by K. Thompson),5,9
12,1,9:38.0,M. Williams misses 2-pt jump shot from 11 ft,,5,9
13,1,9:37.0,,Defensive rebound by D. Green,5,9
14,1,9:32.0,,S. Curry makes 3-pt jump shot from 30 ft (assist by D. Green),5,12
15,1,9:10.0,N. Batum misses 3-pt jump shot from 25 ft,,5,12
16,1,9:09.0,,Defensive rebound by K. Thompson,5,12
17,1,8:58.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),5,15
18,1,8:51.0,Charlotte full timeout,,5,15
19,1,8:34.0,M. Kidd-Gilchrist makes 2-pt jump shot from 12 ft (assist by K. Walker),,7,15
20,1,8:23.0,,J. McGee makes 2-pt dunk at rim (assist by S. Curry),7,17
21,1,8:03.0,M. Williams misses 3-pt jump shot from 25 ft,,7,17
22,1,8:02.0,,Defensive rebound by J. McGee,7,17
23,1,7:54.0,,K. Thompson misses 2-pt layup from 2 ft,7,17
24,1,7:51.0,Defensive rebound by M. Kidd-Gilchrist,,7,17
25,1,7:37.0,M. Williams misses 3-pt jump shot from 25 ft,,7,17
26,1,7:36.0,,Defensive rebound by K. Thompson,7,17
27,1,7:23.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),7,20
28,1,7:01.0,M. Kidd-Gilchrist makes 2-pt jump shot from 17 ft (assist by N. Batum),,9,20
29,1,6:50.0,,J. McGee misses 2-pt dunk at rim,9,20
30,1,6:49.0,,Offensive rebound by K. Durant,9,20
31,1,6:47.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),9,23
32,1,6:41.0,Charlotte full timeout,,9,23
33,1,6:35.0,N. Batum misses 2-pt jump shot from 18 ft,,9,23
34,1,6:35.0,,Defensive rebound by D. Green,9,23
35,1,6:31.0,,Offensive foul by J. McGee (drawn by K. Walker),9,23
36,1,6:31.0,,Turnover by J. McGee (offensive foul),9,23
37,1,6:19.0,S. Hawes misses 3-pt jump shot from 26 ft,,9,23
38,1,6:18.0,,Defensive rebound by J. McGee,9,23
39,1,6:11.0,,Shooting foul by M. Kidd-Gilchrist (drawn by K. Thompson),9,23
40,1,6:11.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by S. Curry),9,25
41,1,6:11.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,9,25
42,1,6:11.0,F. Kaminsky enters the game for M. Williams,,9,25
43,1,6:11.0,,K. Thompson makes free throw 1 of 1,9,26
44,1,5:48.0,Turnover by K. Walker (lost ball; steal by S. Curry),,9,26
45,1,5:38.0,,K. Thompson misses 3-pt jump shot from 27 ft,9,26
46,1,5:37.0,,Offensive rebound by J. McGee,9,26
47,1,5:37.0,,J. McGee makes 2-pt jump shot from 4 ft,9,28
48,1,5:37.0,,Shooting foul by M. Belinelli (drawn by J. McGee),9,28
49,1,5:37.0,,J. McGee makes free throw 1 of 1,9,29
50,1,5:23.0,N. Batum misses 2-pt jump shot from 14 ft,,9,29
51,1,5:23.0,Offensive rebound by Team,,9,29
52,1,5:22.0,,A. Iguodala enters the game for D. Green,9,29
53,1,5:12.0,M. Belinelli misses 2-pt layup from 2 ft (block by J. McGee),,9,29
54,1,5:11.0,Offensive rebound by N. Batum,,9,29
55,1,5:08.0,M. Belinelli misses 3-pt jump shot from 26 ft,,9,29
56,1,5:07.0,,Defensive rebound by K. Durant,9,29
57,1,5:02.0,,A. Iguodala makes 2-pt dunk at rim (assist by K. Durant),9,31
