,QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW YORK_ACTION,INDIANA_SCORE,NEW YORK_SCORE
0,1,11:41.0,M. Turner makes 2-pt jump shot from 19 ft (assist by J. Teague),,2,0
1,1,11:16.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,2,0
2,1,11:15.0,Defensive rebound by J. Teague,,2,0
3,1,11:07.0,P. George misses 2-pt jump shot from 21 ft,,2,0
4,1,11:06.0,Offensive rebound by M. Turner,,2,0
5,1,10:57.0,Turnover by J. Teague (bad pass; steal by C. Lee),,2,0
6,1,10:49.0,,C. Lee misses 2-pt jump shot from 19 ft,2,0
7,1,10:48.0,,Offensive rebound by K. Porziņģis,2,0
8,1,10:48.0,,K. Porziņģis misses 2-pt layup from 1 ft,2,0
9,1,10:46.0,Defensive rebound by J. Teague,,2,0
10,1,10:36.0,J. Teague makes 2-pt jump shot from 15 ft,,4,0
11,1,10:22.0,,K. Porziņģis makes 2-pt jump shot from 13 ft (assist by C. Lee),4,2
12,1,10:11.0,M. Turner misses 2-pt jump shot from 20 ft,,4,2
13,1,10:10.0,,Defensive rebound by C. Anthony,4,2
14,1,10:03.0,,L. Thomas makes 3-pt jump shot from 24 ft (assist by D. Rose),4,5
15,1,9:43.0,J. Teague misses 3-pt jump shot from 26 ft,,4,5
16,1,9:42.0,,Defensive rebound by C. Anthony,4,5
17,1,9:36.0,,D. Rose misses 2-pt layup from 2 ft,4,5
18,1,9:35.0,Defensive rebound by P. George,,4,5
19,1,9:27.0,C. Miles misses 3-pt jump shot from 26 ft,,4,5
20,1,9:26.0,,Defensive rebound by L. Thomas,4,5
21,1,9:15.0,,C. Lee misses 2-pt layup from 1 ft (block by M. Turner),4,5
22,1,9:13.0,Defensive rebound by T. Young,,4,5
23,1,9:06.0,J. Teague makes 3-pt jump shot from 25 ft,,7,5
24,1,8:44.0,,K. Porziņģis misses 3-pt jump shot from 23 ft,7,5
25,1,8:43.0,Defensive rebound by J. Teague,,7,5
26,1,8:39.0,Turnover by J. Teague (bad pass),,7,5
27,1,8:25.0,,C. Anthony makes 2-pt jump shot from 11 ft (assist by L. Thomas),7,7
28,1,8:14.0,Offensive foul by M. Turner (drawn by L. Thomas),,7,7
29,1,8:14.0,Turnover by M. Turner (offensive foul),,7,7
30,1,7:55.0,,K. Porziņģis misses 2-pt layup from 1 ft,7,7
31,1,7:54.0,Defensive rebound by T. Young,,7,7
32,1,7:38.0,J. Teague misses 2-pt jump shot from 5 ft,,7,7
33,1,7:37.0,,Defensive rebound by C. Anthony,7,7
34,1,7:26.0,,K. Porziņģis misses 3-pt jump shot from 24 ft,7,7
35,1,7:25.0,,Offensive rebound by L. Thomas,7,7
36,1,7:23.0,,Offensive foul by L. Thomas (drawn by C. Miles),7,7
37,1,7:23.0,,Turnover by L. Thomas (offensive foul),7,7
38,1,7:12.0,P. George misses 2-pt layup from 2 ft,,7,7
39,1,7:11.0,Offensive rebound by P. George,,7,7
40,1,7:10.0,Turnover by P. George (bad pass),,7,7
41,1,6:54.0,,K. Porziņģis misses 2-pt jump shot from 3 ft (block by M. Turner),7,7
42,1,6:53.0,Defensive rebound by J. Teague,,7,7
43,1,6:48.0,M. Turner makes 2-pt dunk at rim (assist by J. Teague),,9,7
44,1,6:28.0,,L. Thomas misses 3-pt jump shot from 25 ft,9,7
45,1,6:27.0,Defensive rebound by J. Teague,,9,7
46,1,6:19.0,P. George misses 3-pt jump shot from 24 ft,,9,7
47,1,6:18.0,,Defensive rebound by C. Lee,9,7
48,1,6:09.0,,C. Lee misses 2-pt layup from 1 ft,9,7
49,1,6:08.0,Defensive rebound by M. Turner,,9,7
50,1,5:54.0,T. Young makes 2-pt layup from 2 ft,,11,7
