,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA LAKERS_ACTION,PHILADELPHIA_SCORE,LA LAKERS_SCORE
0,1,11:38.0,,D. Russell makes 2-pt layup from 1 ft (assist by J. Randle),0,2
1,1,11:21.0,D. Šarić misses 3-pt jump shot from 26 ft,,0,2
2,1,11:19.0,,Defensive rebound by I. Zubac,0,2
3,1,11:09.0,,J. Randle makes 2-pt jump shot from 11 ft,0,4
4,1,10:50.0,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft (block by I. Zubac),,0,4
5,1,10:48.0,,Defensive rebound by J. Randle,0,4
6,1,10:42.0,,Turnover by J. Randle (bad pass; steal by D. Šarić),0,4
7,1,10:33.0,G. Henderson makes 3-pt jump shot from 26 ft (assist by D. Šarić),,3,4
8,1,10:21.0,,D. Russell misses 2-pt jump shot from 12 ft,3,4
9,1,10:20.0,Defensive rebound by D. Šarić,,3,4
10,1,10:10.0,G. Henderson misses 2-pt jump shot from 4 ft (block by I. Zubac),,3,4
11,1,10:10.0,Offensive rebound by Team,,3,4
12,1,10:03.0,Turnover by J. Okafor (dbl dribble),,3,4
13,1,9:54.0,,Personal foul by T. Luwawu-Cabarrot (drawn by D. Russell),3,4
14,1,9:43.0,,B. Ingram makes 2-pt jump shot from 15 ft,3,6
15,1,9:38.0,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by T. McConnell),,5,6
16,1,9:22.0,,J. Randle misses 3-pt jump shot from 26 ft,5,6
17,1,9:21.0,Defensive rebound by D. Šarić,,5,6
18,1,9:11.0,D. Šarić misses 3-pt jump shot from 27 ft,,5,6
19,1,9:10.0,Offensive rebound by J. Okafor,,5,6
20,1,9:04.0,J. Okafor misses 2-pt layup from 3 ft (block by I. Zubac),,5,6
21,1,9:02.0,,Defensive rebound by I. Zubac,5,6
22,1,8:48.0,,Turnover by B. Ingram (lost ball; steal by D. Šarić),5,6
23,1,8:39.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 3 ft (block by I. Zubac),,5,6
24,1,8:37.0,,Defensive rebound by J. Randle,5,6
25,1,8:18.0,,D. Russell misses 2-pt jump shot from 15 ft,5,6
26,1,8:18.0,Defensive rebound by Team,,5,6
27,1,7:58.0,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft,,7,6
28,1,7:34.0,,D. Nwaba misses 3-pt jump shot from 26 ft,7,6
29,1,7:33.0,Defensive rebound by D. Šarić,,7,6
30,1,7:28.0,D. Šarić makes 2-pt jump shot from 20 ft,,9,6
31,1,7:07.0,,B. Ingram makes 2-pt layup from 3 ft,9,8
32,1,6:54.0,G. Henderson makes 2-pt jump shot from 10 ft,,11,8
33,1,6:54.0,Shooting foul by D. Nwaba (drawn by G. Henderson),,11,8
34,1,6:54.0,,LA Lakers full timeout,11,8
35,1,6:54.0,G. Henderson misses free throw 1 of 1,,11,8
36,1,6:54.0,,J. Clarkson enters the game for D. Nwaba,11,8
37,1,6:53.0,,Defensive rebound by I. Zubac,11,8
38,1,6:40.0,,B. Ingram misses 3-pt jump shot from 27 ft,11,8
39,1,6:39.0,Defensive rebound by T. McConnell,,11,8
40,1,6:33.0,G. Henderson makes 2-pt layup at rim (assist by T. McConnell),,13,8
41,1,6:17.0,,I. Zubac makes 2-pt jump shot from 3 ft (assist by J. Clarkson),13,10
42,1,6:03.0,J. Okafor makes 2-pt layup from 2 ft (assist by T. Luwawu-Cabarrot),,15,10
43,1,5:50.0,,J. Clarkson misses 2-pt jump shot from 5 ft,15,10
44,1,5:48.0,Defensive rebound by T. Luwawu-Cabarrot,,15,10
45,1,5:39.0,J. Okafor misses 2-pt jump shot from 9 ft,,15,10
46,1,5:34.0,,Defensive rebound by I. Zubac,15,10
47,1,5:27.0,,D. Russell makes 2-pt jump shot from 11 ft (assist by J. Clarkson),15,12
48,1,5:13.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 26 ft (assist by J. Okafor),,18,12
49,1,4:58.0,,Turnover by J. Clarkson (bad pass; steal by T. McConnell),18,12
50,1,4:55.0,Turnover by T. McConnell (lost ball),,18,12
51,1,4:55.0,N. Stauskas enters the game for G. Henderson,,18,12
52,1,4:55.0,R. Holmes enters the game for J. Okafor,,18,12
53,1,4:45.0,,Turnover by I. Zubac (step out of bounds),18,12
54,1,4:34.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 25 ft,,18,12
55,1,4:32.0,,Defensive rebound by D. Russell,18,12
56,1,4:29.0,,Turnover by D. Russell (lost ball),18,12
57,1,4:29.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,18,12
58,1,4:29.0,,T. Black enters the game for I. Zubac,18,12
59,1,4:15.0,D. Šarić misses 2-pt hook shot from 2 ft,,18,12
60,1,4:13.0,,Defensive rebound by J. Randle,18,12
61,1,4:03.0,,J. Randle misses 2-pt layup from 1 ft,18,12
62,1,4:01.0,,Offensive rebound by J. Randle,18,12
63,1,3:59.0,,J. Randle misses 2-pt layup from 1 ft,18,12
64,1,3:55.0,Defensive rebound by R. Holmes,,18,12
65,1,3:44.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by R. Holmes),,21,12
66,1,3:28.0,,D. Russell misses 2-pt jump shot from 6 ft,21,12
