,QUARTER,TIME_REMAINING,MIAMI_ACTION,SAN ANTONIO_ACTION,MIAMI_SCORE,SAN ANTONIO_SCORE
0,1,11:41.0,D. Williams makes 2-pt jump shot from 16 ft (assist by H. Whiteside),,2,0
1,1,11:15.0,,K. Leonard misses 3-pt jump shot from 25 ft,2,0
2,1,11:15.0,Defensive rebound by H. Whiteside,,2,0
3,1,11:04.0,D. Williams misses 3-pt jump shot from 26 ft,,2,0
4,1,11:03.0,,Defensive rebound by D. Green,2,0
5,1,10:54.0,,P. Gasol misses 2-pt jump shot from 19 ft,2,0
6,1,10:53.0,Defensive rebound by D. Williams,,2,0
7,1,10:32.0,Turnover by D. Williams (traveling),,2,0
8,1,10:23.0,,Offensive foul by K. Leonard (drawn by H. Whiteside),2,0
9,1,10:23.0,,Turnover by K. Leonard (offensive foul),2,0
10,1,10:13.0,J. Richardson makes 2-pt jump shot from 15 ft,,4,0
11,1,10:02.0,,T. Parker makes 2-pt jump shot from 12 ft (assist by K. Leonard),4,2
12,1,9:40.0,J. Richardson misses 3-pt jump shot from 25 ft,,4,2
13,1,9:40.0,,Defensive rebound by K. Leonard,4,2
14,1,9:25.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by K. Leonard),4,4
15,1,9:04.0,Turnover by H. Whiteside (3 sec),,4,4
16,1,8:54.0,,T. Parker makes 2-pt layup from 1 ft (assist by P. Gasol),4,6
17,1,8:35.0,D. Waiters misses 2-pt jump shot from 20 ft,,4,6
18,1,8:34.0,,Defensive rebound by T. Parker,4,6
19,1,8:28.0,,K. Leonard makes 2-pt jump shot from 4 ft (assist by T. Parker),4,8
20,1,8:12.0,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Richardson),,6,8
21,1,8:12.0,Shooting foul by D. Green (drawn by H. Whiteside),,6,8
22,1,8:12.0,H. Whiteside misses free throw 1 of 1,,6,8
23,1,8:11.0,,Defensive rebound by K. Leonard,6,8
24,1,7:57.0,,T. Parker makes 2-pt jump shot from 6 ft,6,10
25,1,7:39.0,H. Whiteside makes 2-pt dunk at rim (assist by J. Winslow),,8,10
26,1,7:20.0,,L. Aldridge makes 2-pt jump shot from 12 ft,8,12
27,1,7:03.0,D. Williams misses 3-pt jump shot from 23 ft,,8,12
28,1,7:02.0,,Defensive rebound by P. Gasol,8,12
29,1,7:01.0,,Shooting foul by J. Richardson (drawn by T. Parker),8,12
30,1,7:01.0,,T. Parker misses free throw 1 of 2,8,12
31,1,7:01.0,,Offensive rebound by Team,8,12
32,1,7:01.0,,T. Parker makes free throw 2 of 2,8,13
33,1,6:44.0,J. Winslow misses 2-pt layup from 1 ft (block by D. Green),,8,13
34,1,6:42.0,,Defensive rebound by K. Leonard,8,13
35,1,6:39.0,,Shooting foul by D. Waiters (drawn by P. Gasol),8,13
36,1,6:39.0,,P. Gasol misses free throw 1 of 2,8,13
37,1,6:39.0,,Offensive rebound by Team,8,13
38,1,6:39.0,,P. Gasol misses free throw 2 of 2,8,13
39,1,6:38.0,Defensive rebound by H. Whiteside,,8,13
40,1,6:22.0,J. Richardson misses 3-pt jump shot from 25 ft,,8,13
41,1,6:21.0,,Defensive rebound by P. Gasol,8,13
42,1,6:05.0,,L. Aldridge makes 2-pt jump shot from 14 ft,8,15
43,1,6:05.0,Miami full timeout,,8,15
44,1,6:05.0,,P. Mills enters the game for T. Parker,8,15
45,1,5:47.0,D. Waiters misses 3-pt jump shot from 25 ft,,8,15
46,1,5:46.0,,Defensive rebound by K. Leonard,8,15
47,1,5:33.0,,K. Leonard makes 2-pt jump shot from 10 ft,8,17
