,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA LAKERS_ACTION,WASHINGTON_SCORE,LA LAKERS_SCORE
0,1,11:36.0,J. Wall makes 2-pt jump shot from 17 ft,,2,0
1,1,11:17.0,,J. Randle misses 2-pt layup from 3 ft,2,0
2,1,11:14.0,Defensive rebound by J. Wall,,2,0
3,1,11:08.0,J. Wall misses 2-pt layup from 2 ft,,2,0
4,1,11:02.0,,Defensive rebound by I. Zubac,2,0
5,1,10:53.0,,I. Zubac makes 2-pt layup from 3 ft (assist by J. Randle),2,2
6,1,10:32.0,M. Morris misses 3-pt jump shot from 26 ft,,2,2
7,1,10:31.0,,Defensive rebound by D. Russell,2,2
8,1,10:24.0,,Turnover by C. Brewer (lost ball; steal by J. Wall),2,2
9,1,10:19.0,Shooting foul by C. Brewer (drawn by J. Wall),,2,2
10,1,10:19.0,J. Wall makes free throw 1 of 2,,3,2
11,1,10:19.0,J. Wall makes free throw 2 of 2,,4,2
12,1,10:06.0,,I. Zubac makes 2-pt jump shot from 6 ft (assist by D. Russell),4,4
13,1,9:53.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,6,4
14,1,9:38.0,,J. Randle misses 3-pt jump shot from 25 ft,6,4
15,1,9:37.0,Defensive rebound by M. Gortat,,6,4
16,1,9:27.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),,9,4
17,1,9:10.0,,J. Clarkson misses 2-pt layup from 2 ft,9,4
18,1,9:07.0,Defensive rebound by M. Morris,,9,4
19,1,9:00.0,Turnover by J. Wall (bad pass; steal by I. Zubac),,9,4
20,1,8:54.0,,I. Zubac makes 2-pt jump shot from 4 ft (assist by D. Russell),9,6
21,1,8:31.0,B. Beal misses 2-pt jump shot from 11 ft (block by J. Randle),,9,6
22,1,8:27.0,Offensive rebound by M. Gortat,,9,6
23,1,8:27.0,M. Gortat makes 2-pt layup from 1 ft,,11,6
24,1,8:21.0,,D. Russell misses 2-pt jump shot from 22 ft,11,6
25,1,8:18.0,Defensive rebound by J. Wall,,11,6
26,1,8:16.0,J. Wall misses 2-pt layup from 2 ft (block by C. Brewer),,11,6
