,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SAN ANTONIO_ACTION,HOUSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:35.0,,D. Green misses 3-pt jump shot from 25 ft,0,0
1,1,11:34.0,Defensive rebound by C. Capela,,0,0
2,1,11:26.0,J. Harden misses 3-pt jump shot from 25 ft,,0,0
3,1,11:26.0,,Defensive rebound by D. Dedmon,0,0
4,1,11:18.0,,K. Leonard makes 2-pt jump shot from 18 ft,0,2
5,1,11:01.0,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),,2,2
6,1,10:45.0,,L. Aldridge misses 2-pt jump shot from 19 ft,2,2
7,1,10:44.0,Defensive rebound by C. Capela,,2,2
8,1,10:26.0,J. Harden makes 2-pt layup from 1 ft,,4,2
9,1,10:02.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by D. Green),4,5
10,1,9:53.0,Personal foul by D. Green (drawn by P. Beverley),,4,5
11,1,9:47.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,6,5
12,1,9:34.0,,T. Parker makes 2-pt jump shot from 14 ft,6,7
13,1,9:18.0,T. Ariza makes 2-pt layup at rim (assist by J. Harden),,8,7
14,1,9:01.0,,Turnover by T. Parker (bad pass),8,7
15,1,8:54.0,T. Ariza misses 3-pt jump shot from 25 ft,,8,7
16,1,8:54.0,,Defensive rebound by T. Parker,8,7
17,1,8:40.0,,D. Green misses 3-pt jump shot from 23 ft,8,7
18,1,8:39.0,Defensive rebound by P. Beverley,,8,7
19,1,8:25.0,R. Anderson misses 3-pt jump shot from 25 ft,,8,7
20,1,8:24.0,,Defensive rebound by D. Dedmon,8,7
21,1,8:13.0,,T. Parker misses 2-pt layup from 1 ft,8,7
22,1,8:11.0,Defensive rebound by P. Beverley,,8,7
23,1,8:03.0,T. Ariza misses 3-pt jump shot from 25 ft,,8,7
24,1,8:02.0,Offensive rebound by C. Capela,,8,7
25,1,8:00.0,C. Capela misses 2-pt layup from 1 ft,,8,7
26,1,7:58.0,Offensive rebound by R. Anderson,,8,7
27,1,7:58.0,R. Anderson makes 2-pt dunk at rim,,10,7
28,1,7:41.0,,Turnover by D. Dedmon (bad pass),10,7
29,1,7:33.0,,Violation by D. Green (kicked ball),10,7
30,1,7:15.0,C. Capela makes 2-pt jump shot from 17 ft,,12,7
31,1,6:55.0,,T. Parker misses 2-pt layup from 1 ft,12,7
32,1,6:54.0,Defensive rebound by C. Capela,,12,7
33,1,6:40.0,P. Beverley makes 2-pt jump shot from 10 ft (assist by J. Harden),,14,7
34,1,6:40.0,,San Antonio full timeout,14,7
35,1,6:40.0,,P. Mills enters the game for T. Parker,14,7
36,1,6:20.0,,K. Leonard misses 2-pt jump shot from 13 ft,14,7
37,1,6:19.0,Defensive rebound by P. Beverley,,14,7
38,1,6:08.0,J. Harden makes 3-pt jump shot from 25 ft,,17,7
39,1,5:52.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by P. Mills),17,9
40,1,5:30.0,C. Capela misses 2-pt layup from 1 ft,,17,9
41,1,5:29.0,,Defensive rebound by D. Dedmon,17,9
42,1,5:21.0,,K. Leonard makes 3-pt jump shot from 23 ft (assist by P. Mills),17,12
43,1,4:58.0,Shooting foul by D. Dedmon (drawn by J. Harden),,17,12
44,1,4:58.0,J. Harden makes free throw 1 of 3,,18,12
45,1,4:58.0,J. Harden makes free throw 2 of 3,,19,12
46,1,4:58.0,,P. Gasol enters the game for D. Dedmon,19,12
47,1,4:58.0,,M. Ginóbili enters the game for D. Green,19,12
48,1,4:58.0,E. Gordon enters the game for P. Beverley,,19,12
49,1,4:58.0,J. Harden makes free throw 3 of 3,,20,12
50,1,4:37.0,,Turnover by L. Aldridge (lost ball; steal by C. Capela),20,12
51,1,4:29.0,Offensive foul by C. Capela (drawn by M. Ginóbili),,20,12
52,1,4:29.0,Turnover by C. Capela (offensive foul),,20,12
53,1,4:29.0,N. Hilário enters the game for C. Capela,,20,12
54,1,4:15.0,,L. Aldridge misses 2-pt jump shot from 14 ft,20,12
55,1,4:14.0,Defensive rebound by T. Ariza,,20,12
56,1,4:06.0,J. Harden makes 2-pt layup at rim,,22,12
57,1,3:50.0,,P. Gasol makes 2-pt jump shot from 12 ft,22,14
58,1,3:40.0,J. Harden makes 3-pt jump shot from 25 ft,,25,14
59,1,3:19.0,,L. Aldridge makes 2-pt hook shot from 7 ft (assist by M. Ginóbili),25,16
60,1,2:58.0,R. Anderson makes 2-pt jump shot from 19 ft,,27,16
61,1,2:41.0,,M. Ginóbili makes 2-pt jump shot from 8 ft (assist by P. Mills),27,18
62,1,2:32.0,J. Harden makes 3-pt jump shot from 24 ft,,30,18
63,1,2:17.0,,L. Aldridge misses 2-pt jump shot from 12 ft,30,18
64,1,2:15.0,Defensive rebound by T. Ariza,,30,18
65,1,2:07.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),,33,18
66,1,1:55.0,,P. Mills misses 2-pt layup from 1 ft (block by E. Gordon),33,18
67,1,1:54.0,Defensive rebound by E. Gordon,,33,18
68,1,1:45.0,T. Ariza misses 3-pt jump shot from 24 ft,,33,18
69,1,1:45.0,,Defensive rebound by P. Gasol,33,18
70,1,1:36.0,,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by P. Mills),33,21
71,1,1:36.0,Houston full timeout,,33,21
72,1,1:36.0,L. Williams enters the game for T. Ariza,,33,21
73,1,1:36.0,S. Dekker enters the game for R. Anderson,,33,21
74,1,1:36.0,,J. Simmons enters the game for K. Leonard,33,21
75,1,1:21.0,N. Hilário makes 2-pt dunk at rim (assist by E. Gordon),,35,21
76,1,0:57.0,,J. Simmons makes 2-pt layup from 1 ft (assist by L. Aldridge),35,23
77,1,0:44.0,N. Hilário makes 2-pt dunk at rim (assist by J. Harden),,37,23
78,1,0:33.0,,P. Gasol misses 2-pt layup from 1 ft (block by N. Hilário),37,23
79,1,0:32.0,,Offensive rebound by L. Aldridge,37,23
80,1,0:26.0,,Personal foul by N. Hilário (drawn by L. Aldridge),37,23
81,1,0:26.0,,D. Lee enters the game for L. Aldridge,37,23
82,1,0:19.0,,P. Gasol misses 2-pt jump shot from 9 ft,37,23
83,1,0:17.0,Defensive rebound by J. Harden,,37,23
84,1,0:01.0,J. Harden makes 2-pt jump shot from 12 ft,,39,23
