,QUARTER,TIME_REMAINING,DALLAS_ACTION,INDIANA_ACTION,DALLAS_SCORE,INDIANA_SCORE
0,1,11:46.0,,M. Turner makes 2-pt dunk from 3 ft (assist by J. Teague),0,2
1,1,11:29.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,0,2
2,1,11:29.0,,Defensive rebound by M. Ellis,0,2
3,1,11:22.0,,T. Young makes 2-pt layup at rim (assist by M. Ellis),0,4
4,1,11:10.0,Turnover by D. Nowitzki (lost ball; steal by J. Teague),,0,4
5,1,11:04.0,,T. Young makes 2-pt layup from 2 ft (assist by J. Teague),0,6
6,1,11:04.0,Dallas full timeout,,0,6
7,1,10:55.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Williams),,3,6
8,1,10:38.0,,M. Ellis makes 2-pt layup from 3 ft,3,8
9,1,10:32.0,Turnover by D. Williams (lost ball; steal by J. Teague),,3,8
10,1,10:32.0,,Personal take foul by A. Bogut (drawn by J. Teague),3,8
11,1,10:21.0,,P. George makes 2-pt jump shot from 4 ft,3,10
12,1,10:05.0,D. Williams misses 2-pt jump shot from 5 ft,,3,10
13,1,10:04.0,,Defensive rebound by J. Teague,3,10
14,1,9:51.0,,J. Teague misses 3-pt jump shot from 28 ft,3,10
15,1,9:50.0,Defensive rebound by A. Bogut,,3,10
16,1,9:34.0,A. Bogut misses 2-pt hook shot from 9 ft,,3,10
17,1,9:34.0,,Defensive rebound by P. George,3,10
18,1,9:22.0,,Offensive foul by M. Turner (drawn by W. Matthews),3,10
19,1,9:22.0,,Turnover by M. Turner (offensive foul),3,10
20,1,9:10.0,A. Bogut makes 2-pt hook shot from 6 ft,,5,10
21,1,9:01.0,,T. Young misses 2-pt jump shot from 16 ft,5,10
22,1,9:00.0,Defensive rebound by W. Matthews,,5,10
23,1,8:58.0,Turnover by W. Matthews (bad pass; steal by M. Ellis),,5,10
24,1,8:51.0,,Turnover by M. Ellis (lost ball; steal by D. Nowitzki),5,10
25,1,8:46.0,Turnover by D. Nowitzki (bad pass),,5,10
26,1,8:26.0,,Turnover by M. Ellis (lost ball; steal by W. Matthews),5,10
27,1,8:26.0,,Loose ball foul by M. Ellis (drawn by W. Matthews),5,10
28,1,8:14.0,A. Bogut makes 2-pt dunk from 4 ft (assist by D. Williams),,7,10
29,1,8:01.0,,M. Ellis makes 2-pt jump shot from 18 ft (assist by J. Teague),7,12
30,1,7:44.0,W. Matthews misses 2-pt jump shot from 18 ft,,7,12
31,1,7:42.0,Offensive rebound by A. Bogut,,7,12
32,1,7:42.0,A. Bogut misses 2-pt layup from 1 ft,,7,12
33,1,7:41.0,,Defensive rebound by T. Young,7,12
34,1,7:34.0,,M. Ellis makes 3-pt jump shot from 25 ft (assist by T. Young),7,15
35,1,7:27.0,H. Barnes misses 3-pt jump shot from 26 ft,,7,15
36,1,7:27.0,,Defensive rebound by M. Ellis,7,15
37,1,7:16.0,,P. George misses 2-pt jump shot from 18 ft,7,15
38,1,7:15.0,Defensive rebound by A. Bogut,,7,15
39,1,7:01.0,Personal foul by J. Teague (drawn by D. Williams),,7,15
40,1,7:01.0,J. Barea enters the game for D. Nowitzki,,7,15
41,1,6:57.0,Personal foul by P. George (drawn by W. Matthews),,7,15
42,1,6:50.0,D. Williams makes 3-pt jump shot from 27 ft (assist by J. Barea),,10,15
43,1,6:33.0,,Shooting foul by W. Matthews (drawn by J. Teague),10,15
44,1,6:33.0,,J. Teague makes free throw 1 of 2,10,16
45,1,6:33.0,,J. Teague makes free throw 2 of 2,10,17
46,1,6:16.0,H. Barnes misses 2-pt jump shot from 11 ft,,10,17
47,1,6:16.0,,Defensive rebound by P. George,10,17
48,1,6:03.0,,T. Young misses 2-pt hook shot from 6 ft,10,17
49,1,6:02.0,Defensive rebound by J. Barea,,10,17
50,1,5:55.0,W. Matthews misses 3-pt jump shot from 27 ft,,10,17
51,1,5:54.0,,Defensive rebound by P. George,10,17
52,1,5:47.0,,M. Turner misses 2-pt layup from 1 ft (block by A. Bogut),10,17
53,1,5:45.0,,Offensive rebound by M. Turner,10,17
54,1,5:41.0,,P. George misses 3-pt jump shot from 24 ft,10,17
55,1,5:41.0,Defensive rebound by A. Bogut,,10,17
56,1,5:28.0,Turnover by H. Barnes (lost ball; steal by M. Ellis),,10,17
57,1,5:24.0,,J. Teague makes 2-pt layup from 4 ft (assist by M. Ellis),10,19
58,1,5:24.0,,Shooting foul by D. Williams (drawn by J. Teague),10,19
59,1,5:24.0,,Indiana full timeout,10,19
60,1,5:24.0,,J. Teague misses free throw 1 of 1,10,19
61,1,5:24.0,Defensive rebound by H. Barnes,,10,19
62,1,5:10.0,D. Williams makes 3-pt jump shot from 22 ft (assist by J. Barea),,13,19
63,1,4:52.0,,M. Turner misses 2-pt jump shot from 20 ft,13,19
64,1,4:52.0,Defensive rebound by D. Williams,,13,19
65,1,4:41.0,D. Williams makes 2-pt layup from 1 ft (assist by A. Bogut),,15,19
66,1,4:25.0,,Personal foul by H. Barnes (drawn by M. Turner),15,19
67,1,4:25.0,,R. Stuckey enters the game for J. Teague,15,19
68,1,4:15.0,,P. George makes 2-pt dunk from 3 ft (assist by T. Young),15,21
69,1,3:57.0,H. Barnes makes 2-pt layup at rim,,17,21
70,1,3:40.0,,P. George misses 2-pt jump shot from 17 ft,17,21
71,1,3:39.0,Defensive rebound by W. Matthews,,17,21
72,1,3:31.0,W. Matthews misses 2-pt layup from 2 ft,,17,21
73,1,3:31.0,,Defensive rebound by M. Turner,17,21
74,1,3:24.0,,T. Young misses 2-pt layup from 2 ft,17,21
75,1,3:22.0,Defensive rebound by D. Williams,,17,21
76,1,3:04.0,W. Matthews misses 3-pt jump shot from 27 ft,,17,21
77,1,3:04.0,,Defensive rebound by M. Turner,17,21
78,1,2:48.0,,T. Young makes 2-pt dunk at rim (assist by P. George),17,23
79,1,2:48.0,Dallas full timeout,,17,23
80,1,2:48.0,J. Anderson enters the game for H. Barnes,,17,23
81,1,2:48.0,D. Powell enters the game for A. Bogut,,17,23
82,1,2:48.0,S. Curry enters the game for W. Matthews,,17,23
83,1,2:48.0,D. Nowitzki enters the game for D. Williams,,17,23
84,1,2:48.0,,L. Allen enters the game for T. Young,17,23
85,1,2:48.0,,A. Jefferson enters the game for M. Turner,17,23
86,1,2:35.0,S. Curry misses 3-pt jump shot from 28 ft,,17,23
87,1,2:34.0,Offensive rebound by D. Powell,,17,23
88,1,2:34.0,,Loose ball foul by L. Allen (drawn by D. Powell),17,23
89,1,2:27.0,D. Powell misses 2-pt layup at rim,,17,23
90,1,2:26.0,,Defensive rebound by A. Jefferson,17,23
91,1,2:12.0,,L. Allen makes 2-pt layup from 1 ft (assist by P. George),17,25
92,1,2:00.0,J. Barea makes 2-pt layup at rim,,19,25
93,1,1:45.0,,A. Jefferson misses 2-pt jump shot from 16 ft,19,25
94,1,1:44.0,,Offensive rebound by L. Allen,19,25
95,1,1:41.0,,P. George makes 3-pt jump shot from 26 ft (assist by L. Allen),19,28
96,1,1:31.0,,J. Young enters the game for M. Ellis,19,28
97,1,1:13.0,D. Nowitzki misses 3-pt jump shot from 23 ft,,19,28
98,1,1:12.0,,Defensive rebound by R. Stuckey,19,28
99,1,1:09.0,,R. Stuckey makes 2-pt layup from 1 ft,19,30
100,1,1:09.0,,Shooting block foul by S. Curry (drawn by R. Stuckey),19,30
101,1,1:09.0,,R. Stuckey misses free throw 1 of 1,19,30
102,1,1:09.0,Defensive rebound by S. Curry,,19,30
103,1,0:51.0,J. Anderson misses 3-pt jump shot from 27 ft,,19,30
104,1,0:51.0,,Defensive rebound by L. Allen,19,30
105,1,0:39.0,,P. George misses 2-pt layup from 2 ft,19,30
106,1,0:39.0,,Offensive rebound by A. Jefferson,19,30
107,1,0:39.0,,A. Jefferson makes 2-pt layup from 2 ft,19,32
108,1,0:30.0,J. Barea misses 3-pt jump shot from 26 ft,,19,32
109,1,0:30.0,Offensive rebound by J. Anderson,,19,32
110,1,0:30.0,J. Anderson makes 2-pt dunk from 2 ft,,21,32
111,1,0:09.0,,Personal foul by S. Curry (drawn by R. Stuckey),21,32
112,1,0:09.0,,R. Stuckey misses free throw 1 of 2,21,32
113,1,0:09.0,,Offensive rebound by Team,21,32
114,1,0:09.0,,G. Robinson enters the game for P. George,21,32
115,1,0:09.0,D. Williams enters the game for S. Curry,,21,32
116,1,0:09.0,,M. Turner enters the game for A. Jefferson,21,32
117,1,0:09.0,,R. Stuckey makes free throw 2 of 2,21,33
118,1,0:02.0,J. Barea misses 2-pt layup from 1 ft,,21,33
119,1,0:00.0,Offensive rebound by D. Powell,,21,33
120,2,11:43.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,21,33
121,2,11:43.0,,Defensive rebound by L. Allen,21,33
122,2,11:23.0,,A. Jefferson misses 2-pt jump shot from 5 ft,21,33
123,2,11:22.0,Defensive rebound by S. Curry,,21,33
124,2,11:14.0,Shooting block foul by J. Young (drawn by J. Barea),,21,33
125,2,11:14.0,J. Barea makes free throw 1 of 2,,22,33
126,2,11:14.0,J. Barea makes free throw 2 of 2,,23,33
127,2,10:56.0,,Turnover by R. Stuckey (lost ball; steal by S. Curry),23,33
128,2,10:43.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by J. Anderson),,26,33
129,2,10:29.0,,G. Robinson misses 2-pt jump shot from 17 ft,26,33
130,2,10:28.0,Defensive rebound by D. Powell,,26,33
131,2,10:21.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,26,33
132,2,10:21.0,,Defensive rebound by R. Stuckey,26,33
133,2,10:14.0,,Indiana full timeout,26,33
134,2,10:14.0,,T. Young enters the game for L. Allen,26,33
135,2,10:04.0,,A. Jefferson makes 2-pt jump shot from 6 ft,26,35
136,2,10:04.0,,Shooting foul by D. Powell (drawn by A. Jefferson),26,35
137,2,10:04.0,,J. Teague enters the game for J. Young,26,35
138,2,10:04.0,,A. Jefferson makes free throw 1 of 1,26,36
139,2,9:46.0,D. Nowitzki misses 2-pt jump shot from 12 ft,,26,36
