,QUARTER,TIME_REMAINING,TORONTO_ACTION,PORTLAND_ACTION,TORONTO_SCORE,PORTLAND_SCORE
0,1,11:40.0,P. Siakam misses 2-pt jump shot from 7 ft,,0,0
1,1,11:40.0,Offensive rebound by Team,,0,0
2,1,11:40.0,,Loose ball foul by M. Plumlee (drawn by J. Valančiūnas),0,0
3,1,11:33.0,D. Carroll misses 2-pt jump shot from 22 ft,,0,0
4,1,11:31.0,Offensive rebound by D. DeRozan,,0,0
5,1,11:23.0,D. DeRozan misses 2-pt jump shot from 4 ft,,0,0
6,1,11:23.0,,Defensive rebound by M. Harkless,0,0
7,1,11:12.0,,A. Aminu misses 3-pt jump shot from 24 ft,0,0
8,1,11:12.0,,Offensive rebound by M. Plumlee,0,0
9,1,11:09.0,,Personal foul by D. DeRozan (drawn by M. Plumlee),0,0
10,1,11:04.0,,C. McCollum makes 2-pt jump shot from 23 ft,0,2
11,1,10:48.0,D. DeRozan misses 2-pt jump shot from 4 ft,,0,2
12,1,10:47.0,,Defensive rebound by M. Plumlee,0,2
13,1,10:39.0,,M. Harkless makes 2-pt layup from 1 ft (assist by M. Plumlee),0,4
14,1,10:24.0,J. Valančiūnas makes 2-pt layup at rim (assist by D. DeRozan),,2,4
15,1,10:06.0,,A. Crabbe misses 2-pt jump shot from 18 ft,2,4
16,1,10:05.0,Defensive rebound by K. Lowry,,2,4
17,1,10:00.0,K. Lowry misses 3-pt jump shot from 24 ft,,2,4
18,1,9:59.0,,Defensive rebound by M. Plumlee,2,4
19,1,9:51.0,,A. Crabbe misses 2-pt jump shot from 13 ft,2,4
20,1,9:50.0,Defensive rebound by J. Valančiūnas,,2,4
21,1,9:46.0,Turnover by K. Lowry (bad pass),,2,4
22,1,9:26.0,,Shooting foul by J. Valančiūnas (drawn by M. Plumlee),2,4
23,1,9:26.0,,M. Plumlee makes free throw 1 of 2,2,5
24,1,9:26.0,,M. Plumlee makes free throw 2 of 2,2,6
25,1,9:14.0,D. DeRozan misses 2-pt jump shot from 4 ft,,2,6
26,1,9:13.0,,Defensive rebound by M. Plumlee,2,6
27,1,9:07.0,,M. Harkless misses 2-pt layup from 3 ft,2,6
28,1,9:07.0,Defensive rebound by D. Carroll,,2,6
29,1,8:56.0,J. Valančiūnas misses 2-pt jump shot from 11 ft,,2,6
30,1,8:56.0,,Defensive rebound by M. Plumlee,2,6
31,1,8:47.0,,C. McCollum misses 3-pt jump shot from 25 ft,2,6
32,1,8:47.0,,Offensive rebound by C. McCollum,2,6
33,1,8:43.0,,C. McCollum makes 2-pt layup from 1 ft,2,8
34,1,8:27.0,Personal foul by A. Crabbe (drawn by D. DeRozan),,2,8
