,QUARTER,TIME_REMAINING,UTAH_ACTION,MEMPHIS_ACTION,UTAH_SCORE,MEMPHIS_SCORE
0,1,11:48.0,,M. Gasol makes 2-pt jump shot from 15 ft (assist by M. Conley),0,2
1,1,11:32.0,G. Hill makes 2-pt jump shot from 6 ft,,2,2
2,1,11:19.0,,M. Conley misses 2-pt jump shot from 5 ft (block by G. Hill),2,2
3,1,11:16.0,Defensive rebound by R. Gobert,,2,2
4,1,11:08.0,Turnover by G. Hill (lost ball; steal by J. Green),,2,2
5,1,11:04.0,,J. Green makes 2-pt dunk at rim,2,4
6,1,10:26.0,G. Hayward misses 2-pt jump shot from 18 ft,,2,4
7,1,10:26.0,,Defensive rebound by T. Allen,2,4
8,1,10:23.0,,Turnover by T. Allen (bad pass; steal by R. Gobert),2,4
9,1,10:16.0,R. Hood makes 2-pt jump shot from 18 ft (assist by R. Gobert),,4,4
10,1,9:58.0,,J. Green misses 3-pt jump shot from 23 ft,4,4
11,1,9:57.0,Defensive rebound by G. Hill,,4,4
12,1,9:48.0,,Offensive charge foul by G. Hill (drawn by M. Conley),4,4
13,1,9:48.0,Turnover by G. Hill (offensive foul),,4,4
14,1,9:40.0,,M. Gasol makes 2-pt hook shot from 4 ft (assist by T. Allen),4,6
15,1,9:23.0,Personal foul by T. Allen (drawn by R. Hood),,4,6
16,1,9:11.0,D. Favors misses 2-pt jump shot from 19 ft,,4,6
17,1,9:10.0,,Defensive rebound by C. Parsons,4,6
18,1,8:53.0,Offensive charge foul by M. Gasol (drawn by R. Gobert),,4,6
19,1,8:53.0,,Turnover by M. Gasol (offensive foul),4,6
20,1,8:44.0,G. Hill misses 2-pt jump shot from 16 ft,,4,6
21,1,8:42.0,Offensive rebound by R. Gobert,,4,6
22,1,8:40.0,R. Gobert makes 2-pt layup from 2 ft,,6,6
23,1,8:22.0,,M. Gasol misses 3-pt jump shot from 24 ft,6,6
24,1,8:21.0,Defensive rebound by R. Hood,,6,6
25,1,8:01.0,R. Hood misses 2-pt jump shot from 12 ft,,6,6
26,1,8:00.0,,Defensive rebound by T. Allen,6,6
27,1,7:57.0,,Personal foul by R. Hood (drawn by J. Green),6,6
28,1,7:50.0,,M. Conley makes 2-pt jump shot from 19 ft,6,8
29,1,7:39.0,Turnover by R. Gobert (offensive foul),,6,8
30,1,7:39.0,,Offensive charge foul by R. Gobert (drawn by J. Green),6,8
31,1,7:23.0,,M. Gasol makes 2-pt jump shot from 13 ft,6,10
32,1,7:03.0,Turnover by D. Favors (bad pass; steal by M. Gasol),,6,10
33,1,6:53.0,,M. Conley misses 2-pt jump shot from 14 ft,6,10
34,1,6:50.0,Defensive rebound by R. Gobert,,6,10
35,1,6:44.0,Personal foul by M. Conley (drawn by G. Hill),,6,10
36,1,6:44.0,Utah full timeout,,6,10
37,1,6:29.0,R. Hood misses 3-pt jump shot from 24 ft,,6,10
38,1,6:28.0,Offensive rebound by R. Gobert,,6,10
