,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DENVER_ACTION,SAN ANTONIO_SCORE,DENVER_SCORE
0,1,11:38.0,L. Aldridge makes 2-pt jump shot from 14 ft (assist by D. Green),,2,0
1,1,11:17.0,,N. Jokić makes 2-pt layup from 2 ft (assist by G. Harris),2,2
2,1,10:55.0,L. Aldridge misses 2-pt jump shot from 14 ft,,2,2
3,1,10:53.0,,Defensive rebound by N. Jokić,2,2
4,1,10:42.0,,E. Mudiay makes 2-pt jump shot from 15 ft,2,4
5,1,10:19.0,L. Aldridge makes 2-pt dunk at rim (assist by T. Parker),,4,4
6,1,10:05.0,,N. Jokić makes 2-pt jump shot from 20 ft,4,6
7,1,9:43.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by T. Parker),,6,6
8,1,9:28.0,,G. Harris makes 2-pt layup from 1 ft (assist by N. Jokić),6,8
9,1,9:15.0,T. Parker makes 2-pt jump shot from 20 ft,,8,8
10,1,8:50.0,,N. Jokić makes 2-pt jump shot from 4 ft (assist by G. Harris),8,10
11,1,8:26.0,T. Parker makes 3-pt jump shot from 25 ft (assist by P. Gasol),,11,10
12,1,8:07.0,,N. Jokić makes 2-pt hook shot from 4 ft,11,12
13,1,7:48.0,P. Gasol makes 2-pt jump shot from 20 ft (assist by T. Parker),,13,12
14,1,7:48.0,,Denver full timeout,13,12
15,1,7:30.0,,D. Arthur makes 3-pt jump shot from 24 ft (assist by G. Harris),13,15
16,1,7:08.0,K. Leonard misses 3-pt jump shot from 26 ft,,13,15
17,1,7:06.0,Offensive rebound by P. Gasol,,13,15
18,1,6:51.0,L. Aldridge misses 2-pt jump shot from 22 ft,,13,15
19,1,6:49.0,,Defensive rebound by D. Arthur,13,15
20,1,6:40.0,,D. Arthur makes 2-pt jump shot from 22 ft (assist by E. Mudiay),13,17
21,1,6:26.0,K. Leonard makes 3-pt jump shot from 27 ft (assist by T. Parker),,16,17
22,1,6:13.0,,D. Gallinari makes 2-pt layup from 1 ft,16,19
23,1,6:01.0,T. Parker makes 2-pt jump shot from 8 ft (assist by K. Leonard),,18,19
24,1,5:42.0,,D. Arthur makes 2-pt hook shot from 1 ft (assist by E. Mudiay),18,21
25,1,5:42.0,,Shooting foul by K. Leonard (drawn by D. Arthur),18,21
26,1,5:42.0,D. Dedmon enters the game for P. Gasol,,18,21
27,1,5:42.0,,D. Arthur makes free throw 1 of 1,18,22
28,1,5:29.0,D. Green makes 3-pt jump shot from 24 ft (assist by T. Parker),,21,22
29,1,5:15.0,M. Ginóbili enters the game for D. Green,,21,22
30,1,5:01.0,,Shooting foul by L. Aldridge (drawn by N. Jokić),21,22
31,1,5:01.0,,N. Jokić makes free throw 1 of 2,21,23
32,1,5:01.0,,Violation by Team (jump ball),21,23
33,1,5:01.0,,W. Chandler enters the game for D. Arthur,21,23
34,1,5:01.0,,N. Jokić makes free throw 2 of 2,21,24
35,1,4:40.0,T. Parker makes 2-pt jump shot from 15 ft (assist by D. Dedmon),,23,24
36,1,4:31.0,,E. Mudiay misses 2-pt jump shot from 14 ft,23,24
37,1,4:30.0,,Offensive rebound by N. Jokić,23,24
38,1,4:29.0,,Shooting foul by D. Dedmon (drawn by N. Jokić),23,24
39,1,4:29.0,,N. Jokić makes free throw 1 of 2,23,25
40,1,4:29.0,,N. Jokić misses free throw 2 of 2,23,25
41,1,4:29.0,P. Mills enters the game for T. Parker,,23,25
42,1,4:28.0,Defensive rebound by D. Dedmon,,23,25
43,1,4:17.0,Personal foul by D. Gallinari (drawn by K. Leonard),,23,25
44,1,4:04.0,K. Leonard misses 3-pt jump shot from 25 ft,,23,25
45,1,4:03.0,,Defensive rebound by N. Jokić,23,25
46,1,3:55.0,,Shooting foul by P. Mills (drawn by D. Gallinari),23,25
47,1,3:55.0,,D. Gallinari makes free throw 1 of 2,23,26
48,1,3:55.0,,J. Nelson enters the game for E. Mudiay,23,26
49,1,3:55.0,J. Simmons enters the game for K. Leonard,,23,26
50,1,3:55.0,,D. Gallinari makes free throw 2 of 2,23,27
51,1,3:37.0,M. Ginóbili makes 2-pt layup from 2 ft (assist by P. Mills),,25,27
52,1,3:28.0,,N. Jokić misses 2-pt jump shot from 5 ft,25,27
53,1,3:27.0,Defensive rebound by Team,,25,27
54,1,3:06.0,M. Ginóbili misses 3-pt jump shot from 26 ft,,25,27
55,1,3:05.0,,Defensive rebound by D. Gallinari,25,27
56,1,2:56.0,,D. Gallinari misses 2-pt jump shot from 3 ft,25,27
57,1,2:55.0,,Offensive rebound by N. Jokić,25,27
58,1,2:50.0,,Turnover by W. Chandler (traveling),25,27
59,1,2:50.0,San Antonio full timeout,,25,27
60,1,2:50.0,,J. Nurkić enters the game for G. Harris,25,27
61,1,2:50.0,,W. Barton enters the game for N. Jokić,25,27
62,1,2:29.0,P. Mills misses 3-pt jump shot from 26 ft,,25,27
63,1,2:26.0,Offensive rebound by L. Aldridge,,25,27
64,1,2:26.0,L. Aldridge misses 2-pt layup from 1 ft,,25,27
65,1,2:24.0,,Defensive rebound by W. Chandler,25,27
66,1,2:05.0,,D. Gallinari misses 3-pt jump shot from 26 ft,25,27
67,1,2:04.0,Defensive rebound by M. Ginóbili,,25,27
68,1,1:51.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by P. Mills),,27,27
