,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
0,1,11:47.0,C. Anthony misses 2-pt jump shot from 6 ft,,0,0
1,1,11:46.0,,Defensive rebound by A. Bradley,0,0
2,1,11:27.0,,I. Thomas makes 2-pt jump shot from 17 ft (assist by A. Bradley),0,2
3,1,11:05.0,D. Rose makes 2-pt hook shot from 7 ft,,2,2
4,1,10:48.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by A. Johnson),2,5
5,1,10:26.0,D. Rose misses 3-pt jump shot from 25 ft,,2,5
6,1,10:25.0,,Defensive rebound by M. Smart,2,5
7,1,10:19.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by I. Thomas),2,8
8,1,10:04.0,C. Anthony makes 2-pt jump shot from 18 ft (assist by D. Rose),,4,8
9,1,9:47.0,,Turnover by M. Smart (bad pass),4,8
10,1,9:31.0,,Violation by A. Johnson (def goaltending),4,8
11,1,9:31.0,C. Anthony makes 2-pt layup from 3 ft,,6,8
12,1,9:15.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by I. Thomas),6,11
13,1,8:53.0,C. Lee misses 2-pt jump shot from 19 ft,,6,11
14,1,8:52.0,,Defensive rebound by K. Olynyk,6,11
15,1,8:48.0,,A. Bradley misses 2-pt layup at rim,6,11
16,1,8:47.0,Defensive rebound by K. Porziņģis,,6,11
17,1,8:41.0,Turnover by K. Porziņģis (lost ball),,6,11
18,1,8:29.0,,Shooting foul by K. Porziņģis (drawn by K. Olynyk),6,11
19,1,8:29.0,,K. Olynyk makes free throw 1 of 2,6,12
20,1,8:29.0,,K. Olynyk makes free throw 2 of 2,6,13
21,1,8:20.0,K. Porziņģis misses 2-pt layup from 2 ft,,6,13
22,1,8:19.0,Offensive rebound by J. Noah,,6,13
23,1,8:19.0,J. Noah misses 2-pt layup from 1 ft,,6,13
24,1,8:18.0,,Defensive rebound by A. Bradley,6,13
25,1,8:09.0,,Shooting foul by C. Lee (drawn by A. Bradley),6,13
26,1,8:09.0,,A. Bradley makes free throw 1 of 2,6,14
27,1,8:09.0,,A. Bradley makes free throw 2 of 2,6,15
28,1,7:59.0,Turnover by J. Noah (lost ball; steal by A. Johnson),,6,15
29,1,7:50.0,,M. Smart makes 2-pt jump shot from 4 ft,6,17
30,1,7:36.0,Turnover by C. Anthony (lost ball; steal by A. Bradley),,6,17
31,1,7:31.0,,A. Bradley misses 2-pt layup from 1 ft,6,17
32,1,7:30.0,,Offensive rebound by I. Thomas,6,17
33,1,7:25.0,,M. Smart misses 3-pt jump shot from 25 ft,6,17
34,1,7:21.0,,Offensive rebound by A. Bradley,6,17
35,1,7:21.0,,A. Bradley misses 2-pt layup from 1 ft,6,17
36,1,7:20.0,Defensive rebound by C. Anthony,,6,17
37,1,7:10.0,K. Porziņģis makes 2-pt jump shot from 11 ft (assist by C. Anthony),,8,17
38,1,6:54.0,,I. Thomas misses 2-pt jump shot from 4 ft,8,17
39,1,6:53.0,,Offensive rebound by I. Thomas,8,17
40,1,6:52.0,,I. Thomas misses 2-pt layup from 2 ft,8,17
41,1,6:51.0,Defensive rebound by J. Noah,,8,17
42,1,6:49.0,Turnover by J. Noah (bad pass; steal by A. Bradley),,8,17
43,1,6:47.0,,I. Thomas makes 2-pt layup from 3 ft (assist by A. Bradley),8,19
44,1,6:47.0,New York full timeout,,8,19
45,1,6:30.0,C. Anthony makes 2-pt jump shot from 15 ft (assist by D. Rose),,10,19
46,1,6:15.0,,A. Bradley makes 2-pt layup from 2 ft (assist by K. Olynyk),10,21
47,1,5:59.0,D. Rose misses 2-pt jump shot from 4 ft,,10,21
48,1,5:58.0,Offensive rebound by J. Noah,,10,21
49,1,5:58.0,J. Noah makes 2-pt layup from 2 ft,,12,21
50,1,5:51.0,,Personal foul by C. Lee (drawn by A. Bradley),12,21
51,1,5:51.0,,J. Jerebko enters the game for A. Johnson,12,21
52,1,5:51.0,J. Holiday enters the game for C. Lee,,12,21
53,1,5:42.0,,I. Thomas makes 2-pt layup from 1 ft,12,23
54,1,5:30.0,K. Porziņģis makes 2-pt jump shot from 15 ft (assist by D. Rose),,14,23
55,1,5:16.0,,I. Thomas makes 2-pt layup from 2 ft (assist by K. Olynyk),14,25
56,1,4:56.0,K. Porziņģis makes 2-pt jump shot from 14 ft,,16,25
57,1,4:41.0,,K. Olynyk misses 3-pt jump shot from 25 ft,16,25
58,1,4:40.0,Defensive rebound by J. Noah,,16,25
59,1,4:33.0,C. Anthony makes 2-pt layup from 2 ft,,18,25
60,1,4:33.0,Shooting foul by J. Jerebko (drawn by C. Anthony),,18,25
61,1,4:33.0,,T. Rozier enters the game for A. Bradley,18,25
62,1,4:33.0,L. Thomas enters the game for K. Porziņģis,,18,25
63,1,4:33.0,C. Anthony makes free throw 1 of 1,,19,25
64,1,4:22.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by I. Thomas),19,28
65,1,4:08.0,D. Rose misses 2-pt jump shot from 10 ft,,19,28
66,1,4:07.0,,Defensive rebound by J. Jerebko,19,28
67,1,3:53.0,,M. Smart misses 2-pt jump shot from 19 ft,19,28
68,1,3:52.0,Defensive rebound by L. Thomas,,19,28
69,1,3:44.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Noah),,22,28
70,1,3:29.0,,K. Olynyk misses 3-pt jump shot from 25 ft,22,28
71,1,3:28.0,Defensive rebound by J. Noah,,22,28
72,1,3:14.0,C. Anthony makes 3-pt jump shot from 23 ft (assist by D. Rose),,25,28
73,1,3:14.0,,Boston full timeout,25,28
74,1,3:14.0,,J. Brown enters the game for M. Smart,25,28
75,1,3:14.0,,T. Zeller enters the game for K. Olynyk,25,28
76,1,3:14.0,W. Hernangómez enters the game for J. Noah,,25,28
77,1,3:02.0,,J. Brown misses 2-pt jump shot from 20 ft,25,28
78,1,3:01.0,Defensive rebound by C. Anthony,,25,28
79,1,2:46.0,C. Anthony misses 2-pt jump shot from 15 ft,,25,28
80,1,2:46.0,,Defensive rebound by T. Rozier,25,28
81,1,2:39.0,,T. Rozier misses 2-pt jump shot from 4 ft,25,28
82,1,2:38.0,Defensive rebound by L. Thomas,,25,28
83,1,2:32.0,J. Holiday misses 2-pt layup from 3 ft (block by J. Brown),,25,28
84,1,2:31.0,,Defensive rebound by T. Rozier,25,28
85,1,2:24.0,,J. Jerebko misses 3-pt jump shot from 27 ft,25,28
86,1,2:23.0,Defensive rebound by Team,,25,28
87,1,2:07.0,D. Rose misses 2-pt jump shot from 5 ft,,25,28
88,1,2:06.0,,Defensive rebound by T. Zeller,25,28
89,1,1:56.0,,Shooting foul by D. Rose (drawn by J. Brown),25,28
90,1,1:56.0,,J. Brown misses free throw 1 of 2,25,28
91,1,1:56.0,,Offensive rebound by Team,25,28
92,1,1:56.0,,J. Brown misses free throw 2 of 2,25,28
93,1,1:56.0,Defensive rebound by W. Hernangómez,,25,28
94,1,1:56.0,B. Jennings enters the game for D. Rose,,25,28
95,1,1:34.0,J. Holiday makes 2-pt dunk at rim (assist by W. Hernangómez),,27,28
96,1,1:28.0,,Personal block foul by B. Jennings (drawn by T. Rozier),27,28
97,1,1:28.0,,T. Rozier makes free throw 1 of 2,27,29
98,1,1:28.0,K. Porziņģis enters the game for C. Anthony,,27,29
99,1,1:28.0,,T. Rozier makes free throw 2 of 2,27,30
100,1,1:09.0,Turnover by B. Jennings (traveling),,27,30
101,1,0:57.0,,J. Brown misses 3-pt jump shot from 25 ft,27,30
102,1,0:55.0,,Offensive rebound by J. Jerebko,27,30
103,1,0:53.0,,T. Zeller misses 2-pt layup from 3 ft (block by K. Porziņģis),27,30
104,1,0:51.0,Defensive rebound by J. Holiday,,27,30
105,1,0:49.0,L. Thomas misses 3-pt jump shot from 23 ft,,27,30
106,1,0:48.0,Offensive rebound by Team,,27,30
107,1,0:48.0,,Loose ball foul by T. Zeller (drawn by W. Hernangómez),27,30
108,1,0:37.0,K. Porziņģis misses 2-pt jump shot from 5 ft,,27,30
109,1,0:36.0,,Defensive rebound by Team,27,30
110,1,0:36.0,Loose ball foul by K. Porziņģis (drawn by J. Jerebko),,27,30
111,1,0:36.0,,J. Jerebko misses free throw 1 of 2,27,30
112,1,0:36.0,,Offensive rebound by Team,27,30
113,1,0:36.0,,A. Bradley enters the game for I. Thomas,27,30
114,1,0:36.0,,J. Jerebko makes free throw 2 of 2,27,31
115,1,0:23.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,27,31
116,1,0:23.0,,Defensive rebound by T. Zeller,27,31
117,1,0:02.0,,A. Bradley misses 3-pt jump shot from 23 ft,27,31
118,1,0:01.0,Defensive rebound by L. Thomas,,27,31
119,2,11:40.0,,Shooting foul by W. Hernangómez (drawn by T. Zeller),27,31
120,2,11:40.0,,T. Zeller makes free throw 1 of 2,27,32
121,2,11:40.0,,T. Zeller makes free throw 2 of 2,27,33
122,2,11:32.0,Personal foul by J. Brown (drawn by M. Kuzminskas),,27,33
123,2,11:24.0,W. Hernangómez makes 2-pt layup from 3 ft,,29,33
124,2,11:05.0,,Shooting foul by L. Thomas (drawn by J. Brown),29,33
125,2,11:05.0,,J. Brown misses free throw 1 of 2,29,33
126,2,11:05.0,,Offensive rebound by Team,29,33
127,2,11:05.0,,J. Brown misses free throw 2 of 2,29,33
128,2,11:04.0,Defensive rebound by L. Thomas,,29,33
129,2,10:41.0,J. Holiday makes 2-pt jump shot from 16 ft (assist by W. Hernangómez),,31,33
130,2,10:16.0,,A. Bradley misses 2-pt layup from 1 ft (block by W. Hernangómez),31,33
131,2,10:15.0,Defensive rebound by B. Jennings,,31,33
132,2,10:11.0,J. Holiday misses 3-pt jump shot from 25 ft,,31,33
133,2,10:10.0,Offensive rebound by B. Jennings,,31,33
134,2,10:05.0,B. Jennings misses 2-pt layup from 2 ft,,31,33
135,2,10:04.0,Offensive rebound by W. Hernangómez,,31,33
136,2,10:02.0,W. Hernangómez misses 2-pt layup from 2 ft,,31,33
137,2,10:01.0,Offensive rebound by J. Holiday,,31,33
138,2,10:01.0,J. Holiday misses 2-pt layup from 1 ft,,31,33
139,2,9:59.0,Offensive rebound by W. Hernangómez,,31,33
140,2,9:59.0,W. Hernangómez misses 2-pt layup from 1 ft,,31,33
141,2,9:58.0,Offensive rebound by J. Holiday,,31,33
142,2,9:57.0,J. Holiday misses 2-pt layup from 1 ft,,31,33
143,2,9:56.0,Offensive rebound by J. Holiday,,31,33
144,2,9:50.0,J. Holiday misses 2-pt jump shot from 6 ft,,31,33
145,2,9:49.0,Offensive rebound by J. Holiday,,31,33
146,2,9:32.0,Turnover by B. Jennings (back court),,31,33
