,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
0,1,11:35.0,,D. Cunningham misses 2-pt jump shot from 6 ft (block by K. Towns),0,0
1,1,11:29.0,Defensive rebound by K. Towns,,0,0
2,1,11:28.0,Turnover by G. Dieng (traveling),,0,0
3,1,11:12.0,,A. Davis makes 2-pt jump shot from 23 ft (assist by E. Moore),0,2
4,1,11:02.0,G. Dieng makes 2-pt jump shot from 18 ft (assist by K. Towns),,2,2
5,1,11:02.0,,A. Davis misses 2-pt jump shot from 19 ft,2,2
6,1,11:02.0,Defensive rebound by G. Dieng,,2,2
7,1,10:33.0,Turnover by R. Rubio (bad pass; steal by A. Davis),,2,2
8,1,10:06.0,,Turnover by T. Frazier (lost ball; steal by K. Towns),2,2
9,1,10:06.0,K. Towns misses 2-pt layup from 3 ft,,2,2
10,1,10:05.0,,Defensive rebound by Ö. Aşık,2,2
11,1,9:46.0,,T. Frazier makes 3-pt jump shot from 26 ft,2,5
12,1,9:33.0,Z. LaVine misses 2-pt layup from 3 ft,,2,5
13,1,9:32.0,,Defensive rebound by A. Davis,2,5
14,1,9:25.0,,E. Moore makes 2-pt jump shot from 18 ft (assist by A. Davis),2,7
15,1,8:57.0,K. Towns misses 3-pt jump shot from 24 ft,,2,7
16,1,8:57.0,,Defensive rebound by D. Cunningham,2,7
17,1,8:48.0,,E. Moore makes 2-pt jump shot from 4 ft,2,9
18,1,8:43.0,Minnesota full timeout,,2,9
19,1,8:30.0,Shooting foul by T. Frazier (drawn by A. Wiggins),,2,9
20,1,8:30.0,A. Wiggins makes free throw 1 of 2,,3,9
21,1,8:30.0,A. Wiggins makes free throw 2 of 2,,4,9
22,1,8:11.0,,D. Cunningham makes 2-pt layup from 3 ft (assist by A. Davis),4,11
23,1,7:54.0,K. Towns makes 2-pt hook shot from 10 ft,,6,11
24,1,7:35.0,,A. Davis makes 2-pt jump shot from 9 ft,6,13
25,1,7:13.0,A. Wiggins misses 2-pt jump shot from 8 ft (block by D. Cunningham),,6,13
26,1,7:13.0,Offensive rebound by G. Dieng,,6,13
27,1,7:13.0,Shooting foul by D. Cunningham (drawn by G. Dieng),,6,13
28,1,7:13.0,G. Dieng misses free throw 1 of 2,,6,13
29,1,7:13.0,Offensive rebound by Team,,6,13
30,1,7:13.0,G. Dieng makes free throw 2 of 2,,7,13
31,1,6:54.0,,A. Davis makes 2-pt layup from 3 ft (assist by T. Frazier),7,15
32,1,6:43.0,Z. LaVine misses 3-pt jump shot from 27 ft,,7,15
33,1,6:42.0,,Defensive rebound by T. Frazier,7,15
34,1,6:32.0,,E. Moore misses 2-pt jump shot from 14 ft,7,15
35,1,6:32.0,,Offensive rebound by A. Davis,7,15
36,1,6:31.0,,A. Davis makes 2-pt dunk at rim,7,17
37,1,6:15.0,A. Wiggins misses 2-pt jump shot from 17 ft,,7,17
38,1,6:15.0,Offensive rebound by Team,,7,17
39,1,6:11.0,Z. LaVine makes 2-pt jump shot from 18 ft (assist by R. Rubio),,9,17
40,1,5:58.0,,Personal foul by K. Towns (drawn by A. Davis),9,17
41,1,5:58.0,,New Orleans full timeout,9,17
42,1,5:47.0,,A. Davis makes 2-pt jump shot from 8 ft,9,19
43,1,5:28.0,K. Towns misses 2-pt jump shot from 4 ft (block by A. Davis),,9,19
44,1,5:25.0,Offensive rebound by K. Towns,,9,19
45,1,5:23.0,Turnover by K. Towns (bad pass; steal by D. Cunningham),,9,19
46,1,5:13.0,,A. Davis makes 2-pt jump shot from 7 ft,9,21
47,1,4:54.0,Z. LaVine makes 2-pt jump shot from 4 ft (assist by G. Dieng),,11,21
48,1,4:54.0,Shooting foul by A. Davis (drawn by Z. LaVine),,11,21
49,1,4:54.0,,J. Holiday enters the game for E. Moore,11,21
50,1,4:54.0,Z. LaVine makes free throw 1 of 1,,12,21
51,1,4:37.0,,Turnover by A. Davis (bad pass; steal by R. Rubio),12,21
52,1,4:28.0,A. Wiggins makes 2-pt jump shot from 20 ft (assist by G. Dieng),,14,21
53,1,4:11.0,,A. Davis misses 3-pt jump shot from 26 ft,14,21
54,1,4:10.0,Defensive rebound by G. Dieng,,14,21
55,1,4:05.0,Z. LaVine makes 2-pt jump shot from 4 ft (assist by G. Dieng),,16,21
56,1,3:50.0,B. Rush enters the game for Z. LaVine,,16,21
57,1,3:47.0,,Shooting foul by K. Towns (drawn by A. Davis),16,21
58,1,3:47.0,,A. Davis makes free throw 1 of 2,16,22
59,1,3:47.0,N. Bjelica enters the game for K. Towns,,16,22
60,1,3:47.0,,A. Davis makes free throw 2 of 2,16,23
61,1,3:37.0,Personal foul by T. Frazier (drawn by R. Rubio),,16,23
62,1,3:37.0,,S. Hill enters the game for D. Cunningham,16,23
63,1,3:37.0,,L. Galloway enters the game for T. Frazier,16,23
64,1,3:30.0,G. Dieng makes 2-pt hook shot from 6 ft (assist by R. Rubio),,18,23
65,1,3:30.0,Shooting foul by S. Hill (drawn by G. Dieng),,18,23
66,1,3:30.0,G. Dieng makes free throw 1 of 1,,19,23
67,1,3:18.0,,Turnover by A. Davis (traveling),19,23
68,1,3:18.0,K. Dunn enters the game for R. Rubio,,19,23
69,1,3:05.0,Shooting foul by S. Hill (drawn by A. Wiggins),,19,23
70,1,3:05.0,A. Wiggins makes free throw 1 of 2,,20,23
71,1,3:05.0,A. Wiggins makes free throw 2 of 2,,21,23
72,1,2:44.0,,A. Davis makes 2-pt layup from 4 ft,21,25
73,1,2:31.0,Personal foul by J. Holiday (drawn by N. Bjelica),,21,25
74,1,2:31.0,Minnesota full timeout,,21,25
75,1,2:31.0,N. Bjelica makes free throw 1 of 2,,22,25
76,1,2:31.0,,B. Hield enters the game for Ö. Aşık,21,25
77,1,2:31.0,,T. Jones enters the game for S. Hill,21,25
78,1,2:31.0,N. Bjelica makes free throw 2 of 2,,23,25
79,1,2:16.0,,Shooting foul by N. Bjelica (drawn by T. Jones),23,25
80,1,2:16.0,,T. Jones misses free throw 1 of 2,23,25
81,1,2:16.0,,Offensive rebound by Team,23,25
82,1,2:16.0,,T. Jones makes free throw 2 of 2,23,26
83,1,1:58.0,A. Wiggins misses 2-pt jump shot from 11 ft,,23,26
84,1,1:57.0,,Defensive rebound by A. Davis,23,26
85,1,1:44.0,,T. Jones misses 2-pt hook shot from 5 ft,23,26
86,1,1:41.0,Defensive rebound by G. Dieng,,23,26
87,1,1:38.0,Shooting foul by L. Galloway (drawn by A. Wiggins),,23,26
88,1,1:38.0,A. Wiggins makes free throw 1 of 2,,24,26
89,1,1:38.0,A. Wiggins makes free throw 2 of 2,,25,26
90,1,1:25.0,,A. Davis makes 2-pt layup from 3 ft (assist by J. Holiday),25,28
91,1,1:25.0,,Shooting foul by G. Dieng (drawn by A. Davis),25,28
92,1,1:25.0,,A. Davis makes free throw 1 of 1,25,29
93,1,1:09.0,Turnover by A. Wiggins (bad pass; steal by J. Holiday),,25,29
94,1,1:07.0,,Shooting foul by N. Bjelica (drawn by A. Davis),25,29
95,1,1:07.0,,A. Davis makes free throw 1 of 2,25,30
96,1,1:07.0,,A. Davis makes free throw 2 of 2,25,31
97,1,0:51.0,A. Wiggins misses 2-pt hook shot from 4 ft,,25,31
98,1,0:49.0,,Defensive rebound by J. Holiday,25,31
99,1,0:34.0,,T. Jones misses 2-pt jump shot from 4 ft,25,31
100,1,0:33.0,Defensive rebound by K. Dunn,,25,31
101,1,0:28.0,Shooting foul by T. Jones (drawn by N. Bjelica),,25,31
102,1,0:28.0,N. Bjelica makes free throw 1 of 2,,26,31
103,1,0:28.0,N. Bjelica misses free throw 2 of 2,,26,31
104,1,0:25.0,,Defensive rebound by T. Jones,26,31
105,1,0:05.0,,Turnover by J. Holiday (bad pass; steal by N. Bjelica),26,31
