,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHOENIX_ACTION,HOUSTON_SCORE,PHOENIX_SCORE
0,1,11:42.0,E. Gordon misses 2-pt jump shot from 8 ft,,0,0
1,1,11:42.0,,Defensive rebound by A. Len,0,0
2,1,11:36.0,,D. Jones makes 2-pt dunk from 1 ft (assist by T. Ulis),0,2
3,1,11:23.0,P. Beverley makes 2-pt jump shot from 5 ft,,2,2
4,1,11:13.0,,D. Booker misses 3-pt jump shot from 25 ft,2,2
5,1,11:13.0,Defensive rebound by C. Capela,,2,2
6,1,11:00.0,P. Beverley misses 3-pt jump shot from 27 ft,,2,2
7,1,10:59.0,,Defensive rebound by D. Jones,2,2
8,1,10:44.0,,D. Booker misses 2-pt jump shot from 16 ft,2,2
9,1,10:43.0,Defensive rebound by C. Capela,,2,2
10,1,10:36.0,E. Gordon misses 2-pt layup at rim,,2,2
11,1,10:35.0,,Defensive rebound by A. Len,2,2
12,1,10:25.0,,M. Chriss misses 3-pt jump shot from 25 ft,2,2
13,1,10:24.0,Defensive rebound by P. Beverley,,2,2
14,1,10:19.0,,Offensive charge foul by C. Capela (drawn by M. Chriss),2,2
15,1,10:19.0,Turnover by C. Capela (offensive foul),,2,2
16,1,10:05.0,,D. Booker makes 2-pt jump shot from 19 ft,2,4
17,1,9:43.0,T. Williams misses 3-pt jump shot from 25 ft,,2,4
18,1,9:42.0,Offensive rebound by C. Capela,,2,4
19,1,9:39.0,T. Williams makes 2-pt layup from 1 ft (assist by C. Capela),,4,4
20,1,9:21.0,,Turnover by T. Ulis (bad pass; steal by C. Capela),4,4
21,1,9:09.0,E. Gordon misses 2-pt dunk at rim (block by A. Len),,4,4
22,1,9:08.0,,Defensive rebound by D. Booker,4,4
23,1,9:06.0,,Offensive foul by D. Booker (drawn by P. Beverley),4,4
24,1,9:06.0,,Turnover by D. Booker (offensive foul),4,4
25,1,8:50.0,E. Gordon makes 2-pt layup from 1 ft (assist by P. Beverley),,6,4
26,1,8:32.0,,A. Len misses 2-pt layup from 2 ft,6,4
27,1,8:31.0,Defensive rebound by S. Dekker,,6,4
28,1,8:26.0,C. Capela makes 2-pt layup at rim (assist by E. Gordon),,8,4
29,1,8:05.0,,A. Len makes 2-pt layup at rim,8,6
30,1,7:59.0,Turnover by S. Dekker (lost ball),,8,6
31,1,7:47.0,,D. Jones misses 3-pt jump shot from 26 ft,8,6
32,1,7:46.0,Defensive rebound by C. Capela,,8,6
33,1,7:40.0,E. Gordon makes 3-pt jump shot from 31 ft (assist by P. Beverley),,11,6
34,1,7:21.0,,T. Ulis misses 2-pt jump shot from 18 ft,11,6
35,1,7:19.0,,Offensive rebound by A. Len,11,6
36,1,7:15.0,,A. Len makes 2-pt jump shot from 16 ft (assist by D. Booker),11,8
37,1,6:58.0,C. Capela misses 2-pt dunk at rim (block by A. Len),,11,8
38,1,6:56.0,Offensive rebound by C. Capela,,11,8
39,1,6:55.0,C. Capela makes 2-pt layup from 2 ft,,13,8
40,1,6:45.0,,M. Chriss makes 2-pt dunk at rim (assist by D. Booker),13,10
41,1,6:32.0,P. Beverley makes 3-pt jump shot from 25 ft,,16,10
42,1,6:19.0,,A. Len misses 2-pt jump shot from 17 ft,16,10
43,1,6:18.0,Defensive rebound by E. Gordon,,16,10
44,1,6:12.0,Turnover by C. Capela (traveling),,16,10
45,1,5:59.0,,Turnover by D. Jones (bad pass; steal by E. Gordon),16,10
46,1,5:54.0,Shooting block foul by M. Chriss (drawn by E. Gordon),,16,10
47,1,5:54.0,E. Gordon makes 2-pt layup from 1 ft,,18,10
48,1,5:54.0,,Phoenix full timeout,18,10
49,1,5:54.0,,D. Bender enters the game for D. Jones,18,10
50,1,5:54.0,M. Harrell enters the game for T. Williams,,18,10
