,QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
0,1,11:44.0,,Shooting foul by T. Young (drawn by K. Love),0,0
1,1,11:44.0,,K. Love makes free throw 1 of 2,0,1
2,1,11:44.0,,K. Love makes free throw 2 of 2,0,2
3,1,11:25.0,T. Young misses 3-pt jump shot from 24 ft,,0,2
4,1,11:25.0,,Defensive rebound by Team,0,2
5,1,11:11.0,,Turnover by K. Love (bad pass; steal by M. Turner),0,2
6,1,11:02.0,P. George misses 2-pt jump shot from 19 ft,,0,2
7,1,11:02.0,Offensive rebound by T. Young,,0,2
8,1,10:57.0,P. George makes 3-pt jump shot from 25 ft (assist by T. Young),,3,2
9,1,10:36.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),3,5
10,1,10:17.0,M. Turner makes 2-pt jump shot from 16 ft (assist by T. Young),,5,5
11,1,10:05.0,,K. Love makes 2-pt jump shot from 9 ft (assist by K. Irving),5,7
12,1,9:50.0,M. Turner makes 2-pt layup at rim (assist by P. George),,7,7
13,1,9:29.0,,K. Irving makes 2-pt jump shot from 19 ft,7,9
14,1,9:18.0,J. Teague misses 2-pt jump shot from 17 ft,,7,9
15,1,9:18.0,,Defensive rebound by L. James,7,9
16,1,9:10.0,,K. Irving misses 3-pt jump shot from 26 ft,7,9
17,1,9:09.0,Defensive rebound by T. Young,,7,9
18,1,8:54.0,T. Young makes 2-pt layup from 1 ft (assist by M. Ellis),,9,9
19,1,8:32.0,,T. Thompson misses 2-pt jump shot from 10 ft,9,9
20,1,8:31.0,Defensive rebound by M. Turner,,9,9
21,1,8:20.0,Shooting foul by K. Irving (drawn by T. Young),,9,9
22,1,8:20.0,T. Young makes free throw 1 of 2,,10,9
23,1,8:20.0,T. Young makes free throw 2 of 2,,11,9
24,1,8:09.0,,K. Irving makes 2-pt layup from 1 ft,11,11
25,1,7:53.0,M. Turner misses 2-pt layup from 3 ft (block by K. Love),,11,11
