,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,UTAH_ACTION,NEW ORLEANS_SCORE,UTAH_SCORE
0,1,11:45.0,A. Davis misses 2-pt jump shot from 3 ft (block by R. Gobert),,0,0
1,1,11:43.0,,Defensive rebound by R. Gobert,0,0
2,1,11:28.0,,R. Hood makes 2-pt jump shot from 11 ft (assist by G. Hill),0,2
3,1,11:16.0,Personal foul by R. Hood (drawn by T. Frazier),,0,2
4,1,11:06.0,A. Davis makes 2-pt dunk at rim,,2,2
5,1,10:44.0,,Turnover by G. Hill (lost ball; steal by T. Frazier),2,2
6,1,10:35.0,S. Hill makes 3-pt jump shot from 24 ft (assist by T. Frazier),,5,2
7,1,10:12.0,,G. Hill misses 3-pt jump shot from 25 ft,5,2
8,1,10:11.0,Defensive rebound by A. Davis,,5,2
9,1,9:58.0,A. Davis misses 2-pt jump shot from 19 ft,,5,2
10,1,9:58.0,,Defensive rebound by R. Gobert,5,2
11,1,9:49.0,,G. Hill makes 2-pt jump shot from 20 ft,5,4
12,1,9:36.0,Turnover by T. Frazier (bad pass; steal by G. Hill),,5,4
13,1,9:28.0,,R. Hood misses 3-pt jump shot from 23 ft,5,4
14,1,9:27.0,,Offensive rebound by R. Gobert,5,4
15,1,9:13.0,,B. Diaw misses 2-pt layup from 3 ft,5,4
16,1,9:12.0,Defensive rebound by S. Hill,,5,4
17,1,8:57.0,J. Holiday misses 2-pt layup from 2 ft (block by R. Gobert),,5,4
18,1,8:56.0,,Defensive rebound by R. Hood,5,4
19,1,8:46.0,,G. Hill misses 2-pt jump shot from 16 ft,5,4
20,1,8:46.0,Defensive rebound by A. Davis,,5,4
21,1,8:32.0,A. Davis misses 2-pt jump shot from 17 ft,,5,4
22,1,8:32.0,,Defensive rebound by G. Hill,5,4
23,1,8:23.0,,J. Ingles misses 2-pt layup from 1 ft (block by S. Hill),5,4
24,1,8:21.0,Defensive rebound by S. Hill,,5,4
25,1,8:17.0,S. Hill makes 2-pt jump shot from 7 ft,,7,4
26,1,8:17.0,Shooting foul by J. Ingles (drawn by S. Hill),,7,4
27,1,8:17.0,S. Hill misses free throw 1 of 1,,7,4
28,1,8:17.0,,J. Johnson enters the game for B. Diaw,7,4
29,1,8:14.0,,Defensive rebound by R. Gobert,7,4
30,1,8:03.0,,R. Gobert makes 2-pt dunk at rim (assist by J. Ingles),7,6
31,1,7:48.0,A. Davis makes 2-pt layup from 1 ft (assist by T. Frazier),,9,6
32,1,7:31.0,,R. Hood makes 2-pt jump shot from 17 ft,9,8
33,1,7:20.0,J. Holiday misses 2-pt layup from 3 ft (block by R. Gobert),,9,8
34,1,7:18.0,Offensive rebound by J. Holiday,,9,8
35,1,7:12.0,J. Holiday makes 2-pt layup from 2 ft,,11,8
36,1,6:57.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by G. Hill),11,11
37,1,6:45.0,Turnover by T. Frazier (bad pass; steal by J. Ingles),,11,11
38,1,6:34.0,,R. Gobert makes 2-pt dunk at rim (assist by R. Hood),11,13
39,1,6:18.0,A. Davis makes 2-pt jump shot from 20 ft (assist by T. Frazier),,13,13
40,1,6:11.0,,Utah full timeout,13,13
41,1,6:11.0,,D. Exum enters the game for R. Hood,13,13
42,1,6:11.0,J. Crawford enters the game for T. Frazier,,13,13
43,1,6:11.0,E. Moore enters the game for S. Hill,,13,13
44,1,6:05.0,,G. Hill makes 2-pt jump shot from 12 ft,13,15
45,1,5:53.0,Shooting foul by G. Hill (drawn by A. Davis),,13,15
46,1,5:53.0,A. Davis makes free throw 1 of 2,,14,15
47,1,5:53.0,A. Davis makes free throw 2 of 2,,15,15
48,1,5:36.0,,J. Ingles misses 2-pt jump shot from 16 ft,15,15
49,1,5:35.0,Defensive rebound by A. Davis,,15,15
50,1,5:25.0,J. Crawford misses 2-pt jump shot from 9 ft,,15,15
51,1,5:25.0,,Defensive rebound by D. Exum,15,15
52,1,5:17.0,,G. Hill makes 2-pt jump shot from 15 ft,15,17
53,1,5:00.0,J. Holiday misses 3-pt jump shot from 25 ft,,15,17
54,1,5:00.0,,Defensive rebound by Team,15,17
55,1,4:40.0,,J. Johnson makes 2-pt jump shot from 9 ft,15,19
56,1,4:31.0,A. Davis misses 2-pt jump shot from 3 ft (block by R. Gobert),,15,19
57,1,4:30.0,,Defensive rebound by J. Johnson,15,19
58,1,4:19.0,,R. Gobert makes 2-pt dunk at rim (assist by J. Johnson),15,21
59,1,4:19.0,New Orleans full timeout,,15,21
60,1,4:02.0,Turnover by E. Moore (bad pass; steal by R. Gobert),,15,21
61,1,3:51.0,,G. Hill makes 3-pt jump shot from 24 ft (assist by J. Ingles),15,24
62,1,3:38.0,Shooting foul by R. Gobert (drawn by A. Davis),,15,24
63,1,3:38.0,A. Davis misses free throw 1 of 2,,15,24
64,1,3:38.0,Offensive rebound by Team,,15,24
65,1,3:38.0,A. Davis misses free throw 2 of 2,,15,24
66,1,3:37.0,,Defensive rebound by R. Gobert,15,24
67,1,3:17.0,,J. Johnson misses 3-pt jump shot from 25 ft,15,24
68,1,3:16.0,Defensive rebound by A. Davis,,15,24
69,1,3:11.0,Turnover by A. Davis (bad pass),,15,24
70,1,2:48.0,,G. Hill misses 2-pt jump shot from 10 ft,15,24
71,1,2:48.0,Defensive rebound by E. Moore,,15,24
72,1,2:40.0,E. Moore makes 2-pt layup from 2 ft,,17,24
73,1,2:20.0,,R. Gobert misses 2-pt layup from 2 ft,17,24
74,1,2:19.0,,Offensive rebound by D. Exum,17,24
75,1,2:16.0,,D. Exum misses 2-pt layup from 2 ft,17,24
76,1,2:15.0,Defensive rebound by D. Cunningham,,17,24
77,1,2:06.0,E. Moore misses 3-pt jump shot from 23 ft,,17,24
78,1,2:05.0,,Defensive rebound by R. Gobert,17,24
79,1,1:59.0,,Personal foul by J. Crawford (drawn by J. Johnson),17,24
80,1,1:59.0,S. Hill enters the game for D. Cunningham,,17,24
81,1,1:59.0,T. Frazier enters the game for A. Davis,,17,24
82,1,1:59.0,A. Ajinça enters the game for J. Holiday,,17,24
83,1,1:59.0,,R. Neto enters the game for G. Hill,17,24
84,1,1:59.0,,R. Hood enters the game for J. Ingles,17,24
85,1,1:58.0,,J. Withey enters the game for R. Gobert,17,24
86,1,1:53.0,,R. Hood misses 2-pt layup from 2 ft,17,24
87,1,1:51.0,Defensive rebound by Team,,17,24
88,1,1:32.0,Shooting foul by J. Johnson (drawn by J. Crawford),,17,24
89,1,1:32.0,J. Crawford makes free throw 1 of 2,,18,24
90,1,1:32.0,J. Crawford makes free throw 2 of 2,,19,24
91,1,1:07.0,,J. Johnson makes 2-pt jump shot from 9 ft,19,26
92,1,0:56.0,A. Ajinça makes 2-pt jump shot from 4 ft,,21,26
93,1,0:37.0,,D. Exum makes 2-pt hook shot from 3 ft,21,28
94,1,0:18.0,A. Ajinça misses 2-pt layup from 2 ft,,21,28
95,1,0:17.0,,Defensive rebound by J. Johnson,21,28
96,2,11:52.0,,Personal foul by E. Moore (drawn by R. Hood),21,28
97,2,11:45.0,,R. Neto makes 3-pt jump shot from 24 ft (assist by J. Johnson),21,31
98,2,11:27.0,J. Crawford misses 2-pt jump shot from 14 ft,,21,31
99,2,11:26.0,,Defensive rebound by R. Hood,21,31
100,2,11:17.0,,R. Hood misses 2-pt layup from 2 ft,21,31
101,2,11:16.0,,Offensive rebound by R. Hood,21,31
102,2,11:13.0,,R. Hood misses 2-pt layup from 3 ft,21,31
103,2,11:12.0,,Offensive rebound by J. Withey,21,31
104,2,11:12.0,,J. Withey misses 2-pt layup from 3 ft,21,31
105,2,11:11.0,,Offensive rebound by J. Withey,21,31
106,2,11:07.0,,J. Withey makes 2-pt hook shot from 2 ft,21,33
107,2,11:01.0,Personal foul by R. Neto (drawn by T. Frazier),,21,33
108,2,10:53.0,Turnover by A. Ajinça (lost ball; steal by J. Withey),,21,33
109,2,10:43.0,,R. Neto misses 3-pt jump shot from 23 ft,21,33
110,2,10:43.0,,Offensive rebound by J. Withey,21,33
111,2,10:39.0,,Personal foul by J. Crawford (drawn by J. Johnson),21,33
112,2,10:23.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by D. Exum),21,36
113,2,10:18.0,New Orleans full timeout,,21,36
114,2,10:18.0,A. Davis enters the game for A. Ajinça,,21,36
115,2,10:18.0,J. Holiday enters the game for J. Crawford,,21,36
116,2,10:18.0,,B. Diaw enters the game for J. Johnson,21,36
117,2,10:12.0,Personal foul by J. Withey (drawn by A. Davis),,21,36
118,2,10:04.0,A. Davis misses 2-pt layup from 2 ft (block by B. Diaw),,21,36
119,2,10:04.0,,Defensive rebound by B. Diaw,21,36
