,QUARTER,TIME_REMAINING,TORONTO_ACTION,MEMPHIS_ACTION,TORONTO_SCORE,MEMPHIS_SCORE
0,1,11:37.0,,M. Gasol makes 2-pt jump shot from 5 ft,0,2
1,1,11:21.0,K. Lowry misses 2-pt jump shot from 20 ft,,0,2
2,1,11:19.0,,Defensive rebound by T. Allen,0,2
3,1,11:10.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by T. Allen),0,5
4,1,10:58.0,Offensive foul by P. Patterson (drawn by M. Conley),,0,5
5,1,10:58.0,Turnover by P. Patterson (offensive foul),,0,5
6,1,10:41.0,,Shooting foul by J. Valančiūnas (drawn by M. Gasol),0,5
7,1,10:41.0,,M. Gasol makes 2-pt layup from 1 ft,0,7
8,1,10:41.0,,M. Gasol makes free throw 1 of 1,0,8
9,1,10:16.0,N. Powell misses 2-pt jump shot from 22 ft,,0,8
10,1,10:11.0,Offensive rebound by D. Carroll,,0,8
11,1,10:11.0,D. Carroll makes 2-pt layup from 1 ft,,2,8
12,1,9:57.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),2,11
13,1,9:36.0,N. Powell misses 2-pt layup from 1 ft,,2,11
14,1,9:35.0,Offensive rebound by J. Valančiūnas,,2,11
15,1,9:35.0,J. Valančiūnas makes 2-pt dunk at rim,,4,11
16,1,9:14.0,,M. Gasol makes 2-pt jump shot from 7 ft,4,13
17,1,9:08.0,Toronto full timeout,,4,13
18,1,9:00.0,N. Powell makes 2-pt layup from 2 ft,,6,13
19,1,8:39.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by Z. Randolph),6,16
20,1,8:22.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by P. Patterson),,9,16
21,1,8:06.0,,M. Gasol misses 3-pt jump shot from 25 ft,9,16
22,1,8:05.0,,Offensive rebound by Z. Randolph,9,16
23,1,8:04.0,,Shooting foul by D. Carroll (drawn by Z. Randolph),9,16
24,1,8:04.0,,Z. Randolph misses free throw 1 of 2,9,16
25,1,8:04.0,,Offensive rebound by Team,9,16
26,1,8:04.0,,Z. Randolph misses free throw 2 of 2,9,16
27,1,8:03.0,Defensive rebound by J. Valančiūnas,,9,16
28,1,7:49.0,N. Powell misses 2-pt jump shot from 6 ft (block by M. Gasol),,9,16
29,1,7:49.0,Offensive rebound by Team,,9,16
30,1,7:47.0,N. Powell makes 2-pt layup from 2 ft (assist by K. Lowry),,11,16
31,1,7:23.0,,Turnover by M. Gasol (lost ball; steal by D. Carroll),11,16
32,1,7:19.0,N. Powell makes 2-pt layup at rim (assist by D. Carroll),,13,16
33,1,7:00.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by Z. Randolph),13,19
34,1,6:45.0,Shooting foul by T. Allen (drawn by N. Powell),,13,19
35,1,6:45.0,N. Powell makes free throw 1 of 2,,14,19
36,1,6:45.0,N. Powell misses free throw 2 of 2,,14,19
37,1,6:43.0,,Defensive rebound by Z. Randolph,14,19
38,1,6:26.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Conley),14,21
39,1,6:00.0,N. Powell makes 2-pt layup from 1 ft,,16,21
40,1,5:48.0,,T. Allen makes 2-pt layup from 3 ft,16,23
41,1,5:37.0,D. Carroll makes 2-pt jump shot from 20 ft,,18,23
42,1,5:24.0,,M. Conley misses 2-pt jump shot from 5 ft,18,23
43,1,5:20.0,Defensive rebound by J. Valančiūnas,,18,23
44,1,5:17.0,D. Carroll makes 3-pt jump shot from 26 ft (assist by K. Lowry),,21,23
45,1,5:09.0,,Memphis full timeout,21,23
46,1,5:09.0,,V. Carter enters the game for J. Ennis,21,23
47,1,5:09.0,,A. Harrison enters the game for M. Conley,21,23
48,1,5:09.0,J. Sullinger enters the game for P. Patterson,,21,23
49,1,5:09.0,L. Nogueira enters the game for J. Valančiūnas,,21,23
50,1,5:00.0,,M. Gasol misses 2-pt jump shot from 10 ft,21,23
51,1,4:58.0,Defensive rebound by N. Powell,,21,23
52,1,4:50.0,K. Lowry makes 3-pt jump shot from 25 ft,,24,23
53,1,4:29.0,,Shooting foul by L. Nogueira (drawn by M. Gasol),24,23
54,1,4:29.0,,M. Gasol misses free throw 1 of 2,24,23
55,1,4:29.0,,Offensive rebound by Team,24,23
56,1,4:29.0,,M. Gasol makes free throw 2 of 2,24,24
57,1,4:16.0,Offensive foul by J. Sullinger (drawn by A. Harrison),,24,24
58,1,4:16.0,Turnover by J. Sullinger (offensive foul),,24,24
59,1,4:16.0,C. Joseph enters the game for K. Lowry,,24,24
60,1,3:59.0,,Z. Randolph makes 2-pt layup from 1 ft (assist by M. Gasol),24,26
61,1,3:38.0,J. Sullinger misses 2-pt jump shot from 7 ft,,24,26
62,1,3:37.0,,Defensive rebound by M. Gasol,24,26
63,1,3:27.0,,Z. Randolph makes 2-pt jump shot from 15 ft (assist by A. Harrison),24,28
64,1,3:00.0,N. Powell makes 3-pt jump shot from 30 ft (assist by D. Carroll),,27,28
65,1,2:51.0,,Turnover by T. Allen (lost ball; steal by J. Sullinger),27,28
66,1,2:45.0,N. Powell misses 2-pt layup at rim,,27,28
67,1,2:41.0,,Defensive rebound by Z. Randolph,27,28
68,1,2:25.0,,M. Gasol misses 2-pt jump shot from 12 ft,27,28
69,1,2:22.0,Defensive rebound by J. Sullinger,,27,28
