,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SAN ANTONIO_ACTION,WASHINGTON_SCORE,SAN ANTONIO_SCORE
0,1,11:47.0,,K. Leonard makes 2-pt jump shot from 20 ft (assist by P. Gasol),0,2
1,1,11:20.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),,3,2
2,1,11:07.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by D. Green),3,5
3,1,10:43.0,Turnover by B. Beal (step out of bounds),,3,5
4,1,10:30.0,,Turnover by L. Aldridge (bad pass),3,5
5,1,10:16.0,J. Wall misses 2-pt jump shot from 19 ft,,3,5
6,1,10:15.0,Offensive rebound by M. Gortat,,3,5
7,1,10:10.0,M. Gortat makes 2-pt layup at rim (assist by J. Wall),,5,5
8,1,9:50.0,,Turnover by D. Green (bad pass; steal by O. Porter),5,5
9,1,9:48.0,Clear path foul by N. Laprovíttola,,5,5
10,1,9:48.0,B. Beal makes clear path free throw 1 of 2,,6,5
11,1,9:48.0,B. Beal makes clear path free throw 2 of 2,,7,5
12,1,9:38.0,O. Porter misses 2-pt jump shot from 19 ft,,7,5
13,1,9:37.0,Offensive rebound by M. Morris,,7,5
14,1,9:31.0,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),,9,5
15,1,9:12.0,,Shooting foul by J. Wall (drawn by P. Gasol),9,5
16,1,9:12.0,,P. Gasol misses free throw 1 of 2,9,5
17,1,9:12.0,,Offensive rebound by Team,9,5
18,1,9:12.0,,P. Gasol misses free throw 2 of 2,9,5
19,1,9:11.0,Defensive rebound by M. Morris,,9,5
20,1,8:59.0,Turnover by O. Porter (kicked ball),,9,5
21,1,8:47.0,,D. Green misses 3-pt jump shot from 24 ft,9,5
22,1,8:46.0,Defensive rebound by M. Gortat,,9,5
23,1,8:38.0,M. Gortat misses 2-pt jump shot from 11 ft,,9,5
24,1,8:37.0,,Defensive rebound by L. Aldridge,9,5
25,1,8:21.0,,N. Laprovíttola misses 3-pt jump shot from 25 ft,9,5
26,1,8:20.0,Defensive rebound by O. Porter,,9,5
27,1,8:05.0,J. Wall misses 2-pt layup from 2 ft,,9,5
28,1,8:04.0,Offensive rebound by M. Gortat,,9,5
29,1,7:55.0,O. Porter misses 3-pt jump shot from 22 ft,,9,5
30,1,7:53.0,,Defensive rebound by K. Leonard,9,5
31,1,7:48.0,,K. Leonard misses 3-pt jump shot from 25 ft,9,5
32,1,7:46.0,Defensive rebound by M. Morris,,9,5
33,1,7:41.0,B. Beal makes 3-pt jump shot from 25 ft (assist by M. Morris),,12,5
34,1,7:21.0,,K. Leonard misses 2-pt jump shot from 21 ft,12,5
35,1,7:19.0,Defensive rebound by O. Porter,,12,5
36,1,7:05.0,M. Morris makes 2-pt layup from 4 ft (assist by J. Wall),,14,5
37,1,6:45.0,,P. Gasol makes 2-pt jump shot from 14 ft,14,7
38,1,6:37.0,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),,16,7
39,1,6:19.0,,Shooting foul by M. Gortat (drawn by P. Gasol),16,7
40,1,6:19.0,,P. Gasol misses free throw 1 of 2,16,7
41,1,6:19.0,,Offensive rebound by Team,16,7
42,1,6:19.0,,P. Gasol misses free throw 2 of 2,16,7
43,1,6:19.0,Defensive rebound by M. Gortat,,16,7
44,1,6:19.0,,M. Ginóbili enters the game for D. Green,16,7
45,1,6:19.0,,P. Mills enters the game for N. Laprovíttola,16,7
46,1,6:03.0,M. Morris makes 2-pt jump shot from 12 ft (assist by M. Gortat),,18,7
47,1,5:50.0,,L. Aldridge misses 2-pt jump shot from 17 ft,18,7
48,1,5:49.0,,Offensive rebound by P. Gasol,18,7
49,1,5:46.0,,P. Gasol misses 2-pt jump shot from 15 ft,18,7
50,1,5:45.0,,Offensive rebound by P. Mills,18,7
51,1,5:42.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by P. Mills),18,9
52,1,5:25.0,M. Morris misses 2-pt jump shot from 20 ft,,18,9
53,1,5:23.0,,Defensive rebound by P. Gasol,18,9
54,1,5:13.0,,Shooting foul by M. Morris (drawn by L. Aldridge),18,9
55,1,5:13.0,,San Antonio full timeout,18,9
56,1,5:13.0,,L. Aldridge misses free throw 1 of 2,18,9
57,1,5:13.0,,Offensive rebound by Team,18,9
58,1,5:13.0,,D. Dedmon enters the game for P. Gasol,18,9
59,1,5:13.0,M. Thornton enters the game for B. Beal,,18,9
60,1,5:13.0,,L. Aldridge makes free throw 2 of 2,18,10
61,1,4:55.0,M. Morris makes 2-pt jump shot from 16 ft,,20,10
62,1,4:41.0,,L. Aldridge misses 2-pt jump shot from 4 ft (block by M. Morris),20,10
63,1,4:39.0,Defensive rebound by M. Gortat,,20,10
64,1,4:37.0,Personal foul by M. Ginóbili (drawn by J. Wall),,20,10
65,1,4:26.0,M. Morris misses 2-pt jump shot from 3 ft,,20,10
66,1,4:25.0,,Defensive rebound by L. Aldridge,20,10
67,1,4:09.0,,M. Ginóbili makes 2-pt jump shot from 15 ft (assist by P. Mills),20,12
68,1,4:02.0,M. Morris misses 2-pt layup from 1 ft,,20,12
69,1,4:01.0,,Defensive rebound by K. Leonard,20,12
70,1,3:54.0,,Personal foul by O. Porter (drawn by K. Leonard),20,12
71,1,3:54.0,J. Smith enters the game for M. Morris,,20,12
72,1,3:54.0,,D. Lee enters the game for L. Aldridge,20,12
73,1,3:47.0,,K. Leonard makes 2-pt jump shot from 15 ft (assist by P. Mills),20,14
74,1,3:32.0,O. Porter makes 2-pt jump shot from 19 ft (assist by J. Wall),,22,14
75,1,3:14.0,,K. Leonard misses 2-pt jump shot from 14 ft,22,14
76,1,3:12.0,Defensive rebound by M. Gortat,,22,14
77,1,3:04.0,M. Thornton misses 2-pt jump shot from 8 ft,,22,14
78,1,3:03.0,,Defensive rebound by D. Dedmon,22,14
79,1,2:57.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,22,14
80,1,2:56.0,Defensive rebound by M. Gortat,,22,14
81,1,2:48.0,Shooting foul by D. Dedmon (drawn by M. Gortat),,22,14
82,1,2:48.0,Washington full timeout,,22,14
83,1,2:48.0,M. Gortat makes free throw 1 of 2,,23,14
84,1,2:48.0,K. Oubre enters the game for O. Porter,,22,14
85,1,2:48.0,M. Gortat makes free throw 2 of 2,,24,14
86,1,2:36.0,,Personal foul by M. Thornton (drawn by M. Ginóbili),24,14
87,1,2:36.0,,M. Ginóbili makes free throw 1 of 2,24,15
88,1,2:36.0,,J. Simmons enters the game for K. Leonard,24,15
89,1,2:36.0,,M. Ginóbili makes free throw 2 of 2,24,16
90,1,2:22.0,M. Thornton misses 3-pt jump shot from 25 ft,,24,16
91,1,2:21.0,,Defensive rebound by D. Lee,24,16
92,1,2:17.0,,Offensive foul by D. Dedmon (drawn by J. Wall),24,16
93,1,2:17.0,,Turnover by D. Dedmon (offensive foul),24,16
94,1,2:17.0,T. Burke enters the game for J. Wall,,24,16
95,1,2:01.0,K. Oubre makes 2-pt jump shot from 19 ft,,26,16
96,1,1:51.0,,Personal foul by J. Smith (drawn by J. Simmons),26,16
97,1,1:51.0,,J. Simmons misses free throw 1 of 2,26,16
98,1,1:51.0,,Offensive rebound by Team,26,16
99,1,1:51.0,,J. Simmons makes free throw 2 of 2,26,17
100,1,1:39.0,M. Gortat misses 2-pt layup from 2 ft,,26,17
101,1,1:37.0,Offensive rebound by J. Smith,,26,17
102,1,1:37.0,M. Gortat misses 2-pt layup from 1 ft,,26,17
103,1,1:37.0,,Defensive rebound by D. Dedmon,26,17
104,1,1:27.0,,P. Mills makes 2-pt jump shot from 21 ft (assist by M. Ginóbili),26,19
105,1,1:12.0,J. Smith misses 2-pt jump shot from 19 ft,,26,19
106,1,1:11.0,,Defensive rebound by D. Dedmon,26,19
107,1,1:02.0,,D. Dedmon misses 2-pt jump shot from 8 ft (block by M. Gortat),26,19
108,1,1:00.0,Defensive rebound by M. Gortat,,26,19
109,1,0:58.0,T. Burke misses 2-pt layup from 1 ft (block by J. Simmons),,26,19
110,1,0:58.0,Offensive rebound by Team,,26,19
111,1,0:47.0,M. Gortat misses 2-pt jump shot from 14 ft,,26,19
112,1,0:47.0,Offensive rebound by M. Thornton,,26,19
113,1,0:47.0,M. Thornton makes 2-pt layup from 1 ft,,28,19
114,1,0:29.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by D. Lee),28,22
115,1,0:04.0,T. Burke misses 2-pt jump shot from 19 ft,,28,22
116,1,0:02.0,,Defensive rebound by Team,28,22
117,1,0:00.0,,M. Ginóbili makes 2-pt jump shot from 14 ft (assist by J. Simmons),28,24
118,2,11:43.0,Personal foul by D. Lee (drawn by M. Gortat),,28,24
119,2,11:43.0,M. Morris enters the game for M. Gortat,,28,24
120,2,11:36.0,J. Smith misses 2-pt jump shot from 19 ft,,28,24
121,2,11:35.0,,Defensive rebound by D. Lee,28,24
122,2,11:33.0,,Turnover by D. Lee (lost ball; steal by M. Thornton),28,24
123,2,11:20.0,Turnover by M. Morris (bad pass; steal by M. Ginóbili),,28,24
124,2,11:20.0,,Personal take foul by M. Thornton (drawn by M. Ginóbili),28,24
125,2,11:09.0,,P. Gasol makes 2-pt layup from 2 ft (assist by M. Ginóbili),28,26
126,2,10:47.0,J. Smith makes 2-pt jump shot from 15 ft (assist by K. Oubre),,30,26
127,2,10:33.0,,P. Gasol misses 2-pt jump shot from 8 ft,30,26
128,2,10:33.0,Defensive rebound by Team,,30,26
129,2,10:10.0,J. Smith makes 2-pt jump shot from 9 ft (assist by K. Oubre),,32,26
130,2,10:10.0,,San Antonio full timeout,32,26
131,2,10:10.0,,N. Laprovíttola enters the game for P. Mills,32,26
132,2,10:10.0,,D. Green enters the game for M. Ginóbili,32,26
133,2,9:46.0,,P. Gasol makes 2-pt hook shot from 11 ft,32,28
134,2,9:29.0,J. Smith makes 2-pt jump shot from 10 ft (assist by T. Burke),,34,28
135,2,9:12.0,,P. Gasol makes 2-pt layup from 2 ft (assist by D. Lee),34,30
136,2,9:02.0,Personal foul by D. Green (drawn by K. Oubre),,34,30
137,2,9:02.0,,L. Aldridge enters the game for D. Lee,34,30
138,2,8:49.0,M. Thornton makes 2-pt jump shot from 5 ft,,36,30
139,2,8:49.0,Shooting foul by L. Aldridge (drawn by M. Thornton),,36,30
140,2,8:49.0,M. Thornton makes free throw 1 of 1,,37,30
141,2,8:35.0,,P. Gasol misses 2-pt jump shot from 7 ft,37,30
142,2,8:34.0,,Offensive rebound by P. Gasol,37,30
143,2,8:34.0,,P. Gasol misses 2-pt layup from 3 ft,37,30
144,2,8:32.0,,Offensive rebound by P. Gasol,37,30
145,2,8:32.0,,P. Gasol misses 2-pt layup from 2 ft,37,30
146,2,8:30.0,Defensive rebound by M. Thornton,,37,30
147,2,8:25.0,M. Thornton misses 2-pt layup from 2 ft,,37,30
148,2,8:24.0,,Defensive rebound by P. Gasol,37,30
149,2,8:05.0,,Turnover by D. Green (bad pass; steal by M. Thornton),37,30
150,2,7:46.0,T. Burke makes 2-pt jump shot from 13 ft,,39,30
151,2,7:30.0,,Shooting foul by T. Burke (drawn by J. Simmons),39,30
152,2,7:30.0,,J. Simmons makes free throw 1 of 2,39,31
153,2,7:30.0,M. Gortat enters the game for J. Smith,,39,31
154,2,7:30.0,J. Wall enters the game for T. Burke,,39,31
155,2,7:30.0,,J. Simmons makes free throw 2 of 2,39,32
156,2,7:14.0,Turnover by M. Morris (bad pass),,39,32
157,2,7:14.0,,K. Leonard enters the game for J. Simmons,39,32
158,2,7:03.0,,Def 3 sec tech foul by M. Morris,39,32
159,2,7:03.0,,K. Leonard makes technical free throw,39,33
160,2,7:03.0,O. Porter enters the game for K. Oubre,,39,33
161,2,6:51.0,,N. Laprovíttola makes 3-pt jump shot from 25 ft (assist by K. Leonard),39,36
162,2,6:38.0,J. Wall makes 2-pt jump shot from 9 ft,,41,36
163,2,6:22.0,,D. Green misses 3-pt jump shot from 24 ft,41,36
164,2,6:21.0,Defensive rebound by Team,,41,36
165,2,6:21.0,B. Beal enters the game for M. Thornton,,41,36
166,2,6:10.0,Turnover by J. Wall (bad pass; steal by N. Laprovíttola),,41,36
167,2,6:05.0,,P. Gasol makes 2-pt dunk at rim (assist by N. Laprovíttola),41,38
168,2,5:59.0,Washington full timeout,,41,38
169,2,5:44.0,O. Porter makes 3-pt jump shot from 24 ft (assist by M. Morris),,44,38
170,2,5:28.0,,N. Laprovíttola misses 2-pt jump shot from 24 ft,44,38
171,2,5:28.0,Defensive rebound by O. Porter,,44,38
172,2,5:19.0,J. Wall makes 3-pt jump shot from 26 ft (assist by O. Porter),,47,38
173,2,5:05.0,,K. Leonard makes 2-pt jump shot from 17 ft,47,40
174,2,4:46.0,M. Gortat makes 2-pt layup at rim (assist by M. Morris),,49,40
175,2,4:32.0,,K. Leonard misses 2-pt jump shot from 16 ft,49,40
176,2,4:31.0,,Offensive rebound by L. Aldridge,49,40
