,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHICAGO_ACTION,DALLAS_SCORE,CHICAGO_SCORE
0,1,11:41.0,,R. Lopez makes 2-pt hook shot from 5 ft,0,2
1,1,11:22.0,W. Matthews misses 2-pt jump shot from 16 ft,,0,2
2,1,11:21.0,,Defensive rebound by J. Butler,0,2
3,1,11:13.0,,J. Butler makes 2-pt jump shot from 12 ft,0,4
4,1,11:08.0,Turnover by H. Barnes (bad pass; steal by M. Carter-Williams),,0,4
5,1,11:03.0,,D. Wade misses 2-pt jump shot from 22 ft,0,4
6,1,11:02.0,,Offensive rebound by J. Butler,0,4
7,1,10:51.0,,R. Lopez misses 2-pt jump shot from 19 ft,0,4
8,1,10:50.0,Defensive rebound by D. Williams,,0,4
9,1,10:44.0,Turnover by D. Williams (bad pass),,0,4
10,1,10:28.0,,M. Carter-Williams makes 3-pt jump shot from 24 ft (assist by D. Wade),0,7
11,1,10:14.0,Offensive foul by D. Williams (drawn by M. Carter-Williams),,0,7
12,1,10:14.0,Turnover by D. Williams (offensive foul),,0,7
13,1,9:59.0,,J. Butler misses 2-pt jump shot from 12 ft,0,7
14,1,9:58.0,Defensive rebound by D. Nowitzki,,0,7
15,1,9:45.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by W. Matthews),,3,7
16,1,9:23.0,,Turnover by D. Wade (bad pass),3,7
17,1,9:02.0,W. Matthews makes 2-pt jump shot from 14 ft (assist by D. Williams),,5,7
18,1,8:43.0,,D. Wade makes 2-pt jump shot from 10 ft,5,9
19,1,8:43.0,,Shooting foul by H. Barnes (drawn by D. Wade),5,9
20,1,8:43.0,,D. Wade misses free throw 1 of 1,5,9
21,1,8:42.0,Defensive rebound by H. Barnes,,5,9
22,1,8:30.0,D. Williams misses 3-pt jump shot from 23 ft,,5,9
23,1,8:29.0,,Defensive rebound by M. Carter-Williams,5,9
24,1,8:19.0,,M. Carter-Williams misses 2-pt jump shot from 14 ft,5,9
25,1,8:18.0,Defensive rebound by D. Williams,,5,9
26,1,8:06.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,5,9
27,1,8:05.0,,Defensive rebound by P. Zipser,5,9
28,1,7:55.0,,R. Lopez makes 2-pt hook shot from 7 ft (assist by J. Butler),5,11
29,1,7:37.0,D. Nowitzki makes 2-pt jump shot from 7 ft (assist by D. Williams),,7,11
30,1,7:18.0,,P. Zipser makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),7,14
31,1,6:58.0,D. Williams makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),,10,14
32,1,6:36.0,,M. Carter-Williams makes 3-pt jump shot from 24 ft (assist by J. Butler),10,17
