,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MIAMI_ACTION,HOUSTON_SCORE,MIAMI_SCORE
0,1,11:37.0,,L. Babbitt misses 3-pt jump shot from 24 ft,0,0
1,1,11:36.0,Defensive rebound by J. Harden,,0,0
2,1,11:33.0,Turnover by J. Harden (lost ball; steal by R. McGruder),,0,0
3,1,11:28.0,,D. Waiters misses 3-pt jump shot from 25 ft,0,0
4,1,11:27.0,Defensive rebound by C. Capela,,0,0
5,1,11:14.0,T. Ariza makes 2-pt jump shot from 13 ft (assist by J. Harden),,2,0
6,1,11:00.0,,R. McGruder misses 2-pt layup from 2 ft,2,0
7,1,10:59.0,Defensive rebound by C. Capela,,2,0
8,1,10:53.0,C. Capela misses 2-pt layup from 1 ft,,2,0
9,1,10:52.0,,Defensive rebound by G. Dragić,2,0
10,1,10:35.0,,H. Whiteside makes 2-pt jump shot from 10 ft,2,2
11,1,10:14.0,,Violation by H. Whiteside (kicked ball),2,2
12,1,10:08.0,P. Beverley makes 2-pt layup from 2 ft (assist by C. Capela),,4,2
13,1,9:50.0,,H. Whiteside misses 2-pt hook shot from 7 ft,4,2
14,1,9:49.0,,Offensive rebound by H. Whiteside,4,2
15,1,9:48.0,,H. Whiteside misses 2-pt layup from 1 ft,4,2
16,1,9:47.0,Defensive rebound by P. Beverley,,4,2
17,1,9:41.0,C. Brewer misses 2-pt jump shot from 4 ft,,4,2
18,1,9:40.0,,Defensive rebound by L. Babbitt,4,2
19,1,9:27.0,,Offensive foul by R. McGruder (drawn by C. Capela),4,2
20,1,9:27.0,,Turnover by R. McGruder (offensive foul),4,2
21,1,9:17.0,J. Harden misses 3-pt jump shot from 25 ft,,4,2
22,1,9:16.0,,Defensive rebound by L. Babbitt,4,2
23,1,9:07.0,,G. Dragić makes 2-pt jump shot from 6 ft,4,4
24,1,8:58.0,T. Ariza misses 2-pt jump shot from 21 ft,,4,4
25,1,8:57.0,,Defensive rebound by D. Waiters,4,4
26,1,8:54.0,,G. Dragić makes 2-pt layup from 2 ft (assist by D. Waiters),4,6
27,1,8:26.0,P. Beverley makes 2-pt jump shot from 8 ft,,6,6
28,1,8:14.0,,G. Dragić misses 2-pt jump shot from 4 ft (block by C. Capela),6,6
29,1,8:13.0,Defensive rebound by T. Ariza,,6,6
30,1,8:07.0,T. Ariza makes 2-pt layup from 2 ft (assist by J. Harden),,8,6
31,1,7:49.0,,H. Whiteside makes 2-pt hook shot from 9 ft,8,8
32,1,7:22.0,J. Harden makes 2-pt jump shot from 8 ft,,10,8
33,1,7:10.0,,Turnover by H. Whiteside (bad pass; steal by C. Brewer),10,8
34,1,7:03.0,Shooting foul by R. McGruder (drawn by J. Harden),,10,8
35,1,7:03.0,J. Harden makes free throw 1 of 2,,11,8
36,1,7:03.0,,T. Johnson enters the game for R. McGruder,11,8
37,1,7:03.0,J. Harden makes free throw 2 of 2,,12,8
38,1,6:43.0,,T. Johnson misses 2-pt jump shot from 21 ft,12,8
39,1,6:42.0,,Offensive rebound by H. Whiteside,12,8
40,1,6:38.0,,H. Whiteside makes 2-pt hook shot from 8 ft,12,10
41,1,6:22.0,J. Harden misses 3-pt jump shot from 25 ft,,12,10
42,1,6:21.0,,Defensive rebound by H. Whiteside,12,10
43,1,6:10.0,,L. Babbitt misses 3-pt jump shot from 23 ft,12,10
44,1,6:09.0,Defensive rebound by J. Harden,,12,10
45,1,6:01.0,Turnover by C. Brewer (bad pass; steal by T. Johnson),,12,10
46,1,5:57.0,,T. Johnson misses 2-pt layup from 3 ft,12,10
47,1,5:56.0,,Offensive rebound by D. Waiters,12,10
48,1,5:55.0,,D. Waiters misses 2-pt layup from 1 ft,12,10
49,1,5:54.0,,Offensive rebound by T. Johnson,12,10
50,1,5:53.0,,T. Johnson makes 2-pt layup from 2 ft,12,12
51,1,5:52.0,Houston full timeout,,12,12
52,1,5:52.0,N. Hilário enters the game for C. Brewer,,12,12
53,1,5:52.0,S. Dekker enters the game for C. Capela,,12,12
54,1,5:52.0,E. Gordon enters the game for P. Beverley,,12,12
55,1,5:38.0,J. Harden makes 3-pt jump shot from 25 ft (assist by N. Hilário),,15,12
56,1,5:17.0,,G. Dragić misses 2-pt jump shot from 9 ft,15,12
57,1,5:16.0,Defensive rebound by T. Ariza,,15,12
58,1,5:07.0,T. Ariza misses 3-pt jump shot from 25 ft,,15,12
59,1,5:06.0,,Defensive rebound by L. Babbitt,15,12
60,1,5:00.0,,G. Dragić misses 2-pt layup from 2 ft (block by N. Hilário),15,12
61,1,4:59.0,Defensive rebound by T. Ariza,,15,12
62,1,4:55.0,Turnover by N. Hilário (lost ball),,15,12
63,1,4:55.0,,J. Johnson enters the game for L. Babbitt,15,12
64,1,4:42.0,,J. Johnson makes 3-pt jump shot from 25 ft (assist by T. Johnson),15,15
65,1,4:21.0,S. Dekker makes 3-pt jump shot from 25 ft (assist by J. Harden),,18,15
66,1,4:21.0,,Miami full timeout,18,15
67,1,4:08.0,,D. Waiters makes 2-pt layup from 2 ft,18,17
68,1,3:52.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),,21,17
69,1,3:40.0,,D. Waiters misses 2-pt layup from 1 ft,21,17
70,1,3:39.0,Defensive rebound by Team,,21,17
71,1,3:38.0,,Loose ball foul by H. Whiteside (drawn by T. Ariza),21,17
72,1,3:26.0,Def 3 sec tech foul by H. Whiteside,,21,17
73,1,3:26.0,J. Harden makes technical free throw,,22,17
74,1,3:26.0,,W. Reed enters the game for H. Whiteside,22,17
75,1,3:17.0,Turnover by T. Ariza (lost ball; steal by G. Dragić),,22,17
76,1,3:13.0,,Shooting foul by J. Harden (drawn by D. Waiters),22,17
77,1,3:13.0,,D. Waiters makes free throw 1 of 2,22,18
78,1,3:13.0,,D. Waiters misses free throw 2 of 2,22,18
79,1,3:12.0,Defensive rebound by T. Ariza,,22,18
80,1,3:00.0,E. Gordon makes 2-pt layup from 2 ft,,24,18
81,1,2:46.0,,D. Waiters makes 3-pt jump shot from 24 ft (assist by T. Johnson),24,21
82,1,2:23.0,S. Dekker makes 2-pt dunk at rim,,26,21
83,1,2:08.0,,T. Johnson misses 2-pt jump shot from 20 ft,26,21
84,1,2:07.0,Defensive rebound by N. Hilário,,26,21
85,1,1:59.0,J. Harden misses 3-pt jump shot from 25 ft,,26,21
86,1,1:58.0,,Defensive rebound by D. Waiters,26,21
87,1,1:55.0,,Turnover by D. Waiters (bad pass; steal by J. Harden),26,21
88,1,1:51.0,T. Ariza makes 2-pt dunk at rim (assist by J. Harden),,28,21
89,1,1:29.0,,G. Dragić makes 2-pt layup from 1 ft (assist by J. Johnson),28,23
90,1,1:21.0,Shooting foul by T. Johnson (drawn by J. Harden),,28,23
91,1,1:21.0,J. Harden makes free throw 1 of 2,,29,23
92,1,1:21.0,,W. Ellington enters the game for G. Dragić,29,23
93,1,1:21.0,J. Harden makes free throw 2 of 2,,30,23
94,1,1:07.0,,D. Waiters makes 2-pt layup from 1 ft,30,25
95,1,0:56.0,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),,32,25
96,1,0:33.0,,J. Johnson misses 3-pt jump shot from 25 ft,32,25
97,1,0:32.0,Defensive rebound by N. Hilário,,32,25
98,1,0:22.0,Turnover by J. Harden (bad pass; steal by J. Johnson),,32,25
99,1,0:18.0,,W. Ellington makes 2-pt dunk at rim (assist by J. Johnson),32,27
100,1,0:04.0,J. Harden misses 2-pt jump shot from 13 ft,,32,27
101,1,0:03.0,Offensive rebound by S. Dekker,,32,27
102,1,0:00.0,S. Dekker misses 2-pt jump shot from 9 ft,,32,27
103,1,0:00.0,Offensive rebound by Team,,32,27
104,2,11:44.0,M. Harrell makes 2-pt hook shot from 9 ft (assist by E. Gordon),,34,27
105,2,11:24.0,,G. Dragić misses 3-pt jump shot from 26 ft,34,27
106,2,11:23.0,Defensive rebound by P. Beverley,,34,27
107,2,11:07.0,P. Beverley misses 3-pt jump shot from 25 ft,,34,27
108,2,11:06.0,,Defensive rebound by J. Johnson,34,27
109,2,10:54.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Johnson),34,30
110,2,10:46.0,E. Gordon misses 3-pt jump shot from 27 ft,,34,30
111,2,10:45.0,,Defensive rebound by W. Reed,34,30
112,2,10:39.0,,Shooting foul by M. Harrell (drawn by G. Dragić),34,30
113,2,10:39.0,,G. Dragić makes free throw 1 of 2,34,31
114,2,10:39.0,,R. McGruder enters the game for T. Johnson,34,31
115,2,10:39.0,,G. Dragić makes free throw 2 of 2,34,32
116,2,10:27.0,E. Gordon misses 2-pt jump shot from 15 ft,,34,32
117,2,10:26.0,Offensive rebound by M. Harrell,,34,32
118,2,10:19.0,C. Brewer makes 3-pt jump shot from 25 ft (assist by P. Beverley),,37,32
119,2,10:07.0,,Turnover by J. Johnson (bad pass),37,32
120,2,9:48.0,P. Beverley misses 3-pt jump shot from 25 ft,,37,32
121,2,9:47.0,,Defensive rebound by J. Johnson,37,32
122,2,9:36.0,,Personal foul by P. Beverley (drawn by J. Johnson),37,32
123,2,9:30.0,,G. Dragić makes 2-pt layup from 2 ft,37,34
124,2,9:19.0,E. Gordon misses 2-pt layup from 2 ft,,37,34
125,2,9:18.0,,Defensive rebound by W. Reed,37,34
126,2,9:09.0,,J. Johnson misses 2-pt jump shot from 16 ft,37,34
127,2,9:08.0,Defensive rebound by P. Beverley,,37,34
128,2,9:03.0,E. Gordon misses 3-pt jump shot from 26 ft,,37,34
129,2,9:02.0,,Defensive rebound by G. Dragić,37,34
130,2,8:56.0,,R. McGruder makes 2-pt layup from 2 ft (assist by G. Dragić),37,36
131,2,8:42.0,M. Harrell misses 2-pt layup from 1 ft,,37,36
132,2,8:41.0,,Defensive rebound by W. Reed,37,36
133,2,8:30.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by G. Dragić),37,39
134,2,8:29.0,Houston full timeout,,37,39
135,2,8:15.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by S. Dekker),,40,39
136,2,7:54.0,,J. Johnson misses 2-pt jump shot from 14 ft,40,39
137,2,7:53.0,,Offensive rebound by W. Reed,40,39
138,2,7:52.0,,W. Reed misses 2-pt layup from 1 ft,40,39
139,2,7:51.0,Defensive rebound by S. Dekker,,40,39
140,2,7:41.0,Shooting foul by W. Reed (drawn by M. Harrell),,40,39
141,2,7:41.0,M. Harrell makes 2-pt hook shot from 7 ft (assist by S. Dekker),,42,39
142,2,7:41.0,,H. Whiteside enters the game for W. Reed,42,39
143,2,7:41.0,M. Harrell makes free throw 1 of 1,,43,39
144,2,7:31.0,,Shooting foul by M. Harrell (drawn by H. Whiteside),43,39
145,2,7:31.0,,H. Whiteside misses free throw 1 of 2,43,39
146,2,7:31.0,,Offensive rebound by Team,43,39
147,2,7:31.0,,T. Johnson enters the game for R. McGruder,43,39
148,2,7:31.0,,H. Whiteside makes free throw 2 of 2,43,40
149,2,7:23.0,E. Gordon misses 3-pt jump shot from 25 ft,,43,40
150,2,7:22.0,,Defensive rebound by J. Johnson,43,40
151,2,7:13.0,,T. Johnson misses 2-pt jump shot from 21 ft,43,40
152,2,7:12.0,Defensive rebound by E. Gordon,,43,40
153,2,7:09.0,Shooting foul by J. Johnson (drawn by C. Brewer),,43,40
154,2,7:09.0,C. Brewer makes free throw 1 of 2,,44,40
155,2,7:09.0,C. Brewer makes free throw 2 of 2,,45,40
156,2,6:59.0,,J. Johnson makes 2-pt layup from 1 ft,45,42
157,2,6:44.0,Shooting foul by H. Whiteside (drawn by M. Harrell),,45,42
158,2,6:44.0,M. Harrell misses free throw 1 of 2,,45,42
159,2,6:44.0,Offensive rebound by Team,,45,42
160,2,6:44.0,J. Harden enters the game for C. Brewer,,45,42
161,2,6:44.0,M. Harrell makes free throw 2 of 2,,46,42
162,2,6:28.0,,H. Whiteside makes 2-pt hook shot from 7 ft,46,44
163,2,6:05.0,P. Beverley misses 3-pt jump shot from 25 ft,,46,44
164,2,6:04.0,,Defensive rebound by H. Whiteside,46,44
165,2,5:55.0,,Turnover by G. Dragić (lost ball; steal by P. Beverley),46,44
166,2,5:51.0,Personal foul by W. Ellington (drawn by M. Harrell),,46,44
167,2,5:51.0,Official timeout,,46,44
168,2,5:51.0,T. Ariza enters the game for P. Beverley,,46,44
169,2,5:51.0,C. Capela enters the game for M. Harrell,,46,44
170,2,5:51.0,,D. Waiters enters the game for G. Dragić,46,44
171,2,5:51.0,,L. Babbitt enters the game for J. Johnson,46,44
172,2,5:45.0,J. Harden misses 2-pt hook shot from 8 ft,,46,44
173,2,5:44.0,Offensive rebound by S. Dekker,,46,44
174,2,5:43.0,S. Dekker misses 2-pt layup from 1 ft,,46,44
175,2,5:42.0,,Defensive rebound by H. Whiteside,46,44
176,2,5:24.0,,W. Ellington misses 3-pt jump shot from 23 ft,46,44
177,2,5:23.0,Defensive rebound by T. Ariza,,46,44
178,2,5:16.0,E. Gordon misses 3-pt jump shot from 23 ft,,46,44
179,2,5:15.0,Offensive rebound by C. Capela,,46,44
180,2,5:11.0,C. Capela misses 2-pt hook shot from 5 ft,,46,44
181,2,5:10.0,Offensive rebound by S. Dekker,,46,44
182,2,5:02.0,J. Harden misses 2-pt jump shot from 17 ft,,46,44
183,2,5:01.0,,Defensive rebound by H. Whiteside,46,44
