,QUARTER,TIME_REMAINING,INDIANA_ACTION,DENVER_ACTION,INDIANA_SCORE,DENVER_SCORE
0,1,11:32.0,,W. Chandler misses 2-pt jump shot from 13 ft,0,0
1,1,11:31.0,Defensive rebound by J. Teague,,0,0
2,1,11:16.0,P. George misses 3-pt jump shot from 27 ft,,0,0
3,1,11:15.0,,Defensive rebound by N. Jokić,0,0
4,1,11:06.0,,D. Gallinari makes 3-pt jump shot from 23 ft (assist by G. Harris),0,3
5,1,10:50.0,M. Turner misses 2-pt jump shot from 14 ft,,0,3
6,1,10:49.0,,Defensive rebound by D. Gallinari,0,3
7,1,10:39.0,,G. Harris makes 2-pt layup from 4 ft (assist by E. Mudiay),0,5
8,1,10:20.0,M. Turner misses 2-pt layup at rim,,0,5
9,1,10:19.0,,Defensive rebound by E. Mudiay,0,5
10,1,10:14.0,,Turnover by E. Mudiay (bad pass; steal by P. George),0,5
11,1,10:13.0,Personal foul by W. Chandler (drawn by P. George),,0,5
12,1,10:13.0,P. George makes free throw 1 of 2,,1,5
13,1,10:13.0,P. George makes free throw 2 of 2,,2,5
14,1,10:00.0,,N. Jokić misses 2-pt hook shot from 4 ft,2,5
15,1,9:58.0,Defensive rebound by T. Young,,2,5
16,1,9:49.0,T. Young misses 3-pt jump shot from 27 ft,,2,5
17,1,9:48.0,,Defensive rebound by W. Chandler,2,5
18,1,9:37.0,,D. Gallinari makes 3-pt jump shot from 24 ft (assist by W. Chandler),2,8
19,1,9:22.0,J. Teague makes 2-pt layup from 3 ft (assist by T. Young),,4,8
20,1,9:08.0,,Personal foul by P. George (drawn by D. Gallinari),4,8
21,1,8:54.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by G. Harris),4,11
22,1,8:29.0,G. Robinson makes 2-pt jump shot from 16 ft (assist by J. Teague),,6,11
23,1,8:11.0,,E. Mudiay makes 3-pt jump shot from 24 ft (assist by G. Harris),6,14
24,1,7:59.0,J. Teague makes 2-pt layup from 2 ft,,8,14
25,1,7:57.0,,Turnover by N. Jokić (bad pass; steal by P. George),8,14
26,1,7:48.0,P. George makes 3-pt jump shot from 24 ft (assist by J. Teague),,11,14
27,1,7:31.0,,G. Harris misses 2-pt layup from 4 ft,11,14
28,1,7:30.0,,Offensive rebound by N. Jokić,11,14
29,1,7:19.0,,D. Gallinari misses 3-pt jump shot from 25 ft,11,14
30,1,7:18.0,Defensive rebound by M. Turner,,11,14
31,1,7:06.0,M. Turner misses 2-pt jump shot from 20 ft,,11,14
32,1,7:06.0,Offensive rebound by T. Young,,11,14
33,1,7:05.0,M. Turner makes 2-pt dunk at rim (assist by T. Young),,13,14
34,1,7:05.0,,Denver full timeout,13,14
35,1,6:52.0,,W. Chandler makes 2-pt jump shot from 4 ft (assist by E. Mudiay),13,16
36,1,6:31.0,G. Robinson misses 3-pt jump shot from 25 ft,,13,16
37,1,6:30.0,,Defensive rebound by E. Mudiay,13,16
38,1,6:29.0,,Turnover by E. Mudiay (traveling),13,16
39,1,6:13.0,P. George misses 2-pt jump shot from 16 ft,,13,16
40,1,6:12.0,,Defensive rebound by W. Chandler,13,16
41,1,6:02.0,,W. Chandler misses 3-pt jump shot from 25 ft,13,16
42,1,6:02.0,Defensive rebound by M. Turner,,13,16
43,1,5:52.0,M. Turner makes 2-pt layup from 4 ft (assist by J. Teague),,15,16
44,1,5:31.0,,E. Mudiay misses 3-pt jump shot from 25 ft,15,16
45,1,5:30.0,Defensive rebound by T. Young,,15,16
46,1,5:29.0,Turnover by P. George (bad pass),,15,16
47,1,5:15.0,,D. Gallinari makes 2-pt jump shot from 17 ft (assist by E. Mudiay),15,18
48,1,5:05.0,J. Teague makes 2-pt jump shot from 6 ft,,17,18
49,1,5:05.0,Shooting foul by E. Mudiay (drawn by J. Teague),,17,18
50,1,5:05.0,J. Teague misses free throw 1 of 1,,17,18
51,1,5:02.0,,Defensive rebound by W. Chandler,17,18
52,1,4:46.0,,G. Harris makes 2-pt layup from 2 ft (assist by D. Gallinari),17,20
53,1,4:37.0,,J. Nelson enters the game for E. Mudiay,17,20
54,1,4:32.0,M. Turner misses 2-pt jump shot from 5 ft,,17,20
55,1,4:28.0,Offensive rebound by M. Turner,,17,20
56,1,4:28.0,M. Turner makes 2-pt layup from 3 ft,,19,20
57,1,4:19.0,,N. Jokić makes 3-pt jump shot from 27 ft,19,23
58,1,4:03.0,T. Young makes 2-pt jump shot from 5 ft (assist by J. Teague),,21,23
59,1,3:53.0,,N. Jokić misses 3-pt jump shot from 26 ft,21,23
60,1,3:52.0,Defensive rebound by P. George,,21,23
61,1,3:48.0,P. George misses 2-pt jump shot from 4 ft (block by N. Jokić),,21,23
62,1,3:47.0,,Defensive rebound by G. Harris,21,23
63,1,3:40.0,,J. Nelson makes 3-pt jump shot from 22 ft (assist by D. Gallinari),21,26
64,1,3:40.0,Indiana full timeout,,21,26
65,1,3:40.0,A. Jefferson enters the game for M. Turner,,21,26
66,1,3:40.0,M. Ellis enters the game for G. Robinson,,21,26
67,1,3:25.0,Personal foul by J. Nelson (drawn by J. Teague),,21,26
68,1,3:11.0,J. Teague misses 3-pt jump shot from 26 ft,,21,26
69,1,3:10.0,,Defensive rebound by D. Gallinari,21,26
70,1,2:55.0,,N. Jokić misses 2-pt jump shot from 18 ft,21,26
71,1,2:53.0,Defensive rebound by A. Jefferson,,21,26
72,1,2:39.0,A. Jefferson makes 2-pt jump shot from 12 ft (assist by J. Teague),,23,26
73,1,2:24.0,,G. Harris misses 2-pt jump shot from 18 ft,23,26
74,1,2:23.0,Defensive rebound by J. Teague,,23,26
75,1,2:22.0,Personal foul by J. Nelson (drawn by J. Teague),,23,26
76,1,2:22.0,J. Teague makes free throw 1 of 2,,24,26
77,1,2:22.0,,J. Nurkić enters the game for N. Jokić,24,26
78,1,2:22.0,,W. Barton enters the game for D. Gallinari,24,26
