,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
0,1,11:42.0,,K. Towns misses 2-pt hook shot from 6 ft,0,0
1,1,11:41.0,Defensive rebound by Z. Randolph,,0,0
2,1,11:21.0,M. Conley makes 2-pt jump shot from 20 ft,,2,0
3,1,10:59.0,,A. Wiggins misses 2-pt jump shot from 19 ft,2,0
4,1,10:58.0,,Offensive rebound by G. Dieng,2,0
5,1,10:43.0,,B. Rush misses 3-pt jump shot from 23 ft,2,0
6,1,10:42.0,Defensive rebound by A. Harrison,,2,0
7,1,10:38.0,J. Ennis misses 2-pt layup from 1 ft (block by A. Wiggins),,2,0
8,1,10:37.0,,Defensive rebound by R. Rubio,2,0
9,1,10:23.0,,B. Rush misses 3-pt jump shot from 25 ft,2,0
10,1,10:22.0,,Offensive rebound by A. Wiggins,2,0
11,1,10:18.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by A. Wiggins),2,3
12,1,9:55.0,M. Conley misses 3-pt jump shot from 25 ft,,2,3
13,1,9:54.0,,Defensive rebound by K. Towns,2,3
14,1,9:30.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by A. Wiggins),2,6
15,1,9:02.0,M. Conley makes 2-pt layup at rim,,4,6
16,1,8:46.0,,Turnover by K. Towns (bad pass; steal by Z. Randolph),4,6
17,1,8:37.0,Z. Randolph makes 2-pt hook shot from 5 ft,,6,6
18,1,8:18.0,,R. Rubio misses 3-pt jump shot from 24 ft,6,6
19,1,8:17.0,Defensive rebound by J. Green,,6,6
20,1,8:06.0,Z. Randolph misses 3-pt jump shot from 24 ft,,6,6
21,1,8:05.0,,Defensive rebound by B. Rush,6,6
22,1,8:00.0,,A. Wiggins makes 2-pt layup at rim (assist by R. Rubio),6,8
23,1,7:48.0,Turnover by M. Conley (bad pass),,6,8
24,1,7:37.0,,R. Rubio misses 2-pt jump shot from 13 ft,6,8
25,1,7:36.0,Defensive rebound by Z. Randolph,,6,8
26,1,7:22.0,M. Conley misses 2-pt jump shot from 10 ft,,6,8
27,1,7:21.0,,Defensive rebound by K. Towns,6,8
28,1,7:18.0,,Shooting foul by A. Harrison (drawn by B. Rush),6,8
29,1,7:18.0,,B. Rush makes free throw 1 of 2,6,9
30,1,7:18.0,,B. Rush makes free throw 2 of 2,6,10
31,1,6:58.0,A. Harrison misses 2-pt jump shot from 19 ft,,6,10
32,1,6:57.0,Offensive rebound by Z. Randolph,,6,10
