,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,HOUSTON_ACTION,SACRAMENTO_SCORE,HOUSTON_SCORE
0,1,11:47.0,D. Collison misses 3-pt jump shot from 25 ft,,0,0
1,1,11:45.0,,Defensive rebound by T. Ariza,0,0
2,1,11:36.0,,C. Capela makes 2-pt layup from 4 ft (assist by J. Harden),0,2
3,1,11:12.0,G. Temple misses 2-pt jump shot from 17 ft,,0,2
4,1,11:11.0,Offensive rebound by A. Tolliver,,0,2
5,1,11:06.0,O. Casspi makes 2-pt layup from 1 ft (assist by D. Collison),,2,2
6,1,10:51.0,,Turnover by J. Harden (bad pass; steal by A. Tolliver),2,2
7,1,10:45.0,G. Temple makes 3-pt jump shot from 25 ft (assist by D. Collison),,5,2
8,1,10:26.0,,R. Anderson misses 2-pt jump shot from 20 ft,5,2
9,1,10:24.0,,Offensive rebound by R. Anderson,5,2
10,1,10:18.0,,C. Capela misses 2-pt layup from 3 ft (block by G. Temple),5,2
11,1,10:17.0,Defensive rebound by D. Collison,,5,2
12,1,10:03.0,D. Collison misses 2-pt layup from 2 ft,,5,2
13,1,10:02.0,,Defensive rebound by P. Beverley,5,2
14,1,9:56.0,,C. Capela misses 2-pt jump shot from 6 ft,5,2
15,1,9:55.0,,Offensive rebound by C. Capela,5,2
16,1,9:50.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by C. Capela),5,5
17,1,9:33.0,K. Koufos misses 2-pt hook shot from 7 ft,,5,5
18,1,9:31.0,,Defensive rebound by J. Harden,5,5
19,1,9:18.0,,Shooting foul by K. Koufos (drawn by R. Anderson),5,5
20,1,9:18.0,,R. Anderson makes free throw 1 of 2,5,6
21,1,9:18.0,,R. Anderson misses free throw 2 of 2,5,6
22,1,9:18.0,Defensive rebound by O. Casspi,,5,6
23,1,8:59.0,Turnover by D. Collison (bad pass; steal by C. Capela),,5,6
24,1,8:53.0,,C. Capela makes 2-pt layup from 1 ft (assist by P. Beverley),5,8
25,1,8:35.0,A. Tolliver makes 2-pt hook shot from 10 ft (assist by G. Temple),,7,8
26,1,8:21.0,,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),7,11
27,1,8:01.0,O. Casspi misses 2-pt layup from 2 ft,,7,11
28,1,8:00.0,,Defensive rebound by C. Capela,7,11
29,1,7:52.0,,P. Beverley misses 3-pt jump shot from 24 ft,7,11
30,1,7:51.0,Defensive rebound by G. Temple,,7,11
31,1,7:34.0,G. Temple misses 3-pt jump shot from 24 ft,,7,11
32,1,7:33.0,,Defensive rebound by R. Anderson,7,11
33,1,7:23.0,,C. Capela makes 2-pt dunk at rim (assist by P. Beverley),7,13
34,1,7:12.0,D. Collison misses 2-pt jump shot from 20 ft,,7,13
35,1,7:10.0,Offensive rebound by A. Tolliver,,7,13
36,1,7:08.0,A. Tolliver misses 2-pt layup from 1 ft,,7,13
37,1,7:07.0,,Defensive rebound by R. Anderson,7,13
38,1,7:01.0,,J. Harden makes 3-pt jump shot from 26 ft,7,16
39,1,6:44.0,O. Casspi misses 2-pt layup from 2 ft,,7,16
40,1,6:44.0,Offensive rebound by Team,,7,16
41,1,6:40.0,Turnover by O. Casspi (lost ball; steal by T. Ariza),,7,16
42,1,6:40.0,,Personal foul by O. Casspi (drawn by T. Ariza),7,16
