,QUARTER,TIME_REMAINING,INDIANA_ACTION,HOUSTON_ACTION,INDIANA_SCORE,HOUSTON_SCORE
0,1,11:47.0,,Turnover by C. Capela (bad pass; steal by P. George),0,0
1,1,11:41.0,Personal foul by C. Capela (drawn by P. George),,0,0
2,1,11:41.0,Turnover by J. Teague (bad pass),,0,0
3,1,11:31.0,,P. Beverley misses 3-pt jump shot from 23 ft,0,0
4,1,11:30.0,,Offensive rebound by J. Harden,0,0
5,1,11:26.0,,T. Ariza misses 3-pt jump shot from 24 ft,0,0
6,1,11:25.0,,Offensive rebound by Team,0,0
7,1,11:16.0,,C. Capela makes 2-pt layup from 3 ft (assist by P. Beverley),0,2
8,1,11:07.0,Turnover by J. Teague (bad pass),,0,2
9,1,10:55.0,,Shooting foul by T. Young (drawn by R. Anderson),0,2
10,1,10:55.0,,R. Anderson makes free throw 1 of 2,0,3
11,1,10:55.0,,R. Anderson makes free throw 2 of 2,0,4
12,1,10:34.0,T. Young misses 2-pt hook shot from 7 ft,,0,4
13,1,10:33.0,,Defensive rebound by C. Capela,0,4
14,1,10:24.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),0,7
15,1,9:59.0,T. Young makes 2-pt layup from 1 ft (assist by J. Teague),,2,7
16,1,9:35.0,,Turnover by Team (shot clock),2,7
17,1,9:25.0,Turnover by P. George (lost ball; steal by C. Capela),,2,7
18,1,9:20.0,,T. Ariza makes 2-pt dunk at rim (assist by J. Harden),2,9
19,1,9:09.0,C. Miles misses 3-pt jump shot from 25 ft,,2,9
20,1,9:08.0,,Defensive rebound by P. Beverley,2,9
21,1,8:59.0,,R. Anderson makes 2-pt jump shot from 20 ft (assist by J. Harden),2,11
22,1,8:59.0,Indiana full timeout,,2,11
23,1,8:46.0,J. Teague misses 2-pt jump shot from 22 ft,,2,11
24,1,8:45.0,,Defensive rebound by R. Anderson,2,11
25,1,8:41.0,,Shooting foul by P. George (drawn by J. Harden),2,11
26,1,8:41.0,,J. Harden makes free throw 1 of 3,2,12
27,1,8:41.0,,J. Harden makes free throw 2 of 3,2,13
28,1,8:41.0,,J. Harden makes free throw 3 of 3,2,14
29,1,8:25.0,T. Young misses 2-pt jump shot from 10 ft,,2,14
30,1,8:23.0,,Defensive rebound by P. Beverley,2,14
31,1,8:20.0,,Turnover by C. Capela (lost ball; steal by T. Young),2,14
32,1,8:10.0,T. Young misses 2-pt layup from 2 ft,,2,14
33,1,8:09.0,,Defensive rebound by C. Capela,2,14
34,1,8:01.0,,J. Harden misses 3-pt jump shot from 26 ft,2,14
35,1,8:00.0,Defensive rebound by P. George,,2,14
36,1,7:57.0,Turnover by P. George (bad pass),,2,14
37,1,7:44.0,,R. Anderson misses 2-pt jump shot from 20 ft,2,14
38,1,7:43.0,Defensive rebound by T. Young,,2,14
39,1,7:36.0,C. Miles misses 2-pt layup at rim,,2,14
40,1,7:35.0,,Defensive rebound by C. Capela,2,14
41,1,7:24.0,,Shooting foul by C. Miles (drawn by J. Harden),2,14
42,1,7:24.0,,J. Harden makes free throw 1 of 2,2,15
43,1,7:24.0,,J. Harden makes free throw 2 of 2,2,16
44,1,7:14.0,P. George misses 2-pt jump shot from 17 ft,,2,16
45,1,7:13.0,,Defensive rebound by P. Beverley,2,16
46,1,7:06.0,,T. Ariza misses 3-pt jump shot from 25 ft,2,16
47,1,7:05.0,,Offensive rebound by R. Anderson,2,16
48,1,7:03.0,,R. Anderson makes 2-pt layup from 2 ft,2,18
49,1,6:53.0,J. Teague misses 2-pt layup from 2 ft,,2,18
50,1,6:51.0,,Defensive rebound by C. Capela,2,18
51,1,6:37.0,,P. Beverley misses 3-pt jump shot from 23 ft,2,18
52,1,6:36.0,Defensive rebound by J. Teague,,2,18
53,1,6:18.0,T. Young misses 2-pt jump shot from 6 ft,,2,18
54,1,6:17.0,Offensive rebound by T. Young,,2,18
55,1,6:12.0,Turnover by T. Young (lost ball; steal by P. Beverley),,2,18
56,1,6:05.0,,J. Harden misses 3-pt jump shot from 25 ft,2,18
57,1,6:04.0,Defensive rebound by M. Turner,,2,18
58,1,6:02.0,Personal foul by J. Harden (drawn by J. Teague),,2,18
59,1,6:02.0,,N. Hilário enters the game for C. Capela,2,18
60,1,6:02.0,,E. Gordon enters the game for P. Beverley,2,18
61,1,5:53.0,,Violation by T. Ariza (kicked ball),2,18
62,1,5:53.0,L. Allen enters the game for T. Young,,2,18
63,1,5:53.0,M. Ellis enters the game for C. Miles,,2,18
64,1,5:43.0,M. Ellis misses 2-pt jump shot from 20 ft,,2,18
65,1,5:41.0,Offensive rebound by L. Allen,,2,18
66,1,5:40.0,L. Allen makes 2-pt layup from 1 ft,,4,18
67,1,5:24.0,,N. Hilário makes 2-pt layup from 3 ft (assist by J. Harden),4,20
68,1,5:05.0,J. Teague misses 3-pt jump shot from 23 ft,,4,20
69,1,5:04.0,,Defensive rebound by T. Ariza,4,20
70,1,4:57.0,,R. Anderson misses 3-pt jump shot from 28 ft,4,20
71,1,4:56.0,Defensive rebound by M. Turner,,4,20
72,1,4:47.0,P. George makes 3-pt jump shot from 25 ft (assist by M. Ellis),,7,20
73,1,4:37.0,,Personal foul by P. George (drawn by J. Harden),7,20
74,1,4:37.0,R. Christmas enters the game for M. Turner,,7,20
75,1,4:37.0,,L. Williams enters the game for R. Anderson,7,20
76,1,4:37.0,G. Robinson enters the game for P. George,,7,20
77,1,4:26.0,,L. Williams misses 3-pt jump shot from 26 ft,7,20
78,1,4:25.0,Defensive rebound by M. Ellis,,7,20
79,1,4:19.0,G. Robinson makes 3-pt jump shot from 25 ft (assist by M. Ellis),,10,20
80,1,4:00.0,,E. Gordon makes 2-pt layup from 2 ft (assist by J. Harden),10,22
81,1,3:43.0,L. Allen misses 2-pt jump shot from 21 ft,,10,22
82,1,3:43.0,Offensive rebound by Team,,10,22
83,1,3:43.0,Personal foul by N. Hilário (drawn by R. Christmas),,10,22
84,1,3:43.0,R. Stuckey enters the game for J. Teague,,10,22
85,1,3:33.0,L. Allen makes 2-pt layup from 1 ft (assist by M. Ellis),,12,22
86,1,3:20.0,,N. Hilário misses 2-pt dunk at rim,12,22
87,1,3:17.0,Defensive rebound by L. Allen,,12,22
88,1,3:13.0,R. Stuckey makes 2-pt layup at rim,,14,22
89,1,3:00.0,,J. Harden makes 2-pt layup from 2 ft,14,24
90,1,2:46.0,M. Ellis makes 2-pt layup from 1 ft (assist by L. Allen),,16,24
91,1,2:29.0,,Turnover by J. Harden (bad pass; steal by R. Stuckey),16,24
92,1,2:26.0,R. Stuckey makes 2-pt layup from 2 ft,,18,24
93,1,2:26.0,,Houston full timeout,18,24
94,1,2:26.0,,S. Dekker enters the game for T. Ariza,18,24
95,1,2:17.0,,E. Gordon misses 3-pt jump shot from 25 ft,18,24
96,1,2:15.0,Defensive rebound by G. Robinson,,18,24
97,1,2:05.0,R. Stuckey misses 3-pt jump shot from 23 ft,,18,24
98,1,2:04.0,Offensive rebound by L. Allen,,18,24
99,1,1:54.0,R. Christmas makes 2-pt layup from 1 ft (assist by M. Ellis),,20,24
100,1,1:30.0,,N. Hilário makes 2-pt layup from 1 ft (assist by L. Williams),20,26
101,1,1:15.0,L. Allen misses 2-pt hook shot from 7 ft,,20,26
102,1,1:14.0,,Defensive rebound by N. Hilário,20,26
103,1,1:06.0,,N. Hilário misses 2-pt jump shot from 17 ft,20,26
104,1,1:05.0,Defensive rebound by R. Stuckey,,20,26
105,1,0:59.0,R. Stuckey misses 2-pt jump shot from 5 ft (block by N. Hilário),,20,26
106,1,0:58.0,,Defensive rebound by Team,20,26
107,1,0:49.0,,J. Harden misses 2-pt layup from 4 ft,20,26
108,1,0:49.0,,Offensive rebound by Team,20,26
109,1,0:44.0,,Shooting foul by R. Christmas (drawn by N. Hilário),20,26
110,1,0:44.0,,N. Hilário makes free throw 1 of 2,20,27
111,1,0:44.0,,N. Hilário makes free throw 2 of 2,20,28
112,1,0:28.0,Turnover by R. Stuckey (bad pass),,20,28
113,1,0:10.0,,J. Harden misses 2-pt jump shot from 3 ft,20,28
114,1,0:09.0,,Offensive rebound by N. Hilário,20,28
115,1,0:08.0,,N. Hilário misses 2-pt layup at rim,20,28
116,1,0:08.0,,Offensive rebound by N. Hilário,20,28
117,1,0:08.0,,N. Hilário makes 2-pt layup at rim,20,30
118,1,0:08.0,,Shooting foul by L. Allen (drawn by N. Hilário),20,30
119,1,0:08.0,,N. Hilário makes free throw 1 of 1,20,31
120,1,0:02.0,R. Stuckey misses 2-pt layup from 1 ft,,20,31
121,1,0:02.0,Offensive rebound by L. Allen,,20,31
122,1,0:01.0,L. Allen misses 2-pt layup from 1 ft,,20,31
123,1,0:01.0,Offensive rebound by Team,,20,31
124,1,0:01.0,L. Allen misses 2-pt layup from 1 ft,,20,31
125,1,0:00.0,Offensive rebound by Team,,20,31
126,2,11:44.0,R. Stuckey misses 3-pt jump shot from 23 ft,,20,31
127,2,11:43.0,,Defensive rebound by L. Williams,20,31
128,2,11:39.0,,Shooting foul by G. Robinson (drawn by L. Williams),20,31
129,2,11:39.0,,L. Williams makes 2-pt jump shot from 16 ft,20,33
130,2,11:39.0,P. George enters the game for G. Robinson,,20,33
131,2,11:39.0,,L. Williams makes free throw 1 of 1,20,34
132,2,11:22.0,L. Allen misses 2-pt hook shot from 6 ft,,20,34
133,2,11:22.0,Offensive rebound by M. Ellis,,20,34
134,2,11:13.0,P. George misses 2-pt jump shot from 21 ft,,20,34
135,2,11:11.0,Offensive rebound by R. Stuckey,,20,34
136,2,11:09.0,R. Stuckey misses 2-pt jump shot from 5 ft,,20,34
137,2,11:09.0,Offensive rebound by Team,,20,34
138,2,11:09.0,Personal foul by S. Dekker (drawn by R. Christmas),,20,34
139,2,11:05.0,Personal foul by P. Beverley (drawn by P. George),,20,34
140,2,10:59.0,M. Ellis makes 2-pt jump shot from 18 ft (assist by R. Stuckey),,22,34
141,2,10:42.0,,L. Williams makes 3-pt jump shot from 27 ft,22,37
142,2,10:31.0,Turnover by M. Ellis (lost ball; steal by P. Beverley),,22,37
143,2,10:27.0,,Turnover by C. Capela (bad pass; steal by P. George),22,37
144,2,10:22.0,P. George makes 2-pt layup from 2 ft,,24,37
145,2,10:15.0,,S. Dekker makes 3-pt jump shot from 23 ft (assist by E. Gordon),24,40
146,2,9:54.0,L. Allen misses 2-pt layup from 5 ft,,24,40
147,2,9:54.0,Offensive rebound by L. Allen,,24,40
148,2,9:54.0,L. Allen misses 2-pt jump shot from 5 ft,,24,40
149,2,9:52.0,,Defensive rebound by Team,24,40
150,2,9:48.0,,Turnover by P. Beverley (lost ball; steal by R. Stuckey),24,40
151,2,9:44.0,R. Stuckey misses 2-pt layup from 2 ft (block by L. Williams),,24,40
152,2,9:40.0,Offensive rebound by M. Ellis,,24,40
153,2,9:30.0,M. Ellis makes 2-pt layup from 2 ft,,26,40
154,2,9:20.0,Violation by R. Christmas (kicked ball),,26,40
155,2,9:20.0,,M. Harrell enters the game for C. Capela,26,40
156,2,9:13.0,,L. Williams makes 3-pt jump shot from 24 ft (assist by M. Harrell),26,43
157,2,8:56.0,P. George misses 2-pt jump shot from 18 ft,,26,43
158,2,8:54.0,Offensive rebound by R. Christmas,,26,43
159,2,8:48.0,P. George makes 2-pt layup from 2 ft (assist by L. Allen),,28,43
160,2,8:30.0,,S. Dekker misses 2-pt jump shot from 6 ft,28,43
161,2,8:29.0,Defensive rebound by L. Allen,,28,43
162,2,8:22.0,M. Ellis makes 2-pt layup from 2 ft,,30,43
163,2,8:10.0,,L. Williams misses 2-pt jump shot from 8 ft,30,43
164,2,8:09.0,Defensive rebound by R. Christmas,,30,43
165,2,8:05.0,R. Stuckey makes 2-pt layup at rim (assist by M. Ellis),,32,43
166,2,8:05.0,,Houston full timeout,32,43
167,2,8:05.0,J. Teague enters the game for L. Allen,,32,43
168,2,8:05.0,T. Young enters the game for R. Stuckey,,32,43
169,2,7:51.0,,E. Gordon makes 2-pt layup from 2 ft (assist by P. Beverley),32,45
170,2,7:51.0,,Shooting foul by R. Christmas (drawn by E. Gordon),32,45
171,2,7:51.0,,E. Gordon misses free throw 1 of 1,32,45
172,2,7:51.0,Defensive rebound by T. Young,,32,45
173,2,7:31.0,Shooting foul by P. Beverley (drawn by R. Christmas),,32,45
174,2,7:31.0,R. Christmas makes free throw 1 of 2,,33,45
175,2,7:31.0,R. Christmas makes free throw 2 of 2,,34,45
176,2,7:18.0,,E. Gordon misses 3-pt jump shot from 29 ft,34,45
177,2,7:17.0,Defensive rebound by M. Ellis,,34,45
178,2,7:03.0,P. George misses 3-pt jump shot from 26 ft,,34,45
179,2,7:01.0,,Defensive rebound by P. Beverley,34,45
180,2,6:56.0,,Turnover by L. Williams (bad pass),34,45
181,2,6:56.0,,J. Harden enters the game for P. Beverley,34,45
182,2,6:46.0,R. Christmas makes 2-pt layup from 2 ft (assist by M. Ellis),,36,45
183,2,6:25.0,,J. Harden misses 2-pt jump shot from 16 ft,36,45
184,2,6:24.0,Defensive rebound by J. Teague,,36,45
185,2,6:17.0,P. George misses 3-pt jump shot from 26 ft,,36,45
186,2,6:15.0,Offensive rebound by P. George,,36,45
187,2,6:11.0,P. George makes 3-pt jump shot from 25 ft,,39,45
188,2,5:50.0,,S. Dekker misses 3-pt jump shot from 23 ft,39,45
189,2,5:49.0,Defensive rebound by R. Christmas,,39,45
190,2,5:31.0,T. Young makes 2-pt hook shot from 6 ft,,41,45
191,2,5:18.0,,Shooting foul by R. Christmas (drawn by J. Harden),41,45
192,2,5:18.0,Official timeout,,41,45
193,2,5:18.0,,J. Harden makes free throw 1 of 2,41,46
194,2,5:18.0,,R. Anderson enters the game for S. Dekker,41,45
195,2,5:18.0,,T. Ariza enters the game for M. Harrell,41,45
196,2,5:18.0,M. Turner enters the game for R. Christmas,,41,45
197,2,5:18.0,,J. Harden makes free throw 2 of 2,41,47
198,2,4:57.0,Personal foul by L. Williams,,41,47
199,2,4:51.0,Personal foul by J. Harden (drawn by M. Turner),,41,47
200,2,4:51.0,M. Turner makes free throw 1 of 2,,42,47
201,2,4:51.0,M. Turner makes free throw 2 of 2,,43,47
202,2,4:33.0,,T. Ariza misses 3-pt jump shot from 25 ft,43,47
203,2,4:32.0,Defensive rebound by J. Teague,,43,47
204,2,4:23.0,T. Young makes 2-pt layup from 2 ft (assist by M. Turner),,45,47
205,2,4:12.0,,Shooting foul by P. George (drawn by L. Williams),45,47
206,2,4:12.0,,L. Williams makes free throw 1 of 2,45,48
207,2,4:12.0,,N. Hilário enters the game for E. Gordon,45,48
208,2,4:12.0,G. Robinson enters the game for P. George,,45,48
209,2,4:12.0,,L. Williams makes free throw 2 of 2,45,49
210,2,3:53.0,J. Teague misses 3-pt jump shot from 26 ft,,45,49
211,2,3:52.0,,Defensive rebound by J. Harden,45,49
212,2,3:47.0,,Shooting foul by G. Robinson (drawn by J. Harden),45,49
213,2,3:47.0,,J. Harden makes free throw 1 of 3,45,50
214,2,3:47.0,,J. Harden misses free throw 2 of 3,45,50
215,2,3:47.0,,Offensive rebound by Team,45,50
216,2,3:47.0,R. Stuckey enters the game for G. Robinson,,45,50
217,2,3:47.0,,P. Beverley enters the game for L. Williams,45,50
218,2,3:47.0,,J. Harden makes free throw 3 of 3,45,51
219,2,3:25.0,Shooting foul by T. Ariza (drawn by J. Teague),,45,51
220,2,3:25.0,J. Teague makes free throw 1 of 2,,46,51
221,2,3:25.0,J. Teague makes free throw 2 of 2,,47,51
222,2,3:15.0,,J. Harden misses 3-pt jump shot from 26 ft,47,51
223,2,3:13.0,Defensive rebound by J. Teague,,47,51
224,2,3:07.0,J. Teague makes 2-pt layup from 2 ft,,49,51
225,2,2:50.0,,Turnover by T. Ariza (bad pass),49,51
226,2,2:50.0,Indiana full timeout,,49,51
227,2,2:38.0,Shooting foul by R. Anderson (drawn by M. Turner),,49,51
228,2,2:38.0,M. Turner misses free throw 1 of 2,,49,51
229,2,2:38.0,Offensive rebound by Team,,49,51
230,2,2:38.0,M. Turner makes free throw 2 of 2,,50,51
231,2,2:15.0,,J. Harden makes 3-pt jump shot from 26 ft,50,54
232,2,2:06.0,Shooting foul by P. Beverley (drawn by J. Teague),,50,54
233,2,2:06.0,J. Teague makes free throw 1 of 2,,51,54
234,2,2:06.0,,E. Gordon enters the game for P. Beverley,51,54
235,2,2:06.0,J. Teague makes free throw 2 of 2,,52,54
236,2,1:50.0,,E. Gordon misses 2-pt jump shot from 10 ft,52,54
237,2,1:50.0,,Offensive rebound by N. Hilário,52,54
238,2,1:50.0,,Shooting foul by M. Ellis (drawn by N. Hilário),52,54
239,2,1:50.0,,N. Hilário makes free throw 1 of 2,52,55
240,2,1:50.0,,N. Hilário makes free throw 2 of 2,52,56
241,2,1:33.0,R. Stuckey misses 2-pt jump shot from 15 ft,,52,56
242,2,1:31.0,Offensive rebound by J. Teague,,52,56
243,2,1:20.0,M. Turner makes 3-pt jump shot from 25 ft (assist by T. Young),,55,56
244,2,1:06.0,,R. Anderson misses 3-pt jump shot from 26 ft,55,56
245,2,1:05.0,Defensive rebound by T. Young,,55,56
246,2,0:54.0,M. Turner makes 2-pt layup from 1 ft (assist by J. Teague),,57,56
247,2,0:34.0,,N. Hilário makes 2-pt layup from 1 ft (assist by J. Harden),57,58
248,2,0:24.0,Shooting foul by E. Gordon (drawn by J. Teague),,57,58
249,2,0:24.0,J. Teague makes free throw 1 of 2,,58,58
250,2,0:24.0,J. Teague makes free throw 2 of 2,,59,58
251,2,0:02.0,,J. Harden misses 3-pt jump shot from 25 ft,59,58
252,2,0:01.0,Defensive rebound by J. Teague,,59,58
253,2,0:00.0,J. Teague misses 3-pt jump shot from 69 ft,,59,58
254,2,0:00.0,Offensive rebound by Team,,59,58
255,3,11:43.0,P. George misses 3-pt jump shot from 26 ft,,59,58
