,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW YORK_ACTION,PHOENIX_SCORE,NEW YORK_SCORE
0,1,11:35.0,,C. Lee makes 3-pt jump shot from 23 ft (assist by D. Rose),0,3
1,1,11:15.0,E. Bledsoe makes 2-pt layup from 2 ft,,2,3
2,1,10:59.0,,C. Anthony misses 2-pt jump shot from 19 ft,2,3
3,1,10:57.0,Defensive rebound by T. Chandler,,2,3
4,1,10:50.0,M. Chriss makes 2-pt dunk at rim (assist by T. Warren),,4,3
5,1,10:50.0,Shooting foul by K. Porziņģis (drawn by M. Chriss),,4,3
6,1,10:50.0,M. Chriss misses free throw 1 of 1,,4,3
7,1,10:48.0,,Defensive rebound by J. Noah,4,3
8,1,10:36.0,,C. Lee makes 2-pt jump shot from 20 ft (assist by J. Noah),4,5
9,1,10:27.0,E. Bledsoe misses 2-pt layup from 3 ft,,4,5
10,1,10:25.0,,Defensive rebound by C. Anthony,4,5
11,1,10:16.0,,C. Anthony makes 2-pt layup from 2 ft,4,7
12,1,9:57.0,D. Booker makes 2-pt jump shot from 11 ft,,6,7
13,1,9:46.0,,K. Porziņģis makes 2-pt layup from 2 ft (assist by J. Noah),6,9
14,1,9:33.0,E. Bledsoe makes 2-pt jump shot from 5 ft,,8,9
15,1,9:22.0,,D. Rose makes 2-pt jump shot from 20 ft (assist by J. Noah),8,11
16,1,9:04.0,Personal foul by C. Anthony,,8,11
17,1,8:58.0,Turnover by D. Booker (traveling),,8,11
18,1,8:45.0,,D. Rose makes 2-pt layup from 1 ft,8,13
19,1,8:28.0,M. Chriss misses 3-pt jump shot from 24 ft,,8,13
20,1,8:26.0,,Defensive rebound by J. Noah,8,13
21,1,8:24.0,,Turnover by J. Noah (bad pass; steal by D. Booker),8,13
22,1,8:13.0,T. Warren makes 2-pt jump shot from 5 ft (assist by D. Booker),,10,13
23,1,8:02.0,,C. Anthony misses 2-pt jump shot from 18 ft,10,13
24,1,8:00.0,Defensive rebound by M. Chriss,,10,13
25,1,7:46.0,D. Booker misses 2-pt layup from 3 ft,,10,13
26,1,7:42.0,Offensive rebound by M. Chriss,,10,13
27,1,7:42.0,M. Chriss makes 2-pt dunk at rim,,12,13
28,1,7:23.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by D. Rose),12,16
29,1,7:09.0,Shooting foul by J. Noah (drawn by T. Chandler),,12,16
30,1,7:09.0,T. Chandler makes free throw 1 of 2,,13,16
31,1,7:09.0,T. Chandler makes free throw 2 of 2,,14,16
32,1,6:49.0,,D. Rose makes 2-pt hook shot from 4 ft,14,18
33,1,6:37.0,M. Chriss makes 3-pt jump shot from 25 ft (assist by D. Booker),,17,18
34,1,6:34.0,,New York full timeout,17,18
35,1,6:10.0,,D. Rose misses 2-pt jump shot from 5 ft,17,18
36,1,6:08.0,,Offensive rebound by J. Noah,17,18
37,1,6:08.0,,J. Noah misses 2-pt layup from 2 ft,17,18
38,1,6:07.0,Defensive rebound by T. Chandler,,17,18
39,1,5:48.0,T. Warren misses 2-pt jump shot from 9 ft,,17,18
40,1,5:46.0,,Defensive rebound by J. Noah,17,18
41,1,5:39.0,,C. Anthony makes 2-pt jump shot from 15 ft,17,20
42,1,5:39.0,,Shooting foul by T. Warren (drawn by C. Anthony),17,20
43,1,5:39.0,P. Tucker enters the game for T. Warren,,17,20
44,1,5:39.0,,R. Baker enters the game for C. Lee,17,20
45,1,5:39.0,,C. Anthony makes free throw 1 of 1,17,21
46,1,5:19.0,M. Chriss misses 3-pt jump shot from 24 ft,,17,21
47,1,5:16.0,Offensive rebound by T. Chandler,,17,21
48,1,5:16.0,T. Chandler misses 2-pt layup from 2 ft,,17,21
49,1,5:15.0,,Defensive rebound by J. Noah,17,21
50,1,5:06.0,,Def 3 sec tech foul by T. Chandler,17,21
51,1,5:06.0,,C. Anthony misses technical free throw,17,21
52,1,5:06.0,,Offensive rebound by Team,17,21
53,1,5:01.0,,D. Rose misses 2-pt jump shot from 10 ft,17,21
54,1,4:59.0,,Offensive rebound by J. Noah,17,21
55,1,4:58.0,,K. Porziņģis misses 2-pt hook shot from 5 ft,17,21
56,1,4:56.0,,Offensive rebound by J. Noah,17,21
57,1,4:56.0,,J. Noah misses 2-pt layup at rim,17,21
58,1,4:55.0,,Offensive rebound by D. Rose,17,21
59,1,4:53.0,,D. Rose misses 2-pt jump shot from 8 ft,17,21
60,1,4:52.0,Defensive rebound by T. Chandler,,17,21
61,1,4:48.0,D. Booker makes 3-pt jump shot from 26 ft,,20,21
62,1,4:34.0,,R. Baker misses 2-pt jump shot from 4 ft,20,21
63,1,4:32.0,,Offensive rebound by J. Noah,20,21
64,1,4:28.0,,Turnover by C. Anthony (bad pass; steal by T. Chandler),20,21
65,1,4:22.0,D. Booker misses 2-pt jump shot from 21 ft,,20,21
66,1,4:19.0,Offensive rebound by T. Chandler,,20,21
67,1,4:15.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by P. Tucker),,23,21
68,1,4:03.0,,K. Porziņģis misses 2-pt jump shot from 7 ft,23,21
69,1,4:01.0,Defensive rebound by T. Chandler,,23,21
70,1,3:42.0,M. Chriss misses 3-pt jump shot from 25 ft,,23,21
71,1,3:40.0,,Defensive rebound by R. Baker,23,21
72,1,3:29.0,,K. Porziņģis misses 2-pt jump shot from 11 ft,23,21
73,1,3:28.0,,Offensive rebound by J. Noah,23,21
74,1,3:28.0,,J. Noah misses 2-pt layup from 1 ft,23,21
75,1,3:27.0,Defensive rebound by Team,,23,21
76,1,3:27.0,B. Knight enters the game for E. Bledsoe,,23,21
77,1,3:27.0,,M. Kuzminskas enters the game for K. Porziņģis,23,21
78,1,3:17.0,D. Booker makes 2-pt layup from 2 ft,,25,21
79,1,3:09.0,,C. Anthony makes 3-pt jump shot from 25 ft,25,24
80,1,2:50.0,Turnover by D. Booker (bad pass; steal by C. Anthony),,25,24
81,1,2:45.0,,M. Kuzminskas misses 2-pt dunk at rim (block by M. Chriss),25,24
82,1,2:43.0,Defensive rebound by B. Knight,,25,24
83,1,2:27.0,Turnover by P. Tucker (lost ball; steal by M. Kuzminskas),,25,24
84,1,2:23.0,,D. Rose makes 2-pt layup from 2 ft (assist by C. Anthony),25,26
85,1,2:20.0,Phoenix full timeout,,25,26
86,1,2:20.0,,K. O'Quinn enters the game for J. Noah,25,26
87,1,2:20.0,D. Bender enters the game for M. Chriss,,25,26
88,1,2:20.0,A. Len enters the game for T. Chandler,,25,26
89,1,2:02.0,B. Knight makes 2-pt jump shot from 9 ft,,27,26
90,1,1:44.0,,R. Baker makes 3-pt jump shot from 23 ft (assist by D. Rose),27,29
91,1,1:31.0,Def 3 sec tech foul by K. O'Quinn,,27,29
92,1,1:31.0,D. Booker makes technical free throw,,28,29
93,1,1:27.0,Turnover by A. Len (bad pass; steal by R. Baker),,28,29
94,1,1:22.0,,R. Baker misses 2-pt layup from 2 ft,28,29
95,1,1:20.0,,Offensive rebound by D. Rose,28,29
96,1,1:12.0,,M. Kuzminskas makes 2-pt layup from 1 ft (assist by C. Anthony),28,31
97,1,1:00.0,B. Knight misses 2-pt jump shot from 4 ft,,28,31
98,1,0:59.0,,Defensive rebound by K. O'Quinn,28,31
99,1,0:40.0,,K. O'Quinn misses 2-pt layup from 2 ft,28,31
100,1,0:38.0,Defensive rebound by A. Len,,28,31
