,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW ORLEANS_ACTION,ATLANTA_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,Violation by D. Schröder (kicked ball),,0,0
1,1,11:33.0,,J. Holiday misses 2-pt jump shot from 5 ft,0,0
2,1,11:32.0,,Offensive rebound by A. Davis,0,0
3,1,11:21.0,,D. Cunningham makes 2-pt dunk at rim (assist by A. Davis),0,2
4,1,11:03.0,Turnover by P. Millsap (bad pass; steal by B. Hield),,0,2
5,1,10:58.0,,A. Davis makes 2-pt dunk at rim (assist by D. Cunningham),0,4
6,1,10:46.0,Shooting foul by A. Davis (drawn by D. Howard),,0,4
7,1,10:46.0,D. Howard makes free throw 1 of 2,,1,4
8,1,10:46.0,D. Howard misses free throw 2 of 2,,1,4
9,1,10:45.0,,Defensive rebound by A. Davis,1,4
10,1,10:34.0,,A. Davis misses 2-pt jump shot from 16 ft,1,4
11,1,10:33.0,Defensive rebound by P. Millsap,,1,4
12,1,10:27.0,D. Howard makes 2-pt dunk at rim (assist by P. Millsap),,3,4
13,1,10:12.0,,S. Hill misses 3-pt jump shot from 26 ft,3,4
14,1,10:11.0,Defensive rebound by D. Howard,,3,4
15,1,10:06.0,D. Schröder misses 3-pt jump shot from 27 ft,,3,4
16,1,10:05.0,,Defensive rebound by D. Cunningham,3,4
17,1,9:55.0,,J. Holiday misses 2-pt jump shot from 15 ft,3,4
18,1,9:54.0,Defensive rebound by T. Sefolosha,,3,4
19,1,9:35.0,P. Millsap misses 3-pt jump shot from 25 ft,,3,4
20,1,9:33.0,,Defensive rebound by B. Hield,3,4
21,1,9:24.0,,B. Hield misses 2-pt layup from 2 ft,3,4
22,1,9:23.0,Defensive rebound by D. Howard,,3,4
23,1,9:13.0,D. Schröder makes 2-pt layup from 2 ft,,5,4
24,1,9:02.0,,Shooting foul by P. Millsap (drawn by A. Davis),5,4
25,1,9:02.0,,A. Davis makes free throw 1 of 2,5,5
26,1,9:02.0,,A. Davis makes free throw 2 of 2,5,6
27,1,8:51.0,K. Bazemore misses 2-pt jump shot from 16 ft,,5,6
28,1,8:50.0,,Defensive rebound by B. Hield,5,6
29,1,8:39.0,,B. Hield misses 3-pt jump shot from 25 ft,5,6
30,1,8:38.0,Defensive rebound by D. Howard,,5,6
31,1,8:29.0,P. Millsap makes 2-pt jump shot from 12 ft,,7,6
32,1,8:14.0,,A. Davis misses 2-pt jump shot from 14 ft,7,6
33,1,8:14.0,Defensive rebound by P. Millsap,,7,6
34,1,7:50.0,P. Millsap misses 2-pt jump shot from 14 ft,,7,6
35,1,7:48.0,Offensive rebound by D. Howard,,7,6
36,1,7:48.0,D. Howard makes 2-pt dunk at rim,,9,6
37,1,7:41.0,,Shooting foul by D. Schröder (drawn by J. Holiday),9,6
