,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DETROIT_ACTION,BROOKLYN_SCORE,DETROIT_SCORE
0,1,11:43.0,,M. Morris misses 2-pt jump shot from 15 ft,0,0
1,1,11:42.0,Defensive rebound by J. Lin,,0,0
2,1,11:18.0,J. Lin misses 3-pt jump shot from 26 ft,,0,0
3,1,11:18.0,,Defensive rebound by A. Drummond,0,0
4,1,11:15.0,,Turnover by M. Morris (step out of bounds),0,0
5,1,11:00.0,J. Lin misses 2-pt jump shot from 14 ft,,0,0
6,1,11:00.0,,Defensive rebound by M. Morris,0,0
7,1,10:50.0,,Personal foul by C. LeVert (drawn by M. Morris),0,0
8,1,10:38.0,,J. Leuer misses 3-pt jump shot from 26 ft,0,0
9,1,10:37.0,,Offensive rebound by Team,0,0
10,1,10:33.0,,Turnover by A. Drummond (back court),0,0
11,1,10:13.0,B. Lopez misses 2-pt jump shot from 7 ft,,0,0
12,1,10:13.0,,Defensive rebound by A. Drummond,0,0
13,1,10:01.0,,I. Smith misses 2-pt jump shot from 17 ft,0,0
14,1,10:01.0,Defensive rebound by B. Lopez,,0,0
15,1,9:54.0,R. Hollis-Jefferson misses 2-pt jump shot from 18 ft,,0,0
16,1,9:51.0,,Defensive rebound by M. Morris,0,0
17,1,9:45.0,,J. Leuer misses 2-pt jump shot from 14 ft,0,0
18,1,9:45.0,,Offensive rebound by A. Drummond,0,0
19,1,9:45.0,,Shooting foul by R. Hollis-Jefferson (drawn by A. Drummond),0,0
20,1,9:45.0,,A. Drummond misses free throw 1 of 2,0,0
21,1,9:45.0,,Offensive rebound by Team,0,0
22,1,9:45.0,,A. Drummond misses free throw 2 of 2,0,0
23,1,9:43.0,Defensive rebound by B. Lopez,,0,0
24,1,9:27.0,R. Hollis-Jefferson makes 2-pt layup at rim (assist by C. LeVert),,2,0
25,1,9:09.0,,K. Caldwell-Pope misses 2-pt jump shot from 11 ft,2,0
26,1,9:09.0,Defensive rebound by R. Hollis-Jefferson,,2,0
27,1,8:56.0,R. Hollis-Jefferson misses 2-pt jump shot from 4 ft,,2,0
28,1,8:55.0,,Defensive rebound by M. Morris,2,0
29,1,8:42.0,,J. Leuer makes 2-pt layup from 2 ft,2,2
30,1,8:26.0,R. Hollis-Jefferson makes 2-pt layup at rim (assist by J. Lin),,4,2
31,1,8:13.0,,I. Smith misses 2-pt jump shot from 17 ft,4,2
32,1,8:12.0,Defensive rebound by C. LeVert,,4,2
33,1,8:06.0,C. LeVert misses 2-pt jump shot from 5 ft (block by M. Morris),,4,2
34,1,8:06.0,Offensive rebound by Team,,4,2
35,1,8:02.0,R. Hollis-Jefferson misses 3-pt jump shot from 26 ft,,4,2
36,1,8:02.0,,Defensive rebound by I. Smith,4,2
37,1,7:54.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,4,2
38,1,7:54.0,Defensive rebound by J. Lin,,4,2
39,1,7:37.0,C. LeVert makes 2-pt jump shot from 16 ft,,6,2
40,1,7:23.0,,K. Caldwell-Pope misses 2-pt jump shot from 12 ft,6,2
41,1,7:23.0,Defensive rebound by C. LeVert,,6,2
42,1,7:05.0,J. Lin makes 3-pt jump shot from 23 ft (assist by R. Foye),,9,2
43,1,6:59.0,,Detroit full timeout,9,2
44,1,6:41.0,,I. Smith misses 2-pt jump shot from 17 ft,9,2
45,1,6:40.0,Defensive rebound by B. Lopez,,9,2
