,QUARTER,TIME_REMAINING,ATLANTA_ACTION,TORONTO_ACTION,ATLANTA_SCORE,TORONTO_SCORE
0,1,11:44.0,P. Millsap makes 2-pt layup from 1 ft (assist by D. Schröder),,2,0
1,1,11:27.0,,D. Carroll misses 2-pt jump shot from 20 ft,2,0
2,1,11:27.0,Defensive rebound by D. Howard,,2,0
3,1,11:07.0,D. Howard makes 2-pt layup from 4 ft (assist by T. Sefolosha),,4,0
4,1,10:51.0,,Personal foul by P. Millsap (drawn by D. DeRozan),4,0
5,1,10:39.0,,P. Siakam makes 2-pt jump shot from 4 ft (assist by D. Carroll),4,2
6,1,10:15.0,P. Millsap misses 2-pt jump shot from 5 ft (block by P. Siakam),,4,2
7,1,10:14.0,,Defensive rebound by J. Valančiūnas,4,2
8,1,10:08.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),4,5
9,1,10:01.0,D. Howard misses 2-pt layup from 2 ft,,4,5
10,1,10:00.0,Offensive rebound by D. Howard,,4,5
11,1,10:00.0,D. Howard misses 2-pt jump shot from 4 ft (block by P. Siakam),,4,5
12,1,9:59.0,Offensive rebound by D. Schröder,,4,5
13,1,9:53.0,D. Schröder makes 3-pt jump shot from 25 ft,,7,5
14,1,9:24.0,,P. Siakam makes 2-pt jump shot from 18 ft,7,7
15,1,9:15.0,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),,9,7
16,1,9:01.0,,Personal foul by P. Millsap (drawn by J. Valančiūnas),9,7
17,1,8:49.0,,J. Valančiūnas makes 2-pt jump shot from 14 ft (assist by D. DeRozan),9,9
18,1,8:28.0,P. Millsap makes 2-pt jump shot from 9 ft (assist by D. Schröder),,11,9
19,1,8:18.0,,K. Lowry makes 2-pt layup from 4 ft,11,11
20,1,8:18.0,,Shooting foul by D. Schröder (drawn by K. Lowry),11,11
21,1,8:18.0,,K. Lowry makes free throw 1 of 1,11,12
22,1,8:04.0,D. Howard makes 2-pt dunk at rim (assist by T. Hardaway),,13,12
23,1,7:50.0,,D. DeRozan makes 2-pt jump shot from 18 ft,13,14
24,1,7:46.0,Personal foul by J. Valančiūnas (drawn by D. Howard),,13,14
25,1,7:46.0,M. Muscala enters the game for P. Millsap,,13,14
