,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHARLOTTE_ACTION,ATLANTA_SCORE,CHARLOTTE_SCORE
0,1,11:37.0,D. Howard makes 2-pt layup from 2 ft (assist by D. Schröder),,2,0
1,1,11:21.0,,Shooting foul by T. Hardaway (drawn by M. Kidd-Gilchrist),2,0
2,1,11:21.0,,M. Kidd-Gilchrist misses free throw 1 of 2,2,0
3,1,11:21.0,,Offensive rebound by Team,2,0
4,1,11:21.0,,M. Kidd-Gilchrist makes free throw 2 of 2,2,1
5,1,11:01.0,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by T. Hardaway),,5,1
6,1,10:49.0,,N. Batum misses 2-pt jump shot from 17 ft (block by D. Schröder),5,1
7,1,10:47.0,Defensive rebound by E. İlyasova,,5,1
8,1,10:32.0,T. Sefolosha misses 2-pt layup from 2 ft,,5,1
9,1,10:31.0,Offensive rebound by T. Sefolosha,,5,1
10,1,10:28.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by T. Sefolosha),,8,1
11,1,10:28.0,,Charlotte full timeout,8,1
12,1,10:13.0,,C. Zeller misses 2-pt jump shot from 3 ft (block by D. Howard),8,1
13,1,10:13.0,,Offensive rebound by Team,8,1
14,1,10:06.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,8,1
15,1,10:04.0,Defensive rebound by D. Schröder,,8,1
16,1,9:53.0,E. İlyasova misses 3-pt jump shot from 25 ft,,8,1
17,1,9:51.0,,Defensive rebound by K. Walker,8,1
18,1,9:42.0,,N. Batum makes 2-pt jump shot from 16 ft,8,3
19,1,9:22.0,D. Howard makes 2-pt dunk at rim (assist by E. İlyasova),,10,3
20,1,9:03.0,,M. Williams makes 2-pt jump shot from 5 ft (assist by K. Walker),10,5
21,1,8:50.0,Turnover by D. Schröder (bad pass; steal by N. Batum),,10,5
22,1,8:29.0,,K. Walker misses 2-pt jump shot from 15 ft,10,5
23,1,8:28.0,Defensive rebound by E. İlyasova,,10,5
24,1,8:20.0,D. Schröder misses 2-pt jump shot from 18 ft,,10,5
25,1,8:19.0,,Defensive rebound by M. Williams,10,5
26,1,8:11.0,,C. Zeller makes 2-pt jump shot from 19 ft (assist by N. Batum),10,7
27,1,7:50.0,D. Schröder misses 3-pt jump shot from 26 ft,,10,7
28,1,7:48.0,,Defensive rebound by M. Williams,10,7
29,1,7:36.0,,M. Williams misses 3-pt jump shot from 25 ft,10,7
30,1,7:35.0,Defensive rebound by T. Sefolosha,,10,7
31,1,7:30.0,Shooting foul by M. Williams (drawn by T. Sefolosha),,10,7
32,1,7:30.0,T. Sefolosha misses free throw 1 of 2,,10,7
33,1,7:30.0,Offensive rebound by Team,,10,7
34,1,7:30.0,T. Sefolosha misses free throw 2 of 2,,10,7
35,1,7:30.0,T. Prince enters the game for T. Hardaway,,10,7
36,1,7:28.0,,Defensive rebound by M. Williams,10,7
37,1,7:10.0,,N. Batum misses 2-pt jump shot from 14 ft,10,7
38,1,7:09.0,Defensive rebound by T. Prince,,10,7
39,1,6:45.0,T. Prince makes 2-pt jump shot from 14 ft,,12,7
40,1,6:32.0,,N. Batum misses 3-pt jump shot from 25 ft,12,7
41,1,6:31.0,Defensive rebound by D. Howard,,12,7
42,1,6:21.0,T. Sefolosha misses 3-pt jump shot from 23 ft,,12,7
43,1,6:18.0,Offensive rebound by Team,,12,7
44,1,6:18.0,T. Hardaway enters the game for T. Sefolosha,,12,7
45,1,6:12.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by D. Schröder),,15,7
46,1,5:57.0,Violation by T. Prince (kicked ball),,15,7
47,1,5:57.0,,Charlotte full timeout,15,7
48,1,5:57.0,,F. Kaminsky enters the game for M. Williams,15,7
49,1,5:46.0,,C. Zeller makes 2-pt jump shot from 16 ft (assist by M. Kidd-Gilchrist),15,9
50,1,5:30.0,Turnover by E. İlyasova (lost ball; steal by K. Walker),,15,9
51,1,5:08.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,15,9
52,1,5:07.0,Defensive rebound by E. İlyasova,,15,9
53,1,4:56.0,T. Prince misses 3-pt jump shot from 25 ft,,15,9
54,1,4:55.0,,Defensive rebound by C. Zeller,15,9
55,1,4:41.0,,C. Zeller makes 2-pt layup from 1 ft (assist by N. Batum),15,11
56,1,4:27.0,E. İlyasova misses 3-pt jump shot from 25 ft,,15,11
57,1,4:25.0,,Defensive rebound by M. Kidd-Gilchrist,15,11
58,1,4:16.0,,F. Kaminsky misses 3-pt jump shot from 28 ft,15,11
59,1,4:15.0,Defensive rebound by T. Hardaway,,15,11
60,1,4:06.0,E. İlyasova makes 2-pt layup from 2 ft (assist by D. Howard),,17,11
61,1,3:49.0,,K. Walker misses 3-pt jump shot from 25 ft,17,11
62,1,3:48.0,Defensive rebound by T. Prince,,17,11
63,1,3:44.0,Personal foul by C. Zeller (drawn by D. Howard),,17,11
64,1,3:44.0,,M. Belinelli enters the game for M. Kidd-Gilchrist,17,11
65,1,3:44.0,,B. Weber enters the game for K. Walker,17,11
66,1,3:44.0,K. Humphries enters the game for D. Howard,,17,11
67,1,3:27.0,T. Prince misses 2-pt layup from 2 ft,,17,11
68,1,3:26.0,,Defensive rebound by B. Weber,17,11
69,1,3:13.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,17,11
70,1,3:12.0,Defensive rebound by K. Humphries,,17,11
71,1,3:02.0,Turnover by D. Schröder (lost ball; steal by F. Kaminsky),,17,11
72,1,2:44.0,,F. Kaminsky misses 2-pt jump shot from 11 ft,17,11
73,1,2:44.0,,Offensive rebound by C. Zeller,17,11
74,1,2:44.0,,Shooting foul by D. Schröder (drawn by C. Zeller),17,11
75,1,2:44.0,Atlanta full timeout,,17,11
76,1,2:44.0,,C. Zeller misses free throw 1 of 2,17,11
77,1,2:44.0,,Offensive rebound by Team,17,11
78,1,2:44.0,,C. Zeller misses free throw 2 of 2,17,11
79,1,2:44.0,R. Kelly enters the game for E. İlyasova,,17,11
80,1,2:43.0,Defensive rebound by K. Humphries,,17,11
81,1,2:26.0,Personal foul by C. Zeller (drawn by K. Humphries),,17,11
82,1,2:26.0,,M. Williams enters the game for C. Zeller,17,11
83,1,2:26.0,M. Delaney enters the game for T. Hardaway,,17,11
84,1,2:11.0,M. Delaney misses 2-pt jump shot from 17 ft,,17,11
85,1,2:10.0,,Defensive rebound by B. Weber,17,11
86,1,1:56.0,,N. Batum makes 3-pt jump shot from 23 ft (assist by F. Kaminsky),17,14
87,1,1:39.0,T. Prince misses 2-pt jump shot from 7 ft (block by F. Kaminsky),,17,14
88,1,1:37.0,Offensive rebound by T. Prince,,17,14
89,1,1:33.0,R. Kelly misses 3-pt jump shot from 25 ft,,17,14
90,1,1:32.0,,Defensive rebound by F. Kaminsky,17,14
91,1,1:23.0,,M. Williams makes 2-pt layup from 3 ft (assist by N. Batum),17,16
92,1,1:02.0,,J. Lamb enters the game for N. Batum,17,16
93,1,0:58.0,Turnover by Team (shot clock),,17,16
94,1,0:48.0,,B. Weber misses 2-pt jump shot from 18 ft,17,16
95,1,0:47.0,Defensive rebound by K. Humphries,,17,16
96,1,0:29.0,D. Schröder makes 2-pt layup from 2 ft,,19,16
97,1,0:14.0,,Personal foul by M. Delaney (drawn by M. Belinelli),19,16
98,1,0:00.0,,J. Lamb misses 2-pt jump shot from 20 ft,19,16
99,1,0:00.0,,Offensive rebound by M. Williams,19,16
100,1,0:00.0,,M. Williams makes 2-pt layup from 1 ft,19,18
101,1,0:00.0,,Shooting foul by T. Prince (drawn by M. Williams),19,18
102,1,0:00.0,,M. Williams makes free throw 1 of 1,19,19
103,2,11:48.0,,J. Lamb makes 2-pt layup from 1 ft (assist by F. Kaminsky),19,21
104,2,11:36.0,Turnover by T. Hardaway (bad pass; steal by B. Weber),,19,21
105,2,11:31.0,,B. Weber makes 2-pt layup at rim,19,23
106,2,11:11.0,T. Hardaway misses 2-pt jump shot from 19 ft,,19,23
107,2,11:10.0,,Defensive rebound by J. Lamb,19,23
108,2,10:54.0,,J. Lamb makes 3-pt jump shot from 26 ft,19,26
109,2,10:54.0,Atlanta full timeout,,19,26
110,2,10:37.0,T. Hardaway misses 3-pt jump shot from 25 ft,,19,26
111,2,10:36.0,,Defensive rebound by J. Lamb,19,26
112,2,10:32.0,,Personal foul by M. Delaney (drawn by J. Lamb),19,26
113,2,10:24.0,,Shooting foul by D. Howard (drawn by M. Williams),19,26
114,2,10:24.0,,M. Williams makes free throw 1 of 2,19,27
115,2,10:24.0,,M. Williams makes free throw 2 of 2,19,28
116,2,10:08.0,T. Prince misses 2-pt layup from 2 ft (block by M. Williams),,19,28
117,2,10:05.0,Offensive rebound by D. Howard,,19,28
118,2,10:05.0,D. Howard makes 2-pt dunk at rim,,21,28
119,2,9:49.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by M. Williams),21,31
120,2,9:28.0,Turnover by M. Delaney (lost ball; steal by B. Weber),,21,31
121,2,9:06.0,,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by J. Lamb),21,34
122,2,8:45.0,R. Kelly misses 2-pt layup from 1 ft,,21,34
123,2,8:43.0,,Defensive rebound by F. Kaminsky,21,34
124,2,8:33.0,,M. Belinelli misses 3-pt jump shot from 24 ft,21,34
125,2,8:32.0,Defensive rebound by T. Prince,,21,34
126,2,8:21.0,Shooting foul by J. Lamb (drawn by T. Prince),,21,34
127,2,8:21.0,T. Prince makes free throw 1 of 2,,22,34
128,2,8:21.0,,K. Walker enters the game for B. Weber,22,34
129,2,8:21.0,,C. Zeller enters the game for M. Williams,22,34
130,2,8:21.0,T. Sefolosha enters the game for R. Kelly,,22,34
131,2,8:21.0,T. Prince makes free throw 2 of 2,,23,34
132,2,8:07.0,,Personal foul by M. Delaney (drawn by F. Kaminsky),23,34
133,2,8:02.0,,J. Lamb misses 3-pt jump shot from 25 ft,23,34
134,2,8:01.0,Defensive rebound by M. Delaney,,23,34
135,2,7:44.0,Shooting foul by C. Zeller (drawn by D. Howard),,23,34
136,2,7:44.0,D. Howard misses free throw 1 of 2,,23,34
137,2,7:44.0,Offensive rebound by Team,,23,34
138,2,7:44.0,,M. Williams enters the game for C. Zeller,23,34
139,2,7:44.0,D. Howard makes free throw 2 of 2,,24,34
140,2,7:23.0,,M. Williams makes 2-pt layup from 1 ft (assist by M. Belinelli),24,36
141,2,7:12.0,T. Prince misses 2-pt layup from 2 ft,,24,36
