,QUARTER,TIME_REMAINING,MIAMI_ACTION,PORTLAND_ACTION,MIAMI_SCORE,PORTLAND_SCORE
0,1,11:44.0,,C. McCollum misses 3-pt jump shot from 24 ft,0,0
1,1,11:44.0,,Offensive rebound by M. Plumlee,0,0
2,1,11:33.0,,Turnover by E. Davis (3 sec),0,0
3,1,11:25.0,Turnover by R. McGruder (lost ball),,0,0
4,1,11:10.0,,E. Davis misses 2-pt hook shot from 9 ft,0,0
5,1,11:09.0,Defensive rebound by J. McRoberts,,0,0
6,1,10:58.0,J. McRoberts misses 2-pt jump shot from 15 ft,,0,0
7,1,10:58.0,,Defensive rebound by M. Plumlee,0,0
8,1,10:49.0,,C. McCollum misses 2-pt jump shot from 14 ft,0,0
9,1,10:47.0,Defensive rebound by R. McGruder,,0,0
10,1,10:38.0,W. Ellington makes 2-pt jump shot from 18 ft (assist by G. Dragić),,2,0
11,1,10:17.0,,M. Harkless misses 2-pt layup from 3 ft (block by H. Whiteside),2,0
12,1,10:16.0,Defensive rebound by G. Dragić,,2,0
13,1,10:10.0,G. Dragić makes 2-pt jump shot from 4 ft,,4,0
14,1,9:46.0,,Turnover by Team (shot clock),4,0
15,1,9:30.0,H. Whiteside makes 2-pt jump shot from 17 ft (assist by W. Ellington),,6,0
16,1,9:13.0,,D. Lillard misses 2-pt jump shot from 16 ft,6,0
17,1,9:13.0,,Offensive rebound by E. Davis,6,0
18,1,9:10.0,,E. Davis makes 2-pt dunk at rim,6,2
19,1,8:59.0,H. Whiteside makes 2-pt hook shot at rim (assist by G. Dragić),,8,2
20,1,8:47.0,,M. Harkless makes 3-pt jump shot from 25 ft (assist by D. Lillard),8,5
21,1,8:30.0,G. Dragić makes 2-pt jump shot from 4 ft,,10,5
22,1,8:18.0,,D. Lillard makes 2-pt jump shot from 12 ft,10,7
23,1,7:58.0,G. Dragić misses 2-pt jump shot from 11 ft,,10,7
24,1,7:58.0,,Defensive rebound by E. Davis,10,7
25,1,7:49.0,,D. Lillard misses 2-pt jump shot from 17 ft,10,7
26,1,7:47.0,Defensive rebound by Team,,10,7
27,1,7:34.0,W. Ellington makes 2-pt jump shot from 19 ft (assist by G. Dragić),,12,7
28,1,7:18.0,,M. Harkless misses 3-pt jump shot from 23 ft,12,7
29,1,7:17.0,Defensive rebound by G. Dragić,,12,7
30,1,7:08.0,Personal foul by M. Harkless (drawn by R. McGruder),,12,7
31,1,6:53.0,H. Whiteside makes 2-pt jump shot from 16 ft,,14,7
32,1,6:35.0,,M. Plumlee makes 2-pt hook shot from 4 ft,14,9
33,1,6:23.0,G. Dragić misses 2-pt jump shot from 5 ft,,14,9
34,1,6:22.0,Offensive rebound by H. Whiteside,,14,9
35,1,6:22.0,H. Whiteside makes 2-pt layup from 1 ft,,16,9
36,1,6:21.0,,Portland full timeout,16,9
37,1,6:13.0,,C. McCollum makes 2-pt jump shot from 19 ft (assist by D. Lillard),16,11
38,1,5:56.0,J. McRoberts makes 2-pt layup from 2 ft (assist by G. Dragić),,18,11
39,1,5:49.0,,Turnover by C. McCollum (lost ball; steal by J. McRoberts),18,11
40,1,5:38.0,J. McRoberts makes 3-pt jump shot from 24 ft (assist by G. Dragić),,21,11
41,1,5:18.0,,E. Davis misses 2-pt jump shot from 4 ft (block by H. Whiteside),21,11
42,1,5:17.0,Defensive rebound by G. Dragić,,21,11
43,1,5:08.0,H. Whiteside makes 2-pt jump shot from 21 ft,,23,11
44,1,4:45.0,,M. Plumlee makes 2-pt hook shot from 7 ft (assist by M. Harkless),23,13
45,1,4:34.0,Miami full timeout,,23,13
46,1,4:34.0,,E. Turner enters the game for M. Harkless,23,13
47,1,4:34.0,,A. Crabbe enters the game for M. Plumlee,23,13
48,1,4:34.0,,M. Leonard enters the game for C. McCollum,23,13
49,1,4:34.0,T. Johnson enters the game for R. McGruder,,23,13
50,1,4:24.0,W. Ellington misses 3-pt jump shot from 25 ft,,23,13
51,1,4:22.0,Offensive rebound by Team,,23,13
52,1,4:05.0,G. Dragić makes 2-pt jump shot from 10 ft,,25,13
53,1,3:42.0,,D. Lillard makes 2-pt layup from 1 ft,25,15
54,1,3:27.0,G. Dragić misses 2-pt layup from 2 ft (block by E. Davis),,25,15
55,1,3:27.0,,Defensive rebound by M. Leonard,25,15
56,1,3:27.0,,Personal foul by J. McRoberts (drawn by M. Leonard),25,15
57,1,3:27.0,J. Johnson enters the game for J. McRoberts,,25,15
58,1,3:12.0,,E. Turner misses 3-pt jump shot from 23 ft,25,15
59,1,3:10.0,,Offensive rebound by E. Davis,25,15
60,1,3:05.0,,D. Lillard misses 2-pt jump shot from 10 ft,25,15
61,1,3:05.0,,Offensive rebound by E. Davis,25,15
62,1,2:59.0,,M. Leonard misses 3-pt jump shot from 25 ft,25,15
63,1,2:58.0,Defensive rebound by T. Johnson,,25,15
64,1,2:49.0,T. Johnson makes 2-pt layup from 2 ft,,27,15
65,1,2:39.0,,E. Turner misses 2-pt jump shot from 14 ft,27,15
66,1,2:38.0,Defensive rebound by H. Whiteside,,27,15
67,1,2:25.0,Personal foul by D. Lillard (drawn by G. Dragić),,27,15
68,1,2:25.0,Technical foul by J. Johnson,,27,15
69,1,2:25.0,R. McGruder enters the game for W. Ellington,,27,15
70,1,2:25.0,,D. Lillard makes technical free throw,27,16
71,1,2:19.0,G. Dragić misses 2-pt jump shot from 14 ft,,27,16
72,1,2:18.0,,Defensive rebound by E. Turner,27,16
