,QUARTER,TIME_REMAINING,DENVER_ACTION,LA CLIPPERS_ACTION,DENVER_SCORE,LA CLIPPERS_SCORE
0,1,11:37.0,,Shooting foul by N. Jokić (drawn by D. Jordan),0,0
1,1,11:37.0,,D. Jordan misses free throw 1 of 2,0,0
2,1,11:37.0,,Offensive rebound by Team,0,0
3,1,11:37.0,,D. Jordan makes free throw 2 of 2,0,1
4,1,11:16.0,E. Mudiay makes 2-pt jump shot from 14 ft,,2,1
5,1,11:01.0,,W. Johnson misses 3-pt jump shot from 25 ft,2,1
6,1,11:00.0,Defensive rebound by E. Mudiay,,2,1
7,1,10:53.0,G. Harris misses 2-pt jump shot from 5 ft,,2,1
8,1,10:50.0,,Defensive rebound by W. Johnson,2,1
9,1,10:34.0,,A. Rivers misses 3-pt jump shot from 27 ft,2,1
10,1,10:33.0,Defensive rebound by D. Gallinari,,2,1
11,1,10:28.0,Turnover by D. Gallinari (bad pass; steal by J. Crawford),,2,1
12,1,10:23.0,,J. Crawford makes 2-pt jump shot from 13 ft,2,3
13,1,10:11.0,Shooting foul by L. Mbah a Moute (drawn by D. Gallinari),,2,3
14,1,10:11.0,D. Gallinari makes free throw 1 of 2,,3,3
15,1,10:11.0,D. Gallinari makes free throw 2 of 2,,4,3
16,1,9:59.0,,Turnover by J. Crawford (bad pass; steal by E. Mudiay),4,3
17,1,9:53.0,E. Mudiay misses 2-pt jump shot from 24 ft,,4,3
18,1,9:49.0,,Defensive rebound by W. Johnson,4,3
19,1,9:44.0,,L. Mbah a Moute misses 2-pt layup from 2 ft,4,3
20,1,9:43.0,Defensive rebound by N. Jokić,,4,3
21,1,9:25.0,Turnover by W. Chandler (bad pass; steal by A. Rivers),,4,3
22,1,9:19.0,,A. Rivers misses 2-pt layup from 1 ft,4,3
23,1,9:15.0,Defensive rebound by E. Mudiay,,4,3
24,1,9:12.0,D. Gallinari makes 2-pt dunk at rim (assist by W. Chandler),,6,3
25,1,8:56.0,,J. Crawford misses 3-pt jump shot from 27 ft,6,3
26,1,8:55.0,Defensive rebound by W. Chandler,,6,3
27,1,8:46.0,G. Harris misses 2-pt jump shot from 15 ft,,6,3
