,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,INDIANA_ACTION,NEW ORLEANS_SCORE,INDIANA_SCORE
0,1,11:45.0,J. Holiday makes 2-pt jump shot from 16 ft,,2,0
1,1,11:29.0,,J. Teague makes 2-pt jump shot from 9 ft,2,2
2,1,11:12.0,A. Davis makes 2-pt jump shot from 22 ft (assist by J. Holiday),,4,2
3,1,10:54.0,,J. Teague makes 2-pt jump shot from 21 ft,4,4
4,1,10:44.0,Turnover by B. Hield (lost ball; steal by T. Young),,4,4
5,1,10:34.0,,Turnover by J. Teague (lost ball; steal by D. Cunningham),4,4
6,1,10:18.0,J. Holiday misses 2-pt jump shot from 6 ft (block by G. Robinson),,4,4
7,1,10:17.0,,Defensive rebound by G. Robinson,4,4
8,1,10:12.0,,Personal foul by J. Holiday,4,4
9,1,10:03.0,,M. Turner makes 3-pt jump shot from 28 ft (assist by J. Teague),4,7
10,1,9:47.0,Personal foul by P. George,,4,7
11,1,9:40.0,A. Davis makes 2-pt dunk from 4 ft (assist by J. Holiday),,6,7
12,1,9:20.0,,P. George misses 3-pt jump shot from 26 ft,6,7
13,1,9:20.0,Defensive rebound by B. Hield,,6,7
14,1,9:04.0,S. Hill misses 3-pt jump shot from 25 ft,,6,7
15,1,9:03.0,,Defensive rebound by T. Young,6,7
16,1,8:50.0,,G. Robinson misses 3-pt jump shot from 24 ft,6,7
17,1,8:50.0,Defensive rebound by B. Hield,,6,7
18,1,8:32.0,D. Cunningham misses 2-pt jump shot from 17 ft,,6,7
19,1,8:31.0,,Defensive rebound by J. Teague,6,7
20,1,8:27.0,,Personal foul by S. Hill,6,7
21,1,8:15.0,,G. Robinson makes 2-pt layup from 3 ft (assist by J. Teague),6,9
22,1,8:03.0,Personal foul by T. Young,,6,9
23,1,7:55.0,A. Davis misses 2-pt jump shot from 9 ft,,6,9
24,1,7:55.0,,Defensive rebound by M. Turner,6,9
25,1,7:42.0,,P. George makes 2-pt jump shot from 21 ft (assist by J. Teague),6,11
26,1,7:23.0,B. Hield makes 3-pt jump shot from 25 ft (assist by A. Davis),,9,11
27,1,6:59.0,,P. George misses 2-pt jump shot from 15 ft,9,11
28,1,6:59.0,,Offensive rebound by M. Turner,9,11
29,1,6:59.0,Loose ball foul by J. Holiday,,9,11
30,1,6:59.0,T. Evans enters the game for J. Holiday,,9,11
31,1,6:51.0,,M. Turner misses 2-pt jump shot from 16 ft (block by B. Hield),9,11
32,1,6:50.0,Defensive rebound by A. Davis,,9,11
33,1,6:43.0,D. Cunningham misses 3-pt jump shot from 23 ft,,9,11
34,1,6:42.0,,Defensive rebound by J. Teague,9,11
35,1,6:35.0,,T. Young makes 2-pt hook shot from 8 ft (assist by J. Teague),9,13
36,1,6:29.0,Turnover by T. Evans (lost ball; steal by T. Young),,9,13
37,1,6:11.0,,G. Robinson makes 2-pt dunk from 3 ft (assist by M. Turner),9,15
38,1,5:52.0,Turnover by S. Hill (lost ball; steal by P. George),,9,15
39,1,5:39.0,,J. Teague makes 2-pt jump shot from 19 ft,9,17
40,1,5:30.0,New Orleans full timeout,,9,17
41,1,5:21.0,B. Hield makes 3-pt jump shot from 27 ft (assist by T. Evans),,12,17
42,1,5:08.0,,Personal foul by S. Hill,12,17
43,1,5:08.0,E. Moore enters the game for S. Hill,,12,17
44,1,4:57.0,,T. Young makes 2-pt jump shot from 14 ft (assist by P. George),12,19
45,1,4:45.0,Turnover by B. Hield (lost ball; steal by T. Young),,12,19
46,1,4:28.0,,T. Young misses 2-pt layup from 3 ft,12,19
47,1,4:28.0,Defensive rebound by T. Evans,,12,19
48,1,4:21.0,Turnover by T. Evans (lost ball; steal by T. Young),,12,19
49,1,4:15.0,,P. George makes 2-pt dunk at rim (assist by G. Robinson),12,21
50,1,3:58.0,T. Evans makes 2-pt layup from 1 ft,,14,21
51,1,3:47.0,,T. Young makes 2-pt dunk from 2 ft (assist by J. Teague),14,23
52,1,3:31.0,,M. Ellis enters the game for T. Young,14,23
53,1,3:31.0,,K. Séraphin enters the game for G. Robinson,14,23
54,1,3:31.0,T. Jones enters the game for D. Cunningham,,14,23
55,1,3:31.0,L. Galloway enters the game for B. Hield,,14,23
56,1,3:23.0,Personal foul by K. Séraphin,,14,23
57,1,3:23.0,,Indiana full timeout,14,23
58,1,3:09.0,A. Davis misses 2-pt hook shot from 7 ft,,14,23
59,1,3:07.0,Offensive rebound by T. Jones,,14,23
60,1,3:07.0,T. Jones misses 2-pt layup from 1 ft,,14,23
61,1,3:06.0,Offensive rebound by T. Jones,,14,23
