,QUARTER,TIME_REMAINING,PHOENIX_ACTION,HOUSTON_ACTION,PHOENIX_SCORE,HOUSTON_SCORE
0,1,11:42.0,P. Tucker misses 2-pt layup from 1 ft,,0,0
1,1,11:40.0,,Defensive rebound by J. Harden,0,0
2,1,11:29.0,,T. Ariza misses 3-pt jump shot from 24 ft,0,0
3,1,11:29.0,Defensive rebound by E. Bledsoe,,0,0
4,1,11:23.0,Personal foul by R. Anderson (drawn by E. Bledsoe),,0,0
5,1,11:18.0,Turnover by E. Bledsoe (bad pass; steal by P. Beverley),,0,0
6,1,11:03.0,,J. Harden makes 2-pt layup from 2 ft,0,2
7,1,10:50.0,E. Bledsoe makes 2-pt layup from 3 ft (assist by M. Chriss),,2,2
8,1,10:50.0,Shooting foul by T. Ariza (drawn by E. Bledsoe),,2,2
9,1,10:50.0,E. Bledsoe misses free throw 1 of 1,,2,2
10,1,10:50.0,,Defensive rebound by T. Ariza,2,2
11,1,10:35.0,,R. Anderson makes 2-pt jump shot from 22 ft,2,4
12,1,10:25.0,D. Booker misses 3-pt jump shot from 26 ft,,2,4
13,1,10:25.0,,Defensive rebound by P. Beverley,2,4
14,1,10:18.0,,J. Harden misses 3-pt jump shot from 26 ft,2,4
15,1,10:17.0,,Offensive rebound by R. Anderson,2,4
16,1,10:12.0,,R. Anderson makes 3-pt jump shot from 24 ft,2,7
17,1,10:07.0,D. Booker misses 3-pt jump shot from 25 ft,,2,7
18,1,10:06.0,,Defensive rebound by T. Ariza,2,7
19,1,9:42.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by T. Ariza),2,10
20,1,9:41.0,Phoenix full timeout,,2,10
21,1,9:19.0,Shooting foul by M. Harrell (drawn by E. Bledsoe),,2,10
22,1,9:19.0,E. Bledsoe makes free throw 1 of 3,,3,10
23,1,9:19.0,E. Bledsoe makes free throw 2 of 3,,4,10
24,1,9:19.0,E. Bledsoe makes free throw 3 of 3,,5,10
25,1,8:58.0,,Turnover by T. Ariza (bad pass; steal by E. Bledsoe),5,10
26,1,8:51.0,E. Bledsoe makes 2-pt layup from 1 ft,,7,10
27,1,8:37.0,,P. Beverley misses 3-pt jump shot from 23 ft,7,10
28,1,8:37.0,,Offensive rebound by J. Harden,7,10
29,1,8:33.0,,J. Harden misses 3-pt jump shot from 25 ft,7,10
30,1,8:32.0,Defensive rebound by T. Chandler,,7,10
31,1,8:13.0,D. Booker misses 2-pt jump shot from 21 ft,,7,10
32,1,8:12.0,,Defensive rebound by M. Harrell,7,10
33,1,8:00.0,,R. Anderson makes 2-pt jump shot from 14 ft (assist by T. Ariza),7,12
34,1,7:46.0,M. Chriss makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,10,12
35,1,7:42.0,,Shooting foul by M. Chriss (drawn by M. Harrell),10,12
36,1,7:42.0,,M. Harrell makes 2-pt layup from 3 ft (assist by J. Harden),10,14
37,1,7:42.0,,M. Harrell makes free throw 1 of 1,10,15
38,1,7:30.0,M. Chriss misses 3-pt jump shot from 23 ft,,10,15
