,QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
0,1,11:39.0,I. Thomas misses 3-pt jump shot from 25 ft,,0,0
1,1,11:38.0,,Defensive rebound by M. Morris,0,0
2,1,11:18.0,,B. Beal misses 2-pt jump shot from 18 ft,0,0
3,1,11:17.0,,Offensive rebound by M. Gortat,0,0
4,1,11:15.0,,M. Gortat makes 2-pt layup from 2 ft,0,2
5,1,11:07.0,T. Zeller makes 2-pt layup from 2 ft (assist by A. Johnson),,2,2
6,1,10:53.0,,O. Porter makes 3-pt jump shot from 27 ft (assist by M. Morris),2,5
7,1,10:39.0,Turnover by J. Brown (lost ball; steal by M. Morris),,2,5
8,1,10:31.0,,B. Beal misses 2-pt layup from 1 ft,2,5
9,1,10:29.0,,Offensive rebound by B. Beal,2,5
10,1,10:25.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),2,8
11,1,10:11.0,Personal foul by B. Beal (drawn by I. Thomas),,2,8
12,1,10:01.0,Offensive foul by J. Brown (drawn by J. Wall),,2,8
13,1,10:01.0,Turnover by J. Brown (offensive foul),,2,8
14,1,9:37.0,,B. Beal misses 2-pt jump shot from 11 ft,2,8
15,1,9:36.0,Defensive rebound by J. Brown,,2,8
16,1,9:25.0,A. Bradley misses 3-pt jump shot from 26 ft,,2,8
17,1,9:24.0,,Defensive rebound by O. Porter,2,8
18,1,9:19.0,,J. Wall makes 2-pt jump shot from 21 ft (assist by O. Porter),2,10
19,1,9:03.0,I. Thomas misses 3-pt jump shot from 27 ft,,2,10
20,1,9:02.0,,Defensive rebound by M. Morris,2,10
21,1,8:45.0,,B. Beal misses 2-pt layup at rim (block by T. Zeller),2,10
22,1,8:42.0,,Offensive rebound by O. Porter,2,10
23,1,8:41.0,,O. Porter makes 2-pt layup from 1 ft,2,12
24,1,8:41.0,Boston full timeout,,2,12
25,1,8:41.0,M. Smart enters the game for J. Brown,,2,12
26,1,8:22.0,I. Thomas misses 2-pt layup from 1 ft,,2,12
27,1,8:22.0,,Defensive rebound by M. Gortat,2,12
28,1,8:14.0,,Personal foul by M. Smart (drawn by B. Beal),2,12
29,1,8:14.0,,M. Thornton enters the game for B. Beal,2,12
30,1,8:05.0,,J. Wall misses 2-pt jump shot from 19 ft,2,12
31,1,8:05.0,Defensive rebound by Team,,2,12
