,QUARTER,TIME_REMAINING,UTAH_ACTION,CHICAGO_ACTION,UTAH_SCORE,CHICAGO_SCORE
0,1,11:49.0,J. Johnson misses 2-pt jump shot from 11 ft,,0,0
1,1,11:48.0,,Defensive rebound by J. Butler,0,0
2,1,11:33.0,,R. Lopez misses 2-pt jump shot from 6 ft (block by R. Gobert),0,0
3,1,11:31.0,Defensive rebound by R. Gobert,,0,0
4,1,11:15.0,G. Hayward makes 3-pt jump shot from 23 ft (assist by J. Johnson),,3,0
5,1,11:00.0,,Turnover by J. Butler (bad pass),3,0
6,1,10:36.0,G. Hill makes 2-pt layup from 2 ft (assist by R. Gobert),,5,0
7,1,10:10.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by J. Butler),5,2
8,1,9:52.0,R. Gobert misses 2-pt jump shot from 8 ft (block by R. Lopez),,5,2
9,1,9:51.0,,Defensive rebound by R. Lopez,5,2
10,1,9:34.0,,N. Mirotić misses 2-pt jump shot from 12 ft,5,2
11,1,9:33.0,Defensive rebound by G. Hill,,5,2
12,1,9:17.0,G. Hayward misses 3-pt jump shot from 26 ft,,5,2
13,1,9:16.0,Offensive rebound by R. Gobert,,5,2
14,1,9:05.0,J. Ingles makes 2-pt layup from 2 ft,,7,2
15,1,8:51.0,,J. Butler makes 2-pt layup from 2 ft,7,4
16,1,8:34.0,G. Hayward misses 2-pt jump shot from 21 ft,,7,4
17,1,8:33.0,,Defensive rebound by N. Mirotić,7,4
18,1,8:24.0,,Turnover by R. Rondo (bad pass),7,4
19,1,8:06.0,J. Johnson misses 2-pt jump shot from 7 ft,,7,4
20,1,8:05.0,Offensive rebound by J. Johnson,,7,4
21,1,8:05.0,J. Johnson makes 2-pt layup from 2 ft,,9,4
22,1,7:51.0,,J. Butler misses 2-pt jump shot from 13 ft,9,4
23,1,7:50.0,Defensive rebound by J. Johnson,,9,4
24,1,7:29.0,G. Hill misses 2-pt jump shot from 21 ft,,9,4
25,1,7:28.0,,Defensive rebound by N. Mirotić,9,4
26,1,7:09.0,,Turnover by R. Rondo (bad pass; steal by G. Hill),9,4
27,1,6:58.0,G. Hill makes 3-pt jump shot from 23 ft (assist by G. Hayward),,12,4
28,1,6:55.0,,Chicago full timeout,12,4
29,1,6:44.0,,Turnover by J. Butler (bad pass; steal by J. Ingles),12,4
30,1,6:43.0,Personal foul by P. Zipser (drawn by G. Hill),,12,4
31,1,6:28.0,J. Johnson misses 3-pt jump shot from 25 ft,,12,4
32,1,6:26.0,,Defensive rebound by R. Rondo,12,4
33,1,6:21.0,,D. Valentine enters the game for P. Zipser,12,4
34,1,6:21.0,,R. Rondo misses 3-pt jump shot from 24 ft,12,4
35,1,6:20.0,Defensive rebound by R. Gobert,,12,4
36,1,5:52.0,G. Hill makes 3-pt jump shot from 27 ft,,15,4
37,1,5:38.0,,N. Mirotić misses 3-pt jump shot from 25 ft,15,4
