,QUARTER,TIME_REMAINING,DENVER_ACTION,DALLAS_ACTION,DENVER_SCORE,DALLAS_SCORE
0,1,11:38.0,Turnover by J. Nurkić (lost ball; steal by D. Finney-Smith),,0,0
1,1,11:23.0,,W. Matthews misses 2-pt jump shot from 20 ft,0,0
2,1,11:22.0,Defensive rebound by D. Gallinari,,0,0
3,1,11:06.0,D. Gallinari misses 2-pt dunk from 2 ft (block by S. Mejri),,0,0
4,1,11:04.0,,Defensive rebound by D. Finney-Smith,0,0
5,1,10:58.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,0,0
6,1,10:57.0,,Offensive rebound by S. Mejri,0,0
7,1,10:43.0,,S. Mejri makes 2-pt layup from 1 ft (assist by D. Finney-Smith),0,2
8,1,10:29.0,E. Mudiay misses 3-pt jump shot from 23 ft,,0,2
9,1,10:28.0,,Defensive rebound by H. Barnes,0,2
10,1,10:23.0,,D. Williams makes 2-pt layup from 1 ft,0,4
11,1,10:04.0,Turnover by D. Arthur (bad pass; steal by S. Mejri),,0,4
12,1,9:56.0,,Turnover by H. Barnes (bad pass; steal by D. Arthur),0,4
13,1,9:52.0,D. Arthur makes 2-pt dunk at rim,,2,4
14,1,9:19.0,,H. Barnes misses 2-pt jump shot from 23 ft,2,4
15,1,9:18.0,Defensive rebound by J. Nurkić,,2,4
16,1,9:13.0,W. Barton misses 2-pt layup from 2 ft (block by S. Mejri),,2,4
17,1,9:04.0,Offensive rebound by W. Barton,,2,4
18,1,9:04.0,W. Barton misses 2-pt jump shot from 20 ft,,2,4
19,1,9:03.0,Offensive rebound by D. Arthur,,2,4
20,1,8:54.0,E. Mudiay misses 2-pt jump shot from 23 ft,,2,4
21,1,8:52.0,Offensive rebound by D. Gallinari,,2,4
22,1,8:45.0,Turnover by D. Arthur (bad pass; steal by D. Finney-Smith),,2,4
23,1,8:42.0,,D. Finney-Smith makes 2-pt layup at rim,2,6
24,1,8:21.0,Personal block foul by W. Matthews (drawn by D. Gallinari),,2,6
25,1,8:15.0,E. Mudiay misses 2-pt layup from 1 ft (block by S. Mejri),,2,6
26,1,8:14.0,,Defensive rebound by S. Mejri,2,6
27,1,8:09.0,,H. Barnes makes 2-pt layup at rim,2,8
28,1,8:09.0,,Shooting foul by D. Arthur (drawn by H. Barnes),2,8
29,1,8:09.0,,H. Barnes makes free throw 1 of 1,2,9
30,1,7:52.0,W. Barton misses 3-pt jump shot from 23 ft,,2,9
31,1,7:51.0,,Defensive rebound by D. Finney-Smith,2,9
32,1,7:37.0,,Shooting foul by E. Mudiay (drawn by H. Barnes),2,9
33,1,7:37.0,,H. Barnes misses free throw 1 of 2,2,9
34,1,7:37.0,,Offensive rebound by Team,2,9
35,1,7:37.0,,H. Barnes makes free throw 2 of 2,2,10
