,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MILWAUKEE_ACTION,LA LAKERS_SCORE,MILWAUKEE_SCORE
0,1,11:38.0,T. Black makes 2-pt layup from 1 ft (assist by N. Young),,2,0
1,1,11:18.0,,J. Henson makes 2-pt hook shot from 17 ft (assist by T. Snell),2,2
2,1,11:02.0,N. Young makes 2-pt jump shot from 4 ft (assist by J. Randle),,4,2
3,1,10:46.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),4,5
4,1,10:32.0,J. Randle makes 2-pt dunk at rim,,6,5
5,1,10:32.0,Shooting foul by T. Maker (drawn by J. Randle),,6,5
6,1,10:32.0,J. Randle misses free throw 1 of 1,,6,5
7,1,10:31.0,,Defensive rebound by J. Henson,6,5
8,1,10:23.0,,Shooting foul by B. Ingram (drawn by G. Antetokounmpo),6,5
9,1,10:23.0,,G. Antetokounmpo makes free throw 1 of 2,6,6
10,1,10:23.0,,G. Antetokounmpo makes free throw 2 of 2,6,7
11,1,9:59.0,B. Ingram misses 2-pt jump shot from 16 ft,,6,7
12,1,9:58.0,,Defensive rebound by T. Maker,6,7
13,1,9:49.0,,T. Maker misses 3-pt jump shot from 29 ft,6,7
14,1,9:48.0,Defensive rebound by D. Russell,,6,7
15,1,9:39.0,Shooting foul by T. Snell (drawn by N. Young),,6,7
16,1,9:39.0,N. Young makes 3-pt jump shot from 24 ft (assist by J. Randle),,9,7
17,1,9:39.0,N. Young makes free throw 1 of 1,,10,7
18,1,9:22.0,,G. Antetokounmpo misses 2-pt jump shot from 20 ft,10,7
19,1,9:21.0,Defensive rebound by T. Black,,10,7
20,1,9:15.0,Shooting foul by J. Henson (drawn by J. Randle),,10,7
21,1,9:15.0,J. Randle makes free throw 1 of 2,,11,7
22,1,9:15.0,J. Randle makes free throw 2 of 2,,12,7
23,1,9:04.0,,Turnover by G. Antetokounmpo (bad pass),12,7
24,1,8:45.0,D. Russell makes 3-pt jump shot from 26 ft (assist by N. Young),,15,7
25,1,8:29.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,15,7
26,1,8:28.0,Defensive rebound by B. Ingram,,15,7
27,1,8:17.0,B. Ingram makes 2-pt layup at rim (assist by T. Black),,17,7
28,1,8:16.0,,Milwaukee full timeout,17,7
29,1,8:16.0,,K. Middleton enters the game for T. Maker,17,7
30,1,7:58.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),17,9
31,1,7:35.0,B. Ingram misses 3-pt jump shot from 25 ft,,17,9
32,1,7:34.0,,Defensive rebound by T. Snell,17,9
33,1,7:32.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Dellavedova),17,11
34,1,7:32.0,,Shooting foul by D. Russell (drawn by G. Antetokounmpo),17,11
35,1,7:32.0,,G. Antetokounmpo makes free throw 1 of 1,17,12
36,1,7:14.0,N. Young makes 3-pt jump shot from 24 ft (assist by D. Russell),,20,12
37,1,6:57.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,20,12
38,1,6:56.0,Defensive rebound by J. Randle,,20,12
39,1,6:42.0,T. Black makes 2-pt dunk at rim (assist by D. Russell),,22,12
40,1,6:30.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Henson),22,14
41,1,6:14.0,Turnover by D. Russell (bad pass; steal by J. Henson),,22,14
42,1,6:08.0,,G. Antetokounmpo misses 2-pt layup at rim (block by T. Black),22,14
43,1,6:06.0,Defensive rebound by D. Russell,,22,14
44,1,6:00.0,J. Randle makes 2-pt jump shot from 6 ft (assist by N. Young),,24,14
45,1,5:48.0,,Turnover by M. Dellavedova (bad pass; steal by D. Russell),24,14
46,1,5:43.0,N. Young makes 2-pt layup at rim,,26,14
