,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHARLOTTE_ACTION,WASHINGTON_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,,K. Walker misses 2-pt jump shot from 16 ft,0,0
1,1,11:41.0,Defensive rebound by M. Gortat,,0,0
2,1,11:23.0,M. Gortat misses 2-pt jump shot from 7 ft,,0,0
3,1,11:22.0,,Defensive rebound by N. Batum,0,0
4,1,11:16.0,,C. Zeller misses 2-pt jump shot from 18 ft,0,0
5,1,11:15.0,Defensive rebound by M. Gortat,,0,0
6,1,11:00.0,J. Wall misses 3-pt jump shot from 24 ft,,0,0
7,1,10:58.0,Offensive rebound by O. Porter,,0,0
8,1,10:50.0,J. Wall misses 2-pt layup from 1 ft,,0,0
9,1,10:48.0,Offensive rebound by M. Gortat,,0,0
10,1,10:46.0,Turnover by M. Gortat (lost ball; steal by C. Zeller),,0,0
11,1,10:41.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by J. Smith),0,0
12,1,10:41.0,Defensive rebound by Team,,0,0
13,1,10:24.0,J. Wall makes 2-pt dunk at rim (assist by B. Beal),,2,0
14,1,10:10.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),2,3
15,1,9:57.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,5,3
16,1,9:42.0,,C. Zeller makes 2-pt layup at rim (assist by N. Batum),5,5
17,1,9:28.0,B. Beal makes 2-pt dunk at rim (assist by J. Wall),,7,5
18,1,9:07.0,,K. Walker misses 3-pt jump shot from 23 ft,7,5
19,1,9:06.0,Defensive rebound by M. Gortat,,7,5
20,1,8:59.0,J. Wall misses 2-pt layup from 1 ft (block by M. Kidd-Gilchrist),,7,5
21,1,8:57.0,,Defensive rebound by N. Batum,7,5
22,1,8:55.0,,N. Batum misses 2-pt layup from 2 ft,7,5
23,1,8:53.0,,Offensive rebound by M. Williams,7,5
24,1,8:53.0,,M. Williams makes 2-pt layup from 1 ft,7,7
25,1,8:38.0,J. Smith misses 2-pt jump shot from 18 ft,,7,7
26,1,8:35.0,,Defensive rebound by C. Zeller,7,7
27,1,8:28.0,,Personal foul by B. Beal (drawn by C. Zeller),7,7
28,1,8:28.0,,C. Zeller makes free throw 1 of 2,7,8
29,1,8:28.0,,C. Zeller misses free throw 2 of 2,7,8
30,1,8:27.0,Defensive rebound by M. Gortat,,7,8
31,1,8:06.0,O. Porter misses 3-pt jump shot from 25 ft,,7,8
32,1,8:05.0,,Defensive rebound by M. Williams,7,8
33,1,7:58.0,,N. Batum misses 3-pt jump shot from 24 ft,7,8
34,1,7:56.0,Defensive rebound by J. Smith,,7,8
35,1,7:43.0,J. Wall misses 2-pt layup from 1 ft,,7,8
36,1,7:42.0,,Defensive rebound by M. Kidd-Gilchrist,7,8
37,1,7:24.0,,C. Zeller makes 2-pt dunk at rim (assist by K. Walker),7,10
38,1,6:59.0,J. Smith makes 2-pt jump shot from 16 ft (assist by B. Beal),,9,10
39,1,6:37.0,,M. Williams misses 3-pt jump shot from 24 ft,9,10
40,1,6:35.0,,Offensive rebound by C. Zeller,9,10
41,1,6:35.0,,C. Zeller makes 2-pt layup at rim,9,12
42,1,6:06.0,M. Gortat makes 2-pt hook shot from 7 ft,,11,12
43,1,5:55.0,,Turnover by K. Walker (lost ball; steal by J. Wall),11,12
44,1,5:53.0,J. Wall makes 2-pt layup from 1 ft,,13,12
45,1,5:53.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Wall),,13,12
46,1,5:53.0,,Charlotte full timeout,13,12
47,1,5:53.0,,M. Belinelli enters the game for M. Williams,13,12
48,1,5:53.0,,F. Kaminsky enters the game for N. Batum,13,12
49,1,5:53.0,J. Wall makes free throw 1 of 1,,14,12
50,1,5:31.0,,Personal foul by J. Smith (drawn by K. Walker),14,12
51,1,5:22.0,,F. Kaminsky misses 3-pt jump shot from 27 ft,14,12
52,1,5:21.0,Defensive rebound by B. Beal,,14,12
53,1,5:08.0,O. Porter misses 3-pt jump shot from 25 ft,,14,12
54,1,5:06.0,,Defensive rebound by Team,14,12
55,1,4:46.0,,Shooting foul by B. Beal (drawn by M. Belinelli),14,12
56,1,4:46.0,,M. Belinelli makes free throw 1 of 3,14,13
57,1,4:46.0,,M. Belinelli makes free throw 2 of 3,14,14
58,1,4:46.0,B. Jennings enters the game for B. Beal,,14,13
59,1,4:46.0,,M. Belinelli makes free throw 3 of 3,14,15
60,1,4:38.0,J. Wall misses 2-pt jump shot from 21 ft,,14,15
61,1,4:36.0,Offensive rebound by O. Porter,,14,15
62,1,4:26.0,B. Jennings misses 3-pt jump shot from 25 ft,,14,15
63,1,4:25.0,,Defensive rebound by F. Kaminsky,14,15
64,1,4:10.0,,M. Belinelli misses 2-pt jump shot from 4 ft,14,15
65,1,4:09.0,Defensive rebound by B. Jennings,,14,15
66,1,3:45.0,O. Porter misses 2-pt jump shot from 19 ft,,14,15
67,1,3:43.0,Offensive rebound by M. Gortat,,14,15
68,1,3:37.0,Shooting foul by M. Kidd-Gilchrist (drawn by O. Porter),,14,15
69,1,3:37.0,O. Porter makes free throw 1 of 2,,15,15
70,1,3:37.0,,B. Weber enters the game for K. Walker,15,15
71,1,3:37.0,,J. Lamb enters the game for M. Kidd-Gilchrist,15,15
72,1,3:37.0,O. Porter makes free throw 2 of 2,,16,15
73,1,3:17.0,,Turnover by M. Belinelli (bad pass; steal by O. Porter),16,15
74,1,3:13.0,Shooting foul by J. Lamb (drawn by J. Wall),,16,15
75,1,3:13.0,J. Wall misses free throw 1 of 2,,16,15
76,1,3:13.0,Offensive rebound by Team,,16,15
77,1,3:13.0,,M. Williams enters the game for C. Zeller,16,15
78,1,3:13.0,B. Bogdanović enters the game for M. Gortat,,16,15
79,1,3:13.0,I. Mahinmi enters the game for O. Porter,,16,15
80,1,3:13.0,J. Wall makes free throw 2 of 2,,17,15
81,1,2:49.0,,Turnover by Team (shot clock),17,15
82,1,2:49.0,Washington full timeout,,17,15
83,1,2:49.0,K. Oubre enters the game for J. Wall,,17,15
84,1,2:23.0,B. Bogdanović misses 2-pt jump shot from 10 ft,,17,15
85,1,2:22.0,,Defensive rebound by B. Weber,17,15
86,1,2:15.0,,B. Weber misses 2-pt layup from 1 ft,17,15
87,1,2:14.0,Defensive rebound by I. Mahinmi,,17,15
88,1,2:08.0,J. Smith makes 3-pt jump shot from 25 ft (assist by B. Jennings),,20,15
89,1,1:44.0,,Personal foul by B. Jennings (drawn by J. Lamb),20,15
90,1,1:35.0,,M. Belinelli misses 2-pt jump shot from 22 ft,20,15
91,1,1:34.0,Defensive rebound by K. Oubre,,20,15
92,1,1:23.0,Turnover by B. Bogdanović (bad pass; steal by M. Williams),,20,15
93,1,1:17.0,,M. Williams makes 2-pt jump shot from 4 ft,20,17
94,1,1:05.0,,Violation by M. Williams (kicked ball),20,17
95,1,1:05.0,Turnover by B. Jennings (bad pass),,20,17
96,1,0:51.0,,Turnover by F. Kaminsky (bad pass; steal by B. Jennings),20,17
97,1,0:51.0,Personal foul by M. Belinelli (drawn by B. Jennings),,20,17
98,1,0:35.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,20,17
99,1,0:34.0,,Defensive rebound by J. Lamb,20,17
100,1,0:25.0,,Shooting foul by I. Mahinmi (drawn by J. Lamb),20,17
101,1,0:25.0,,J. Lamb makes free throw 1 of 2,20,18
102,1,0:25.0,,J. Lamb makes free throw 2 of 2,20,19
103,1,0:02.0,I. Mahinmi misses 2-pt layup from 1 ft,,20,19
104,1,0:01.0,,Defensive rebound by M. Williams,20,19
105,2,11:33.0,B. Jennings misses 3-pt jump shot from 23 ft,,20,19
106,2,11:32.0,,Defensive rebound by J. Lamb,20,19
107,2,11:20.0,,J. Lamb misses 3-pt jump shot from 24 ft,20,19
108,2,11:18.0,Defensive rebound by T. Satoranský,,20,19
109,2,11:06.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by T. Satoranský),,22,19
110,2,10:44.0,,F. Kaminsky misses 2-pt jump shot from 6 ft,22,19
111,2,10:43.0,Defensive rebound by Team,,22,19
112,2,10:31.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Jennings),,25,19
113,2,10:16.0,,Personal foul by K. Oubre (drawn by J. Lamb),25,19
114,2,10:05.0,,Shooting foul by K. Oubre (drawn by F. Kaminsky),25,19
115,2,10:05.0,,F. Kaminsky makes free throw 1 of 2,25,20
116,2,10:05.0,,F. Kaminsky makes free throw 2 of 2,25,21
117,2,9:53.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,25,21
118,2,9:52.0,Offensive rebound by Team,,25,21
119,2,9:43.0,Shooting foul by J. Lamb (drawn by I. Mahinmi),,25,21
120,2,9:43.0,I. Mahinmi makes free throw 1 of 2,,26,21
121,2,9:43.0,I. Mahinmi makes free throw 2 of 2,,27,21
122,2,9:23.0,,M. Belinelli misses 2-pt jump shot from 7 ft,27,21
123,2,9:19.0,Defensive rebound by B. Bogdanović,,27,21
124,2,9:14.0,B. Jennings misses 2-pt layup at rim,,27,21
125,2,9:07.0,,Defensive rebound by J. Lamb,27,21
126,2,9:01.0,,F. Kaminsky misses 2-pt jump shot from 20 ft,27,21
127,2,9:01.0,Defensive rebound by Team,,27,21
128,2,9:01.0,,K. Walker enters the game for B. Weber,27,21
129,2,8:37.0,K. Oubre misses 2-pt layup at rim (block by J. Lamb),,27,21
130,2,8:35.0,Offensive rebound by B. Jennings,,27,21
131,2,8:29.0,B. Jennings makes 2-pt jump shot from 18 ft,,29,21
132,2,8:18.0,,M. Belinelli makes 2-pt layup from 1 ft (assist by M. Williams),29,23
133,2,8:12.0,B. Jennings misses 3-pt jump shot from 24 ft,,29,23
134,2,8:12.0,Offensive rebound by Team,,29,23
135,2,8:12.0,,Loose ball foul by J. Lamb (drawn by T. Satoranský),29,23
136,2,8:12.0,Official timeout,,29,23
137,2,8:11.0,,N. Batum enters the game for M. Williams,29,23
138,2,8:11.0,,C. Zeller enters the game for J. Lamb,29,23
139,2,7:56.0,K. Oubre makes 2-pt layup from 1 ft,,31,23
140,2,7:41.0,,M. Belinelli misses 2-pt jump shot from 17 ft,31,23
141,2,7:40.0,Defensive rebound by I. Mahinmi,,31,23
142,2,7:22.0,Turnover by B. Bogdanović (lost ball; steal by C. Zeller),,31,23
143,2,7:09.0,,N. Batum makes 2-pt jump shot from 11 ft,31,25
144,2,7:04.0,Washington full timeout,,31,25
145,2,7:04.0,J. Wall enters the game for B. Jennings,,31,25
146,2,7:04.0,B. Beal enters the game for T. Satoranský,,31,25
147,2,6:53.0,Shooting foul by M. Belinelli (drawn by I. Mahinmi),,31,25
148,2,6:53.0,I. Mahinmi makes free throw 1 of 2,,32,25
149,2,6:53.0,I. Mahinmi misses free throw 2 of 2,,32,25
150,2,6:52.0,,Defensive rebound by N. Batum,32,25
151,2,6:38.0,,C. Zeller makes 2-pt dunk at rim (assist by F. Kaminsky),32,27
152,2,6:23.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,32,27
153,2,6:21.0,,Defensive rebound by M. Belinelli,32,27
154,2,6:01.0,,F. Kaminsky misses 2-pt hook shot from 7 ft,32,27
155,2,6:00.0,Defensive rebound by J. Wall,,32,27
156,2,5:46.0,B. Bogdanović misses 2-pt jump shot from 4 ft (block by C. Zeller),,32,27
157,2,5:44.0,,Defensive rebound by K. Walker,32,27
158,2,5:39.0,,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),32,29
159,2,5:18.0,B. Beal misses 2-pt jump shot from 22 ft,,32,29
160,2,5:16.0,,Defensive rebound by K. Walker,32,29
161,2,4:55.0,,K. Walker misses 2-pt jump shot from 9 ft,32,29
162,2,4:54.0,Defensive rebound by I. Mahinmi,,32,29
163,2,4:47.0,B. Beal misses 2-pt layup from 2 ft,,32,29
164,2,4:46.0,,Defensive rebound by N. Batum,32,29
165,2,4:41.0,Offensive charge foul by N. Batum (drawn by K. Oubre),,32,29
166,2,4:41.0,,Turnover by N. Batum (offensive foul),32,29
167,2,4:39.0,M. Gortat enters the game for B. Bogdanović,,32,29
168,2,4:39.0,O. Porter enters the game for I. Mahinmi,,32,29
169,2,4:29.0,,M. Kidd-Gilchrist enters the game for M. Belinelli,32,29
170,2,4:24.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,34,29
171,2,3:58.0,,N. Batum misses 3-pt jump shot from 24 ft,34,29
172,2,3:57.0,Defensive rebound by M. Gortat,,34,29
173,2,3:44.0,O. Porter misses 3-pt jump shot from 23 ft,,34,29
174,2,3:43.0,,Defensive rebound by N. Batum,34,29
175,2,3:36.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,34,29
176,2,3:34.0,Defensive rebound by M. Gortat,,34,29
177,2,3:19.0,B. Beal misses 3-pt jump shot from 24 ft,,34,29
178,2,3:19.0,Offensive rebound by Team,,34,29
179,2,3:19.0,,M. Williams enters the game for F. Kaminsky,34,29
180,2,3:14.0,Turnover by K. Oubre (bad pass; steal by M. Kidd-Gilchrist),,34,29
181,2,3:07.0,,K. Walker misses 3-pt jump shot from 25 ft,34,29
182,2,3:06.0,Defensive rebound by M. Gortat,,34,29
183,2,2:58.0,B. Beal misses 3-pt jump shot from 24 ft,,34,29
184,2,2:57.0,,Defensive rebound by M. Williams,34,29
185,2,2:49.0,,K. Walker misses 2-pt layup from 2 ft (block by M. Gortat),34,29
186,2,2:46.0,Defensive rebound by J. Wall,,34,29
187,2,2:43.0,,Violation by M. Williams (kicked ball),34,29
188,2,2:43.0,,Charlotte full timeout,34,29
189,2,2:43.0,,M. Belinelli enters the game for M. Kidd-Gilchrist,34,29
190,2,2:20.0,J. Wall misses 2-pt layup from 3 ft,,34,29
191,2,2:19.0,,Defensive rebound by M. Williams,34,29
192,2,2:12.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),34,32
193,2,1:55.0,B. Beal misses 2-pt jump shot from 17 ft,,34,32
194,2,1:54.0,,Defensive rebound by Team,34,32
195,2,1:43.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by N. Batum),34,35
196,2,1:29.0,Turnover by J. Wall (bad pass; steal by M. Williams),,34,35
197,2,1:23.0,,K. Walker misses 2-pt layup from 1 ft (block by J. Wall),34,35
198,2,1:21.0,Defensive rebound by M. Gortat,,34,35
199,2,1:16.0,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),,37,35
200,2,0:58.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by M. Belinelli),37,38
201,2,0:35.0,Shooting foul by K. Walker (drawn by J. Wall),,37,38
202,2,0:35.0,J. Wall makes free throw 1 of 2,,38,38
203,2,0:35.0,J. Wall misses free throw 2 of 2,,38,38
204,2,0:35.0,T. Satoranský enters the game for B. Beal,,38,38
205,2,0:34.0,,Defensive rebound by N. Batum,38,38
206,2,0:24.0,,Shooting foul by M. Gortat (drawn by C. Zeller),38,38
207,2,0:24.0,,C. Zeller makes free throw 1 of 2,38,39
208,2,0:24.0,Washington full timeout,,38,39
209,2,0:24.0,,C. Zeller misses free throw 2 of 2,38,39
210,2,0:24.0,B. Beal enters the game for T. Satoranský,,38,39
211,2,0:23.0,Defensive rebound by O. Porter,,38,39
212,2,0:04.0,Shooting foul by C. Zeller (drawn by J. Wall),,38,39
213,2,0:04.0,J. Wall makes free throw 1 of 2,,39,39
214,2,0:04.0,T. Satoranský enters the game for B. Beal,,39,39
215,2,0:04.0,J. Wall makes free throw 2 of 2,,40,39
216,2,0:00.0,,K. Walker misses 3-pt jump shot from 25 ft (block by J. Wall),40,39
217,2,0:00.0,,Offensive rebound by Team,40,39
218,3,11:49.0,Turnover by J. Wall (bad pass; steal by C. Zeller),,40,39
