,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHARLOTTE_ACTION,MIAMI_SCORE,CHARLOTTE_SCORE
0,1,11:34.0,G. Dragić misses 2-pt layup from 1 ft,,0,0
1,1,11:33.0,,Defensive rebound by C. Zeller,0,0
2,1,11:31.0,,Personal foul by J. Richardson (drawn by K. Walker),0,0
3,1,11:23.0,,C. Zeller misses 2-pt layup from 2 ft,0,0
4,1,11:21.0,,Offensive rebound by M. Williams,0,0
5,1,11:12.0,,K. Walker misses 2-pt layup from 2 ft (block by R. McGruder),0,0
6,1,11:10.0,Defensive rebound by J. Richardson,,0,0
7,1,10:55.0,J. Johnson makes 2-pt layup from 2 ft,,2,0
8,1,10:41.0,,Shooting foul by R. McGruder (drawn by N. Batum),2,0
9,1,10:41.0,,N. Batum makes free throw 1 of 2,2,1
10,1,10:41.0,,N. Batum makes free throw 2 of 2,2,2
11,1,10:32.0,G. Dragić makes 2-pt layup from 2 ft,,4,2
12,1,10:13.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 12 ft (assist by C. Zeller),4,4
13,1,9:48.0,J. Richardson misses 2-pt jump shot from 12 ft,,4,4
14,1,9:47.0,,Defensive rebound by N. Batum,4,4
15,1,9:40.0,,K. Walker makes 2-pt layup from 1 ft (assist by N. Batum),4,6
16,1,9:29.0,G. Dragić makes 3-pt jump shot from 25 ft,,7,6
17,1,9:19.0,,K. Walker misses 3-pt jump shot from 25 ft,7,6
18,1,9:18.0,Defensive rebound by H. Whiteside,,7,6
19,1,9:04.0,H. Whiteside misses 2-pt layup from 2 ft,,7,6
20,1,9:03.0,,Defensive rebound by M. Kidd-Gilchrist,7,6
21,1,8:53.0,,N. Batum makes 2-pt layup from 1 ft (assist by C. Zeller),7,8
22,1,8:23.0,G. Dragić makes 3-pt jump shot from 27 ft,,10,8
23,1,8:06.0,,M. Williams misses 2-pt jump shot from 6 ft (block by J. Richardson),10,8
24,1,8:04.0,Defensive rebound by H. Whiteside,,10,8
25,1,7:55.0,J. Richardson misses 2-pt jump shot from 11 ft,,10,8
26,1,7:54.0,,Defensive rebound by M. Williams,10,8
27,1,7:44.0,,Turnover by K. Walker (bad pass; steal by G. Dragić),10,8
28,1,7:34.0,G. Dragić misses 3-pt jump shot from 26 ft,,10,8
29,1,7:33.0,,Defensive rebound by C. Zeller,10,8
30,1,7:28.0,,K. Walker misses 2-pt layup from 1 ft,10,8
31,1,7:28.0,Defensive rebound by Team,,10,8
