,QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
0,1,11:37.0,,Turnover by S. Curry (bad pass; steal by J. Ingles),0,0
1,1,11:35.0,G. Hill makes 2-pt layup from 2 ft (assist by J. Ingles),,2,0
2,1,11:12.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Williams),2,3
3,1,10:50.0,G. Hill misses 3-pt jump shot from 24 ft,,2,3
4,1,10:49.0,,Defensive rebound by D. Nowitzki,2,3
5,1,10:41.0,,H. Barnes makes 2-pt jump shot from 18 ft,2,5
6,1,10:25.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by J. Ingles),,5,5
7,1,10:12.0,,Turnover by D. Williams (bad pass),5,5
8,1,10:01.0,J. Ingles misses 3-pt jump shot from 23 ft,,5,5
9,1,10:00.0,,Defensive rebound by W. Matthews,5,5
10,1,9:38.0,,D. Williams misses 2-pt layup at rim (block by R. Gobert),5,5
11,1,9:35.0,,Offensive rebound by D. Williams,5,5
12,1,9:34.0,,S. Curry misses 2-pt jump shot from 22 ft,5,5
13,1,9:30.0,Defensive rebound by R. Gobert,,5,5
14,1,9:26.0,G. Hayward misses 3-pt jump shot from 25 ft,,5,5
15,1,9:25.0,,Defensive rebound by D. Nowitzki,5,5
16,1,9:15.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,5,5
17,1,9:14.0,Defensive rebound by G. Hayward,,5,5
18,1,9:00.0,Turnover by G. Hayward (bad pass; steal by W. Matthews),,5,5
19,1,8:57.0,,W. Matthews misses 2-pt layup from 1 ft,5,5
20,1,8:56.0,,Offensive rebound by H. Barnes,5,5
21,1,8:56.0,,Shooting foul by G. Hill (drawn by H. Barnes),5,5
22,1,8:56.0,,H. Barnes misses free throw 1 of 2,5,5
23,1,8:56.0,,Offensive rebound by Team,5,5
24,1,8:56.0,,H. Barnes makes free throw 2 of 2,5,6
25,1,8:41.0,D. Favors misses 2-pt jump shot from 19 ft,,5,6
26,1,8:39.0,,Defensive rebound by H. Barnes,5,6
27,1,8:31.0,,W. Matthews misses 2-pt layup from 3 ft (block by G. Hayward),5,6
28,1,8:31.0,,Offensive rebound by Team,5,6
29,1,8:31.0,,Inbound foul by G. Hayward,5,6
30,1,8:31.0,,D. Nowitzki makes free throw 1 of 1,5,7
31,1,8:28.0,,Turnover by D. Williams (bad pass; steal by G. Hayward),5,7
32,1,8:19.0,G. Hill makes 2-pt layup from 2 ft,,7,7
33,1,7:59.0,,H. Barnes misses 2-pt jump shot from 21 ft,7,7
34,1,7:58.0,Defensive rebound by R. Gobert,,7,7
35,1,7:47.0,Turnover by R. Gobert (traveling),,7,7
36,1,7:33.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,7,7
37,1,7:32.0,Defensive rebound by R. Gobert,,7,7
38,1,7:16.0,G. Hill misses 3-pt jump shot from 23 ft,,7,7
39,1,7:15.0,,Defensive rebound by W. Matthews,7,7
40,1,7:03.0,,W. Matthews misses 2-pt layup from 2 ft,7,7
41,1,7:02.0,Defensive rebound by R. Gobert,,7,7
42,1,6:50.0,D. Favors misses 2-pt hook shot from 4 ft,,7,7
43,1,6:49.0,,Defensive rebound by D. Nowitzki,7,7
44,1,6:34.0,,H. Barnes misses 2-pt jump shot from 20 ft,7,7
45,1,6:33.0,Defensive rebound by G. Hayward,,7,7
46,1,6:24.0,Shooting foul by W. Matthews (drawn by G. Hayward),,7,7
47,1,6:24.0,G. Hayward makes free throw 1 of 2,,8,7
48,1,6:24.0,,S. Mejri enters the game for D. Nowitzki,8,7
49,1,6:24.0,R. Neto enters the game for G. Hill,,8,7
50,1,6:24.0,G. Hayward makes free throw 2 of 2,,9,7
51,1,6:07.0,,Shooting foul by R. Neto (drawn by S. Curry),9,7
52,1,6:07.0,,S. Curry misses free throw 1 of 3,9,7
53,1,6:07.0,,Offensive rebound by Team,9,7
54,1,6:07.0,,S. Curry makes free throw 2 of 3,9,8
55,1,6:07.0,T. Lyles enters the game for D. Favors,,9,8
56,1,6:07.0,,S. Curry makes free throw 3 of 3,9,9
57,1,5:58.0,G. Hayward makes 2-pt dunk at rim (assist by J. Ingles),,11,9
58,1,5:39.0,,Turnover by H. Barnes (bad pass; steal by R. Neto),11,9
59,1,5:32.0,J. Ingles misses 3-pt jump shot from 25 ft,,11,9
60,1,5:31.0,,Defensive rebound by D. Williams,11,9
61,1,5:24.0,,Shooting foul by R. Neto (drawn by D. Williams),11,9
62,1,5:24.0,,Dallas full timeout,11,9
63,1,5:24.0,,D. Williams misses free throw 1 of 2,11,9
64,1,5:24.0,,Offensive rebound by Team,11,9
65,1,5:24.0,,D. Williams misses free throw 2 of 2,11,9
66,1,5:23.0,Defensive rebound by T. Lyles,,11,9
67,1,5:10.0,Turnover by J. Ingles (bad pass),,11,9
