,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,UTAH_ACTION,CLEVELAND_SCORE,UTAH_SCORE
0,1,11:42.0,,Turnover by R. Gobert (bad pass),0,0
1,1,11:30.0,K. Love misses 2-pt jump shot from 22 ft,,0,0
2,1,11:30.0,,Defensive rebound by G. Hayward,0,0
3,1,11:19.0,,R. Hood misses 3-pt jump shot from 24 ft,0,0
4,1,11:18.0,Defensive rebound by K. Irving,,0,0
5,1,10:55.0,D. Liggins makes 3-pt jump shot from 24 ft (assist by T. Thompson),,3,0
6,1,10:34.0,,Turnover by G. Hill (lost ball; steal by K. Irving),3,0
7,1,10:29.0,T. Thompson makes 2-pt dunk from 1 ft (assist by K. Irving),,5,0
8,1,10:11.0,,G. Hayward makes 2-pt jump shot from 20 ft (assist by G. Hill),5,2
9,1,9:58.0,K. Irving makes 2-pt jump shot from 12 ft,,7,2
10,1,9:40.0,,D. Favors makes 2-pt hook shot from 3 ft,7,4
11,1,9:17.0,Turnover by D. Liggins (bad pass; steal by R. Hood),,7,4
12,1,9:13.0,,G. Hill makes 2-pt layup from 2 ft (assist by R. Hood),7,6
13,1,9:06.0,K. Irving makes 3-pt jump shot from 26 ft (assist by K. Love),,10,6
14,1,8:43.0,,D. Favors misses 2-pt jump shot from 19 ft,10,6
15,1,8:43.0,Defensive rebound by L. James,,10,6
16,1,8:35.0,Turnover by L. James (bad pass),,10,6
17,1,8:35.0,Loose ball foul by T. Thompson (drawn by G. Hayward),,10,6
18,1,8:10.0,,R. Hood misses 3-pt jump shot from 25 ft,10,6
19,1,8:09.0,Defensive rebound by L. James,,10,6
20,1,8:05.0,Shooting foul by G. Hill (drawn by L. James),,10,6
21,1,8:05.0,L. James makes free throw 1 of 2,,11,6
22,1,8:05.0,L. James makes free throw 2 of 2,,12,6
23,1,7:54.0,,Personal foul by D. Liggins (drawn by G. Hayward),12,6
24,1,7:49.0,,G. Hill makes 2-pt dunk at rim,12,8
25,1,7:37.0,L. James misses 2-pt jump shot from 6 ft,,12,8
26,1,7:36.0,,Defensive rebound by R. Gobert,12,8
27,1,7:31.0,,R. Hood makes 2-pt layup from 2 ft,12,10
28,1,7:17.0,L. James misses 2-pt jump shot from 23 ft,,12,10
29,1,7:16.0,,Defensive rebound by R. Hood,12,10
30,1,7:09.0,,Turnover by R. Hood (bad pass; steal by L. James),12,10
31,1,7:06.0,Shooting foul by R. Hood (drawn by L. James),,12,10
32,1,7:06.0,L. James makes free throw 1 of 2,,13,10
33,1,7:06.0,L. James makes free throw 2 of 2,,14,10
34,1,6:50.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by D. Favors),14,13
35,1,6:32.0,Turnover by D. Liggins (bad pass; steal by G. Hayward),,14,13
36,1,6:27.0,,G. Hayward makes 2-pt dunk at rim (assist by R. Gobert),14,15
37,1,6:26.0,Cleveland full timeout,,14,15
38,1,6:26.0,Violation by Team (jump ball),,14,15
39,1,6:12.0,K. Love makes 2-pt jump shot from 21 ft (assist by L. James),,16,15
40,1,5:48.0,,G. Hill misses 2-pt jump shot from 8 ft,16,15
41,1,5:48.0,Defensive rebound by K. Love,,16,15
42,1,5:42.0,D. Liggins makes 3-pt jump shot from 24 ft (assist by L. James),,19,15
