,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,NEW ORLEANS_ACTION,OKLAHOMA CITY_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,D. Sabonis misses 2-pt layup from 1 ft,,0,0
1,1,11:39.0,,Defensive rebound by S. Hill,0,0
2,1,11:27.0,,A. Davis misses 2-pt jump shot from 18 ft,0,0
3,1,11:26.0,Defensive rebound by R. Westbrook,,0,0
4,1,11:13.0,S. Adams misses 2-pt hook shot from 13 ft,,0,0
5,1,11:11.0,,Defensive rebound by A. Davis,0,0
6,1,11:04.0,,J. Holiday makes 2-pt layup at rim,0,2
7,1,10:40.0,S. Adams makes 2-pt hook shot from 5 ft,,2,2
8,1,10:28.0,,Shooting foul by D. Sabonis (drawn by J. Holiday),2,2
9,1,10:28.0,,J. Holiday makes free throw 1 of 2,2,3
10,1,10:28.0,,J. Holiday misses free throw 2 of 2,2,3
11,1,10:26.0,Defensive rebound by R. Westbrook,,2,3
12,1,10:18.0,Personal foul by A. Ajinça (drawn by S. Adams),,2,3
13,1,10:12.0,R. Westbrook makes 2-pt jump shot from 16 ft (assist by S. Adams),,4,3
14,1,9:59.0,,A. Davis makes 2-pt jump shot from 10 ft,4,5
15,1,9:46.0,A. Morrow misses 2-pt jump shot from 17 ft,,4,5
16,1,9:46.0,,Defensive rebound by A. Ajinça,4,5
17,1,9:35.0,,J. Holiday misses 2-pt layup from 1 ft,4,5
18,1,9:35.0,,Offensive rebound by J. Holiday,4,5
19,1,9:33.0,,Shooting foul by A. Roberson (drawn by B. Hield),4,5
20,1,9:33.0,,B. Hield makes free throw 1 of 2,4,6
21,1,9:33.0,,B. Hield makes free throw 2 of 2,4,7
22,1,9:21.0,R. Westbrook makes 2-pt layup from 3 ft,,6,7
23,1,8:58.0,,J. Holiday misses 2-pt jump shot from 20 ft,6,7
24,1,8:57.0,Defensive rebound by R. Westbrook,,6,7
25,1,8:50.0,S. Adams misses 2-pt jump shot from 7 ft,,6,7
26,1,8:48.0,,Defensive rebound by A. Davis,6,7
27,1,8:35.0,,A. Davis makes 2-pt jump shot from 18 ft (assist by B. Hield),6,9
28,1,8:18.0,A. Morrow makes 3-pt jump shot from 25 ft (assist by S. Adams),,9,9
29,1,8:11.0,,B. Hield misses 3-pt jump shot from 26 ft,9,9
30,1,8:10.0,Defensive rebound by D. Sabonis,,9,9
31,1,8:02.0,Shooting foul by A. Davis (drawn by R. Westbrook),,9,9
32,1,8:02.0,R. Westbrook makes free throw 1 of 2,,10,9
33,1,8:02.0,R. Westbrook makes free throw 2 of 2,,11,9
34,1,7:51.0,,J. Holiday makes 2-pt jump shot from 15 ft,11,11
35,1,7:35.0,D. Sabonis makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,14,11
36,1,7:27.0,,A. Davis makes 2-pt jump shot from 18 ft (assist by J. Holiday),14,13
37,1,7:07.0,S. Adams makes 2-pt jump shot from 3 ft (assist by D. Sabonis),,16,13
38,1,6:51.0,,Shooting foul by D. Sabonis (drawn by S. Hill),16,13
39,1,6:51.0,,S. Hill makes free throw 1 of 2,16,14
40,1,6:51.0,E. Freedom enters the game for D. Sabonis,,16,14
41,1,6:51.0,,S. Hill makes free throw 2 of 2,16,15
42,1,6:43.0,Shooting foul by A. Ajinça (drawn by R. Westbrook),,16,15
43,1,6:43.0,R. Westbrook misses free throw 1 of 2,,16,15
44,1,6:43.0,Offensive rebound by Team,,16,15
45,1,6:43.0,,T. Jones enters the game for A. Ajinça,16,15
46,1,6:43.0,R. Westbrook makes free throw 2 of 2,,17,15
47,1,6:30.0,,A. Davis misses 3-pt jump shot from 25 ft,17,15
48,1,6:30.0,Defensive rebound by A. Roberson,,17,15
49,1,6:20.0,S. Adams misses 2-pt jump shot from 8 ft,,17,15
50,1,6:20.0,Offensive rebound by S. Adams,,17,15
51,1,6:11.0,A. Roberson makes 2-pt layup from 2 ft (assist by S. Adams),,19,15
52,1,6:02.0,,A. Davis misses 2-pt jump shot from 6 ft,19,15
53,1,5:57.0,Defensive rebound by A. Roberson,,19,15
54,1,5:49.0,A. Roberson misses 3-pt jump shot from 26 ft,,19,15
55,1,5:48.0,,Defensive rebound by A. Davis,19,15
56,1,5:39.0,,Shooting foul by E. Freedom (drawn by A. Davis),19,15
57,1,5:39.0,,New Orleans full timeout,19,15
58,1,5:39.0,,A. Davis makes free throw 1 of 2,19,16
59,1,5:39.0,Á. Abrines enters the game for A. Morrow,,19,15
60,1,5:39.0,,A. Davis makes free throw 2 of 2,19,17
61,1,5:22.0,S. Adams makes 2-pt hook shot from 6 ft,,21,17
62,1,5:07.0,,T. Jones makes 2-pt jump shot from 17 ft (assist by A. Davis),21,19
63,1,4:52.0,Á. Abrines makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,24,19
64,1,4:30.0,,A. Davis misses 2-pt jump shot from 7 ft,24,19
65,1,4:30.0,Defensive rebound by R. Westbrook,,24,19
66,1,4:25.0,S. Adams misses 2-pt layup from 2 ft,,24,19
67,1,4:23.0,,Defensive rebound by A. Davis,24,19
68,1,4:17.0,,B. Hield misses 3-pt jump shot from 25 ft,24,19
69,1,4:14.0,Defensive rebound by A. Roberson,,24,19
70,1,4:04.0,E. Freedom makes 2-pt hook shot from 5 ft,,26,19
71,1,3:50.0,,T. Jones misses 2-pt jump shot from 16 ft,26,19
72,1,3:50.0,Defensive rebound by A. Roberson,,26,19
73,1,3:31.0,R. Westbrook misses 2-pt jump shot from 21 ft,,26,19
74,1,3:30.0,,Defensive rebound by A. Davis,26,19
75,1,3:23.0,,A. Davis makes 2-pt dunk at rim,26,21
76,1,3:10.0,Turnover by Á. Abrines (bad pass),,26,21
77,1,3:10.0,,E. Moore enters the game for B. Hield,26,21
78,1,2:59.0,,A. Davis misses 2-pt jump shot from 15 ft,26,21
79,1,2:58.0,Defensive rebound by E. Freedom,,26,21
80,1,2:54.0,Turnover by S. Adams (offensive foul),,26,21
81,1,2:54.0,Offensive foul by S. Adams (drawn by A. Davis),,26,21
82,1,2:54.0,Oklahoma City full timeout,,26,21
83,1,2:54.0,S. Christon enters the game for R. Westbrook,,26,21
84,1,2:54.0,J. Lauvergne enters the game for S. Adams,,26,21
85,1,2:54.0,,T. Evans enters the game for S. Hill,26,21
