,QUARTER,TIME_REMAINING,PORTLAND_ACTION,TORONTO_ACTION,PORTLAND_SCORE,TORONTO_SCORE
0,1,11:37.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft (assist by S. Ibaka),0,2
1,1,11:18.0,C. McCollum makes 2-pt jump shot from 4 ft,,2,2
2,1,11:03.0,,J. Valančiūnas makes 2-pt jump shot from 15 ft (assist by C. Joseph),2,4
3,1,10:47.0,M. Harkless makes 3-pt jump shot from 22 ft (assist by D. Lillard),,5,4
4,1,10:26.0,,S. Ibaka misses 3-pt jump shot from 25 ft,5,4
5,1,10:26.0,Defensive rebound by D. Lillard,,5,4
6,1,10:26.0,Turnover by J. Nurkić (bad pass; steal by C. Joseph),,5,4
7,1,10:06.0,,C. Joseph misses 2-pt jump shot from 17 ft,5,4
8,1,10:05.0,Defensive rebound by D. Lillard,,5,4
9,1,9:53.0,J. Nurkić misses 2-pt hook shot from 5 ft,,5,4
10,1,9:53.0,,Defensive rebound by S. Ibaka,5,4
11,1,9:42.0,,D. Carroll misses 2-pt jump shot from 8 ft,5,4
12,1,9:42.0,Defensive rebound by N. Vonleh,,5,4
13,1,9:32.0,Turnover by D. Lillard (bad pass; steal by S. Ibaka),,5,4
14,1,9:29.0,,Shooting foul by N. Vonleh (drawn by D. Carroll),5,4
15,1,9:29.0,,D. Carroll misses free throw 1 of 2,5,4
16,1,9:29.0,,Offensive rebound by Team,5,4
17,1,9:29.0,,D. Carroll makes free throw 2 of 2,5,5
18,1,9:12.0,J. Nurkić misses 2-pt layup from 3 ft,,5,5
19,1,9:11.0,,Defensive rebound by S. Ibaka,5,5
20,1,9:04.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by C. Joseph),5,8
21,1,8:48.0,D. Lillard makes 2-pt jump shot from 7 ft,,7,8
22,1,8:21.0,,S. Ibaka misses 3-pt jump shot from 24 ft,7,8
23,1,8:20.0,Defensive rebound by J. Nurkić,,7,8
24,1,8:10.0,D. Lillard makes 2-pt jump shot from 18 ft,,9,8
25,1,7:49.0,,D. DeRozan makes 2-pt jump shot from 4 ft,9,10
26,1,7:32.0,C. McCollum makes 2-pt layup from 3 ft (assist by J. Nurkić),,11,10
27,1,7:18.0,,Shooting foul by J. Nurkić (drawn by D. DeRozan),11,10
28,1,7:18.0,,D. DeRozan makes free throw 1 of 2,11,11
29,1,7:18.0,,D. DeRozan makes free throw 2 of 2,11,12
30,1,7:07.0,Shooting foul by J. Valančiūnas (drawn by J. Nurkić),,11,12
31,1,7:07.0,J. Nurkić makes free throw 1 of 2,,12,12
32,1,7:07.0,J. Nurkić makes free throw 2 of 2,,13,12
33,1,6:57.0,,C. Joseph makes 2-pt jump shot from 6 ft,13,14
34,1,6:53.0,Personal foul by D. Carroll (drawn by C. McCollum),,13,14
35,1,6:46.0,N. Vonleh makes 2-pt dunk at rim (assist by J. Nurkić),,15,14
36,1,6:22.0,,C. Joseph misses 2-pt jump shot from 4 ft,15,14
37,1,6:21.0,Defensive rebound by N. Vonleh,,15,14
38,1,6:15.0,Turnover by D. Lillard (bad pass; steal by D. DeRozan),,15,14
39,1,6:09.0,,D. DeRozan makes 2-pt layup from 2 ft,15,16
40,1,5:51.0,C. McCollum misses 2-pt layup from 2 ft,,15,16
41,1,5:50.0,Offensive rebound by J. Nurkić,,15,16
42,1,5:48.0,J. Nurkić misses 2-pt jump shot from 1 ft,,15,16
43,1,5:48.0,,Defensive rebound by Team,15,16
44,1,5:48.0,Loose ball foul by J. Nurkić (drawn by S. Ibaka),,15,16
45,1,5:48.0,,Toronto full timeout,15,16
46,1,5:48.0,M. Leonard enters the game for J. Nurkić,,15,16
47,1,5:41.0,,Turnover by S. Ibaka (traveling),15,16
48,1,5:30.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by D. Lillard),,18,16
49,1,5:03.0,,D. DeRozan makes 2-pt layup from 1 ft,18,18
50,1,4:49.0,D. Lillard misses 3-pt jump shot from 25 ft,,18,18
51,1,4:48.0,,Defensive rebound by D. Carroll,18,18
52,1,4:35.0,,D. Carroll misses 3-pt jump shot from 25 ft,18,18
53,1,4:34.0,Defensive rebound by M. Harkless,,18,18
54,1,4:30.0,Shooting foul by D. DeRozan (drawn by M. Harkless),,18,18
55,1,4:30.0,M. Harkless misses free throw 1 of 2,,18,18
56,1,4:30.0,Offensive rebound by Team,,18,18
57,1,4:30.0,A. Crabbe enters the game for C. McCollum,,18,18
58,1,4:30.0,M. Harkless makes free throw 2 of 2,,19,18
59,1,4:15.0,,Personal foul by M. Leonard (drawn by J. Valančiūnas),19,18
60,1,4:05.0,,S. Ibaka misses 2-pt jump shot from 13 ft,19,18
61,1,4:03.0,Defensive rebound by N. Vonleh,,19,18
62,1,3:48.0,Portland full timeout,,19,18
63,1,3:48.0,A. Aminu enters the game for N. Vonleh,,19,18
64,1,3:48.0,,L. Nogueira enters the game for D. Carroll,19,18
65,1,3:48.0,,P. Tucker enters the game for J. Valančiūnas,19,18
66,1,3:40.0,M. Leonard misses 2-pt jump shot from 5 ft,,19,18
67,1,3:39.0,,Defensive rebound by S. Ibaka,19,18
68,1,3:29.0,,Turnover by D. DeRozan (lost ball; steal by M. Leonard),19,18
69,1,3:25.0,M. Harkless makes 2-pt dunk at rim (assist by M. Leonard),,21,18
70,1,3:06.0,,D. DeRozan misses 2-pt hook shot from 6 ft,21,18
71,1,3:06.0,Defensive rebound by M. Leonard,,21,18
72,1,2:56.0,D. Lillard misses 2-pt layup from 2 ft,,21,18
73,1,2:55.0,,Defensive rebound by C. Joseph,21,18
74,1,2:46.0,,Turnover by D. DeRozan (bad pass; steal by M. Harkless),21,18
75,1,2:41.0,M. Leonard makes 2-pt dunk at rim (assist by D. Lillard),,23,18
76,1,2:17.0,,D. DeRozan misses 2-pt jump shot from 7 ft,23,18
77,1,2:17.0,Defensive rebound by M. Leonard,,23,18
78,1,2:02.0,Turnover by D. Lillard (bad pass; steal by L. Nogueira),,23,18
79,1,1:55.0,,C. Joseph misses 2-pt layup from 2 ft,23,18
80,1,1:55.0,Defensive rebound by A. Crabbe,,23,18
81,1,1:46.0,D. Lillard misses 2-pt layup from 2 ft,,23,18
82,1,1:44.0,Offensive rebound by A. Aminu,,23,18
83,1,1:44.0,A. Aminu misses 2-pt layup from 1 ft,,23,18
84,1,1:43.0,Offensive rebound by A. Aminu,,23,18
85,1,1:43.0,Shooting foul by P. Tucker (drawn by A. Aminu),,23,18
86,1,1:43.0,A. Aminu makes free throw 1 of 2,,24,18
87,1,1:43.0,,P. Patterson enters the game for S. Ibaka,24,18
88,1,1:43.0,,D. Wright enters the game for C. Joseph,24,18
89,1,1:43.0,C. McCollum enters the game for D. Lillard,,24,18
90,1,1:43.0,A. Aminu makes free throw 2 of 2,,25,18
91,1,1:23.0,,D. DeRozan misses 3-pt jump shot from 23 ft,25,18
92,1,1:23.0,Defensive rebound by A. Aminu,,25,18
93,1,1:06.0,C. McCollum misses 3-pt jump shot from 25 ft,,25,18
94,1,1:06.0,,Defensive rebound by D. DeRozan,25,18
95,1,0:57.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by L. Nogueira),25,21
96,1,0:39.0,Personal foul by D. Wright (drawn by C. McCollum),,25,21
97,1,0:39.0,C. McCollum misses free throw 1 of 2,,25,21
98,1,0:39.0,Offensive rebound by Team,,25,21
99,1,0:39.0,C. McCollum makes free throw 2 of 2,,26,21
100,1,0:33.0,,Personal foul by A. Aminu (drawn by D. DeRozan),26,21
101,1,0:33.0,,D. DeRozan makes free throw 1 of 2,26,22
102,1,0:33.0,S. Napier enters the game for M. Harkless,,26,22
103,1,0:33.0,,D. DeRozan makes free throw 2 of 2,26,23
104,1,0:18.0,C. McCollum makes 2-pt layup from 2 ft,,28,23
105,1,0:01.0,,D. DeRozan makes 2-pt hook shot from 5 ft,28,25
106,2,11:47.0,Shooting foul by D. Wright (drawn by A. Aminu),,28,25
107,2,11:47.0,A. Aminu makes free throw 1 of 2,,29,25
108,2,11:47.0,A. Aminu makes free throw 2 of 2,,30,25
109,2,11:28.0,,D. Wright misses 2-pt jump shot from 14 ft,30,25
110,2,11:28.0,Defensive rebound by M. Leonard,,30,25
111,2,11:17.0,C. McCollum misses 2-pt hook shot from 8 ft,,30,25
112,2,11:17.0,Offensive rebound by A. Aminu,,30,25
113,2,11:17.0,Shooting foul by P. Tucker (drawn by A. Aminu),,30,25
114,2,11:17.0,A. Aminu makes free throw 1 of 2,,31,25
115,2,11:17.0,A. Aminu makes free throw 2 of 2,,32,25
116,2,11:06.0,,N. Powell makes 2-pt jump shot from 19 ft,32,27
117,2,10:42.0,C. McCollum misses 2-pt layup from 3 ft (block by L. Nogueira),,32,27
118,2,10:41.0,,Defensive rebound by N. Powell,32,27
119,2,10:30.0,,N. Powell misses 2-pt jump shot from 13 ft,32,27
