,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ATLANTA_ACTION,CLEVELAND_SCORE,ATLANTA_SCORE
0,1,11:45.0,,D. Schröder misses 2-pt jump shot from 8 ft,0,0
1,1,11:45.0,Defensive rebound by Team,,0,0
2,1,11:45.0,Personal foul by D. Howard (drawn by C. Frye),,0,0
3,1,11:31.0,K. Irving makes 2-pt jump shot from 19 ft (assist by L. James),,2,0
4,1,11:12.0,,D. Howard misses 2-pt hook shot from 7 ft,2,0
5,1,11:10.0,Defensive rebound by L. James,,2,0
6,1,10:57.0,K. Irving misses 3-pt jump shot from 23 ft,,2,0
7,1,10:56.0,,Defensive rebound by K. Bazemore,2,0
8,1,10:49.0,,K. Bazemore makes 2-pt layup from 2 ft,2,2
9,1,10:34.0,L. James misses 2-pt jump shot from 21 ft,,2,2
10,1,10:33.0,,Defensive rebound by D. Howard,2,2
11,1,10:26.0,,Shooting foul by L. James (drawn by T. Sefolosha),2,2
12,1,10:26.0,,T. Sefolosha misses free throw 1 of 2,2,2
13,1,10:26.0,,Offensive rebound by Team,2,2
14,1,10:26.0,,T. Sefolosha misses free throw 2 of 2,2,2
15,1,10:25.0,Defensive rebound by C. Frye,,2,2
16,1,10:15.0,I. Shumpert misses 3-pt jump shot from 23 ft,,2,2
17,1,10:14.0,,Defensive rebound by P. Millsap,2,2
18,1,10:04.0,,D. Schröder misses 3-pt jump shot from 24 ft,2,2
19,1,10:03.0,Defensive rebound by L. James,,2,2
20,1,10:00.0,Shooting foul by P. Millsap (drawn by I. Shumpert),,2,2
21,1,10:00.0,I. Shumpert makes free throw 1 of 2,,3,2
22,1,10:00.0,I. Shumpert makes free throw 2 of 2,,4,2
23,1,9:46.0,,D. Howard makes 2-pt layup from 1 ft (assist by D. Schröder),4,4
24,1,9:23.0,T. Thompson makes 2-pt dunk at rim (assist by L. James),,6,4
25,1,9:07.0,,D. Howard misses 2-pt hook shot from 9 ft,6,4
26,1,9:04.0,Defensive rebound by T. Thompson,,6,4
27,1,8:59.0,K. Irving makes 3-pt jump shot from 25 ft,,9,4
28,1,8:45.0,,T. Sefolosha makes 2-pt layup from 1 ft (assist by D. Howard),9,6
29,1,8:36.0,L. James makes 3-pt jump shot from 24 ft,,12,6
30,1,8:20.0,,P. Millsap makes 2-pt jump shot from 18 ft,12,8
31,1,8:01.0,K. Irving misses 2-pt jump shot from 23 ft,,12,8
32,1,8:00.0,Offensive rebound by C. Frye,,12,8
33,1,7:55.0,C. Frye makes 3-pt jump shot from 26 ft (assist by K. Irving),,15,8
34,1,7:39.0,,D. Howard misses 2-pt hook shot from 9 ft,15,8
35,1,7:38.0,Defensive rebound by T. Thompson,,15,8
36,1,7:26.0,C. Frye misses 3-pt jump shot from 25 ft,,15,8
37,1,7:26.0,,Defensive rebound by Team,15,8
38,1,7:13.0,,Shooting foul by T. Thompson (drawn by P. Millsap),15,8
39,1,7:13.0,,P. Millsap misses free throw 1 of 2,15,8
40,1,7:13.0,,Offensive rebound by Team,15,8
41,1,7:13.0,,P. Millsap makes free throw 2 of 2,15,9
42,1,6:56.0,K. Irving makes 2-pt jump shot from 15 ft,,17,9
43,1,6:39.0,,T. Sefolosha misses 2-pt jump shot from 16 ft,17,9
44,1,6:37.0,Defensive rebound by L. James,,17,9
45,1,6:31.0,Turnover by C. Frye (bad pass; steal by D. Howard),,17,9
46,1,6:27.0,,Turnover by D. Schröder (bad pass),17,9
47,1,6:17.0,L. James makes 3-pt jump shot from 25 ft (assist by K. Irving),,20,9
48,1,6:15.0,,Atlanta full timeout,20,9
49,1,6:15.0,,T. Hardaway enters the game for K. Bazemore,20,9
50,1,6:00.0,,Shooting foul by C. Frye (drawn by D. Howard),20,9
51,1,6:00.0,,D. Howard misses free throw 1 of 2,20,9
52,1,6:00.0,,Offensive rebound by Team,20,9
