,QUARTER,TIME_REMAINING,DETROIT_ACTION,MINNESOTA_ACTION,DETROIT_SCORE,MINNESOTA_SCORE
0,1,11:47.0,M. Morris misses 2-pt jump shot from 17 ft,,0,0
1,1,11:46.0,,Defensive rebound by G. Dieng,0,0
2,1,11:35.0,,G. Dieng misses 2-pt jump shot from 6 ft,0,0
3,1,11:34.0,Defensive rebound by A. Drummond,,0,0
4,1,11:24.0,T. Harris misses 2-pt jump shot from 5 ft,,0,0
5,1,11:22.0,Offensive rebound by A. Drummond,,0,0
6,1,11:20.0,A. Drummond makes 2-pt hook shot from 10 ft,,2,0
7,1,10:56.0,Personal foul by K. Towns (drawn by R. Jackson),,2,0
8,1,10:56.0,,Personal foul by R. Jackson,2,0
9,1,10:53.0,,Turnover by K. Towns (double personal),2,0
10,1,10:39.0,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,4,0
11,1,10:26.0,,G. Dieng makes 2-pt jump shot from 19 ft (assist by R. Rubio),4,2
12,1,10:07.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,4,2
13,1,10:06.0,,Defensive rebound by K. Towns,4,2
14,1,9:53.0,,R. Rubio makes 2-pt jump shot from 15 ft,4,4
15,1,9:39.0,R. Jackson misses 2-pt jump shot from 19 ft,,4,4
16,1,9:38.0,Offensive rebound by A. Drummond,,4,4
17,1,9:35.0,A. Drummond misses 2-pt hook shot from 10 ft,,4,4
18,1,9:34.0,,Defensive rebound by Z. LaVine,4,4
19,1,9:26.0,,A. Wiggins makes 3-pt jump shot from 25 ft,4,7
20,1,9:08.0,T. Harris makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),,7,7
21,1,8:46.0,,K. Towns makes 2-pt jump shot from 15 ft,7,9
22,1,8:31.0,Turnover by K. Caldwell-Pope (traveling),,7,9
23,1,8:24.0,,Personal foul by T. Harris (drawn by K. Towns),7,9
24,1,8:18.0,,Personal foul by T. Harris (drawn by K. Towns),7,9
25,1,8:18.0,J. Leuer enters the game for T. Harris,,7,9
26,1,8:11.0,,G. Dieng makes 2-pt jump shot from 20 ft (assist by K. Towns),7,11
27,1,8:05.0,Detroit full timeout,,7,11
28,1,7:57.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,,7,11
29,1,7:56.0,,Defensive rebound by G. Dieng,7,11
30,1,7:39.0,,K. Towns makes 2-pt jump shot from 13 ft,7,13
31,1,7:17.0,R. Jackson misses 2-pt jump shot from 14 ft,,7,13
32,1,7:16.0,,Defensive rebound by K. Towns,7,13
33,1,7:00.0,,Z. LaVine makes 2-pt jump shot from 17 ft,7,15
34,1,6:46.0,R. Jackson misses 2-pt layup from 2 ft,,7,15
35,1,6:44.0,Offensive rebound by A. Drummond,,7,15
36,1,6:44.0,A. Drummond makes 2-pt dunk at rim,,9,15
37,1,6:25.0,,K. Towns misses 2-pt jump shot from 8 ft,9,15
38,1,6:24.0,Defensive rebound by A. Drummond,,9,15
39,1,6:15.0,R. Jackson misses 2-pt layup from 3 ft,,9,15
40,1,6:14.0,,Defensive rebound by G. Dieng,9,15
41,1,6:09.0,,Turnover by A. Wiggins (traveling),9,15
42,1,5:55.0,M. Morris misses 2-pt jump shot from 13 ft,,9,15
43,1,5:54.0,,Defensive rebound by K. Towns,9,15
44,1,5:41.0,,A. Wiggins misses 2-pt jump shot from 10 ft,9,15
45,1,5:40.0,Defensive rebound by M. Morris,,9,15
46,1,5:28.0,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,11,15
47,1,5:00.0,,Turnover by Z. LaVine (bad pass; steal by J. Leuer),11,15
48,1,4:47.0,J. Leuer misses 3-pt jump shot from 25 ft,,11,15
49,1,4:45.0,Offensive rebound by A. Drummond,,11,15
50,1,4:45.0,A. Drummond misses 2-pt layup from 1 ft,,11,15
51,1,4:45.0,,Defensive rebound by Team,11,15
52,1,4:45.0,I. Smith enters the game for R. Jackson,,11,15
53,1,4:30.0,,A. Wiggins misses 3-pt jump shot from 25 ft,11,15
54,1,4:29.0,,Offensive rebound by K. Towns,11,15
55,1,4:28.0,,K. Towns misses 2-pt layup from 1 ft (block by A. Drummond),11,15
56,1,4:27.0,Defensive rebound by A. Drummond,,11,15
57,1,4:19.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,11,15
58,1,4:18.0,,Defensive rebound by K. Towns,11,15
59,1,4:02.0,,K. Towns misses 2-pt jump shot from 20 ft,11,15
60,1,4:00.0,,Offensive rebound by R. Rubio,11,15
61,1,3:56.0,,Personal foul by A. Drummond (drawn by G. Dieng),11,15
62,1,3:56.0,,S. Muhammad enters the game for Z. LaVine,11,15
63,1,3:50.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by G. Dieng),11,17
64,1,3:35.0,K. Caldwell-Pope makes 2-pt jump shot from 9 ft,,13,17
65,1,3:21.0,,Def 3 sec tech foul by A. Drummond,13,17
66,1,3:21.0,,R. Rubio makes technical free throw,13,18
67,1,3:14.0,,S. Muhammad misses 2-pt hook shot from 2 ft,13,18
68,1,3:13.0,Defensive rebound by J. Leuer,,13,18
69,1,3:04.0,Shooting foul by K. Towns (drawn by J. Leuer),,13,18
70,1,3:04.0,J. Leuer misses free throw 1 of 2,,13,18
71,1,3:04.0,Offensive rebound by Team,,13,18
72,1,3:04.0,,K. Dunn enters the game for R. Rubio,13,18
73,1,3:04.0,,A. Payne enters the game for K. Towns,13,18
74,1,3:04.0,J. Leuer makes free throw 2 of 2,,14,18
75,1,2:45.0,,A. Payne misses 2-pt jump shot from 16 ft,14,18
76,1,2:43.0,Defensive rebound by I. Smith,,14,18
77,1,2:35.0,Shooting foul by G. Dieng (drawn by A. Drummond),,14,18
78,1,2:35.0,,Minnesota full timeout,14,18
79,1,2:35.0,A. Drummond misses free throw 1 of 2,,14,18
80,1,2:35.0,Offensive rebound by Team,,14,18
81,1,2:35.0,,C. Aldrich enters the game for G. Dieng,14,18
82,1,2:35.0,A. Drummond makes free throw 2 of 2,,15,18
83,1,2:20.0,,K. Dunn misses 3-pt jump shot from 26 ft,15,18
84,1,2:19.0,Defensive rebound by Team,,15,18
85,1,2:19.0,,Loose ball foul by S. Muhammad (drawn by A. Drummond),15,18
86,1,2:19.0,A. Baynes enters the game for A. Drummond,,15,18
87,1,2:03.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by M. Morris),,18,18
88,1,1:56.0,,Minnesota full timeout,18,18
89,1,1:50.0,,A. Wiggins misses 2-pt layup from 1 ft,18,18
90,1,1:49.0,Defensive rebound by M. Morris,,18,18
91,1,1:43.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,18,18
92,1,1:42.0,,Defensive rebound by A. Wiggins,18,18
93,1,1:29.0,,A. Payne misses 2-pt layup from 2 ft,18,18
94,1,1:28.0,Defensive rebound by A. Baynes,,18,18
95,1,1:11.0,I. Smith makes 3-pt jump shot from 25 ft (assist by A. Baynes),,21,18
96,1,0:57.0,,A. Wiggins makes 2-pt jump shot from 10 ft,21,20
97,1,0:42.0,M. Morris makes 2-pt jump shot from 8 ft,,23,20
98,1,0:24.0,,A. Wiggins misses 2-pt jump shot from 19 ft,23,20
99,1,0:22.0,Defensive rebound by M. Morris,,23,20
100,1,0:05.0,I. Smith makes 2-pt layup from 3 ft,,25,20
101,1,0:00.0,,K. Dunn misses 3-pt jump shot from 28 ft,25,20
102,1,0:00.0,,Offensive rebound by Team,25,20
103,2,11:47.0,,Z. LaVine makes 2-pt jump shot from 12 ft (assist by C. Aldrich),25,22
104,2,11:22.0,J. Leuer misses 3-pt jump shot from 22 ft,,25,22
105,2,11:21.0,,Defensive rebound by K. Dunn,25,22
106,2,11:07.0,,Z. LaVine makes 2-pt jump shot from 21 ft,25,24
107,2,10:44.0,A. Baynes misses 2-pt layup from 2 ft (block by C. Aldrich),,25,24
108,2,10:42.0,,Defensive rebound by K. Dunn,25,24
109,2,10:21.0,,A. Payne misses 2-pt jump shot from 18 ft,25,24
110,2,10:19.0,,Offensive rebound by S. Muhammad,25,24
111,2,10:18.0,,Shooting foul by A. Baynes (drawn by S. Muhammad),25,24
112,2,10:18.0,,S. Muhammad misses free throw 1 of 2,25,24
113,2,10:18.0,,Offensive rebound by Team,25,24
114,2,10:18.0,R. Jackson enters the game for I. Smith,,25,24
115,2,10:18.0,,S. Muhammad makes free throw 2 of 2,25,25
116,2,10:06.0,J. Leuer misses 3-pt jump shot from 23 ft,,25,25
117,2,10:05.0,,Defensive rebound by K. Dunn,25,25
118,2,9:57.0,,K. Dunn makes 2-pt jump shot from 15 ft,25,27
119,2,9:39.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by T. Harris),,28,27
120,2,9:28.0,,K. Dunn misses 2-pt jump shot from 19 ft,28,27
121,2,9:26.0,,Offensive rebound by K. Dunn,28,27
122,2,9:25.0,,K. Dunn makes 2-pt jump shot from 13 ft,28,29
123,2,9:16.0,Detroit full timeout,,28,29
124,2,9:00.0,J. Leuer misses 3-pt jump shot from 23 ft,,28,29
125,2,8:59.0,,Defensive rebound by S. Muhammad,28,29
126,2,8:35.0,,Turnover by Z. LaVine (bad pass; steal by T. Harris),28,29
127,2,8:30.0,T. Harris misses 2-pt jump shot from 6 ft,,28,29
128,2,8:29.0,Offensive rebound by J. Leuer,,28,29
129,2,8:28.0,J. Leuer makes 2-pt layup from 2 ft,,30,29
130,2,8:28.0,Shooting foul by A. Payne (drawn by J. Leuer),,30,29
131,2,8:28.0,,G. Dieng enters the game for C. Aldrich,30,29
132,2,8:28.0,J. Leuer makes free throw 1 of 1,,31,29
133,2,8:18.0,,K. Dunn makes 2-pt jump shot from 10 ft,31,31
134,2,8:05.0,Shooting foul by G. Dieng (drawn by J. Leuer),,31,31
135,2,8:05.0,J. Leuer makes free throw 1 of 2,,32,31
136,2,8:05.0,,K. Towns enters the game for A. Payne,32,31
137,2,8:05.0,J. Leuer makes free throw 2 of 2,,33,31
138,2,7:52.0,,Personal foul by D. Hilliard (drawn by Z. LaVine),33,31
139,2,7:44.0,,Z. LaVine misses 3-pt jump shot from 24 ft,33,31
140,2,7:43.0,,Offensive rebound by Team,33,31
141,2,7:30.0,,Z. LaVine makes 2-pt jump shot from 5 ft,33,33
142,2,7:17.0,R. Jackson misses 2-pt jump shot from 17 ft,,33,33
143,2,7:16.0,,Defensive rebound by G. Dieng,33,33
144,2,7:07.0,,Personal foul by R. Jackson (drawn by K. Dunn),33,33
145,2,7:07.0,A. Drummond enters the game for A. Baynes,,33,33
