,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
0,1,11:36.0,N. Stauskas misses 3-pt jump shot from 24 ft,,0,0
1,1,11:34.0,,Defensive rebound by M. Plumlee,0,0
2,1,11:27.0,,G. Antetokounmpo makes 2-pt jump shot from 4 ft,0,2
3,1,11:19.0,E. İlyasova misses 2-pt jump shot from 17 ft,,0,2
4,1,11:17.0,,Defensive rebound by J. Parker,0,2
5,1,11:08.0,,M. Plumlee misses 2-pt layup from 3 ft (block by R. Covington),0,2
6,1,11:08.0,,Offensive rebound by Team,0,2
7,1,10:54.0,,M. Plumlee misses 2-pt hook shot from 5 ft,0,2
8,1,10:52.0,,Offensive rebound by G. Antetokounmpo,0,2
9,1,10:51.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,0,4
10,1,10:41.0,T. McConnell makes 2-pt layup at rim (assist by E. İlyasova),,2,4
11,1,10:24.0,,G. Antetokounmpo misses 2-pt jump shot from 11 ft,2,4
12,1,10:22.0,Defensive rebound by E. İlyasova,,2,4
13,1,10:14.0,N. Stauskas makes 3-pt jump shot from 24 ft (assist by T. McConnell),,5,4
14,1,9:57.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),5,7
15,1,9:46.0,N. Noel misses 2-pt hook shot from 5 ft,,5,7
16,1,9:45.0,,Defensive rebound by G. Antetokounmpo,5,7
17,1,9:38.0,,M. Plumlee misses 2-pt layup from 2 ft (block by R. Covington),5,7
18,1,9:35.0,Defensive rebound by R. Covington,,5,7
19,1,9:29.0,T. McConnell misses 2-pt jump shot from 12 ft,,5,7
20,1,9:28.0,,Defensive rebound by T. Snell,5,7
21,1,9:15.0,,Shooting foul by N. Noel (drawn by G. Antetokounmpo),5,7
22,1,9:15.0,,G. Antetokounmpo makes free throw 1 of 2,5,8
23,1,9:15.0,,G. Antetokounmpo makes free throw 2 of 2,5,9
24,1,9:05.0,N. Noel misses 2-pt dunk at rim,,5,9
25,1,9:04.0,,Defensive rebound by M. Plumlee,5,9
26,1,8:57.0,,J. Parker makes 2-pt layup from 1 ft (assist by M. Dellavedova),5,11
27,1,8:41.0,E. İlyasova misses 2-pt layup from 2 ft,,5,11
28,1,8:39.0,Offensive rebound by N. Noel,,5,11
29,1,8:39.0,N. Noel misses 2-pt layup from 1 ft,,5,11
30,1,8:38.0,,Defensive rebound by M. Plumlee,5,11
31,1,8:33.0,,Personal foul by N. Stauskas (drawn by M. Plumlee),5,11
32,1,8:30.0,,Offensive foul by M. Plumlee (drawn by T. McConnell),5,11
33,1,8:30.0,,Turnover by M. Plumlee (offensive foul),5,11
34,1,8:18.0,R. Covington misses 3-pt jump shot from 27 ft,,5,11
35,1,8:17.0,,Defensive rebound by G. Antetokounmpo,5,11
36,1,8:07.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,5,11
37,1,8:06.0,Defensive rebound by N. Noel,,5,11
38,1,7:57.0,N. Stauskas makes 2-pt layup at rim,,7,11
39,1,7:47.0,,M. Dellavedova makes 2-pt layup from 1 ft,7,13
40,1,7:33.0,T. McConnell makes 2-pt layup at rim (assist by E. İlyasova),,9,13
41,1,7:20.0,,M. Plumlee makes 2-pt dunk at rim (assist by M. Dellavedova),9,15
42,1,7:19.0,Philadelphia full timeout,,9,15
43,1,7:19.0,,M. Brogdon enters the game for M. Dellavedova,9,15
44,1,7:19.0,R. Holmes enters the game for N. Noel,,9,15
45,1,7:08.0,E. İlyasova makes 3-pt jump shot from 27 ft (assist by T. McConnell),,12,15
46,1,6:54.0,,J. Parker makes 2-pt dunk at rim (assist by M. Brogdon),12,17
47,1,6:42.0,E. İlyasova makes 2-pt jump shot from 4 ft (assist by T. McConnell),,14,17
48,1,6:33.0,,Turnover by M. Brogdon (bad pass; steal by R. Holmes),14,17
49,1,6:29.0,Turnover by R. Holmes (bad pass; steal by G. Antetokounmpo),,14,17
50,1,6:22.0,,M. Plumlee misses 2-pt layup at rim,14,17
51,1,6:21.0,,Offensive rebound by G. Antetokounmpo,14,17
