,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHICAGO_ACTION,MIAMI_SCORE,CHICAGO_SCORE
0,1,11:42.0,,D. Wade makes 2-pt jump shot from 8 ft,0,2
1,1,11:16.0,H. Whiteside makes 2-pt jump shot from 12 ft (assist by G. Dragić),,2,2
2,1,10:57.0,,T. Gibson misses 2-pt hook shot from 3 ft,2,2
3,1,10:56.0,,Offensive rebound by R. Lopez,2,2
4,1,10:56.0,,R. Lopez misses 2-pt layup from 1 ft,2,2
5,1,10:54.0,,Offensive rebound by T. Gibson,2,2
6,1,10:54.0,,T. Gibson makes 2-pt layup from 2 ft,2,4
7,1,10:41.0,G. Dragić misses 2-pt layup from 2 ft (block by R. Lopez),,2,4
8,1,10:40.0,,Defensive rebound by T. Gibson,2,4
9,1,10:35.0,,R. Rondo misses 2-pt jump shot from 19 ft,2,4
10,1,10:34.0,Defensive rebound by H. Whiteside,,2,4
11,1,10:14.0,W. Ellington misses 2-pt jump shot from 9 ft,,2,4
12,1,10:13.0,Offensive rebound by H. Whiteside,,2,4
13,1,10:13.0,H. Whiteside misses 2-pt layup from 2 ft,,2,4
14,1,10:12.0,,Defensive rebound by R. Lopez,2,4
15,1,10:04.0,,R. Rondo makes 2-pt layup from 3 ft (assist by T. Gibson),2,6
16,1,9:50.0,H. Whiteside makes 2-pt jump shot from 11 ft (assist by G. Dragić),,4,6
17,1,9:33.0,,J. Butler makes 2-pt jump shot from 11 ft,4,8
18,1,9:18.0,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),,6,8
19,1,8:55.0,,D. Wade misses 2-pt layup from 2 ft,6,8
20,1,8:53.0,,Offensive rebound by R. Lopez,6,8
21,1,8:53.0,,T. Gibson makes 2-pt layup from 3 ft (assist by R. Lopez),6,10
22,1,8:36.0,G. Dragić misses 2-pt layup from 2 ft,,6,10
23,1,8:35.0,Offensive rebound by H. Whiteside,,6,10
24,1,8:35.0,H. Whiteside makes 2-pt layup from 2 ft,,8,10
25,1,8:21.0,,Shooting foul by W. Ellington (drawn by D. Wade),8,10
26,1,8:21.0,,D. Wade makes free throw 1 of 2,8,11
27,1,8:21.0,,D. Wade misses free throw 2 of 2,8,11
28,1,8:18.0,Defensive rebound by J. McRoberts,,8,11
29,1,8:06.0,G. Dragić makes 2-pt jump shot from 11 ft,,10,11
30,1,7:44.0,,R. Lopez misses 2-pt layup from 2 ft (block by H. Whiteside),10,11
31,1,7:42.0,Defensive rebound by W. Ellington,,10,11
32,1,7:38.0,G. Dragić makes 2-pt layup from 2 ft (assist by W. Ellington),,12,11
33,1,7:24.0,,D. Wade makes 2-pt jump shot from 14 ft,12,13
34,1,7:12.0,Turnover by G. Dragić (bad pass; steal by D. Wade),,12,13
35,1,7:09.0,,Turnover by D. Wade (bad pass),12,13
36,1,6:57.0,J. McRoberts misses 2-pt jump shot from 20 ft,,12,13
37,1,6:56.0,Offensive rebound by G. Dragić,,12,13
38,1,6:42.0,H. Whiteside misses 2-pt jump shot from 7 ft,,12,13
