,QUARTER,TIME_REMAINING,UTAH_ACTION,LA LAKERS_ACTION,UTAH_SCORE,LA LAKERS_SCORE
0,1,11:44.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by R. Hood),,3,0
1,1,11:27.0,,T. Mozgov misses 2-pt jump shot from 18 ft,3,0
2,1,11:26.0,Defensive rebound by G. Hayward,,3,0
3,1,11:18.0,G. Hayward makes 3-pt jump shot from 24 ft,,6,0
4,1,11:03.0,,T. Mozgov makes 2-pt hook shot from 5 ft (assist by D. Russell),6,2
5,1,10:44.0,S. Mack misses 3-pt jump shot from 24 ft,,6,2
6,1,10:43.0,,Defensive rebound by L. Deng,6,2
7,1,10:35.0,,J. Randle misses 2-pt hook shot from 5 ft,6,2
8,1,10:32.0,Defensive rebound by G. Hayward,,6,2
9,1,10:28.0,G. Hayward makes 2-pt jump shot from 15 ft,,8,2
10,1,10:16.0,,D. Russell misses 2-pt jump shot from 17 ft,8,2
11,1,10:14.0,Defensive rebound by S. Mack,,8,2
12,1,9:54.0,R. Hood misses 3-pt jump shot from 23 ft,,8,2
13,1,9:52.0,Offensive rebound by D. Favors,,8,2
14,1,9:34.0,G. Hayward misses 3-pt jump shot from 24 ft,,8,2
15,1,9:31.0,,Defensive rebound by L. Deng,8,2
16,1,9:22.0,,J. Randle misses 2-pt hook shot from 8 ft,8,2
17,1,9:20.0,Defensive rebound by R. Hood,,8,2
18,1,9:18.0,Turnover by R. Hood (traveling),,8,2
19,1,9:12.0,,N. Young misses 2-pt jump shot from 10 ft,8,2
20,1,9:09.0,,Offensive rebound by T. Mozgov,8,2
21,1,9:02.0,,L. Deng makes 2-pt jump shot from 13 ft,8,4
22,1,8:47.0,D. Favors makes 2-pt jump shot from 6 ft,,10,4
23,1,8:27.0,,L. Deng makes 3-pt jump shot from 24 ft (assist by D. Russell),10,7
24,1,8:14.0,Turnover by R. Gobert (traveling),,10,7
25,1,7:57.0,,D. Russell misses 2-pt jump shot from 6 ft,10,7
26,1,7:52.0,,Offensive rebound by J. Randle,10,7
27,1,7:52.0,,J. Randle makes 2-pt layup from 1 ft,10,9
28,1,7:34.0,G. Hayward misses 2-pt jump shot from 11 ft,,10,9
29,1,7:31.0,,Defensive rebound by L. Deng,10,9
30,1,7:25.0,,T. Mozgov makes 2-pt jump shot from 15 ft (assist by D. Russell),10,11
31,1,7:19.0,Utah full timeout,,10,11
32,1,7:19.0,J. Ingles enters the game for R. Hood,,10,11
33,1,7:06.0,Turnover by D. Favors (lost ball; steal by J. Randle),,10,11
34,1,6:59.0,,J. Randle makes 2-pt layup from 2 ft,10,13
35,1,6:44.0,S. Mack misses 2-pt jump shot from 11 ft,,10,13
36,1,6:42.0,,Defensive rebound by N. Young,10,13
37,1,6:36.0,,N. Young misses 3-pt jump shot from 26 ft,10,13
38,1,6:34.0,Defensive rebound by J. Ingles,,10,13
39,1,6:22.0,J. Ingles misses 3-pt jump shot from 25 ft,,10,13
40,1,6:21.0,,Defensive rebound by J. Randle,10,13
41,1,6:14.0,,Turnover by J. Randle (traveling),10,13
42,1,6:14.0,B. Diaw enters the game for D. Favors,,10,13
43,1,6:05.0,G. Hayward makes 2-pt dunk at rim (assist by J. Ingles),,12,13
44,1,6:04.0,Violation by Team (jump ball),,12,13
45,1,5:50.0,,L. Deng makes 2-pt layup from 1 ft (assist by N. Young),12,15
46,1,5:31.0,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),,14,15
47,1,5:09.0,,D. Russell misses 3-pt jump shot from 25 ft,14,15
48,1,5:09.0,Defensive rebound by Team,,14,15
49,1,5:09.0,,J. Clarkson enters the game for N. Young,14,15
50,1,5:09.0,,B. Ingram enters the game for L. Deng,14,15
51,1,4:50.0,Turnover by B. Diaw (bad pass),,14,15
52,1,4:35.0,,T. Mozgov misses 2-pt dunk at rim,14,15
53,1,4:33.0,,Offensive rebound by J. Clarkson,14,15
54,1,4:30.0,,Turnover by J. Clarkson (bad pass; steal by B. Diaw),14,15
55,1,4:23.0,J. Ingles misses 3-pt jump shot from 23 ft,,14,15
56,1,4:22.0,Offensive rebound by R. Gobert,,14,15
57,1,4:22.0,R. Gobert makes 2-pt layup from 1 ft,,16,15
58,1,4:22.0,,LA Lakers full timeout,16,15
59,1,4:22.0,,L. Williams enters the game for T. Mozgov,16,15
60,1,4:22.0,,T. Robinson enters the game for D. Russell,16,15
61,1,4:07.0,,Turnover by J. Clarkson (bad pass),16,15
62,1,3:51.0,B. Diaw makes 2-pt layup from 1 ft,,18,15
63,1,3:41.0,,Turnover by L. Williams (lost ball),18,15
64,1,3:41.0,,L. Deng enters the game for J. Randle,18,15
65,1,3:17.0,S. Mack makes 2-pt layup from 1 ft (assist by R. Gobert),,20,15
66,1,3:09.0,,Personal foul by J. Ingles (drawn by J. Clarkson),20,15
67,1,3:09.0,R. Neto enters the game for S. Mack,,20,15
68,1,3:04.0,,B. Ingram misses 2-pt layup from 2 ft (block by G. Hayward),20,15
69,1,3:00.0,Defensive rebound by J. Ingles,,20,15
70,1,2:44.0,J. Ingles makes 2-pt layup from 1 ft,,22,15
71,1,2:30.0,,T. Robinson makes 2-pt layup at rim (assist by B. Ingram),22,17
72,1,2:15.0,G. Hayward makes 2-pt jump shot from 15 ft,,24,17
73,1,2:04.0,,L. Deng misses 3-pt jump shot from 23 ft,24,17
74,1,2:03.0,Defensive rebound by R. Neto,,24,17
75,1,1:51.0,Turnover by B. Diaw (bad pass; steal by L. Deng),,24,17
76,1,1:47.0,,L. Deng makes 2-pt layup from 1 ft,24,19
77,1,1:34.0,G. Hayward misses 2-pt jump shot from 16 ft,,24,19
78,1,1:31.0,,Defensive rebound by L. Deng,24,19
