,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,INDIANA_ACTION,GOLDEN STATE_SCORE,INDIANA_SCORE
0,1,11:46.0,Offensive foul by K. Thompson (drawn by G. Robinson),,0,0
1,1,11:46.0,Turnover by K. Thompson (offensive foul),,0,0
2,1,11:24.0,,T. Young misses 2-pt jump shot from 20 ft,0,0
3,1,11:23.0,Defensive rebound by Z. Pachulia,,0,0
4,1,11:11.0,S. Curry misses 2-pt jump shot from 20 ft,,0,0
5,1,11:11.0,,Defensive rebound by J. Teague,0,0
6,1,11:02.0,,J. Teague makes 2-pt jump shot from 14 ft,0,2
7,1,10:49.0,K. Thompson misses 3-pt jump shot from 26 ft,,0,2
8,1,10:49.0,,Defensive rebound by A. Jefferson,0,2
9,1,10:31.0,,T. Young misses 2-pt jump shot from 9 ft,0,2
10,1,10:31.0,Defensive rebound by D. Green,,0,2
11,1,10:22.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),,3,2
12,1,10:04.0,,M. Ellis misses 2-pt jump shot from 20 ft,3,2
13,1,10:04.0,Defensive rebound by Z. Pachulia,,3,2
14,1,9:58.0,Personal foul by M. Ellis (drawn by D. Green),,3,2
15,1,9:55.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),,6,2
16,1,9:28.0,,M. Ellis misses 2-pt jump shot from 5 ft,6,2
17,1,9:27.0,,Offensive rebound by T. Young,6,2
18,1,9:18.0,,G. Robinson makes 3-pt jump shot from 24 ft (assist by M. Ellis),6,5
19,1,9:04.0,S. Curry misses 3-pt jump shot from 26 ft,,6,5
20,1,9:03.0,,Defensive rebound by G. Robinson,6,5
21,1,8:54.0,,A. Jefferson misses 2-pt jump shot from 17 ft,6,5
22,1,8:53.0,Defensive rebound by K. Durant,,6,5
23,1,8:46.0,K. Thompson misses 3-pt jump shot from 25 ft,,6,5
24,1,8:45.0,,Defensive rebound by T. Young,6,5
25,1,8:26.0,,Personal foul by S. Curry (drawn by M. Ellis),6,5
26,1,8:19.0,,G. Robinson misses 2-pt jump shot from 22 ft,6,5
27,1,8:18.0,Defensive rebound by S. Curry,,6,5
28,1,8:13.0,D. Green makes 2-pt dunk at rim (assist by S. Curry),,8,5
29,1,7:51.0,,J. Teague misses 3-pt jump shot from 28 ft,8,5
30,1,7:51.0,Defensive rebound by D. Green,,8,5
31,1,7:42.0,Shooting foul by A. Jefferson (drawn by K. Durant),,8,5
32,1,7:42.0,K. Durant makes 2-pt layup from 1 ft,,10,5
33,1,7:42.0,K. Durant makes free throw 1 of 1,,11,5
34,1,7:28.0,,G. Robinson misses 3-pt jump shot from 25 ft,11,5
35,1,7:27.0,Defensive rebound by Z. Pachulia,,11,5
36,1,7:19.0,S. Curry misses 3-pt jump shot from 24 ft,,11,5
37,1,7:19.0,,Defensive rebound by J. Teague,11,5
38,1,7:06.0,,J. Teague misses 2-pt layup from 3 ft (block by D. Green),11,5
39,1,7:05.0,Defensive rebound by Z. Pachulia,,11,5
40,1,6:58.0,D. Green misses 3-pt jump shot from 26 ft,,11,5
41,1,6:55.0,,Defensive rebound by M. Ellis,11,5
42,1,6:48.0,,Turnover by M. Ellis (bad pass; steal by S. Curry),11,5
43,1,6:45.0,Shooting foul by M. Ellis (drawn by S. Curry),,11,5
44,1,6:45.0,S. Curry makes free throw 1 of 2,,12,5
45,1,6:45.0,,R. Stuckey enters the game for M. Ellis,12,5
46,1,6:45.0,S. Curry makes free throw 2 of 2,,13,5
47,1,6:41.0,,Indiana full timeout,13,5
48,1,6:35.0,,Personal foul by Z. Pachulia (drawn by A. Jefferson),13,5
49,1,6:22.0,,T. Young misses 2-pt jump shot from 17 ft,13,5
50,1,6:21.0,Defensive rebound by K. Durant,,13,5
51,1,6:08.0,Z. Pachulia misses 2-pt layup from 2 ft (block by J. Teague),,13,5
52,1,6:06.0,,Defensive rebound by T. Young,13,5
53,1,6:02.0,,R. Stuckey makes 2-pt layup from 1 ft (assist by J. Teague),13,7
54,1,5:50.0,K. Thompson makes 2-pt jump shot from 14 ft (assist by D. Green),,15,7
55,1,5:35.0,,J. Teague misses 2-pt jump shot from 13 ft,15,7
56,1,5:34.0,Defensive rebound by D. Green,,15,7
57,1,5:24.0,K. Thompson misses 3-pt jump shot from 23 ft,,15,7
58,1,5:24.0,Offensive rebound by Z. Pachulia,,15,7
59,1,5:19.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),,17,7
60,1,5:02.0,,R. Stuckey makes 2-pt jump shot from 18 ft,17,9
61,1,4:41.0,K. Durant makes 2-pt jump shot from 16 ft,,19,9
62,1,4:21.0,,R. Stuckey makes 2-pt jump shot from 15 ft,19,11
63,1,4:19.0,Golden State full timeout,,19,11
64,1,4:19.0,,K. Séraphin enters the game for A. Jefferson,19,11
65,1,4:19.0,A. Iguodala enters the game for K. Durant,,19,11
66,1,4:19.0,J. McGee enters the game for Z. Pachulia,,19,11
67,1,4:09.0,,Loose ball foul by R. Stuckey (drawn by J. McGee),19,11
