,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
0,1,11:38.0,T. Gibson makes 2-pt layup from 2 ft (assist by R. Westbrook),,2,0
1,1,11:18.0,,N. Noel makes 2-pt jump shot from 19 ft (assist by D. Nowitzki),2,2
2,1,10:55.0,S. Adams misses 2-pt hook shot from 8 ft,,2,2
3,1,10:54.0,,Defensive rebound by Y. Ferrell,2,2
4,1,10:39.0,,N. Noel misses 2-pt jump shot from 17 ft,2,2
5,1,10:37.0,Defensive rebound by R. Westbrook,,2,2
6,1,10:33.0,Turnover by R. Westbrook (bad pass; steal by N. Noel),,2,2
7,1,10:18.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,2,2
8,1,10:17.0,Defensive rebound by A. Roberson,,2,2
9,1,10:05.0,R. Westbrook makes 2-pt jump shot from 11 ft,,4,2
10,1,9:51.0,,H. Barnes misses 3-pt jump shot from 24 ft,4,2
11,1,9:51.0,Defensive rebound by V. Oladipo,,4,2
12,1,9:36.0,V. Oladipo misses 2-pt layup from 1 ft,,4,2
13,1,9:34.0,,Defensive rebound by D. Nowitzki,4,2
14,1,9:29.0,,Shooting foul by T. Gibson (drawn by N. Noel),4,2
15,1,9:29.0,,N. Noel makes free throw 1 of 2,4,3
16,1,9:29.0,,N. Noel makes free throw 2 of 2,4,4
17,1,9:19.0,V. Oladipo makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,7,4
18,1,9:02.0,,H. Barnes makes 2-pt dunk at rim (assist by Y. Ferrell),7,6
19,1,8:44.0,R. Westbrook makes 2-pt jump shot from 13 ft,,9,6
20,1,8:25.0,,H. Barnes misses 2-pt jump shot from 12 ft,9,6
21,1,8:23.0,Defensive rebound by V. Oladipo,,9,6
22,1,8:14.0,T. Gibson misses 2-pt jump shot from 17 ft,,9,6
23,1,8:13.0,,Defensive rebound by N. Noel,9,6
24,1,7:58.0,,Turnover by W. Matthews (bad pass; steal by S. Adams),9,6
25,1,7:49.0,R. Westbrook misses 3-pt jump shot from 24 ft,,9,6
26,1,7:49.0,,Defensive rebound by D. Nowitzki,9,6
27,1,7:44.0,,N. Noel makes 2-pt layup from 1 ft (assist by D. Nowitzki),9,8
28,1,7:26.0,Turnover by V. Oladipo (bad pass; steal by Y. Ferrell),,9,8
29,1,7:21.0,,Y. Ferrell misses 2-pt layup from 1 ft,9,8
30,1,7:20.0,Defensive rebound by R. Westbrook,,9,8
31,1,7:18.0,Personal foul by W. Matthews (drawn by T. Gibson),,9,8
32,1,7:10.0,R. Westbrook misses 2-pt jump shot from 13 ft,,9,8
33,1,7:09.0,,Defensive rebound by D. Nowitzki,9,8
34,1,6:56.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,9,8
35,1,6:55.0,,Offensive rebound by Team,9,8
36,1,6:55.0,Loose ball foul by V. Oladipo (drawn by N. Noel),,9,8
37,1,6:40.0,,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by W. Matthews),9,10
38,1,6:26.0,T. Gibson makes 2-pt jump shot from 3 ft (assist by R. Westbrook),,11,10
39,1,6:26.0,Shooting foul by D. Nowitzki (drawn by T. Gibson),,11,10
40,1,6:26.0,,J. Barea enters the game for Y. Ferrell,11,10
41,1,6:26.0,,D. Finney-Smith enters the game for D. Nowitzki,11,10
42,1,6:26.0,T. Gibson makes free throw 1 of 1,,12,10
43,1,6:14.0,,W. Matthews misses 3-pt jump shot from 25 ft,12,10
44,1,6:13.0,Defensive rebound by T. Gibson,,12,10
45,1,6:06.0,R. Westbrook makes 2-pt layup from 2 ft,,14,10
46,1,5:55.0,,Turnover by W. Matthews (bad pass; steal by A. Roberson),14,10
47,1,5:49.0,T. Gibson makes 2-pt layup from 1 ft (assist by R. Westbrook),,16,10
48,1,5:48.0,,Dallas full timeout,16,10
