,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BROOKLYN_ACTION,SAN ANTONIO_SCORE,BROOKLYN_SCORE
0,1,11:45.0,,Turnover by R. Foye (lost ball; steal by L. Aldridge),0,0
1,1,11:31.0,D. Murray misses 2-pt jump shot from 6 ft,,0,0
2,1,11:30.0,,Defensive rebound by T. Booker,0,0
3,1,11:14.0,,B. Lopez makes 2-pt jump shot from 15 ft (assist by B. Bogdanović),0,2
4,1,10:54.0,L. Aldridge misses 2-pt jump shot from 18 ft,,0,2
5,1,10:52.0,,Defensive rebound by B. Bogdanović,0,2
6,1,10:39.0,,T. Booker misses 2-pt hook shot from 6 ft,0,2
7,1,10:38.0,Defensive rebound by D. Dedmon,,0,2
8,1,10:26.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Murray),,2,2
9,1,10:09.0,,B. Lopez misses 2-pt hook shot from 8 ft,2,2
10,1,10:08.0,Defensive rebound by D. Murray,,2,2
11,1,10:00.0,D. Murray misses 2-pt layup from 2 ft (block by S. Dinwiddie),,2,2
12,1,9:59.0,,Defensive rebound by S. Dinwiddie,2,2
13,1,9:49.0,,S. Dinwiddie makes 2-pt jump shot from 11 ft,2,4
14,1,9:19.0,L. Aldridge misses 2-pt jump shot from 20 ft,,2,4
15,1,9:18.0,,Defensive rebound by B. Bogdanović,2,4
16,1,9:05.0,,B. Lopez misses 2-pt jump shot from 10 ft,2,4
17,1,9:03.0,Defensive rebound by D. Murray,,2,4
18,1,8:49.0,K. Anderson misses 2-pt layup from 2 ft,,2,4
19,1,8:48.0,Offensive rebound by D. Dedmon,,2,4
20,1,8:41.0,D. Green makes 2-pt layup from 2 ft,,4,4
21,1,8:22.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by B. Lopez),4,7
22,1,8:00.0,D. Murray misses 2-pt jump shot from 5 ft (block by S. Dinwiddie),,4,7
23,1,7:58.0,,Defensive rebound by B. Lopez,4,7
24,1,7:40.0,,R. Foye misses 3-pt jump shot from 24 ft,4,7
25,1,7:39.0,Defensive rebound by D. Dedmon,,4,7
26,1,7:34.0,Turnover by D. Murray (lost ball),,4,7
27,1,7:23.0,,S. Dinwiddie misses 2-pt layup from 2 ft,4,7
28,1,7:22.0,,Offensive rebound by B. Lopez,4,7
29,1,7:21.0,,B. Lopez makes 2-pt layup from 2 ft,4,9
30,1,7:20.0,San Antonio full timeout,,4,9
31,1,7:06.0,Turnover by D. Murray (lost ball; steal by B. Lopez),,4,9
32,1,6:58.0,,B. Lopez makes 2-pt jump shot from 11 ft (assist by S. Dinwiddie),4,11
33,1,6:32.0,D. Green makes 2-pt jump shot from 22 ft (assist by L. Aldridge),,6,11
34,1,6:10.0,,R. Foye misses 3-pt jump shot from 25 ft,6,11
35,1,6:09.0,Defensive rebound by D. Murray,,6,11
36,1,5:59.0,L. Aldridge misses 3-pt jump shot from 25 ft,,6,11
37,1,5:58.0,,Defensive rebound by R. Foye,6,11
38,1,5:49.0,,Shooting foul by D. Green (drawn by B. Lopez),6,11
39,1,5:49.0,,B. Lopez makes free throw 1 of 2,6,12
40,1,5:49.0,P. Mills enters the game for D. Murray,,6,12
41,1,5:49.0,D. Lee enters the game for D. Dedmon,,6,12
42,1,5:49.0,,S. Kilpatrick enters the game for B. Bogdanović,6,12
43,1,5:49.0,,B. Lopez makes free throw 2 of 2,6,13
44,1,5:28.0,P. Mills misses 2-pt jump shot from 19 ft,,6,13
45,1,5:27.0,,Defensive rebound by S. Kilpatrick,6,13
46,1,5:16.0,,S. Dinwiddie makes 2-pt jump shot from 18 ft,6,15
47,1,4:55.0,K. Anderson makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,9,15
48,1,4:39.0,,Turnover by Team (5 sec),9,15
49,1,4:39.0,,J. Hamilton enters the game for B. Lopez,9,15
50,1,4:31.0,Personal foul by S. Kilpatrick (drawn by K. Anderson),,9,15
51,1,4:31.0,,I. Whitehead enters the game for S. Dinwiddie,9,15
52,1,4:31.0,J. Simmons enters the game for D. Green,,9,15
53,1,4:31.0,,R. Hollis-Jefferson enters the game for T. Booker,9,15
