,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA LAKERS_ACTION,SAN ANTONIO_SCORE,LA LAKERS_SCORE
0,1,11:46.0,,Violation by J. Calderón (kicked ball),0,0
1,1,11:36.0,P. Gasol misses 2-pt jump shot from 14 ft,,0,0
2,1,11:33.0,,Defensive rebound by J. Randle,0,0
3,1,11:22.0,,L. Deng misses 2-pt jump shot from 19 ft,0,0
4,1,11:21.0,,Offensive rebound by L. Deng,0,0
5,1,11:15.0,,N. Young misses 3-pt jump shot from 23 ft,0,0
6,1,11:14.0,Defensive rebound by D. Green,,0,0
7,1,11:03.0,K. Leonard makes 2-pt jump shot from 14 ft (assist by D. Green),,2,0
8,1,10:46.0,,J. Randle misses 2-pt jump shot from 13 ft,2,0
9,1,10:44.0,Defensive rebound by D. Green,,2,0
10,1,10:32.0,Turnover by D. Green (step out of bounds),,2,0
11,1,10:14.0,,Turnover by N. Young (step out of bounds),2,0
12,1,10:02.0,Personal foul by J. Randle (drawn by P. Gasol),,2,0
13,1,9:59.0,T. Parker misses 2-pt jump shot from 10 ft,,2,0
14,1,9:56.0,,Defensive rebound by J. Randle,2,0
15,1,9:46.0,,T. Mozgov misses 2-pt jump shot from 15 ft,2,0
16,1,9:45.0,Defensive rebound by P. Gasol,,2,0
17,1,9:32.0,P. Gasol makes 2-pt jump shot from 16 ft (assist by D. Green),,4,0
18,1,9:18.0,,J. Calderón misses 2-pt jump shot from 16 ft,4,0
19,1,9:16.0,,Offensive rebound by T. Mozgov,4,0
20,1,9:05.0,,J. Randle misses 2-pt jump shot from 5 ft,4,0
21,1,9:04.0,Defensive rebound by K. Leonard,,4,0
22,1,8:59.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),,7,0
23,1,8:58.0,,LA Lakers full timeout,7,0
24,1,8:41.0,,N. Young misses 3-pt jump shot from 26 ft,7,0
25,1,8:40.0,Defensive rebound by T. Parker,,7,0
26,1,8:27.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by T. Parker),,9,0
27,1,8:03.0,,J. Randle makes 2-pt jump shot from 17 ft (assist by J. Calderón),9,2
28,1,7:49.0,K. Leonard misses 3-pt jump shot from 25 ft,,9,2
29,1,7:48.0,,Defensive rebound by N. Young,9,2
30,1,7:33.0,,N. Young makes 3-pt jump shot from 26 ft (assist by J. Randle),9,5
31,1,7:33.0,,Shooting foul by T. Parker (drawn by N. Young),9,5
32,1,7:33.0,,N. Young makes free throw 1 of 1,9,6
33,1,7:13.0,L. Aldridge misses 2-pt jump shot from 16 ft,,9,6
34,1,7:10.0,,Defensive rebound by L. Deng,9,6
35,1,7:05.0,,Turnover by J. Randle (bad pass; steal by L. Aldridge),9,6
36,1,6:57.0,K. Leonard misses 3-pt jump shot from 23 ft,,9,6
37,1,6:53.0,,Defensive rebound by J. Randle,9,6
38,1,6:47.0,,L. Deng makes 2-pt jump shot from 16 ft (assist by J. Calderón),9,8
39,1,6:36.0,D. Green makes 2-pt layup from 1 ft (assist by T. Parker),,11,8
40,1,6:23.0,,J. Randle misses 2-pt jump shot from 4 ft,11,8
41,1,6:22.0,,Offensive rebound by T. Mozgov,11,8
42,1,6:18.0,,L. Deng misses 2-pt jump shot from 18 ft,11,8
43,1,6:17.0,,Offensive rebound by N. Young,11,8
44,1,6:16.0,,Personal foul by D. Green (drawn by N. Young),11,8
45,1,6:10.0,,J. Calderón misses 3-pt jump shot from 24 ft,11,8
46,1,6:09.0,Defensive rebound by K. Leonard,,11,8
47,1,5:55.0,K. Leonard misses 2-pt jump shot from 17 ft,,11,8
48,1,5:53.0,,Defensive rebound by L. Deng,11,8
49,1,5:39.0,,J. Randle misses 2-pt jump shot from 3 ft (block by P. Gasol),11,8
50,1,5:36.0,Defensive rebound by K. Leonard,,11,8
51,1,5:32.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),,14,8
52,1,5:10.0,,Shooting foul by T. Parker (drawn by N. Young),14,8
53,1,5:10.0,,N. Young makes free throw 1 of 2,14,9
54,1,5:10.0,,N. Young misses free throw 2 of 2,14,9
55,1,5:10.0,Defensive rebound by K. Leonard,,14,9
56,1,5:10.0,P. Mills enters the game for T. Parker,,14,9
57,1,5:10.0,D. Lee enters the game for L. Aldridge,,14,9
58,1,5:10.0,,B. Ingram enters the game for L. Deng,14,9
59,1,5:10.0,,L. Williams enters the game for J. Calderón,14,9
60,1,4:51.0,P. Mills makes 3-pt jump shot from 23 ft (assist by K. Leonard),,17,9
61,1,4:36.0,,Turnover by B. Ingram (step out of bounds),17,9
62,1,4:36.0,M. Ginóbili enters the game for D. Green,,17,9
63,1,4:36.0,,L. Nance enters the game for T. Mozgov,17,9
64,1,4:36.0,,J. Clarkson enters the game for N. Young,17,9
65,1,4:25.0,M. Ginóbili makes 2-pt jump shot from 12 ft (assist by P. Mills),,19,9
66,1,4:12.0,,L. Williams makes 3-pt jump shot from 25 ft (assist by J. Clarkson),19,12
67,1,4:01.0,Turnover by K. Leonard (bad pass),,19,12
68,1,3:37.0,,J. Clarkson misses 2-pt jump shot from 7 ft,19,12
69,1,3:34.0,Defensive rebound by P. Gasol,,19,12
70,1,3:29.0,P. Mills misses 3-pt jump shot from 26 ft,,19,12
71,1,3:27.0,Offensive rebound by D. Lee,,19,12
72,1,3:18.0,Personal foul by L. Williams,,19,12
73,1,3:18.0,,T. Black enters the game for J. Randle,19,12
74,1,3:06.0,K. Leonard misses 2-pt hook shot from 7 ft,,19,12
75,1,3:03.0,,Defensive rebound by L. Nance,19,12
76,1,2:49.0,,Turnover by J. Clarkson (bad pass; steal by K. Leonard),19,12
77,1,2:42.0,P. Mills makes 2-pt layup from 1 ft (assist by K. Leonard),,21,12
78,1,2:30.0,,L. Williams makes 2-pt jump shot from 16 ft,21,14
79,1,2:17.0,P. Gasol misses 2-pt jump shot from 20 ft,,21,14
80,1,2:16.0,,Defensive rebound by B. Ingram,21,14
81,1,2:07.0,,B. Ingram misses 2-pt jump shot from 11 ft,21,14
82,1,2:06.0,Defensive rebound by P. Gasol,,21,14
83,1,2:02.0,San Antonio full timeout,,21,14
84,1,2:02.0,L. Aldridge enters the game for K. Leonard,,21,14
85,1,2:02.0,K. Anderson enters the game for P. Gasol,,21,14
86,1,1:51.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,21,14
87,1,1:49.0,,Defensive rebound by B. Ingram,21,14
88,1,1:27.0,,J. Clarkson misses 3-pt jump shot from 24 ft (block by M. Ginóbili),21,14
89,1,1:26.0,,Offensive rebound by Team,21,14
90,1,1:26.0,,Turnover by Team (shot clock),21,14
91,1,1:13.0,L. Aldridge makes 3-pt jump shot from 24 ft (assist by M. Ginóbili),,24,14
92,1,0:50.0,,J. Clarkson misses 2-pt jump shot from 18 ft,24,14
93,1,0:48.0,Defensive rebound by L. Aldridge,,24,14
94,1,0:38.0,Turnover by P. Mills (bad pass; steal by L. Williams),,24,14
95,1,0:35.0,,J. Clarkson makes 2-pt dunk at rim (assist by L. Williams),24,16
96,1,0:17.0,P. Mills makes 2-pt jump shot from 18 ft,,26,16
97,1,0:07.0,,Personal take foul by P. Mills,26,16
98,1,0:02.0,,B. Ingram misses 3-pt jump shot from 25 ft,26,16
99,1,0:00.0,,Offensive rebound by Team,26,16
100,2,11:39.0,,B. Ingram misses 2-pt jump shot from 6 ft (block by L. Aldridge),26,16
101,2,11:36.0,,Offensive rebound by B. Ingram,26,16
102,2,11:33.0,,L. Nance misses 2-pt jump shot from 14 ft,26,16
103,2,11:32.0,Defensive rebound by D. Lee,,26,16
104,2,11:24.0,P. Mills makes 2-pt jump shot from 19 ft,,28,16
105,2,11:16.0,,T. Black makes 2-pt dunk at rim (assist by L. Williams),28,18
106,2,10:59.0,M. Ginóbili makes 2-pt layup from 3 ft,,30,18
107,2,10:46.0,,Shooting foul by L. Aldridge (drawn by T. Black),30,18
108,2,10:46.0,,T. Black makes free throw 1 of 2,30,19
109,2,10:46.0,,T. Black misses free throw 2 of 2,30,19
110,2,10:44.0,Defensive rebound by K. Anderson,,30,19
111,2,10:35.0,Turnover by L. Aldridge (bad pass; steal by B. Ingram),,30,19
112,2,10:26.0,,J. Clarkson misses 2-pt jump shot from 20 ft,30,19
113,2,10:26.0,Defensive rebound by Team,,30,19
114,2,10:10.0,Shooting foul by J. Clarkson (drawn by D. Lee),,30,19
