,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DENVER_ACTION,OKLAHOMA CITY_SCORE,DENVER_SCORE
0,1,11:37.0,V. Oladipo makes 2-pt jump shot from 14 ft,,2,0
1,1,11:11.0,,G. Harris misses 2-pt jump shot from 12 ft,2,0
2,1,11:10.0,Defensive rebound by R. Westbrook,,2,0
3,1,11:04.0,R. Westbrook makes 2-pt jump shot from 19 ft,,4,0
4,1,10:51.0,,Personal foul by A. Roberson (drawn by D. Gallinari),4,0
5,1,10:42.0,,D. Gallinari misses 2-pt layup from 3 ft,4,0
6,1,10:41.0,Defensive rebound by V. Oladipo,,4,0
7,1,10:36.0,V. Oladipo misses 2-pt jump shot from 5 ft,,4,0
8,1,10:34.0,Offensive rebound by S. Adams,,4,0
9,1,10:24.0,T. Gibson misses 2-pt jump shot from 17 ft,,4,0
10,1,10:23.0,,Defensive rebound by D. Gallinari,4,0
11,1,10:17.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by G. Harris),4,3
12,1,9:55.0,T. Gibson misses 2-pt hook shot from 4 ft,,4,3
13,1,9:53.0,Offensive rebound by S. Adams,,4,3
14,1,9:53.0,S. Adams makes 2-pt layup from 3 ft,,6,3
15,1,9:39.0,,N. Jokić misses 2-pt layup from 1 ft,6,3
16,1,9:38.0,Defensive rebound by R. Westbrook,,6,3
17,1,9:32.0,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),,8,3
18,1,9:08.0,,D. Gallinari makes 2-pt layup from 2 ft,8,5
19,1,8:57.0,V. Oladipo makes 2-pt layup from 1 ft (assist by R. Westbrook),,10,5
20,1,8:31.0,,G. Harris misses 2-pt layup from 2 ft,10,5
21,1,8:30.0,Defensive rebound by A. Roberson,,10,5
22,1,8:22.0,Turnover by T. Gibson (lost ball; steal by D. Gallinari),,10,5
23,1,8:11.0,,D. Gallinari misses 3-pt jump shot from 23 ft,10,5
24,1,8:10.0,Defensive rebound by V. Oladipo,,10,5
25,1,7:58.0,S. Adams misses 2-pt jump shot from 13 ft,,10,5
26,1,7:56.0,Offensive rebound by R. Westbrook,,10,5
27,1,7:47.0,Turnover by T. Gibson (lost ball; steal by D. Gallinari),,10,5
28,1,7:35.0,,N. Jokić makes 2-pt layup from 1 ft,10,7
29,1,7:04.0,R. Westbrook misses 3-pt jump shot from 27 ft,,10,7
30,1,7:03.0,,Defensive rebound by N. Jokić,10,7
31,1,6:50.0,,Shooting foul by T. Gibson (drawn by N. Jokić),10,7
32,1,6:50.0,,N. Jokić makes free throw 1 of 2,10,8
33,1,6:50.0,,N. Jokić makes free throw 2 of 2,10,9
34,1,6:38.0,R. Westbrook misses 2-pt jump shot from 15 ft,,10,9
35,1,6:37.0,,Defensive rebound by W. Chandler,10,9
36,1,6:29.0,,W. Chandler makes 3-pt jump shot from 24 ft,10,12
37,1,6:13.0,V. Oladipo misses 3-pt jump shot from 23 ft,,10,12
38,1,6:12.0,Offensive rebound by S. Adams,,10,12
39,1,6:04.0,R. Westbrook makes 2-pt jump shot from 16 ft (assist by V. Oladipo),,12,12
40,1,5:51.0,,Personal block foul by R. Westbrook (drawn by G. Harris),12,12
41,1,5:51.0,,Denver full timeout,12,12
42,1,5:51.0,S. Christon enters the game for V. Oladipo,,12,12
43,1,5:44.0,,J. Murray misses 3-pt jump shot from 26 ft,12,12
44,1,5:43.0,Defensive rebound by S. Adams,,12,12
45,1,5:25.0,S. Adams makes 2-pt hook shot from 7 ft (assist by R. Westbrook),,14,12
46,1,5:15.0,,N. Jokić misses 3-pt jump shot from 25 ft,14,12
47,1,5:14.0,Defensive rebound by R. Westbrook,,14,12
48,1,5:09.0,R. Westbrook makes 2-pt jump shot from 18 ft,,16,12
49,1,4:52.0,,G. Harris misses 2-pt layup from 1 ft,16,12
50,1,4:51.0,Defensive rebound by T. Gibson,,16,12
51,1,4:45.0,R. Westbrook misses 2-pt jump shot from 17 ft,,16,12
52,1,4:43.0,,Defensive rebound by J. Murray,16,12
53,1,4:34.0,E. Freedom enters the game for S. Adams,,16,12
54,1,4:34.0,,E. Mudiay enters the game for J. Murray,16,12
55,1,4:34.0,,M. Plumlee enters the game for W. Chandler,16,12
56,1,4:26.0,,D. Gallinari makes 2-pt jump shot from 21 ft (assist by E. Mudiay),16,14
57,1,4:13.0,Turnover by R. Westbrook (bad pass),,16,14
58,1,3:58.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by E. Mudiay),16,17
59,1,3:44.0,E. Freedom misses 2-pt layup from 3 ft (block by N. Jokić),,16,17
