,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MIAMI_ACTION,SACRAMENTO_SCORE,MIAMI_SCORE
0,1,11:43.0,,D. Waiters makes 2-pt jump shot from 18 ft (assist by G. Dragić),0,2
1,1,11:24.0,T. Lawson misses 2-pt jump shot from 15 ft,,0,2
2,1,11:23.0,,Defensive rebound by H. Whiteside,0,2
3,1,11:12.0,,J. Winslow misses 2-pt layup from 2 ft,0,2
4,1,11:11.0,Defensive rebound by R. Gay,,0,2
5,1,11:02.0,R. Gay misses 2-pt layup from 1 ft,,0,2
6,1,11:01.0,Offensive rebound by M. Barnes,,0,2
7,1,10:59.0,A. Afflalo makes 3-pt jump shot from 26 ft (assist by M. Barnes),,3,2
8,1,10:41.0,,H. Whiteside misses 2-pt hook shot from 9 ft,3,2
9,1,10:40.0,Defensive rebound by R. Gay,,3,2
10,1,10:33.0,M. Barnes misses 3-pt jump shot from 24 ft,,3,2
11,1,10:32.0,,Defensive rebound by D. Waiters,3,2
12,1,10:24.0,,Turnover by H. Whiteside (offensive goaltending),3,2
13,1,10:07.0,A. Afflalo makes 2-pt jump shot from 17 ft (assist by D. Cousins),,5,2
14,1,9:50.0,,H. Whiteside misses 2-pt jump shot from 16 ft,5,2
15,1,9:49.0,Defensive rebound by M. Barnes,,5,2
16,1,9:44.0,A. Afflalo misses 2-pt jump shot from 10 ft (block by D. Waiters),,5,2
17,1,9:43.0,,Defensive rebound by Team,5,2
18,1,9:31.0,,Shooting foul by R. Gay (drawn by D. Waiters),5,2
19,1,9:31.0,Violation by M. Barnes (lane),,5,2
20,1,9:31.0,,D. Waiters makes free throw 1 of 2,5,3
21,1,9:31.0,,D. Waiters misses free throw 2 of 2,5,3
22,1,9:30.0,Defensive rebound by M. Barnes,,5,3
23,1,9:16.0,Def 3 sec tech foul by L. Babbitt,,5,3
24,1,9:16.0,A. Afflalo makes technical free throw,,6,3
25,1,9:08.0,T. Lawson makes 2-pt layup from 1 ft,,8,3
26,1,8:50.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by D. Waiters),8,6
27,1,8:23.0,R. Gay makes 2-pt layup from 2 ft,,10,6
