,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
0,1,11:44.0,,H. Barnes misses 2-pt jump shot from 19 ft,0,0
1,1,11:43.0,Defensive rebound by M. Gasol,,0,0
2,1,11:18.0,T. Allen misses 3-pt jump shot from 24 ft,,0,0
3,1,11:17.0,,Defensive rebound by S. Curry,0,0
4,1,11:08.0,,S. Curry makes 2-pt jump shot from 19 ft,0,2
5,1,10:48.0,C. Parsons misses 2-pt jump shot from 11 ft,,0,2
6,1,10:47.0,,Defensive rebound by N. Noel,0,2
7,1,10:40.0,,Y. Ferrell misses 2-pt jump shot from 23 ft,0,2
8,1,10:39.0,Defensive rebound by Team,,0,2
9,1,10:28.0,Turnover by T. Allen (bad pass),,0,2
10,1,10:13.0,,S. Curry misses 2-pt jump shot from 9 ft,0,2
11,1,10:12.0,Defensive rebound by M. Conley,,0,2
12,1,10:01.0,M. Gasol makes 2-pt layup from 2 ft,,2,2
13,1,9:45.0,,N. Noel makes 2-pt layup from 2 ft (assist by D. Nowitzki),2,4
14,1,9:45.0,,Shooting foul by J. Green (drawn by N. Noel),2,4
15,1,9:45.0,,N. Noel misses free throw 1 of 1,2,4
16,1,9:45.0,Defensive rebound by M. Gasol,,2,4
17,1,9:27.0,M. Gasol misses 2-pt hook shot from 5 ft,,2,4
18,1,9:26.0,,Defensive rebound by D. Nowitzki,2,4
19,1,9:13.0,,Personal foul by M. Conley (drawn by N. Noel),2,4
20,1,9:02.0,,Personal foul by C. Parsons (drawn by D. Nowitzki),2,4
21,1,8:53.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by Y. Ferrell),2,6
22,1,8:39.0,C. Parsons makes 2-pt jump shot from 13 ft,,4,6
23,1,8:13.0,,H. Barnes misses 2-pt jump shot from 19 ft,4,6
24,1,8:12.0,Defensive rebound by J. Green,,4,6
25,1,8:04.0,C. Parsons misses 3-pt jump shot from 24 ft,,4,6
26,1,8:03.0,,Defensive rebound by N. Noel,4,6
27,1,7:49.0,,H. Barnes misses 2-pt jump shot from 9 ft,4,6
28,1,7:48.0,Defensive rebound by J. Green,,4,6
29,1,7:37.0,Shooting foul by D. Nowitzki (drawn by M. Gasol),,4,6
30,1,7:37.0,M. Gasol misses free throw 1 of 2,,4,6
31,1,7:37.0,Offensive rebound by Team,,4,6
32,1,7:37.0,M. Gasol makes free throw 2 of 2,,5,6
33,1,7:20.0,,D. Nowitzki misses 2-pt jump shot from 15 ft,5,6
34,1,7:19.0,,Offensive rebound by N. Noel,5,6
35,1,7:19.0,,N. Noel misses 2-pt layup from 1 ft,5,6
36,1,7:18.0,Defensive rebound by J. Green,,5,6
37,1,7:13.0,Personal foul by N. Noel (drawn by M. Conley),,5,6
38,1,7:08.0,Turnover by M. Gasol (bad pass; steal by N. Noel),,5,6
39,1,6:58.0,,D. Nowitzki misses 2-pt jump shot from 16 ft,5,6
40,1,6:56.0,Defensive rebound by T. Allen,,5,6
41,1,6:45.0,C. Parsons misses 2-pt jump shot from 8 ft,,5,6
42,1,6:44.0,,Defensive rebound by D. Nowitzki,5,6
43,1,6:34.0,,Y. Ferrell misses 2-pt jump shot from 17 ft,5,6
44,1,6:33.0,Defensive rebound by M. Gasol,,5,6
45,1,6:19.0,M. Gasol misses 2-pt hook shot from 6 ft,,5,6
46,1,6:18.0,,Defensive rebound by N. Noel,5,6
47,1,6:15.0,,Dallas full timeout,5,6
48,1,6:15.0,,Q. Cook enters the game for D. Nowitzki,5,6
49,1,6:15.0,,D. Finney-Smith enters the game for Y. Ferrell,5,6
50,1,6:15.0,V. Carter enters the game for M. Gasol,,5,6
51,1,6:15.0,Z. Randolph enters the game for T. Allen,,5,6
52,1,6:03.0,,D. Finney-Smith misses 3-pt jump shot from 24 ft,5,6
53,1,6:02.0,Defensive rebound by V. Carter,,5,6
54,1,5:46.0,M. Conley makes 2-pt jump shot from 17 ft,,7,6
55,1,5:26.0,,Q. Cook misses 3-pt jump shot from 25 ft,7,6
56,1,5:25.0,Defensive rebound by Z. Randolph,,7,6
57,1,5:15.0,M. Conley makes 2-pt jump shot from 18 ft,,9,6
58,1,4:59.0,,H. Barnes misses 3-pt jump shot from 24 ft,9,6
59,1,4:58.0,Defensive rebound by C. Parsons,,9,6
60,1,4:37.0,M. Conley misses 3-pt jump shot from 23 ft,,9,6
61,1,4:36.0,,Defensive rebound by S. Curry,9,6
62,1,4:28.0,,S. Curry makes 2-pt jump shot from 21 ft,9,8
63,1,4:07.0,C. Parsons makes 3-pt jump shot from 23 ft (assist by J. Green),,12,8
64,1,3:50.0,,Q. Cook makes 3-pt jump shot from 25 ft,12,11
65,1,3:40.0,Personal foul by S. Curry (drawn by V. Carter),,12,11
66,1,3:40.0,M. Gasol enters the game for J. Green,,12,11
67,1,3:26.0,Z. Randolph makes 2-pt layup from 3 ft (assist by M. Conley),,14,11
68,1,3:13.0,,S. Curry makes 2-pt layup from 4 ft,14,13
69,1,3:13.0,,Shooting foul by V. Carter (drawn by S. Curry),14,13
70,1,3:13.0,T. Douglas enters the game for M. Conley,,14,13
71,1,3:13.0,T. Daniels enters the game for C. Parsons,,14,13
72,1,3:13.0,,S. Curry makes free throw 1 of 1,14,14
73,1,2:59.0,T. Daniels misses 2-pt jump shot from 16 ft,,14,14
74,1,2:57.0,Offensive rebound by Z. Randolph,,14,14
75,1,2:57.0,Z. Randolph makes 2-pt layup from 1 ft,,16,14
76,1,2:34.0,,D. Finney-Smith makes 2-pt dunk at rim (assist by N. Noel),16,16
77,1,2:12.0,Turnover by M. Gasol (bad pass; steal by H. Barnes),,16,16
78,1,2:09.0,,Shooting foul by T. Douglas (drawn by N. Noel),16,16
79,1,2:09.0,Memphis full timeout,,16,16
80,1,2:09.0,,N. Noel makes free throw 1 of 2,16,17
81,1,2:09.0,,D. Harris enters the game for H. Barnes,16,16
82,1,2:09.0,,Y. Ferrell enters the game for S. Curry,16,16
83,1,2:09.0,,D. Nowitzki enters the game for Q. Cook,16,16
84,1,2:09.0,,N. Noel makes free throw 2 of 2,16,18
85,1,1:50.0,T. Daniels misses 3-pt jump shot from 24 ft,,16,18
86,1,1:49.0,Offensive rebound by Z. Randolph,,16,18
87,1,1:43.0,T. Daniels misses 3-pt jump shot from 24 ft,,16,18
88,1,1:42.0,,Defensive rebound by N. Noel,16,18
