,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA LAKERS_ACTION,MILWAUKEE_SCORE,LA LAKERS_SCORE
0,1,11:49.0,G. Antetokounmpo makes 2-pt dunk at rim,,2,0
1,1,11:31.0,,B. Ingram misses 2-pt layup from 4 ft,2,0
2,1,11:29.0,,Offensive rebound by Team,2,0
3,1,11:23.0,,J. Randle misses 3-pt jump shot from 26 ft,2,0
4,1,11:22.0,Defensive rebound by T. Snell,,2,0
5,1,11:04.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by T. Maker),,4,0
6,1,10:45.0,,Turnover by J. Randle (bad pass; steal by T. Maker),4,0
7,1,10:42.0,Offensive foul by G. Antetokounmpo (drawn by J. Randle),,4,0
8,1,10:42.0,Turnover by G. Antetokounmpo (offensive foul),,4,0
9,1,10:33.0,,N. Young makes 3-pt jump shot from 25 ft (assist by I. Zubac),4,3
10,1,10:16.0,T. Maker misses 3-pt jump shot from 24 ft,,4,3
11,1,10:14.0,,Defensive rebound by J. Randle,4,3
12,1,10:07.0,,N. Young makes 2-pt layup from 2 ft (assist by J. Randle),4,5
13,1,9:52.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,4,5
14,1,9:51.0,,Defensive rebound by N. Young,4,5
15,1,9:45.0,,J. Clarkson makes 2-pt layup from 2 ft (assist by N. Young),4,7
16,1,9:24.0,K. Middleton makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),,6,7
17,1,9:11.0,,N. Young makes 2-pt dunk at rim (assist by J. Clarkson),6,9
18,1,8:58.0,T. Snell makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,9,9
19,1,8:34.0,,J. Clarkson misses 2-pt jump shot from 4 ft,9,9
20,1,8:32.0,,Offensive rebound by J. Randle,9,9
21,1,8:32.0,,J. Randle makes 2-pt layup from 1 ft,9,11
22,1,8:08.0,T. Maker misses 3-pt jump shot from 25 ft (block by J. Randle),,9,11
23,1,8:05.0,,Defensive rebound by I. Zubac,9,11
24,1,7:50.0,,I. Zubac makes 2-pt dunk at rim (assist by N. Young),9,13
25,1,7:35.0,T. Snell makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,11,13
26,1,7:35.0,Shooting foul by N. Young (drawn by T. Snell),,11,13
27,1,7:35.0,G. Monroe enters the game for T. Maker,,11,13
28,1,7:35.0,T. Snell makes free throw 1 of 1,,12,13
29,1,7:17.0,,I. Zubac makes 2-pt jump shot from 14 ft (assist by B. Ingram),12,15
30,1,6:52.0,M. Brogdon misses 3-pt jump shot from 25 ft,,12,15
31,1,6:51.0,,Defensive rebound by J. Randle,12,15
32,1,6:34.0,,B. Ingram misses 2-pt layup from 3 ft,12,15
33,1,6:33.0,Defensive rebound by G. Monroe,,12,15
34,1,6:29.0,Shooting foul by B. Ingram (drawn by K. Middleton),,12,15
35,1,6:29.0,,LA Lakers full timeout,12,15
36,1,6:29.0,K. Middleton makes free throw 1 of 2,,13,15
37,1,6:29.0,M. Dellavedova enters the game for M. Brogdon,,12,15
38,1,6:29.0,K. Middleton makes free throw 2 of 2,,14,15
39,1,6:08.0,,I. Zubac makes 2-pt jump shot from 4 ft (assist by B. Ingram),14,17
40,1,5:46.0,M. Dellavedova misses 2-pt hook shot from 4 ft,,14,17
41,1,5:45.0,,Defensive rebound by I. Zubac,14,17
42,1,5:33.0,,I. Zubac misses 2-pt hook shot from 8 ft,14,17
43,1,5:31.0,Defensive rebound by G. Monroe,,14,17
44,1,5:17.0,T. Snell misses 2-pt jump shot from 19 ft,,14,17
45,1,5:13.0,Offensive rebound by M. Dellavedova,,14,17
46,1,5:09.0,T. Snell misses 3-pt jump shot from 26 ft,,14,17
47,1,5:07.0,,Defensive rebound by J. Clarkson,14,17
48,1,4:59.0,,J. Randle misses 2-pt jump shot from 4 ft (block by G. Monroe),14,17
49,1,4:57.0,,Offensive rebound by J. Randle,14,17
50,1,4:57.0,,J. Randle misses 2-pt layup from 1 ft (block by G. Monroe),14,17
51,1,4:55.0,Defensive rebound by G. Antetokounmpo,,14,17
52,1,4:48.0,K. Middleton makes 2-pt jump shot from 21 ft (assist by G. Antetokounmpo),,16,17
53,1,4:22.0,,Turnover by J. Clarkson (bad pass; steal by G. Monroe),16,17
54,1,4:18.0,T. Snell makes 2-pt dunk at rim,,18,17
55,1,4:18.0,,LA Lakers full timeout,18,17
56,1,4:18.0,,D. Russell enters the game for I. Zubac,18,17
57,1,4:18.0,,L. Nance enters the game for N. Young,18,17
58,1,4:18.0,M. Teletović enters the game for G. Antetokounmpo,,18,17
59,1,4:00.0,,B. Ingram makes 3-pt jump shot from 27 ft (assist by J. Clarkson),18,20
60,1,3:45.0,K. Middleton makes 2-pt layup from 2 ft (assist by G. Monroe),,20,20
61,1,3:45.0,Shooting foul by B. Ingram (drawn by K. Middleton),,20,20
62,1,3:45.0,J. Terry enters the game for T. Snell,,20,20
63,1,3:45.0,,C. Brewer enters the game for B. Ingram,20,20
64,1,3:45.0,K. Middleton makes free throw 1 of 1,,21,20
65,1,3:32.0,,Turnover by D. Russell (bad pass; steal by K. Middleton),21,20
66,1,3:29.0,Turnover by K. Middleton (bad pass),,21,20
67,1,3:12.0,,Turnover by J. Clarkson (bad pass; steal by M. Dellavedova),21,20
68,1,3:06.0,G. Monroe makes 2-pt layup from 2 ft (assist by J. Terry),,23,20
69,1,2:57.0,,J. Clarkson misses 3-pt jump shot from 27 ft,23,20
70,1,2:54.0,Defensive rebound by G. Monroe,,23,20
71,1,2:44.0,K. Middleton misses 3-pt jump shot from 23 ft,,23,20
72,1,2:43.0,,Defensive rebound by D. Russell,23,20
73,1,2:35.0,,D. Russell makes 2-pt jump shot from 19 ft,23,22
74,1,2:19.0,Turnover by G. Monroe (bad pass; steal by J. Clarkson),,23,22
75,1,2:06.0,Milwaukee full timeout,,23,22
76,1,2:06.0,M. Brogdon enters the game for K. Middleton,,23,22
77,1,2:06.0,,I. Zubac enters the game for J. Randle,23,22
78,1,2:03.0,,I. Zubac makes 2-pt jump shot from 19 ft (assist by D. Russell),23,24
79,1,1:40.0,G. Monroe makes 2-pt hook shot from 5 ft (assist by M. Dellavedova),,25,24
80,1,1:24.0,,C. Brewer misses 2-pt layup from 2 ft,25,24
81,1,1:20.0,,Offensive rebound by I. Zubac,25,24
82,1,1:20.0,,I. Zubac misses 2-pt layup from 3 ft,25,24
83,1,1:18.0,Defensive rebound by G. Monroe,,25,24
84,1,1:08.0,G. Monroe makes 2-pt layup from 1 ft,,27,24
85,1,1:01.0,,Personal foul by M. Teletović (drawn by D. Russell),27,24
86,1,0:53.0,,D. Russell misses 2-pt layup from 4 ft,27,24
87,1,0:52.0,Defensive rebound by M. Teletović,,27,24
88,1,0:51.0,Shooting foul by C. Brewer (drawn by J. Terry),,27,24
89,1,0:51.0,J. Terry makes free throw 1 of 2,,28,24
90,1,0:51.0,J. Terry makes free throw 2 of 2,,29,24
91,1,0:39.0,,D. Russell misses 2-pt jump shot from 18 ft,29,24
92,1,0:37.0,Defensive rebound by M. Teletović,,29,24
93,1,0:34.0,G. Monroe makes 2-pt dunk at rim (assist by J. Terry),,31,24
94,1,0:11.0,,L. Nance misses 3-pt jump shot from 27 ft,31,24
95,1,0:09.0,Defensive rebound by M. Brogdon,,31,24
96,1,0:02.0,J. Terry misses 3-pt jump shot from 27 ft,,31,24
97,1,0:00.0,Offensive rebound by Team,,31,24
98,2,11:45.0,,L. Nance misses 2-pt hook shot at rim,31,24
99,2,11:41.0,Defensive rebound by M. Teletović,,31,24
100,2,11:36.0,Turnover by M. Brogdon (lost ball),,31,24
101,2,11:21.0,,L. Nance makes 2-pt jump shot from 16 ft (assist by C. Brewer),31,26
102,2,11:05.0,Turnover by J. Terry (bad pass; steal by L. Nance),,31,26
103,2,11:01.0,,L. Nance makes 2-pt dunk at rim,31,28
104,2,10:41.0,J. Terry makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),,34,28
105,2,10:21.0,,I. Zubac misses 2-pt jump shot from 4 ft,34,28
106,2,10:20.0,Defensive rebound by M. Brogdon,,34,28
