,QUARTER,TIME_REMAINING,DENVER_ACTION,OKLAHOMA CITY_ACTION,DENVER_SCORE,OKLAHOMA CITY_SCORE
0,1,11:47.0,Turnover by M. Plumlee (traveling),,0,0
1,1,11:37.0,,V. Oladipo misses 2-pt jump shot from 16 ft,0,0
2,1,11:37.0,Defensive rebound by J. Hernangómez,,0,0
3,1,11:29.0,Personal foul by T. Gibson (drawn by M. Plumlee),,0,0
4,1,11:25.0,M. Beasley misses 2-pt jump shot from 15 ft,,0,0
5,1,11:24.0,,Defensive rebound by K. Singler,0,0
6,1,11:16.0,,R. Westbrook misses 2-pt jump shot from 16 ft,0,0
7,1,11:16.0,Defensive rebound by M. Plumlee,,0,0
8,1,10:53.0,N. Jokić makes 2-pt hook shot from 3 ft,,2,0
9,1,10:39.0,,T. Gibson misses 2-pt jump shot from 4 ft (block by N. Jokić),2,0
10,1,10:38.0,,Offensive rebound by T. Gibson,2,0
11,1,10:37.0,,T. Gibson misses 2-pt layup from 1 ft (block by N. Jokić),2,0
12,1,10:34.0,Defensive rebound by N. Jokić,,2,0
13,1,10:31.0,M. Beasley misses 2-pt layup from 2 ft,,2,0
14,1,10:31.0,Offensive rebound by M. Beasley,,2,0
15,1,10:29.0,M. Beasley makes 2-pt layup at rim,,4,0
16,1,10:17.0,,R. Westbrook misses 2-pt jump shot from 7 ft,4,0
17,1,10:16.0,Defensive rebound by Team,,4,0
18,1,10:10.0,M. Beasley makes 3-pt jump shot from 22 ft (assist by N. Jokić),,7,0
19,1,9:55.0,,Shooting foul by J. Murray (drawn by V. Oladipo),7,0
20,1,9:55.0,,V. Oladipo misses free throw 1 of 2,7,0
21,1,9:55.0,,Offensive rebound by Team,7,0
22,1,9:55.0,,V. Oladipo makes free throw 2 of 2,7,1
23,1,9:41.0,J. Hernangómez misses 3-pt jump shot from 24 ft,,7,1
24,1,9:40.0,,Defensive rebound by S. Adams,7,1
25,1,9:30.0,,S. Adams makes 2-pt jump shot from 8 ft (assist by V. Oladipo),7,3
26,1,9:14.0,Offensive foul by M. Plumlee (drawn by T. Gibson),,7,3
27,1,9:14.0,Turnover by M. Plumlee (offensive foul),,7,3
28,1,9:00.0,,V. Oladipo misses 2-pt jump shot from 6 ft,7,3
29,1,8:59.0,Defensive rebound by J. Hernangómez,,7,3
30,1,8:47.0,M. Plumlee makes 2-pt layup from 1 ft (assist by N. Jokić),,9,3
31,1,8:32.0,,S. Adams misses 2-pt jump shot from 5 ft,9,3
32,1,8:31.0,Defensive rebound by J. Hernangómez,,9,3
33,1,8:19.0,Shooting foul by S. Adams (drawn by M. Plumlee),,9,3
34,1,8:19.0,M. Plumlee makes free throw 1 of 2,,10,3
35,1,8:19.0,M. Plumlee misses free throw 2 of 2,,10,3
36,1,8:18.0,,Defensive rebound by T. Gibson,10,3
37,1,8:06.0,,R. Westbrook misses 2-pt jump shot from 14 ft,10,3
38,1,8:06.0,Defensive rebound by M. Beasley,,10,3
39,1,7:54.0,N. Jokić misses 2-pt jump shot from 17 ft,,10,3
40,1,7:53.0,,Defensive rebound by K. Singler,10,3
41,1,7:42.0,,T. Gibson makes 2-pt layup at rim,10,5
42,1,7:33.0,Turnover by M. Beasley (bad pass; steal by S. Adams),,10,5
43,1,7:17.0,,Turnover by V. Oladipo (bad pass),10,5
44,1,6:59.0,M. Plumlee misses 2-pt jump shot from 15 ft,,10,5
45,1,6:59.0,,Defensive rebound by T. Gibson,10,5
46,1,6:53.0,,K. Singler makes 2-pt layup from 1 ft (assist by R. Westbrook),10,7
47,1,6:35.0,M. Beasley makes 2-pt layup from 2 ft (assist by N. Jokić),,12,7
48,1,6:19.0,,K. Singler misses 3-pt jump shot from 24 ft,12,7
49,1,6:19.0,,Offensive rebound by S. Adams,12,7
50,1,6:18.0,,S. Adams misses 2-pt layup from 1 ft (block by N. Jokić),12,7
51,1,6:14.0,,Offensive rebound by S. Adams,12,7
52,1,6:14.0,,S. Adams makes 2-pt layup from 1 ft,12,9
53,1,6:04.0,J. Murray makes 2-pt jump shot from 4 ft,,14,9
54,1,5:41.0,,S. Adams misses 2-pt jump shot from 8 ft,14,9
55,1,5:40.0,Defensive rebound by Team,,14,9
56,1,5:39.0,,Oklahoma City full timeout,14,9
57,1,5:39.0,,Á. Abrines enters the game for T. Gibson,14,9
58,1,5:39.0,,E. Freedom enters the game for V. Oladipo,14,9
59,1,5:33.0,Offensive foul by N. Jokić (drawn by R. Westbrook),,14,9
60,1,5:33.0,Turnover by N. Jokić (offensive foul),,14,9
61,1,5:25.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),14,11
62,1,5:10.0,M. Beasley misses 2-pt jump shot from 10 ft,,14,11
63,1,5:10.0,,Defensive rebound by E. Freedom,14,11
64,1,5:07.0,,R. Westbrook misses 2-pt layup from 3 ft (block by J. Murray),14,11
65,1,5:04.0,Defensive rebound by Team,,14,11
66,1,4:50.0,Turnover by M. Plumlee (bad pass; steal by S. Adams),,14,11
67,1,4:42.0,,R. Westbrook misses 3-pt jump shot from 25 ft,14,11
68,1,4:42.0,Defensive rebound by Team,,14,11
69,1,4:42.0,D. Arthur enters the game for M. Plumlee,,14,11
70,1,4:30.0,J. Hernangómez makes 2-pt hook shot from 4 ft (assist by J. Murray),,16,11
71,1,4:05.0,,R. Westbrook makes 3-pt jump shot from 23 ft,16,14
72,1,3:43.0,D. Arthur misses 2-pt jump shot from 15 ft,,16,14
73,1,3:42.0,,Defensive rebound by K. Singler,16,14
74,1,3:37.0,,Personal foul by N. Jokić (drawn by S. Adams),16,14
75,1,3:37.0,,D. Sabonis enters the game for S. Adams,16,14
76,1,3:37.0,M. Miller enters the game for J. Hernangómez,,16,14
77,1,3:32.0,,R. Westbrook misses 3-pt jump shot from 26 ft,16,14
