,QUARTER,TIME_REMAINING,TORONTO_ACTION,OKLAHOMA CITY_ACTION,TORONTO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:40.0,,D. Sabonis misses 2-pt jump shot from 16 ft,0,0
1,1,11:39.0,Defensive rebound by D. Carroll,,0,0
2,1,11:30.0,Personal foul by A. Roberson (drawn by K. Lowry),,0,0
3,1,11:19.0,Turnover by D. DeRozan (traveling),,0,0
4,1,11:02.0,,R. Westbrook misses 3-pt jump shot from 25 ft,0,0
5,1,11:02.0,Defensive rebound by K. Lowry,,0,0
6,1,10:55.0,K. Lowry misses 2-pt jump shot from 8 ft,,0,0
7,1,10:54.0,,Defensive rebound by Team,0,0
8,1,10:44.0,,A. Roberson makes 2-pt layup from 1 ft (assist by D. Sabonis),0,2
9,1,10:34.0,,Violation by A. Roberson (kicked ball),0,2
10,1,10:23.0,K. Lowry misses 2-pt jump shot from 6 ft,,0,2
11,1,10:21.0,Offensive rebound by K. Lowry,,0,2
12,1,10:21.0,K. Lowry misses 2-pt layup from 5 ft,,0,2
13,1,10:19.0,Offensive rebound by D. Carroll,,0,2
14,1,10:18.0,Turnover by D. Carroll (bad pass),,0,2
15,1,10:17.0,Loose ball foul by K. Lowry (drawn by A. Roberson),,0,2
16,1,9:53.0,,R. Westbrook misses 3-pt jump shot from 24 ft,0,2
17,1,9:53.0,Defensive rebound by P. Siakam,,0,2
18,1,9:40.0,Turnover by D. DeRozan (bad pass),,0,2
19,1,9:35.0,,R. Westbrook makes 2-pt jump shot from 16 ft,0,4
20,1,9:14.0,D. DeRozan misses 2-pt jump shot from 17 ft,,0,4
21,1,9:12.0,Offensive rebound by J. Poeltl,,0,4
22,1,9:04.0,P. Siakam misses 2-pt jump shot from 10 ft,,0,4
23,1,9:04.0,,Defensive rebound by R. Westbrook,0,4
24,1,8:56.0,,V. Oladipo makes 3-pt jump shot from 22 ft (assist by D. Sabonis),0,7
25,1,8:47.0,Toronto full timeout,,0,7
26,1,8:38.0,Turnover by K. Lowry (lost ball; steal by D. Sabonis),,0,7
27,1,8:29.0,,S. Adams makes 2-pt hook shot from 4 ft (assist by R. Westbrook),0,9
28,1,8:08.0,Personal block foul by D. Sabonis (drawn by K. Lowry),,0,9
29,1,7:53.0,Turnover by Team (shot clock),,0,9
30,1,7:43.0,,D. Sabonis makes 3-pt jump shot from 22 ft (assist by V. Oladipo),0,12
31,1,7:19.0,D. DeRozan makes 2-pt jump shot from 16 ft,,2,12
32,1,6:57.0,,D. Sabonis makes 2-pt hook shot from 6 ft,2,14
33,1,6:47.0,J. Poeltl makes 2-pt layup from 1 ft (assist by K. Lowry),,4,14
34,1,6:36.0,,Turnover by R. Westbrook (bad pass; steal by D. DeRozan),4,14
35,1,6:27.0,D. DeRozan misses 2-pt jump shot from 3 ft,,4,14
36,1,6:26.0,,Defensive rebound by D. Sabonis,4,14
37,1,6:10.0,,V. Oladipo misses 3-pt jump shot from 24 ft,4,14
38,1,6:09.0,,Offensive rebound by S. Adams,4,14
39,1,6:07.0,P. Patterson enters the game for P. Siakam,,4,14
40,1,5:56.0,,A. Roberson makes 2-pt layup from 2 ft (assist by D. Sabonis),4,16
41,1,5:38.0,D. DeRozan misses 2-pt layup from 1 ft,,4,16
42,1,5:37.0,,Defensive rebound by S. Adams,4,16
43,1,5:33.0,,Turnover by V. Oladipo (traveling),4,16
44,1,5:33.0,,E. Freedom enters the game for D. Sabonis,4,16
45,1,5:33.0,,K. Singler enters the game for V. Oladipo,4,16
46,1,5:20.0,K. Lowry misses 2-pt jump shot from 18 ft,,4,16
47,1,5:20.0,,Defensive rebound by K. Singler,4,16
48,1,5:10.0,,R. Westbrook misses 2-pt jump shot from 10 ft,4,16
49,1,5:09.0,Defensive rebound by P. Patterson,,4,16
50,1,5:08.0,Personal foul by A. Roberson (drawn by K. Lowry),,4,16
51,1,5:08.0,N. Powell enters the game for D. Carroll,,4,16
52,1,5:08.0,L. Nogueira enters the game for J. Poeltl,,4,16
53,1,5:08.0,,Á. Abrines enters the game for A. Roberson,4,16
54,1,4:59.0,D. DeRozan makes 2-pt dunk at rim (assist by K. Lowry),,6,16
55,1,4:48.0,,Shooting foul by N. Powell (drawn by R. Westbrook),6,16
